"","CZR.Open","CZR.High","CZR.Low","CZR.Close","CZR.Volume","CZR.Adjusted"
"2020-07-01",40.650002,43.27,39.450001,40.860001,5446900,40.860001
"2020-07-02",42.470001,43.07,40.240002,41.200001,4848400,41.200001
"2020-07-06",42.106998,42.73,39.049999,39.529999,4507500,39.529999
"2020-07-07",38.82,39.759998,34.669998,38.029999,8577500,38.029999
"2020-07-08",38.259998,40.439999,36.580002,39.75,4529400,39.75
"2020-07-09",40.5,41.639999,38.560001,40.950001,5043000,40.950001
"2020-07-10",40.389999,41,39.400002,40.150002,5231000,40.150002
"2020-07-13",40.630001,41.82,38.77,39,6142000,39
"2020-07-14",39.169998,40.679001,38.529999,40.110001,4487400,40.110001
"2020-07-15",42.5,42.650002,40.870998,42.029999,10815900,42.029999
"2020-07-16",41.25,41.549999,40.5,40.77,8689900,40.77
"2020-07-17",39.5,39.599998,37.898998,38,18394000,38
"2020-07-20",38.240002,38.689999,35.580002,38.240002,15497300,38.240002
"2020-07-21",38.900002,39.5,37.66,38.400002,7973200,38.400002
"2020-07-22",37.509998,38.400002,36.970001,38.240002,11085300,38.240002
"2020-07-23",37.470001,38.150002,34.759998,36.580002,26815500,36.580002
"2020-07-24",36.200001,36.200001,33.619999,33.75,9186700,33.75
"2020-07-27",32.52,32.869999,29.059999,29.74,15883300,29.74
"2020-07-28",29.559999,31.530001,29.389999,30.27,8635400,30.27
"2020-07-29",31.929001,33.529999,31.299999,33.52,7010100,33.52
"2020-07-30",32.689999,34.34,32.310001,33.369999,3920600,33.369999
"2020-07-31",33.400002,33.639999,30.799999,31.049999,5589200,31.049999
"2020-08-03",30.67,32.73,30.25,32.220001,3588700,32.220001
"2020-08-04",32.220001,34.200001,32.16,33.93,3414100,33.93
"2020-08-05",34.459999,35.630001,33.360001,35.540001,3847500,35.540001
"2020-08-06",35.400002,38.470001,35.299999,37.75,6886300,37.75
"2020-08-07",37.799999,38.889999,36.130001,37.07,6729800,37.07
"2020-08-10",38.75,39.299999,37.75,38.27,6280000,38.27
"2020-08-11",39.5,40.330002,37.59,37.880001,6188600,37.880001
