"","DAL.Open","DAL.High","DAL.Low","DAL.Close","DAL.Volume","DAL.Adjusted"
"2020-07-01",29.02,29.85,27.49,27.700001,39305300,27.700001
"2020-07-02",28.540001,28.73,27.6,27.719999,29240100,27.719999
"2020-07-06",28.24,28.629999,27.280001,28.440001,27345200,28.440001
"2020-07-07",27.860001,27.950001,26.860001,27.01,24598100,27.01
"2020-07-08",26.65,27.280001,26.200001,27.01,27214100,27.01
"2020-07-09",26.790001,26.92,25.219999,25.65,31219800,25.65
"2020-07-10",25.299999,27.26,25.15,27.09,31349400,27.09
"2020-07-13",27.23,27.620001,26.309999,26.82,34133100,26.82
"2020-07-14",25.639999,26.75,25.459999,26.110001,42273300,26.110001
"2020-07-15",27.5,28.879999,26.92,28.6,47726600,28.6
"2020-07-16",27.559999,27.950001,27.040001,27.26,25914200,27.26
"2020-07-17",27.33,27.73,26.940001,27.049999,20920100,27.049999
"2020-07-20",27,27.42,26.030001,26.219999,21574500,26.219999
"2020-07-21",26.5,26.950001,26.35,26.43,20930300,26.43
"2020-07-22",26.23,26.82,26.110001,26.25,16710800,26.25
"2020-07-23",26,27.700001,25.780001,26.780001,28110700,26.780001
"2020-07-24",26.48,26.639999,25.879999,25.959999,16774900,25.959999
"2020-07-27",25.950001,26.16,25.370001,25.5,18849800,25.5
"2020-07-28",25.35,26.299999,25.34,25.940001,18615600,25.940001
"2020-07-29",26.02,26.190001,25.379999,25.719999,14459700,25.719999
"2020-07-30",25.25,25.379999,24.82,24.940001,16844000,24.940001
"2020-07-31",24.799999,25.01,24.43,24.969999,17106500,24.969999
"2020-08-03",24.85,25.48,24.379999,25.200001,16590400,25.200001
"2020-08-04",25.450001,26.219999,25.309999,25.67,17233600,25.67
"2020-08-05",26.219999,27.040001,25.75,26.469999,27782100,26.469999
"2020-08-06",26.9,27.299999,26.129999,27.08,30682500,27.08
"2020-08-07",26.700001,27.200001,26.469999,27.18,15254500,27.18
"2020-08-10",27.459999,29.41,27.379999,29.34,34084900,29.34
"2020-08-11",30.790001,30.82,29.43,29.639999,37293000,29.639999
"2020-08-12",30.040001,30.280001,28.360001,29.09,26590000,29.09
"2020-08-13",28.6,29.58,28.49,28.700001,15767700,28.700001
"2020-08-14",28.299999,29.190001,28.15,28.950001,13107800,28.950001
"2020-08-17",29.040001,29.040001,27.76,28.02,14569000,28.02
"2020-08-18",28,28.280001,27.370001,27.629999,14222500,27.629999
"2020-08-19",27.75,29.120001,27.559999,27.67,21082100,27.67
"2020-08-20",27.52,27.790001,27.02,27.620001,14010200,27.620001
"2020-08-21",27.559999,27.860001,27.17,27.27,10897500,27.27
"2020-08-24",27.66,29.799999,27.540001,29.799999,34251000,29.799999
"2020-08-25",30,30.280001,29.33,30.1,31001900,30.1
"2020-08-26",30.01,30.219999,29.620001,29.950001,18877300,29.950001
"2020-08-27",30.809999,32.209999,30.620001,30.82,31795200,30.82
"2020-08-28",31.25,31.99,30.73,31.99,20469700,31.99
"2020-08-31",31.809999,32.009998,30.799999,30.85,18262700,30.85
"2020-09-01",30.02,31.610001,29.75,30.709999,20041500,30.709999
"2020-09-02",30.4,31.299999,30.139999,31.139999,16307700,31.139999
"2020-09-03",31.629999,32.529999,30.469999,31.219999,29474900,31.219999
"2020-09-04",31.790001,32.369999,30.610001,31.77,25878700,31.77
"2020-09-08",31.4,33.099998,31.34,32.540001,28129400,32.540001
"2020-09-09",32.169998,32.439999,31.32,31.76,19362700,31.76
"2020-09-10",32.18,32.709999,31.67,31.790001,17711300,31.790001
"2020-09-11",31.809999,32.130001,31.34,31.700001,14344100,31.700001
"2020-09-14",32.290001,32.900002,32.009998,32.82,16333000,32.82
"2020-09-15",33.200001,34.48,33.099998,33.509998,22656400,33.509998
"2020-09-16",33.799999,34.990002,33.189999,34.57,26009000,34.57
"2020-09-17",33.970001,35.07,33.639999,33.959999,26014800,33.959999
"2020-09-18",33.220001,34.02,32.580002,32.84,35079200,32.84
"2020-09-21",31.16,31.200001,29.42,29.82,34449900,29.82
"2020-09-22",29.809999,30.540001,29.719999,30.219999,18035300,30.219999
"2020-09-23",30.440001,31.030001,29.49,29.559999,17358100,29.559999
"2020-09-24",29.120001,29.51,27.92,29.01,22257800,29.01
"2020-09-25",28.82,29.790001,28.780001,29.780001,21831500,29.780001
"2020-09-28",30.6,31.959999,30.139999,31.34,22098400,31.34
"2020-09-29",31.1,31.110001,30.299999,30.610001,14785600,30.610001
"2020-09-30",30.99,31.85,30.48,30.58,16664100,30.58
"2020-10-01",30.99,31.360001,30.58,31.1,12501900,31.1
"2020-10-02",29.75,32.299999,29.610001,31.75,27126000,31.75
"2020-10-05",32.349998,32.43,31.52,32,14807100,32
"2020-10-06",32.630001,32.720001,30.91,31.059999,20317100,31.059999
"2020-10-07",32.220001,32.360001,31.639999,32.150002,15416600,32.150002
"2020-10-08",32.689999,33,31.92,32.68,18123800,32.68
"2020-10-09",32.709999,33.27,32.290001,32.810001,16730600,32.810001
"2020-10-12",32.68,32.810001,32.299999,32.639999,12065800,32.639999
"2020-10-13",31.9,32.389999,31.48,31.77,22421200,31.77
"2020-10-14",31.77,32.32,31.65,31.76,16497900,31.76
"2020-10-15",31.379999,31.459999,30.690001,31.34,11922300,31.34
"2020-10-16",31.4,31.76,31.24,31.469999,11143600,31.469999
"2020-10-19",31.700001,32.27,31.309999,31.5,14588700,31.5
"2020-10-20",31.969999,32.41,31.59,31.98,14244300,31.98
"2020-10-21",31.889999,31.940001,31.370001,31.5,11292300,31.5
"2020-10-22",31.870001,33.810001,31.719999,33.720001,25713700,33.720001
"2020-10-23",33.52,34.040001,32.900002,34,15247300,34
"2020-10-26",33.5,33.5,31.530001,31.93,16558300,31.93
"2020-10-27",31.75,32.060001,30.690001,30.709999,13442000,30.709999
"2020-10-28",29.76,30.15,28.74,29.65,22720900,29.65
"2020-10-29",29.459999,30.91,29.34,30.76,16962300,30.76
"2020-10-30",30.52,30.99,29.99,30.639999,15229400,30.639999
"2020-11-02",30.620001,30.629999,29.67,30.219999,14200900,30.219999
"2020-11-03",30.940001,31.360001,30.639999,30.9,14257900,30.9
"2020-11-04",30.91,31.309999,30.110001,30.43,12348500,30.43
"2020-11-05",30.85,32.259998,30.799999,31.98,13145100,31.98
"2020-11-06",31.67,31.84,31.030001,31.42,11821100,31.42
