"","DE.Open","DE.High","DE.Low","DE.Close","DE.Volume","DE.Adjusted"
"2020-07-01",159.649994,160.179993,155.339996,156.850006,1111100,153.200226
"2020-07-02",158.869995,161.919998,157.520004,157.899994,1044900,154.225754
"2020-07-06",161.119995,161.589996,158.410004,160.220001,947500,156.491806
"2020-07-07",158.380005,160.580002,157.649994,158.699997,1118600,155.007187
"2020-07-08",159.270004,159.809998,156.850006,158.380005,1042600,154.694611
"2020-07-09",157.820007,159.710007,156.100006,157.649994,1283400,153.981598
"2020-07-10",158.270004,159.440002,157.039993,159.089996,982700,155.388062
"2020-07-13",162.660004,167.320007,161.660004,163.830002,1829700,160.017807
"2020-07-14",163.490005,169.820007,162.300003,169.559998,1651500,165.614426
"2020-07-15",170.690002,174,169.830002,172.389999,1992300,168.378601
"2020-07-16",171.960007,175.279999,170.899994,173.419998,1142400,169.384659
"2020-07-17",175,176.929993,173.360001,176.509995,1140400,172.40274
"2020-07-20",175.869995,176.130005,172.699997,173.809998,1314500,169.765564
"2020-07-21",174.949997,176.809998,173.369995,175.649994,1079300,171.562714
"2020-07-22",174.190002,176.029999,174.110001,175.490005,1246300,171.406479
"2020-07-23",175.699997,178.399994,175.410004,176.729996,943800,172.61763
"2020-07-24",177.110001,177.770004,174.809998,175.350006,910800,171.269745
"2020-07-27",174.690002,176.690002,172.910004,176,887100,171.904617
"2020-07-28",174.899994,177.139999,174.649994,175.789993,850000,171.699478
"2020-07-29",176.710007,180.759995,176.009995,180.25,1886900,176.055725
"2020-07-30",178.210007,179.25,176.279999,178.039993,1235700,173.897141
"2020-07-31",176.809998,176.919998,173.360001,176.309998,1409600,172.207397
"2020-08-03",177.380005,178.869995,175.830002,177.619995,840600,173.486923
"2020-08-04",176.919998,178.880005,176.630005,178.110001,672800,173.965546
"2020-08-05",180,183.589996,179.949997,182.820007,1366100,178.565933
"2020-08-06",182,183.240005,180.25,181.259995,968100,177.042191
"2020-08-07",181.410004,183.710007,179.860001,183.5,1254600,179.230072
"2020-08-10",185,191.350006,184.399994,189.910004,2631100,185.490952
"2020-08-11",192.300003,195.850006,192.210007,193.220001,1909900,188.723892
"2020-08-12",191.289993,192.820007,189.589996,192.309998,1629000,187.835098
"2020-08-13",188.550003,191.169998,188.449997,189.5,1324700,185.090485
"2020-08-14",189.220001,193.210007,188.429993,191.130005,900600,186.682541
"2020-08-17",193.25,194.240005,191.199997,192.990005,1025900,188.499268
"2020-08-18",193.809998,194.820007,191.899994,192.130005,1120900,187.659271
"2020-08-19",193,194.600006,191.940002,191.990005,1512700,187.522522
"2020-08-20",190.210007,192.050003,189.380005,191.100006,1558700,186.653244
"2020-08-21",196.759995,202.949997,196,199.5,6446300,194.857773
"2020-08-24",204.369995,206.479996,202.660004,205.399994,3177900,200.620483
"2020-08-25",206,209.399994,205.350006,205.600006,2706800,200.815842
"2020-08-26",206.589996,212.289993,204.759995,211.009995,2039900,206.099945
"2020-08-27",211.160004,212.449997,208.820007,209.830002,1875400,204.947388
"2020-08-28",210.330002,210.800003,208.75,209.899994,1261400,205.015762
"2020-08-31",210,211.429993,207.770004,210.059998,1944500,205.172043
"2020-09-01",208.520004,217.720001,208.270004,217.690002,1873400,212.624512
"2020-09-02",218.240005,219.710007,215.669998,217.110001,1983000,212.057999
"2020-09-03",217.270004,218.729996,209.070007,210.809998,1975200,205.904602
"2020-09-04",213.190002,214,208.179993,211.339996,1662300,206.422241
"2020-09-08",209.860001,213.240005,207.970001,210.240005,1918500,205.34787
"2020-09-09",210.860001,217.300003,210.860001,215.520004,1569200,210.505005
"2020-09-10",215.919998,218.229996,213.610001,215.110001,1840300,210.104553
"2020-09-11",214.130005,218.509995,213,215.960007,1902400,210.934753
"2020-09-14",217.899994,219.119995,216.699997,218.330002,1249300,213.249603
"2020-09-15",219.809998,220.960007,215.190002,215.770004,1740200,210.749207
"2020-09-16",217.160004,218.919998,214.860001,215.399994,1572700,210.387772
"2020-09-17",213.800003,221.600006,212.009995,219.940002,2094000,214.822159
"2020-09-18",219.470001,225.380005,219.449997,221.970001,3063600,216.804916
"2020-09-21",216.25,217.449997,210.179993,214.210007,2134000,209.225479
"2020-09-22",215.089996,219.059998,214.529999,217.580002,1622400,212.517075
"2020-09-23",217.580002,220.669998,214.380005,214.550003,1683500,209.557587
"2020-09-24",213.699997,219.380005,211.380005,216.520004,1025900,211.48175
"2020-09-25",214.949997,220.929993,214.830002,219.25,1225400,214.148224
"2020-09-28",222.059998,224.360001,221.5,221.899994,1191500,216.736542
"2020-09-29",221.649994,222.389999,218.070007,220.179993,892800,215.795654
"2020-09-30",221.380005,226.059998,220.240005,221.630005,1883900,217.216782
"2020-10-01",223.5,223.779999,218.570007,219.039993,1383800,214.67836
"2020-10-02",215.25,226.520004,215.020004,224.789993,1403600,220.313858
"2020-10-05",227.259995,231.119995,224.850006,226.960007,2071500,222.440659
"2020-10-06",227.270004,230.639999,226.009995,226.119995,1385800,221.617371
"2020-10-07",229.270004,232.529999,228.110001,230.570007,1029200,225.97879
"2020-10-08",230.990005,234.809998,230.710007,234.240005,1148300,229.575699
"2020-10-09",235.020004,237.009995,233.580002,234.809998,1091500,230.134338
"2020-10-12",237.139999,237.610001,235.070007,236.520004,1234800,231.810287
"2020-10-13",236.139999,237.580002,234.490005,237.220001,1311300,232.496368
"2020-10-14",237.389999,240.660004,237.089996,238.470001,1062500,233.721451
"2020-10-15",234.660004,239.350006,234.369995,238.240005,1225200,233.496048
"2020-10-16",240,243.399994,239.710007,240.059998,1652600,235.2798
"2020-10-19",240.25,242.899994,237.110001,238.169998,905500,233.427414
"2020-10-20",239.800003,242.039993,237.759995,238.869995,968100,234.11348
"2020-10-21",239.520004,241.919998,236.059998,236.399994,1506500,231.692657
"2020-10-22",236.059998,238,234.880005,236.880005,1246400,232.163116
"2020-10-23",237.119995,240,237.119995,239.529999,820500,234.76033
"2020-10-26",237.100006,237.490005,231.75,234.25,1010500,229.585495
"2020-10-27",234.199997,234.589996,228,228.509995,1395700,223.959793
