"","DGX.Open","DGX.High","DGX.Low","DGX.Close","DGX.Volume","DGX.Adjusted"
"2020-07-01",113.949997,114.970001,112.489998,114.050003,1159300,109.350121
"2020-07-02",114.949997,116.860001,114.400002,116.040001,854200,111.258125
"2020-07-06",117.089996,118.989998,117.089996,118.370003,1444600,113.492104
"2020-07-07",117.150002,118.239998,116.220001,117.309998,955900,113.010414
"2020-07-08",117.169998,118,116.269997,117.919998,958000,113.598061
"2020-07-09",118,118.349998,115.209999,115.849998,1460000,111.603935
"2020-07-10",116.019997,117.389999,115.910004,116.82,851400,112.538399
"2020-07-13",119,123.300003,118.5,119.139999,2323600,114.773361
"2020-07-14",121.120003,122.75,118.800003,122.709999,2193500,118.212509
"2020-07-15",123.760002,124.199997,119.769997,122.239998,1748500,117.759727
"2020-07-16",121.989998,125.32,121.129997,123.68,1576700,119.146957
"2020-07-17",123.949997,126.879997,123.809998,125.110001,1913500,120.524551
"2020-07-20",126.889999,127.599998,125.230003,126.900002,1275200,122.24894
"2020-07-21",127.220001,129.059998,126.540001,128.610001,1116300,123.896263
"2020-07-22",128.610001,129.820007,128.110001,129.759995,1259600,125.004112
"2020-07-23",126.959999,131.809998,125.370003,127.599998,1924400,122.923286
"2020-07-24",126.949997,126.949997,124,124.989998,1195500,120.408936
"2020-07-27",124.839996,126.25,123.68,124.040001,1404900,119.493767
"2020-07-28",124.199997,125.849998,123.199997,123.459999,1104500,118.93502
"2020-07-29",124.739998,126.959999,124.260002,126.199997,1883200,121.574593
"2020-07-30",125.080002,127.010002,124.410004,126.760002,894300,122.114067
"2020-07-31",126.839996,127.360001,125,127.07,1132800,122.41272
"2020-08-03",127.730003,130.699997,127.400002,130.009995,1336400,125.244934
"2020-08-04",129.350006,129.570007,126.309998,128.100006,1159500,123.404968
"2020-08-05",128.429993,128.710007,126.139999,127.059998,759200,122.403069
"2020-08-06",127,127.169998,123.279999,124.510002,1197400,119.946533
"2020-08-07",124.25,126.160004,123.709999,125.209999,1102000,120.620888
"2020-08-10",124.779999,124.989998,120.989998,121.239998,1251700,116.796387
"2020-08-11",121.82,121.989998,118.769997,120.139999,1240200,115.736694
"2020-08-12",120.489998,121.790001,119.449997,121.150002,810700,116.709694
"2020-08-13",120.739998,121.769997,119.82,121.75,650400,117.287697
"2020-08-14",121.230003,121.610001,119.389999,120.010002,827400,115.611465
"2020-08-17",120.389999,121.760002,119.690002,120,933800,115.601822
"2020-08-18",120,120.43,119.199997,120,782400,115.601822
"2020-08-19",120.949997,120.949997,117.279999,117.660004,1344400,113.347595
"2020-08-20",117.769997,120.860001,117.709999,117.910004,979600,113.588425
"2020-08-21",117.809998,118.220001,116.470001,117.830002,957400,113.51136
"2020-08-24",118.07,118.18,116.309998,117.599998,1158500,113.289795
"2020-08-25",117.940002,119.43,116.779999,118.330002,1237900,113.993042
"2020-08-26",118.260002,118.769997,116.629997,118.330002,1800100,113.993042
"2020-08-27",109.220001,111.800003,104.099998,110.010002,5631700,105.977982
"2020-08-28",110.230003,111.099998,108.769997,110.75,1527200,106.690857
"2020-08-31",110.129997,112.290001,110.110001,111.239998,1364400,107.162895
"2020-09-01",111.5,112.68,106.720001,109.650002,2857100,105.63118
"2020-09-02",110.379997,111.440002,108.910004,110.690002,2445900,106.633057
"2020-09-03",111.110001,111.269997,107.68,108.660004,2845000,104.67746
"2020-09-04",108.970001,109.739998,106.949997,108.889999,1688700,104.899017
"2020-09-08",108.379997,108.809998,106.540001,107.400002,1513500,103.463646
"2020-09-09",108.260002,108.650002,106.980003,107.050003,1204600,103.126465
"2020-09-10",109.690002,111.93,109.300003,110.5,1889700,106.450012
"2020-09-11",111.099998,111.309998,108.620003,110.330002,1250700,106.286263
"2020-09-14",110.970001,113.239998,110.400002,112.720001,764700,108.588646
"2020-09-15",112.75,115.279999,112.75,113.589996,1112700,109.426773
"2020-09-16",114.120003,116.059998,113.970001,114.550003,983200,110.351593
"2020-09-17",113.970001,113.970001,110.860001,112.589996,953900,108.463417
