"","DHR.Open","DHR.High","DHR.Low","DHR.Close","DHR.Volume","DHR.Adjusted"
"2020-07-01",177.110001,178.050003,175.139999,177.160004,2098500,175.981934
"2020-07-02",178.470001,180.779999,177.860001,179.679993,1594000,178.485168
"2020-07-06",182,184.410004,181.410004,183,1888000,181.783096
"2020-07-07",182.270004,184.729996,181.619995,182.039993,2764400,180.829483
"2020-07-08",182.990005,184.889999,182.529999,184.419998,1879800,183.193634
"2020-07-09",184.509995,187.190002,183.300003,185.470001,2435400,184.236679
"2020-07-10",185.529999,185.850006,182.800003,183.669998,1956100,182.448624
"2020-07-13",184.410004,186.690002,181.979996,182.410004,2135400,181.197021
"2020-07-14",182.770004,185.649994,181.179993,185.449997,2024700,184.216812
"2020-07-15",187.149994,188.440002,184.889999,188.339996,2533500,187.087585
"2020-07-16",188.339996,189.270004,186.869995,188.809998,2763000,187.554474
"2020-07-17",189.940002,192,188.070007,190.949997,3525600,189.680237
"2020-07-20",191.440002,193.710007,191,193.369995,2030800,192.084152
"2020-07-21",193.550003,195.740005,192.720001,195,2221000,193.703308
"2020-07-22",194.679993,197.179993,194.160004,195.610001,2546400,194.30925
"2020-07-23",201.649994,203,197.589996,199.220001,4319400,197.895248
"2020-07-24",197.179993,197.199997,190.339996,195.270004,3115200,193.971512
"2020-07-27",195.800003,202.289993,195.240005,198.979996,2654000,197.656845
"2020-07-28",198.690002,199.820007,197.779999,199.009995,2072500,197.686646
"2020-07-29",199.539993,204.130005,198.830002,202.130005,2995600,200.785889
"2020-07-30",199.339996,203.369995,198.869995,202.139999,1696400,200.795822
"2020-07-31",201.520004,203.949997,200.869995,203.800003,1785500,202.444778
"2020-08-03",205,207.029999,204.869995,206.830002,2074700,205.454636
"2020-08-04",205.809998,206.960007,204.169998,206.070007,1734700,204.699707
"2020-08-05",206.149994,207.389999,204.190002,205.539993,2081400,204.173218
"2020-08-06",206.199997,207.169998,202.380005,205.690002,2729100,204.322205
"2020-08-07",206.889999,207.660004,204.350006,205.399994,1345800,204.034149
"2020-08-10",205.5,205.839996,201.360001,202.050003,2161200,200.706421
"2020-08-11",202.970001,203.610001,199.300003,200.009995,2421300,198.679962
"2020-08-12",201.570007,206.979996,201.210007,205.919998,1464200,204.55069
"2020-08-13",204.580002,207.479996,204.360001,207.190002,1211200,205.812241
"2020-08-14",206.809998,207.869995,204.039993,204.860001,1280700,203.497726
"2020-08-17",204.910004,206.449997,204.660004,205.570007,1234400,204.203033
"2020-08-18",206.330002,208.289993,205.619995,207.679993,1474400,206.298965
"2020-08-19",208.389999,209.149994,205.580002,205.929993,1190600,204.560593
"2020-08-20",204.690002,206.589996,204.350006,205.660004,1001600,204.292419
"2020-08-21",205.350006,208.029999,204.809998,207.800003,1432400,206.418167
"2020-08-24",208.690002,209.380005,204.789993,205.559998,1226800,204.193069
