"","DISH.Open","DISH.High","DISH.Low","DISH.Close","DISH.Volume","DISH.Adjusted"
"2020-07-01",34.59,35.380001,34.380001,34.630001,3498300,34.630001
"2020-07-02",35.349998,35.439999,32.900002,33.060001,3195400,33.060001
"2020-07-06",33.68,34.200001,32.98,33.5,2350300,33.5
"2020-07-07",33.5,33.5,32.599998,32.68,2052700,32.68
"2020-07-08",32.650002,32.93,31.48,31.969999,3273000,31.969999
"2020-07-09",32.09,32.150002,30.42,30.83,2640500,30.83
"2020-07-10",30.67,31.91,30.67,31.870001,1622200,31.870001
"2020-07-13",32.240002,32.43,31.299999,32.049999,2577100,32.049999
"2020-07-14",31.709999,32.830002,31.42,32.490002,3395800,32.490002
"2020-07-15",32.93,33.950001,32.59,33.779999,3100000,33.779999
"2020-07-16",33.360001,33.779999,32.93,33.23,1556100,33.23
"2020-07-17",32.900002,33.299999,32.529999,32.740002,2338200,32.740002
"2020-07-20",32.48,32.810001,32.220001,32.5,1666900,32.5
"2020-07-21",32.82,34.040001,32.759998,33.549999,1954200,33.549999
"2020-07-22",33.5,33.82,32.990002,33.549999,2303100,33.549999
"2020-07-23",33.68,34.07,33.02,33.400002,2808600,33.400002
"2020-07-24",33.34,33.610001,33.099998,33.360001,1203200,33.360001
"2020-07-27",33.630001,33.950001,32.630001,33.380001,1416500,33.380001
"2020-07-28",33.060001,33.630001,32.919998,33.130001,1301800,33.130001
"2020-07-29",33.23,33.619999,32.869999,33.419998,2090100,33.419998
"2020-07-30",32.799999,33.400002,32.560001,32.84,1468900,32.84
"2020-07-31",33.32,33.34,31.67,32.110001,4136300,32.110001
"2020-08-03",32.310001,34.080002,32.060001,33.959999,3645000,33.959999
"2020-08-04",33.759998,34.169998,33.349998,33.740002,1828800,33.740002
"2020-08-05",34.009998,34.299999,33.48,34.07,3400700,34.07
"2020-08-06",34.040001,34.689999,33.860001,34.299999,2969500,34.299999
"2020-08-07",35,37,33.580002,34.169998,7181000,34.169998
"2020-08-10",34.09,35.470001,34.09,35.369999,4878600,35.369999
"2020-08-11",35.779999,36.369999,35.07,35.23,4688100,35.23
"2020-08-12",35.560001,35.990002,34.400002,34.43,2598100,34.43
"2020-08-13",34.540001,35.169998,34.23,35.080002,2831700,35.080002
"2020-08-14",35.02,35.099998,34.360001,34.669998,1663600,34.669998
"2020-08-17",34.77,35.040001,33.900002,35,2180100,35
"2020-08-18",35.02,35.16,34.290001,34.360001,1511200,34.360001
"2020-08-19",34.169998,34.48,33.959999,34.049999,1416800,34.049999
"2020-08-20",33.950001,34.259998,33.279999,33.889999,2975600,33.889999
"2020-08-21",33.700001,33.82,33.240002,33.529999,3229200,33.529999
"2020-08-24",33.740002,34.580002,33.459999,34.580002,3011600,34.580002
"2020-08-25",34.810001,35.09,33.799999,34.200001,1292900,34.200001
"2020-08-26",34.029999,34.720001,33.860001,34.560001,1780700,34.560001
"2020-08-27",34.610001,35.040001,34.490002,34.709999,1599500,34.709999
"2020-08-28",34.790001,34.889999,34.419998,34.82,1327700,34.82
"2020-08-31",36.220001,36.939999,35.48,35.52,4242600,35.52
"2020-09-01",35.09,35.299999,34.049999,34.57,2401200,34.57
"2020-09-02",34.759998,35.700001,34.48,35.5,3058400,35.5
"2020-09-03",35.669998,36.150002,33.700001,34.040001,2078100,34.040001
"2020-09-04",34.32,34.560001,32.91,33.779999,1836300,33.779999
"2020-09-08",33.389999,33.529999,32.610001,33.029999,3635700,33.029999
"2020-09-09",33.330002,33.639999,33.009998,33.169998,1533200,33.169998
"2020-09-10",33.34,33.59,32.049999,32.09,2644500,32.09
"2020-09-11",32.189999,32.34,31.709999,32.099998,1678100,32.099998
"2020-09-14",32.27,33.049999,32.139999,32.66,1707100,32.66
"2020-09-15",32.66,33.209999,32.240002,32.740002,1452200,32.740002
"2020-09-16",33.009998,33.810001,32.869999,33.240002,1984000,33.240002
