"","DIS.Open","DIS.High","DIS.Low","DIS.Close","DIS.Volume","DIS.Adjusted"
"2020-07-01",112.82,115.599998,112.290001,113.010002,11930900,113.010002
"2020-07-02",115,115.099998,112,112.18,10312000,112.18
"2020-07-06",113.830002,114.529999,112.900002,114.43,11933400,114.43
"2020-07-07",113.629997,115.080002,112.610001,113.629997,10836500,113.629997
"2020-07-08",113.480003,117.129997,112.809998,116.660004,13629500,116.660004
"2020-07-09",116.510002,117.849998,115.379997,116.809998,13582900,116.809998
"2020-07-10",116.830002,119.440002,116.209999,119.339996,14207900,119.339996
"2020-07-13",119.940002,120.129997,115.889999,116.220001,15620200,116.220001
"2020-07-14",115.230003,119.080002,114.540001,118.660004,12425100,118.660004
"2020-07-15",121.629997,122.089996,119.699997,120.900002,15314200,120.900002
"2020-07-16",117.720001,119.989998,117.599998,119.43,10210100,119.43
"2020-07-17",118.900002,119.559998,117.059998,118.650002,9843500,118.650002
"2020-07-20",118.050003,118.489998,116.82,117.790001,8947900,117.790001
"2020-07-21",118.050003,120.389999,117.660004,118.620003,8946300,118.620003
"2020-07-22",118.190002,119.300003,117.93,119.029999,7063300,119.029999
"2020-07-23",118.860001,119.349998,117.010002,118.120003,7255800,118.120003
"2020-07-24",115.699997,118.209999,115.529999,117.610001,8233300,117.610001
"2020-07-27",117.199997,117.419998,115.68,116.309998,9413000,116.309998
"2020-07-28",115.459999,116.839996,114.68,116.18,6821100,116.18
"2020-07-29",116.220001,116.709999,115.110001,115.610001,9496500,115.610001
"2020-07-30",114.910004,116.290001,113.370003,115.660004,9713500,115.660004
"2020-07-31",115.220001,117.050003,114.120003,116.940002,9601000,116.940002
"2020-08-03",116.169998,117.120003,115.349998,116.349998,10229200,116.349998
"2020-08-04",115.959999,118.349998,115.760002,117.290001,17293900,117.290001
"2020-08-05",123.370003,130.309998,123.279999,127.610001,53000200,127.610001
"2020-08-06",126.959999,131.630005,125.610001,130.820007,27238000,130.820007
"2020-08-07",130.220001,131.940002,128.660004,129.929993,16088600,129.929993
"2020-08-10",129.75,131.320007,128.490005,128.789993,8529200,128.789993
"2020-08-11",130.529999,132.759995,130,130.490005,13885700,130.490005
"2020-08-12",130.669998,133,130.490005,131.789993,12204200,131.789993
"2020-08-13",130.639999,132.350006,130.449997,130.960007,6468600,130.960007
"2020-08-14",130.009995,131.080002,129.740005,130.529999,6507600,130.529999
"2020-08-17",130.100006,130.139999,128.539993,129.369995,7492200,129.369995
"2020-08-18",129.440002,129.589996,128.360001,128.919998,6714600,128.919998
"2020-08-19",129.25,130.220001,127.43,127.769997,7624200,127.769997
"2020-08-20",126.800003,128.449997,126.529999,128.119995,4918100,128.119995
"2020-08-21",127.720001,128.309998,127.230003,127.440002,6064700,127.440002
"2020-08-24",128.149994,130.880005,127.93,130.690002,7613600,130.690002
"2020-08-25",130.830002,131.089996,129.309998,129.789993,5494400,129.789993
