"","DLR.Open","DLR.High","DLR.Low","DLR.Close","DLR.Volume","DLR.Adjusted"
"2020-07-01",142.770004,148.699997,142.350006,147.389999,1180400,138.092102
"2020-07-02",149.300003,149.800003,147.770004,148.589996,1296800,139.2164
"2020-07-06",150,150.490005,147.220001,147.809998,1299900,138.485626
"2020-07-07",146.490005,148.429993,146.009995,147.490005,1280400,138.185806
"2020-07-08",148.429993,149.589996,145.639999,147.110001,1133500,137.829788
"2020-07-09",146.869995,147.990005,144.910004,147.029999,946100,137.754822
"2020-07-10",147.029999,148.570007,146.889999,147.389999,1727700,138.092102
"2020-07-13",147.850006,147.929993,142.050003,142.690002,1485200,133.688614
"2020-07-14",142.990005,147.289993,142.990005,146.779999,1059300,137.520599
"2020-07-15",148.770004,149.009995,142.979996,144.169998,1788800,135.075241
"2020-07-16",144.429993,145.139999,140.289993,140.460007,1535700,131.599304
"2020-07-17",141.100006,144.949997,139.940002,143.75,1112200,134.681732
"2020-07-20",143.789993,145.979996,143.25,144.240005,1041400,135.140823
"2020-07-21",146.179993,146.429993,142.380005,143.300003,1152100,134.260147
"2020-07-22",142.820007,145.149994,142.589996,144.869995,1077400,135.731094
"2020-07-23",145.360001,146.960007,144.360001,145.789993,1192900,136.593048
"2020-07-24",145.600006,147.240005,145.130005,146.990005,1104500,137.717377
"2020-07-27",146.429993,151.119995,145.440002,151.009995,1577900,141.483749
"2020-07-28",151.179993,154.419998,150.809998,153.970001,1711900,144.25705
"2020-07-29",154,157.369995,154,157.199997,1531800,147.283264
"2020-07-30",156.419998,159.419998,156.119995,158.729996,1956700,148.716751
"2020-07-31",162.130005,165.490005,158.649994,160.539993,4292100,150.412567
"2020-08-03",159.850006,161.570007,159.550003,160.660004,1513300,150.524994
"2020-08-04",159.529999,161.490005,159.020004,161.100006,1674600,150.937256
"2020-08-05",161.429993,161.5,158.710007,159.610001,966700,149.541245
"2020-08-06",158.899994,160,156.839996,157,867700,147.095886
"2020-08-07",156.550003,159.050003,156.220001,158.610001,971700,148.604309
"2020-08-10",158.589996,159.110001,155.570007,158.240005,1520400,148.25766
"2020-08-11",158.539993,158.539993,151.449997,151.630005,1422000,142.064651
"2020-08-12",151.919998,154.869995,151.5,154.440002,953000,144.697372
"2020-08-13",154.089996,155.089996,152.039993,152.139999,968800,142.54248
"2020-08-14",152.369995,155.139999,152.270004,153.320007,1294900,143.648041
