"","DRE.Open","DRE.High","DRE.Low","DRE.Close","DRE.Volume","DRE.Adjusted"
"2020-07-01",35.52,36.299999,35.240002,36.119999,2539100,34.545887
"2020-07-02",36.709999,36.709999,36.040001,36.259998,1435200,34.679779
"2020-07-06",37.049999,37.130001,36.240002,36.34,2645400,34.756294
"2020-07-07",35.810001,36.23,35.599998,35.66,1380900,34.105927
"2020-07-08",35.66,35.73,35.259998,35.490002,2002000,33.94334
"2020-07-09",35.43,35.970001,35.040001,35.900002,2107200,34.335472
"2020-07-10",35.77,36.130001,35.470001,35.790001,2084200,34.230263
"2020-07-13",35.959999,36.110001,35.029999,35.310001,1663600,33.771187
"2020-07-14",35.169998,35.720001,35.099998,35.5,1671500,33.952904
"2020-07-15",36.029999,36.130001,35.470001,35.82,2034200,34.258957
"2020-07-16",35.619999,36,35.419998,35.509998,1700000,33.962467
"2020-07-17",35.73,36.32,35.560001,36.080002,2914600,34.507629
"2020-07-20",35.98,36.029999,35.529999,35.790001,2126200,34.230263
"2020-07-21",36.119999,36.700001,35.990002,36.389999,2436200,34.804119
"2020-07-22",36.25,37.259998,36.119999,37.189999,2215300,35.569252
"2020-07-23",37.07,37.650002,37.040001,37.27,2553100,35.64576
"2020-07-24",37.279999,37.52,37.169998,37.259998,2122000,35.636204
"2020-07-27",37.200001,37.810001,37.119999,37.720001,2359200,36.076153
"2020-07-28",37.619999,38.669998,37.5,38.43,2033300,36.755219
"2020-07-29",38.669998,40.32,38.669998,40.200001,2561900,38.448074
"2020-07-30",39.759998,40.84,39.720001,39.970001,2744400,38.2281
"2020-07-31",39.91,40.200001,39.27,40.189999,2155100,38.438515
"2020-08-03",39.700001,39.82,39.209999,39.669998,1804800,37.941177
"2020-08-04",39.48,40.029999,39.299999,39.900002,1849600,38.161152
"2020-08-05",40.130001,40.360001,39.41,39.77,1579400,38.036819
"2020-08-06",39.619999,39.919998,39.450001,39.630001,1155700,37.90292
"2020-08-07",39.490002,39.860001,39.48,39.75,1412600,38.017685
"2020-08-10",39.84,39.990002,39.580002,39.630001,1679800,37.90292
"2020-08-11",40.009998,40.009998,38.669998,38.810001,1624500,37.118649
"2020-08-12",39.200001,39.73,38.91,39.59,1112200,37.864662
"2020-08-13",39.259998,39.59,38.75,38.779999,1332900,37.311428
"2020-08-14",38.790001,38.790001,37.77,37.889999,2756500,36.455135
"2020-08-17",37.869999,38.759998,37.68,38.709999,1479400,37.244087
"2020-08-18",38.66,38.77,38.330002,38.470001,1064800,37.013172
"2020-08-19",38.540001,38.669998,37.779999,37.889999,2004900,36.455135
"2020-08-20",37.82,38.43,37.779999,38.099998,1270200,36.657188
"2020-08-21",38.290001,38.34,37.689999,38.16,1191400,36.714916
"2020-08-24",38.16,38.330002,37.580002,38.32,1414500,36.868858
"2020-08-25",38.400002,38.57,38.029999,38.540001,1601300,37.080521
"2020-08-26",38.48,38.919998,38.220001,38.66,1990500,37.195984
"2020-08-27",38.810001,39.110001,38.599998,38.939999,1500300,37.465374
"2020-08-28",38.830002,38.950001,38.220001,38.68,1567500,37.215221
"2020-08-31",38.540001,38.630001,38.310001,38.549999,1674000,37.090141
"2020-09-01",38.330002,38.709999,38.049999,38.560001,1277900,37.09977
"2020-09-02",38.580002,39.32,38.360001,39.290001,1693700,37.802124
"2020-09-03",39.470001,39.52,38.389999,38.790001,1785400,37.321056
"2020-09-04",38.810001,39.029999,37.34,38.169998,1427200,36.724529
"2020-09-08",37.75,37.779999,37.23,37.650002,2043000,36.224224
"2020-09-09",37.91,38.77,37.84,37.919998,1699200,36.483997
"2020-09-10",37.869999,38,37.470001,37.5,1885200,36.079906
"2020-09-11",37.59,37.759998,36.799999,37.150002,1562500,35.743164
"2020-09-14",37.439999,38.07,37.34,37.900002,2518900,36.46476
"2020-09-15",37.98,38.27,37.759998,37.82,2581400,36.387787
"2020-09-16",38.060001,38.439999,37.830002,37.98,2003800,36.541733
"2020-09-17",37.68,37.82,36.799999,37.040001,1908900,35.637325
"2020-09-18",36.91,37.290001,36.290001,36.540001,3910100,35.156265
"2020-09-21",36.09,36.41,35.650002,35.830002,2165500,34.473148
"2020-09-22",35.860001,36.959999,35.860001,36.650002,1951800,35.262096
"2020-09-23",36.59,36.849998,35.860001,35.900002,1722800,34.540501
"2020-09-24",35.91,36.68,35.610001,35.66,1851700,34.309582
"2020-09-25",35.540001,36.25,35.369999,36.23,1484200,34.858006
"2020-09-28",36.709999,37.02,36.470001,36.93,1224100,35.53149
"2020-09-29",36.669998,37.07,36.48,36.959999,1705500,35.560356
"2020-09-30",37.209999,37.48,36.52,36.900002,2143600,35.502628
"2020-10-01",37.049999,37.509998,36.599998,37.490002,2141400,36.070286
"2020-10-02",37.09,38.57,36.91,38.439999,2390700,36.984306
