"","DUK.Open","DUK.High","DUK.Low","DUK.Close","DUK.Volume","DUK.Adjusted"
"2020-07-01",79.970001,82.379997,79.760002,81.93,2835800,75.683708
"2020-07-02",82.639999,82.919998,81.440002,81.839996,2819700,75.600578
"2020-07-06",80.5,81.860001,79.120003,79.809998,5997800,73.725334
"2020-07-07",79.199997,81.18,79.150002,80.82,4129600,74.658333
"2020-07-08",80.860001,81.949997,80.330002,81.440002,3434200,75.231071
"2020-07-09",81.330002,81.330002,79.110001,79.739998,3457400,73.660683
"2020-07-10",79.790001,81.580002,79.760002,81.32,2545700,75.120224
"2020-07-13",81.150002,81.970001,80.959999,81.419998,2205100,75.212593
"2020-07-14",81.419998,82.470001,81.389999,81.690002,4218200,75.462013
"2020-07-15",82.480003,82.639999,80.32,80.43,4501700,74.29808
"2020-07-16",80.699997,81.339996,80.43,81.07,2874300,74.889267
"2020-07-17",81.690002,82.629997,81.459999,82.400002,4603000,76.117874
"2020-07-20",82.050003,82.230003,80.949997,81.099998,3271400,74.916985
"2020-07-21",81.5,82.790001,81.099998,82.330002,3892800,76.053223
"2020-07-22",82,84.510002,81.519997,84.150002,3763300,77.734459
"2020-07-23",84.059998,84.389999,83.480003,83.989998,2373100,77.586655
"2020-07-24",84.349998,84.900002,82.620003,82.790001,2953100,76.478142
"2020-07-27",82.5,82.639999,81.089996,81.290001,4198700,75.092506
"2020-07-28",81.25,84.980003,81.209999,84.599998,4851400,78.150154
"2020-07-29",84.529999,85.050003,83.839996,84.970001,2501600,78.491951
"2020-07-30",84.309998,84.580002,83.489998,84.57,2828600,78.122429
"2020-07-31",84.050003,84.809998,83.599998,84.739998,3292100,78.279472
"2020-08-03",84.669998,84.75,83.110001,83.809998,2552200,77.42038
"2020-08-04",83.5,84.970001,83.339996,84.690002,3234500,78.233292
"2020-08-05",84.720001,84.860001,83.279999,83.510002,2861400,77.14325
"2020-08-06",83.269997,84.389999,82.669998,84.209999,3036300,77.789879
"2020-08-07",83.790001,86.690002,83.68,86.610001,4289500,80.006912
"2020-08-10",87.190002,87.209999,84.529999,84.760002,4323300,78.297958
"2020-08-11",84.989998,85.089996,83.470001,83.669998,4546200,77.291046
"2020-08-12",84.019997,84.779999,83.830002,84.32,3397100,77.891495
"2020-08-13",83.029999,83.230003,82,82.739998,3219200,77.316811
"2020-08-14",82.660004,82.900002,81.93,82.150002,2016100,76.765488
"2020-08-17",82.290001,83.110001,81.660004,82.599998,3849500,77.185974
"2020-08-18",82.57,82.769997,81.5,81.660004,2606900,76.307602
"2020-08-19",81.879997,82.190002,81.459999,81.660004,2623100,76.307602
"2020-08-20",81.260002,81.610001,80.559998,81.040001,2715200,75.728226
"2020-08-21",81.199997,81.330002,80.279999,81,3911100,75.690865
"2020-08-24",81.379997,81.660004,80.5,81.470001,2679100,76.130058
"2020-08-25",81.5,81.5,80.43,80.849998,2769200,75.55069
"2020-08-26",80.419998,80.620003,79.309998,79.550003,3367900,74.335907
"2020-08-27",79.68,80.370003,79.220001,79.550003,2932800,74.335907
"2020-08-28",79.919998,79.989998,78.949997,79.709999,3190500,74.485405
"2020-08-31",79.699997,81.529999,79.610001,80.339996,3569300,75.07412
"2020-09-01",79.839996,80.18,78.970001,79.209999,3194100,74.018188
"2020-09-02",79.239998,81.900002,78.980003,81.470001,3626200,76.130058
"2020-09-03",81.82,82.699997,80.339996,81.139999,3134800,75.821678
"2020-09-04",81.220001,81.82,79.93,80.970001,2820200,75.662827
"2020-09-08",81.059998,81.239998,79.379997,80.730003,3252000,75.43856
"2020-09-09",82.419998,83.889999,81.849998,82.589996,4411100,77.176636
"2020-09-10",82.220001,82.730003,81.410004,82,3591200,76.625313
"2020-09-11",82.07,83.410004,81.75,83.029999,3196800,77.587807
"2020-09-14",83.580002,84.940002,83.580002,84.379997,3438100,78.849312
"2020-09-15",84.940002,85.870003,83.93,84.449997,2582500,78.914734
"2020-09-16",85,85.480003,84.57,84.839996,2904600,79.27916
"2020-09-17",84.25,84.779999,83.639999,84.599998,3355800,79.054893
"2020-09-18",84.199997,84.739998,82.900002,82.949997,5035900,77.513039
"2020-09-21",82.050003,82.57,81.169998,82.57,3001600,77.157951
"2020-09-22",82.410004,84.010002,82.260002,82.690002,2703700,77.270096
"2020-09-23",82.900002,83.129997,81.230003,81.279999,2322700,75.952499
"2020-09-24",81.230003,82.410004,80.410004,81.669998,2582300,76.316948
"2020-09-25",81.279999,82.589996,80.949997,82.470001,3854600,77.064514
"2020-09-28",82.970001,84.080002,82.660004,82.870003,2424600,77.438301
"2020-09-29",83.07,83.400002,82.040001,82.410004,2126100,77.008438
"2020-09-30",88,89.489998,86.43,88.559998,18804900,82.755341
"2020-10-01",88.029999,90.360001,87.599998,90.050003,6249600,84.147675
"2020-10-02",89.220001,92.150002,88.690002,91.580002,5925200,85.577393
"2020-10-05",90.980003,92.150002,89.900002,91.739998,3038400,85.726898
"2020-10-06",91.720001,92.07,90.459999,90.769997,2993500,84.820473
"2020-10-07",91.610001,92.129997,90.699997,91.300003,2480000,85.31575
"2020-10-08",91.489998,93.43,90.900002,93.150002,3253300,87.044479
"2020-10-09",93.139999,93.919998,92.040001,93.300003,3686800,87.184647
"2020-10-12",93.190002,93.849998,92.589996,93.110001,3131600,87.007103
"2020-10-13",92.639999,93.260002,91.300003,92.919998,2544400,86.829559
