"","DVA.Open","DVA.High","DVA.Low","DVA.Close","DVA.Volume","DVA.Adjusted"
"2020-07-01",79.300003,81.010002,79.300003,80.639999,885900,80.639999
"2020-07-02",81.5,82.68,80.790001,81.050003,880500,81.050003
"2020-07-06",81.870003,82.650002,80.550003,81.220001,1145100,81.220001
"2020-07-07",80.610001,82.959999,80.510002,81.989998,1053000,81.989998
"2020-07-08",82.099998,82.25,80.059998,81.910004,886300,81.910004
"2020-07-09",82.040001,82.43,78.650002,79.739998,983100,79.739998
"2020-07-10",80.339996,81.300003,79.199997,81.190002,580700,81.190002
"2020-07-13",81.449997,82.169998,79.459999,79.57,1129300,79.57
"2020-07-14",79.559998,82.110001,79.220001,81.949997,801200,81.949997
"2020-07-15",82.970001,84.720001,82.480003,84.540001,863400,84.540001
"2020-07-16",84.599998,85.459999,84.040001,84.809998,576900,84.809998
"2020-07-17",85.379997,86.360001,85.019997,85.110001,736100,85.110001
"2020-07-20",84.760002,85.75,84.440002,85.510002,696200,85.510002
"2020-07-21",85.160004,86.510002,85.160004,86,647000,86
"2020-07-22",85.889999,87.160004,85.43,87.120003,577600,87.120003
"2020-07-23",87.230003,87.910004,86.809998,87.68,513500,87.68
"2020-07-24",87.779999,88.230003,86.669998,87.330002,446200,87.330002
"2020-07-27",86.889999,88.720001,86.300003,88.489998,354600,88.489998
"2020-07-28",87.790001,88.760002,87.690002,87.989998,475000,87.989998
"2020-07-29",88.050003,91.690002,87.910004,91.300003,896700,91.300003
"2020-07-30",90.129997,91.610001,88.269997,91.120003,1369300,91.120003
"2020-07-31",91.599998,92.160004,85.709999,87.389999,1830900,87.389999
"2020-08-03",87.629997,88.75,86.449997,87.209999,909500,87.209999
"2020-08-04",86.629997,86.860001,83.510002,83.57,1212100,83.57
"2020-08-05",83.519997,84.370003,82.32,82.919998,1135800,82.919998
"2020-08-06",82.559998,83.650002,81.540001,82.290001,904000,82.290001
"2020-08-07",82.379997,83.709999,81.480003,82.370003,773400,82.370003
"2020-08-10",82.160004,83.32,81.970001,82.599998,765100,82.599998
"2020-08-11",83.370003,83.980003,81.389999,81.730003,1318000,81.730003
"2020-08-12",82.349998,82.830002,81.809998,82.459999,781700,82.459999
"2020-08-13",82.010002,82.410004,81.25,81.669998,501200,81.669998
"2020-08-14",81.410004,82.779999,81.209999,82.169998,399300,82.169998
"2020-08-17",85.919998,87.169998,85.480003,86.260002,1270200,86.260002
