"","DVN.Open","DVN.High","DVN.Low","DVN.Close","DVN.Volume","DVN.Adjusted"
"2020-07-01",11.36,11.8,10.98,11.1,9292600,9.710437
"2020-07-02",11.47,11.66,11.14,11.24,8120800,9.83291
"2020-07-06",11.5,11.73,10.98,11.16,8733500,9.762925
"2020-07-07",10.97,11,10.33,10.35,10357100,9.054326
"2020-07-08",10.31,10.5,10.09,10.36,9995400,9.063074
"2020-07-09",10.32,10.43,9.78,9.8,8992400,8.573178
"2020-07-10",9.69,10.24,9.61,10.19,8822300,8.914355
"2020-07-13",10.2,10.46,9.83,9.96,8218600,8.713148
"2020-07-14",9.91,10.43,9.74,10.43,8370700,9.124311
"2020-07-15",10.73,10.83,10.47,10.74,7685500,9.395502
"2020-07-16",10.61,10.97,10.33,10.67,6045600,9.334266
"2020-07-17",10.72,10.93,10.2,10.29,6260700,9.001837
"2020-07-20",10.26,10.58,10.18,10.27,7694900,8.984343
"2020-07-21",10.69,11.63,10.69,11.35,14804500,9.929142
"2020-07-22",11.14,11.25,10.88,11.07,9684400,9.684191
"2020-07-23",10.87,11.22,10.76,10.88,9173000,9.517977
"2020-07-24",10.85,11.09,10.67,10.7,5428000,9.360512
"2020-07-27",10.67,10.7,10.26,10.43,7119200,9.124311
"2020-07-28",10.36,10.68,10.31,10.34,5853400,9.045576
"2020-07-29",10.41,10.85,10.27,10.84,7501100,9.482985
"2020-07-30",10.52,10.59,10.16,10.34,7693300,9.045576
"2020-07-31",10.23,10.52,10.13,10.49,7538200,9.1768
"2020-08-03",10.51,10.77,10.28,10.6,6596700,9.273031
"2020-08-04",10.57,11.32,10.55,11.09,11389200,9.70169
"2020-08-05",11.86,12.14,11.55,12.04,14166700,10.532762
"2020-08-06",11.9,12.05,11.64,11.77,9407300,10.296561
"2020-08-07",11.57,12.17,11.43,12.11,9433600,10.593998
"2020-08-10",12.25,12.7,12.12,12.64,10311300,11.057651
"2020-08-11",13.04,13.25,12.3,12.36,8952600,10.812702
"2020-08-12",12.67,12.75,12.31,12.51,6983400,10.943926
"2020-08-13",12.21,12.36,11.83,11.84,7692500,10.57764
"2020-08-14",11.77,12.12,11.58,12.12,4218100,10.827785
"2020-08-17",12.01,12.04,11.54,11.74,6813200,10.488298
"2020-08-18",11.64,11.72,11.29,11.34,6895200,10.130947
"2020-08-19",11.34,11.4,11.06,11.09,6724900,9.907602
"2020-08-20",10.86,11.02,10.68,10.69,5064600,9.550249
"2020-08-21",10.67,10.71,10.38,10.44,4932300,9.326903
"2020-08-24",10.54,10.92,10.47,10.78,5946900,9.630654
"2020-08-25",10.9,11.07,10.71,10.98,5796300,9.809329
"2020-08-26",11,11.1,10.68,10.7,5244400,9.559183
"2020-08-27",10.76,10.87,10.52,10.76,5458400,9.612785
"2020-08-28",10.84,11.23,10.79,11.1,5612100,9.916537
"2020-08-31",11.1,11.14,10.75,10.87,5002400,9.711059
"2020-09-01",10.76,11.07,10.62,10.91,5747800,9.746795
"2020-09-02",10.91,10.94,10.59,10.66,8443800,9.523446
"2020-09-03",10.48,10.77,10.39,10.47,8122500,9.353703
"2020-09-04",10.61,10.77,10.35,10.55,5498300,9.425176
"2020-09-08",10.21,10.25,9.49,9.62,11081000,8.59433
"2020-09-09",9.77,9.79,9.37,9.58,7062100,8.558596
