"","D.Open","D.High","D.Low","D.Close","D.Volume","D.Adjusted"
"2020-07-01",81.139999,82.82,81.050003,82.349998,2989200,76.747673
"2020-07-02",82.849998,83.5,82.510002,82.690002,1552500,77.064545
"2020-07-06",79.389999,80.879997,73.309998,73.589996,26851600,68.583618
"2020-07-07",71.760002,74.650002,71.5,74.220001,12917200,69.170761
"2020-07-08",74.019997,75.709999,73.809998,75.220001,6569000,70.102737
"2020-07-09",74.620003,74.669998,73.059998,73.769997,6023500,68.751381
"2020-07-10",73.360001,74.389999,72.989998,73.580002,4969200,68.574303
"2020-07-13",73.620003,74.339996,73.239998,73.68,5048300,68.667503
"2020-07-14",74,74.480003,73.339996,73.919998,4871600,68.891174
"2020-07-15",74.650002,75.830002,73.910004,75.449997,5791900,70.317093
"2020-07-16",75.489998,77.169998,75.389999,76.949997,4807300,71.715042
"2020-07-17",77.120003,79.099998,77.040001,78.580002,4768700,73.234161
"2020-07-20",78.190002,78.5,77.169998,77.550003,3298600,72.274239
"2020-07-21",77.699997,78.889999,77.440002,78.209999,3239700,72.88932
"2020-07-22",77.940002,79.93,77.300003,79.550003,4793700,74.138161
"2020-07-23",79.650002,81.230003,79.470001,80.589996,4838400,75.107407
"2020-07-24",80.760002,81.93,80.099998,80.410004,4312000,74.939659
"2020-07-27",80.550003,81.209999,79.589996,80.220001,2603800,74.762581
"2020-07-28",80.199997,82.519997,80,82.059998,4532000,76.477409
"2020-07-29",82.110001,82.68,81.610001,82.260002,2950000,76.663803
"2020-07-30",81.93,82.07,80.919998,81.519997,3604700,75.974144
"2020-07-31",81.599998,82.190002,79.889999,81.029999,4843100,75.517479
"2020-08-03",80.779999,80.980003,79.459999,80.330002,2355500,74.865105
"2020-08-04",80.110001,81.239998,80.050003,80.879997,3081600,75.377678
"2020-08-05",81,81,78.959999,79.709999,2905200,74.287285
"2020-08-06",79.360001,79.879997,78.949997,79.629997,2720300,74.212708
"2020-08-07",79.209999,81.099998,79.18,80.620003,3476800,75.135368
"2020-08-10",80.730003,80.919998,79.889999,80.120003,3188900,74.669388
"2020-08-11",80.330002,80.519997,78.419998,78.559998,3951800,73.2155
"2020-08-12",78.800003,80.510002,78.660004,79.580002,3920300,74.166115
"2020-08-13",79.050003,79.580002,78.790001,79.309998,2657600,73.914482
"2020-08-14",79.290001,79.470001,78.620003,78.849998,2067200,73.485794
"2020-08-17",78.440002,79.300003,78.099998,78.68,2749000,73.327347
"2020-08-18",78.68,79.010002,77.779999,78.18,3421000,72.861366
"2020-08-19",78.349998,78.480003,77.779999,77.940002,2561300,72.637688
"2020-08-20",77.610001,78.290001,77.510002,77.699997,2433500,72.414009
"2020-08-21",77.790001,78.82,77.370003,78.639999,3813700,73.290077
"2020-08-24",78.699997,79.150002,78.099998,79.099998,2074000,73.718781
"2020-08-25",79.25,79.25,78.169998,78.5,2535200,73.159584
"2020-08-26",78.089996,78.510002,77.589996,78.080002,2708500,72.768166
"2020-08-27",78.480003,78.910004,77.860001,78,3339500,72.693611
"2020-08-28",78,78.169998,77.360001,78.019997,2992400,72.712242
"2020-08-31",78,79,77.849998,78.440002,4476800,73.103676
"2020-09-01",77.669998,78.339996,77.470001,77.82,3360600,72.525848
"2020-09-02",78.029999,80.199997,77.989998,79.599998,3845800,74.184761
"2020-09-03",78.839996,79.75,78.360001,78.989998,4559300,74.495987
"2020-09-04",79.160004,79.389999,77.669998,78.440002,3311900,73.977287
"2020-09-08",78.230003,78.720001,77.290001,78.199997,3142700,73.750931
"2020-09-09",78.809998,80.629997,78.699997,79.639999,5016400,75.109001
"2020-09-10",79.25,79.699997,78.239998,78.730003,3734500,74.250786
"2020-09-11",78.900002,79.989998,78.639999,79.639999,3816200,75.109001
"2020-09-14",80.029999,81.139999,79.849998,80.730003,3437400,76.136993
"2020-09-15",80.93,82.410004,80.510002,80.900002,3948000,76.297325
"2020-09-16",81.050003,82.150002,80.800003,81.599998,3805300,76.957497
"2020-09-17",81.290001,82.019997,79.449997,79.82,5056400,75.278755
"2020-09-18",79.18,80.150002,77.690002,77.959999,6489000,73.524574
"2020-09-21",77.720001,78.290001,76.870003,77.970001,6087500,73.534019
"2020-09-22",78.019997,79.150002,77.309998,77.5,4742500,73.090759
"2020-09-23",77.459999,77.669998,76.169998,76.269997,5437400,71.930733
"2020-09-24",76.169998,77.040001,75.300003,76.309998,3249600,71.968452
"2020-09-25",75.809998,77.110001,75.790001,77.050003,2749200,72.666367
"2020-09-28",77.120003,78.419998,77.059998,77.230003,3076800,72.836128
"2020-09-29",78.360001,78.900002,77.489998,77.879997,3523900,73.449127
"2020-09-30",78.400002,79.230003,78.129997,78.93,3685200,74.439407
"2020-10-01",79.010002,79.379997,77.970001,78.589996,4894700,74.118744
"2020-10-02",78.370003,80.550003,77.870003,79.800003,3511800,75.259911
"2020-10-05",79.599998,80.690002,79.209999,80.089996,2924500,75.533401
"2020-10-06",80.360001,81.760002,79.879997,81.110001,3623800,76.495369
"2020-10-07",81.220001,81.5,80.43,81.019997,2147000,76.410492
"2020-10-08",81.18,82.970001,80.839996,82.059998,3108300,77.391319
"2020-10-09",82.309998,82.629997,81.389999,81.779999,2687500,77.127258
"2020-10-12",81.779999,82.989998,81.699997,82.419998,2305400,77.730843
"2020-10-13",81.809998,82.050003,80.57,81.57,3972800,76.929207
"2020-10-14",81.879997,82,80.830002,81.050003,1975500,76.438797
"2020-10-15",80.07,81.279999,79.849998,80.809998,2988900,76.212433
"2020-10-16",81,82.230003,81,81.410004,3290700,76.778305
"2020-10-19",81.639999,81.989998,80.650002,80.900002,2594000,76.297325
"2020-10-20",81.470001,81.849998,80.720001,81.080002,3200900,76.467072
"2020-10-21",81.199997,81.300003,80.139999,80.230003,3423900,75.665443
"2020-10-22",80.199997,81.309998,80.089996,81.18,2142300,76.561378
"2020-10-23",81.690002,81.889999,80.519997,81.139999,2386500,76.523666
"2020-10-26",80.440002,82.120003,80.440002,81.720001,4064300,77.070663
"2020-10-27",81.540001,83.300003,81.400002,82.470001,4153500,77.777992
"2020-10-28",81.209999,82,79.690002,79.800003,3385700,75.259911
"2020-10-29",79.800003,82.440002,79.18,80.949997,5310300,76.344467
"2020-10-30",80.440002,81.360001,79.529999,80.339996,3503500,75.769173
"2020-11-02",80.940002,82.139999,79.919998,81.660004,3372700,77.014084
"2020-11-03",82.779999,84.25,82.199997,82.910004,4551300,78.192963
"2020-11-04",82.900002,85.089996,82.599998,82.699997,3768300,77.994911
"2020-11-05",82.25,84.550003,81.919998,83.139999,4214800,78.409882
"2020-11-06",83.360001,84.989998,82.940002,83.699997,4053300,78.938011
"2020-11-09",85.169998,86.949997,83.919998,84.019997,4782800,79.239807
"2020-11-10",84.580002,85.989998,84.150002,85.760002,4427400,80.880806
"2020-11-11",86,86.830002,85.239998,85.68,2602300,80.805374
"2020-11-12",85.269997,85.589996,83.800003,84.580002,3587200,79.767952
"2020-11-13",85.169998,85.709999,84.720001,84.93,2774700,80.098038
"2020-11-16",86,86.230003,85.099998,86.07,3697000,81.173172
"2020-11-17",85.330002,86.139999,84.089996,84.169998,3818100,79.381279
"2020-11-18",84.480003,84.5,81.019997,81.209999,5083700,76.589676
"2020-11-19",80.900002,81,79.470001,79.760002,6147900,75.222176
"2020-11-20",79.690002,80.550003,78.550003,78.650002,4928100,74.175323
"2020-11-23",78.870003,79.57,78.339996,79.050003,5783300,74.552582
"2020-11-24",79.690002,79.980003,79.089996,79.379997,5260000,74.863777
"2020-11-25",79.830002,80.120003,78.349998,79.410004,3886600,74.892097
"2020-11-27",79.419998,79.57,78.379997,79.040001,2053400,74.543137
"2020-11-30",78.879997,79.809998,78.400002,78.489998,8418300,74.024437
"2020-12-01",79.25,81.110001,79.089996,80.160004,6360500,75.599426
"2020-12-02",80.040001,80.660004,79.419998,80.279999,3670000,75.712593
"2020-12-03",79.419998,79.650002,78.239998,78.400002,3452700,74.524391
"2020-12-04",78.449997,78.769997,75.769997,75.879997,6237400,72.128952
"2020-12-07",75.68,76.360001,75.349998,76.139999,6291000,72.376099
"2020-12-08",75.620003,75.800003,74.589996,74.75,8752100,71.05481
"2020-12-09",74.610001,74.839996,73.160004,74.300003,8010900,70.627068
"2020-12-10",75.010002,75.300003,73.959999,74.32,6424300,70.64608
"2020-12-11",73.910004,75.040001,73.910004,74.910004,3893100,71.206909
"2020-12-14",75.379997,75.519997,74.379997,74.470001,4153900,70.788658
"2020-12-15",75.089996,75.690002,74.519997,75.480003,3917300,71.748741
"2020-12-16",76.269997,76.769997,75.150002,75.169998,4752300,71.454048
"2020-12-17",76.139999,76.690002,75.730003,75.93,4450400,72.176491
"2020-12-18",75.629997,76.160004,75.07,75.370003,15175400,71.644173
"2020-12-21",74.57,74.800003,73.82,74.519997,6991200,70.836189
"2020-12-22",74.510002,74.559998,73.389999,73.5,6252500,69.8666
"2020-12-23",74,74.870003,73.870003,74.040001,2757400,70.379921
"2020-12-24",74.040001,74.309998,73.540001,74.230003,1065000,70.560532
"2020-12-28",74.5,74.720001,73.529999,73.699997,3165700,70.056717
"2020-12-29",73.959999,74.459999,73.480003,73.879997,3718700,70.227829
"2020-12-30",73.639999,74.339996,73.510002,74.059998,1929200,70.398933
"2020-12-31",73.989998,75.279999,73.860001,75.199997,2392500,71.482567
"2021-01-04",75.059998,75.059998,73.470001,73.889999,2975500,70.237328
"2021-01-05",74.099998,74.199997,72.660004,73,3466900,69.391327
"2021-01-06",73.529999,75.480003,72.900002,74.559998,4112100,70.874207
"2021-01-07",74.589996,74.800003,72.959999,72.959999,4126600,69.35331
"2021-01-08",73.290001,73.339996,72.639999,73.199997,3476800,69.581444
"2021-01-11",72.989998,73.43,72.029999,72.669998,2949800,69.077644
"2021-01-12",72.900002,73,70.82,71.529999,3801200,67.993996
"2021-01-13",71.75,72.589996,71.269997,72.239998,4364100,68.6689
"2021-01-14",72.290001,72.309998,71,71.019997,3461300,67.509201
"2021-01-15",71,72.279999,70.699997,72.080002,3407400,68.516815
"2021-01-19",72.199997,72.199997,70.940002,70.959999,3670800,67.452171
"2021-01-20",70.699997,71.739998,70.459999,71.580002,3552000,68.041527
"2021-01-21",71.360001,72.019997,70.959999,71.800003,3185400,68.250656
"2021-01-22",71.349998,72.480003,71.209999,72.290001,4152900,68.716431
"2021-01-25",72.059998,73.68,71.93,73.559998,4057600,69.923645
"2021-01-26",73.919998,73.980003,73.040001,73.639999,3393600,69.999695
"2021-01-27",73.25,74.440002,72.779999,73.080002,4657200,69.467377
"2021-01-28",73.139999,74.300003,72.650002,72.669998,3124000,69.077644
"2021-01-29",72.389999,73.580002,71.800003,72.889999,4330700,69.286774
"2021-02-01",73.150002,73.589996,72.449997,72.68,3480100,69.087158
"2021-02-02",72.669998,73.690002,72.129997,72.769997,3922300,69.172699
"2021-02-03",72.5,72.970001,72.339996,72.57,3054700,68.98259
"2021-02-04",72.550003,72.959999,72.129997,72.690002,2171600,69.096649
"2021-02-05",72.940002,74.120003,72.57,73.739998,3011500,70.094749
"2021-02-08",73.639999,73.860001,73.220001,73.830002,3008200,70.180305
"2021-02-09",73.989998,74.160004,73.019997,73.110001,2308100,69.495895
"2021-02-10",73.57,73.620003,72.629997,73.089996,3749200,69.476875
"2021-02-11",73.010002,73.5,72.790001,73.059998,2751100,69.448357
"2021-02-12",72.720001,73.980003,71.620003,71.870003,4866100,68.317192
"2021-02-16",71.790001,71.919998,70.849998,71.129997,4528400,67.613762
"2021-02-17",71.040001,72.449997,70.93,72.389999,3557800,68.811485
"2021-02-18",72.160004,73.459999,72.07,72.709999,3668300,69.115662
"2021-02-19",72.760002,72.779999,71.07,71.150002,3310000,67.632774
"2021-02-22",71.139999,71.370003,70.400002,71.169998,4908100,67.651794
"2021-02-23",71.830002,72.790001,71.32,72.040001,4621200,68.47879
"2021-02-24",71.870003,72.040001,70.93,71.169998,3799800,67.651794
"2021-02-25",71.169998,71.730003,70.550003,70.629997,3678500,67.138481
"2021-02-26",70.690002,71.07,68.190002,68.32,7575800,64.94268
"2021-03-01",69.410004,70.57,69.199997,69.93,3971900,66.473083
"2021-03-02",70,70.260002,69.019997,69.800003,3995100,66.349525
"2021-03-03",69.400002,70.089996,68.779999,69.580002,5016300,66.140396
"2021-03-04",68.949997,69.82,67.849998,68,5721500,65.229103
"2021-03-05",68.550003,70.099998,67.889999,69.860001,8083300,67.013313
"2021-03-08",70,73,69.709999,72,11148200,69.066116
"2021-03-09",72.199997,73.379997,71.910004,72.940002,6027000,69.967812
"2021-03-10",72.949997,73.910004,72.709999,73.209999,4858900,70.226799
"2021-03-11",72.900002,73.589996,72.330002,72.43,3147400,69.478584
"2021-03-12",72.910004,73.879997,72.660004,73.540001,3476900,70.543358
"2021-03-15",73.510002,74.639999,73.510002,74.540001,3213800,71.502609
"2021-03-16",74.080002,74.769997,73.839996,74.290001,4107700,71.262794
"2021-03-17",74.400002,74.400002,73.099998,73.169998,3756200,70.188431
"2021-03-18",73.349998,73.879997,72.779999,73.5,3115900,70.504974
"2021-03-19",73.470001,74.139999,72.760002,73.349998,9090700,70.361099
"2021-03-22",73.400002,73.93,72.940002,73.5,3366300,70.504974
"2021-03-23",73.610001,74.540001,73.349998,74.18,3245600,71.15728
"2021-03-24",73.639999,74.720001,73.540001,74.160004,2379500,71.138092
"2021-03-25",74.529999,76.169998,74.290001,75.220001,4310100,72.1549
"2021-03-26",75.220001,75.879997,74.589996,75.779999,3613200,72.69207
"2021-03-29",75.540001,77.290001,75.519997,76.699997,4223600,73.574593
"2021-03-30",76.18,76.269997,75.110001,75.529999,2661900,72.452263
"2021-03-31",75.220001,76.120003,75.129997,75.959999,3447800,72.864738
"2021-04-01",75.839996,75.839996,74.879997,75.720001,2630700,72.634521
"2021-04-05",75.709999,76.779999,75.610001,76.410004,2915200,73.29641
"2021-04-06",76.050003,76.480003,75.629997,76.379997,2448500,73.267639
"2021-04-07",76.410004,76.769997,75.849998,76.220001,3060300,73.114151
"2021-04-08",76.629997,77.040001,76.120003,76.209999,2624500,73.104561
"2021-04-09",76.449997,76.75,76.040001,76.300003,2075100,73.190895
"2021-04-12",76.449997,77.050003,76.129997,76.260002,2396500,73.152519
"2021-04-13",76,77.739998,75.82,77.470001,3527000,74.313217
"2021-04-14",77.169998,77.620003,76.839996,77.419998,2946800,74.265259
"2021-04-15",77.410004,78.440002,77.290001,78.309998,3683100,75.11898
"2021-04-16",78.68,79.199997,78.510002,78.889999,3645400,75.675346
