"","EA.Open","EA.High","EA.Low","EA.Close","EA.Volume","EA.Adjusted"
"2020-07-01",132.039993,135.520004,131.330002,135.220001,3026300,134.008896
"2020-07-02",136.419998,136.419998,133.470001,133.839996,1893300,132.641251
"2020-07-06",135.470001,136.520004,133.509995,134.270004,2322100,133.067429
"2020-07-07",133.869995,137.419998,133.800003,134.779999,1895900,133.572876
"2020-07-08",135.910004,136.339996,134.509995,135.610001,1866600,134.395401
"2020-07-09",136.360001,139.110001,136.059998,138.770004,2312100,137.5271
"2020-07-10",139.419998,141.25,138.289993,140.809998,2119800,139.548828
"2020-07-13",141.009995,141.580002,134.770004,135.309998,2570300,134.098083
"2020-07-14",134.199997,138.789993,133.479996,138.529999,2409300,137.289246
"2020-07-15",137.979996,138.979996,135.839996,138.429993,2050900,137.190155
"2020-07-16",137.839996,138.360001,135.75,138.050003,1301700,136.813553
"2020-07-17",138.179993,138.729996,136.839996,138.309998,2040700,137.071228
"2020-07-20",139.429993,142.309998,138.75,141.529999,1589700,140.26239
"2020-07-21",141.559998,141.990005,138.889999,139.339996,1481400,138.09201
"2020-07-22",140.949997,140.949997,137.869995,138.300003,2057600,137.061325
"2020-07-23",139.300003,139.570007,134.729996,135.360001,1896400,134.147659
"2020-07-24",133.75,136.259995,132.720001,135.240005,1354100,134.028748
"2020-07-27",135.490005,137.139999,134.820007,136.160004,1819200,134.940506
"2020-07-28",135.419998,136.309998,134.389999,134.779999,1319800,133.572876
"2020-07-29",135.770004,136.509995,134.690002,135.929993,1532800,134.712555
"2020-07-30",135.699997,138.839996,135.25,138.589996,2717700,137.348709
"2020-07-31",142.039993,142.839996,137.100006,141.619995,4301200,140.351593
"2020-08-03",141.550003,143.429993,139.550003,142.360001,2233800,141.084961
"2020-08-04",143.240005,146.5,143.100006,146.320007,2680300,145.009506
"2020-08-05",145.820007,146.339996,143.259995,146.179993,1936900,144.870728
"2020-08-06",146.330002,147.360001,144.5,146.949997,1671700,145.63385
"2020-08-07",146.429993,146.839996,142.320007,143.990005,1514800,142.700348
"2020-08-10",142.770004,143.990005,139.5,140.699997,1378300,139.439819
"2020-08-11",141.149994,141.149994,135.559998,135.699997,2221700,134.484604
"2020-08-12",136.880005,140.300003,136.179993,139.899994,1714200,138.646988
"2020-08-13",141.119995,142.850006,140.580002,141.770004,1191200,140.500229
"2020-08-14",141.639999,142.009995,139.949997,140.429993,1904200,139.172241
"2020-08-17",139.25,140.970001,138.309998,140.449997,1481000,139.192047
"2020-08-18",140.600006,142.740005,140.160004,142.580002,1413900,141.302994
"2020-08-19",142.279999,143.619995,141.070007,141.860001,1816600,140.589447
"2020-08-20",141.619995,143.960007,141.050003,143.479996,1268100,142.194931
"2020-08-21",142.759995,142.990005,140.839996,141.210007,1940000,139.945267
"2020-08-24",142.270004,142.839996,141.210007,142.330002,1842600,141.055237
"2020-08-25",142.009995,142.399994,141,142.210007,857600,140.936295
"2020-08-26",142.059998,144.5,142.059998,143.630005,1580500,142.343582
"2020-08-27",143.380005,143.740005,139.850006,141.770004,1923000,140.500229
"2020-08-28",142.339996,142.339996,140.009995,140.869995,1553800,139.608307
"2020-08-31",141.080002,141.110001,138.089996,139.470001,2727200,138.220856
"2020-09-01",140.740005,140.740005,137.080002,138.289993,2710100,137.051392
