"","ECL.Open","ECL.High","ECL.Low","ECL.Close","ECL.Volume","ECL.Adjusted"
"2020-07-01",199.220001,201.270004,197.710007,200.240005,1470200,196.272369
"2020-07-02",202.960007,204.149994,200.149994,200.899994,1727300,196.919281
"2020-07-06",203.330002,204.520004,197.860001,201.729996,1972400,197.732819
"2020-07-07",200.289993,203.789993,200,202.940002,1475700,198.918884
"2020-07-08",202.139999,203.210007,194,196.770004,1939200,192.871124
"2020-07-09",197.649994,198.639999,194.539993,197.5,1229200,193.586655
"2020-07-10",197.509995,201.220001,196.270004,200.660004,886200,196.684052
"2020-07-13",201.970001,204.770004,199.940002,200.300003,1206700,196.331161
"2020-07-14",199.339996,204.350006,199,204.139999,803100,200.095108
"2020-07-15",206.130005,208.539993,205.309998,207.899994,917800,203.780579
"2020-07-16",207,210.020004,206.789993,208.289993,838300,204.162857
"2020-07-17",209.009995,210.919998,208.369995,210.360001,826300,206.191849
"2020-07-20",209.869995,211.529999,208.410004,209.850006,1297900,205.691971
"2020-07-21",210.419998,211.179993,207.190002,207.649994,852100,203.535553
"2020-07-22",207.600006,210.559998,207.160004,210.320007,633900,206.152649
"2020-07-23",210.910004,212.669998,208.789993,209.539993,764700,205.388092
"2020-07-24",209.020004,210.190002,207.850006,210.059998,702300,205.897781
"2020-07-27",210.130005,213.410004,208.570007,212.039993,896800,207.838562
"2020-07-28",205.5,205.5,193.309998,193.720001,2566900,189.881561
"2020-07-29",193.259995,196.240005,193.149994,194.830002,2339900,190.969574
"2020-07-30",192.130005,193.649994,189.350006,191.050003,1447500,187.264481
"2020-07-31",190.350006,191.199997,183.279999,187.080002,1797400,183.373123
"2020-08-03",188.009995,189.119995,184.300003,184.410004,1586800,180.756027
"2020-08-04",184.429993,190.600006,183.039993,189.309998,2265900,185.558929
"2020-08-05",190.259995,193.979996,190.259995,191.940002,1588600,188.136841
"2020-08-06",192.380005,195.119995,191.009995,194.199997,1378500,190.352051
"2020-08-07",194,196.089996,192.270004,194.899994,1354900,191.038193
"2020-08-10",194.970001,197.229996,194.210007,195.300003,761100,191.430252
"2020-08-11",198.619995,199.979996,195.610001,196.220001,786100,192.332016
"2020-08-12",197.5,199.929993,197.289993,198.690002,850000,194.753082
"2020-08-13",196.770004,198.910004,195.949997,196.550003,618200,192.655472
"2020-08-14",196.070007,196.839996,193.860001,194.710007,630900,190.851959
"2020-08-17",195.770004,197.389999,193.729996,194.850006,637700,190.989182
"2020-08-18",195.410004,195.809998,193.580002,194.369995,619900,190.518661
"2020-08-19",195.399994,196.039993,193.850006,194.059998,688100,190.214828
"2020-08-20",192.160004,194.779999,192.160004,194.410004,508100,190.557892
"2020-08-21",194.649994,195.360001,193.029999,194.850006,704300,190.989182
"2020-08-24",196.580002,198.5,196.110001,197.520004,578000,193.606262
"2020-08-25",197.929993,199.369995,195.740005,195.990005,664100,192.106613
"2020-08-26",195.75,198.270004,195.429993,197.110001,783800,193.204391
"2020-08-27",197.610001,199.899994,197.589996,197.679993,869000,193.763077
"2020-08-28",197.880005,200.669998,196.600006,200.5,748800,196.527206
"2020-08-31",200.5,200.990005,196.960007,197.080002,826100,193.175003
"2020-09-01",196.619995,201.660004,195.789993,201.660004,1124900,197.66423
"2020-09-02",201.25,209.669998,201.25,209.179993,1372800,205.035248
"2020-09-03",208.529999,209.389999,202.179993,204.839996,2042300,200.781235
"2020-09-04",204.850006,206.820007,202.869995,204.759995,1632800,200.702789
"2020-09-08",202.869995,203.289993,195.169998,197.880005,1322700,193.959122
"2020-09-09",200.199997,205.089996,199.960007,203,1342700,198.977707
"2020-09-10",204.240005,205.619995,201.460007,201.869995,828600,197.870056
"2020-09-11",203.639999,204.860001,202.139999,203.600006,1012500,199.565781
"2020-09-14",205.490005,207.029999,204.399994,204.889999,1029500,201.294922
"2020-09-15",206.669998,208.330002,205.979996,206.630005,1433300,203.004379
"2020-09-16",208,209.539993,207.649994,207.820007,1574000,204.173492
"2020-09-17",205.970001,208.490005,204.919998,207.5,1343900,203.8591
"2020-09-18",207.050003,208.199997,203.809998,204.020004,1910000,200.440186
"2020-09-21",199.940002,200.970001,195.889999,198.470001,744500,194.987564
"2020-09-22",199.369995,200.460007,198.449997,199.160004,913300,195.665451
"2020-09-23",199.270004,200,194.699997,195.199997,1131500,191.774933
"2020-09-24",194.110001,197.369995,192.419998,194.610001,961700,191.195282
"2020-09-25",193.710007,196.720001,193,196.029999,1021300,192.590378
"2020-09-28",199.910004,201.440002,197.690002,198.270004,1316000,194.791061
"2020-09-29",199,199.259995,196.820007,197.449997,776900,193.985443
"2020-09-30",198.690002,201.630005,198.080002,199.839996,1390400,196.333527
"2020-10-01",201.779999,203.75,196.119995,197.080002,1192800,193.621948
"2020-10-02",195.070007,199.839996,194.5,198.059998,1162000,194.584763
"2020-10-05",200.479996,202.289993,199.089996,199.389999,1295500,195.891388
"2020-10-06",200,201.899994,196.190002,196.429993,1284300,192.983337
