"","EFX.Open","EFX.High","EFX.Low","EFX.Close","EFX.Volume","EFX.Adjusted"
"2020-07-01",172.399994,175.059998,172.270004,173.570007,682700,170.954102
"2020-07-02",174.919998,175.940002,171.830002,171.899994,689600,169.30928
"2020-07-06",173.729996,174.589996,171.25,171.550003,884400,168.964554
"2020-07-07",171.089996,172.619995,168.039993,168.699997,1332900,166.157486
"2020-07-08",168.470001,170.110001,168.470001,169.100006,750400,166.551498
"2020-07-09",168.669998,169.350006,160.339996,161.789993,1839500,159.351654
"2020-07-10",161.130005,163.479996,160.559998,163.110001,679600,160.651749
"2020-07-13",165.089996,166.669998,163.020004,163.639999,708800,161.173752
"2020-07-14",162.869995,164.039993,161.449997,163.440002,845200,160.976776
"2020-07-15",165.169998,165.800003,163.380005,164.940002,715600,162.454178
"2020-07-16",164.820007,165.669998,162.779999,165.210007,628300,162.720108
"2020-07-17",166.139999,167.520004,165.179993,166.800003,785900,164.286133
"2020-07-20",166.460007,168.869995,166.089996,167.800003,864200,165.271072
"2020-07-21",168.380005,169.080002,165.800003,166.330002,771100,163.823212
"2020-07-22",166.589996,169.210007,166.470001,168.009995,1231100,165.47789
"2020-07-23",175,181.759995,174.369995,176.639999,2603400,173.977829
"2020-07-24",176.960007,176.960007,165.610001,167.160004,1315500,164.640732
"2020-07-27",167.869995,168.160004,163.75,165.360001,978200,162.867874
"2020-07-28",165.429993,166.199997,162.240005,162.380005,916100,159.93277
"2020-07-29",162.039993,166.059998,162.039993,165.630005,572500,163.133774
"2020-07-30",163.699997,164.630005,162.119995,163.429993,487100,160.966934
"2020-07-31",163.869995,164.429993,160.460007,162.559998,525300,160.110046
"2020-08-03",163.259995,163.740005,161.649994,162.860001,411700,160.405518
"2020-08-04",162.460007,163.479996,160.220001,160.75,524000,158.327316
"2020-08-05",161.839996,163.179993,161.770004,162.619995,458400,160.169113
"2020-08-06",162.100006,163.139999,162.100006,162.779999,387500,160.326721
"2020-08-07",163.100006,166.720001,162.610001,166.639999,594900,164.128555
"2020-08-10",166.389999,167.149994,163.970001,164.669998,808500,162.188232
