"","EIX.Open","EIX.High","EIX.Low","EIX.Close","EIX.Volume","EIX.Adjusted"
"2020-07-01",54.299999,55.650002,53.900002,55.330002,2391200,50.043949
"2020-07-02",55.5,56.290001,55.279999,55.540001,1758100,50.819881
"2020-07-06",56.369999,56.919998,55.48,56.049999,2647000,51.286541
"2020-07-07",55.52,55.650002,54.299999,54.48,2975400,49.849968
"2020-07-08",54.110001,54.650002,53.860001,54.459999,2004300,49.831665
"2020-07-09",54.130001,54.330002,52.560001,53.93,2405800,49.346714
"2020-07-10",53.799999,55.490002,53.759998,55.330002,1213400,50.627735
"2020-07-13",56,56.369999,55.110001,55.98,2366900,51.222485
"2020-07-14",56.220001,57.32,55.98,56.669998,2884200,51.853848
"2020-07-15",57.330002,57.59,55.060001,55.279999,2507100,50.581974
"2020-07-16",55.360001,56.630001,55.139999,56.09,1598300,51.323143
"2020-07-17",56.5,56.639999,55.93,56.360001,1784800,51.570194
"2020-07-20",55.98,56,54.77,54.889999,2044800,50.225124
"2020-07-21",55.16,56.349998,54.93,55.950001,2140700,51.195038
"2020-07-22",55.73,56.990002,55.439999,56.709999,1780700,51.890453
"2020-07-23",56.689999,57.130001,56.049999,56.66,1333100,51.8447
"2020-07-24",56.720001,57.25,55.57,56.02,1654200,51.25909
"2020-07-27",55.759998,55.93,52.900002,53.16,3744300,48.642151
"2020-07-28",53.200001,55.73,53.200001,55.110001,1887000,50.426426
"2020-07-29",54.720001,55.18,53.16,53.779999,2335200,49.209457
"2020-07-30",53.369999,55.07,53.02,54.869999,2131400,50.206818
"2020-07-31",54.470001,55.73,54.470001,55.669998,3482100,50.938835
"2020-08-03",55.330002,55.369999,53.5,53.93,2735400,49.346714
"2020-08-04",53.619999,55.34,53.619999,54.700001,1691300,50.051277
"2020-08-05",54.799999,54.799999,53.360001,53.610001,1620900,49.053905
"2020-08-06",53.580002,53.959999,53.150002,53.869999,1735300,49.291805
"2020-08-07",53.68,55.110001,53.669998,54.610001,1663700,49.968922
"2020-08-10",54.689999,55.169998,54.200001,54.25,1470800,49.639515
"2020-08-11",53.970001,54.869999,53.400002,53.580002,1558400,49.026455
"2020-08-12",54,54.68,53.200001,54.529999,2054300,49.895721
"2020-08-13",54.419998,54.419998,52.619999,53.610001,2763700,49.053905
"2020-08-14",53.27,53.509998,52.279999,52.689999,2433000,48.212086
"2020-08-17",52.619999,52.740002,51.450001,51.779999,2376500,47.379429
"2020-08-18",51.830002,52.029999,51.099998,51.490002,2447300,47.114082
"2020-08-19",51.630001,52.669998,51.220001,52.25,2367100,47.80949
"2020-08-20",51.889999,52.139999,50.970001,51.240002,2059700,46.885323
"2020-08-21",51.43,51.459999,50.389999,51.259998,2423500,46.903622
"2020-08-24",51.360001,52.369999,50.93,52.34,1416300,47.891838
"2020-08-25",52.389999,52.48,51.599998,52,1297500,47.58073
"2020-08-26",51.68,51.77,50.68,51.09,1630500,46.748074
"2020-08-27",51.25,51.98,51.16,51.75,1691400,47.351986
"2020-08-28",52.119999,52.279999,51.59,52.169998,1776400,47.736286
"2020-08-31",51.880001,52.639999,51.82,52.48,2415600,48.019947
"2020-09-01",52.150002,52.27,51.529999,51.810001,1682200,47.406883
"2020-09-02",51.939999,52.889999,51.720001,52.57,2443600,48.102295
"2020-09-03",52.900002,53.580002,52.380001,52.959999,2127100,48.459145
"2020-09-04",53.060001,53.27,51.439999,52.259998,1867500,47.818638
"2020-09-08",52.43,52.529999,51.130001,51.369999,2585300,47.004272
"2020-09-09",51.700001,52.290001,51.040001,51.540001,2527800,47.159828
"2020-09-10",51.419998,51.57,50.5,50.5,2891900,46.20821
