"","EL.Open","EL.High","EL.Low","EL.Close","EL.Volume","EL.Adjusted"
"2020-07-01",189.759995,190.940002,188.509995,189.330002,828500,186.360794
"2020-07-02",192.559998,193.369995,190.740005,191.610001,846600,188.605072
"2020-07-06",194,194.710007,189.960007,192.020004,1507000,189.008636
"2020-07-07",191.880005,191.880005,188.990005,189.119995,1670600,186.154083
"2020-07-08",188.470001,189.460007,185.479996,188.610001,1474200,185.652084
"2020-07-09",188.889999,191.210007,187.520004,187.809998,996400,184.864624
"2020-07-10",188.25,190.240005,186.5,189.690002,804300,186.715164
"2020-07-13",190.759995,193.240005,189.199997,189.740005,862100,186.764404
"2020-07-14",189.020004,196.160004,188.669998,195.880005,1355800,192.80809
"2020-07-15",198.889999,201.529999,197.979996,199.529999,1610800,196.400848
"2020-07-16",198.619995,199.449997,197.389999,199.139999,938200,196.016953
"2020-07-17",200.100006,200.229996,197.389999,198,1014100,194.894836
"2020-07-20",196.979996,197.270004,195.199997,196.339996,648600,193.26088
"2020-07-21",197.529999,197.910004,194.160004,194.470001,769900,191.420197
"2020-07-22",194.339996,195.869995,193.259995,195.570007,624300,192.502945
"2020-07-23",196.779999,197.649994,193.449997,194.100006,774600,191.056
"2020-07-24",192.679993,193.990005,190.289993,191.75,965300,188.742859
"2020-07-27",192.339996,193.539993,191.050003,192.839996,855500,189.815765
"2020-07-28",191.649994,193.210007,190.440002,192.600006,933100,189.579544
"2020-07-29",192.600006,193.369995,190.320007,190.880005,1371300,187.88649
"2020-07-30",189.589996,193.869995,187.75,193.029999,1640500,190.002777
"2020-07-31",193.029999,197.789993,192.350006,197.539993,1557200,194.442047
"2020-08-03",199.160004,199.679993,197.449997,198.169998,947100,195.06218
"2020-08-04",198.229996,200,196.419998,199.419998,847500,196.292557
"2020-08-05",200,202.399994,199.029999,201.240005,1226200,198.08403
"2020-08-06",200.860001,200.860001,197.399994,199.240005,945000,196.115387
"2020-08-07",198.869995,200.490005,198.229996,199.990005,1312000,196.853638
"2020-08-10",199.550003,205,199.100006,204.490005,923800,201.283051
"2020-08-11",206.070007,208.320007,205.639999,207.259995,1057300,204.009613
"2020-08-12",208,212.800003,206.690002,211.5,1382400,208.183105
"2020-08-13",214,217.320007,212.259995,213.369995,1192200,210.023788
"2020-08-14",211.880005,212.75,211.380005,212.089996,851700,208.76384
"2020-08-17",213.979996,214.520004,212.419998,213.970001,905700,210.61438
"2020-08-18",213.149994,214.669998,212.610001,213.289993,964200,209.945038
"2020-08-19",213.110001,214.350006,210.839996,212.5,1296400,209.167419
"2020-08-20",197.860001,200,194.139999,198.270004,4320600,195.160599
"2020-08-21",201.779999,207.929993,200.559998,207.009995,3228200,203.763519
"2020-08-24",211.770004,215.690002,210.919998,212.570007,1727900,209.236343
"2020-08-25",213.130005,215.559998,210.830002,215.429993,954200,212.051453
"2020-08-26",215,217.850006,214.779999,216.679993,1469600,213.281876
"2020-08-27",216.800003,217.979996,215.850006,216.410004,1018700,213.016129
"2020-08-28",216.199997,223.539993,216.199997,222.929993,1372900,219.921646
"2020-08-31",223.410004,224.229996,219.289993,221.720001,1917700,218.727982
"2020-09-01",218.850006,222.619995,217.960007,220.990005,1710300,218.007828
"2020-09-02",221.800003,223.149994,221.399994,221.960007,1539600,218.964737
"2020-09-03",222.210007,223.279999,216.309998,218.059998,1523200,215.117355
"2020-09-04",218.789993,218.789993,212.149994,216.220001,1567300,213.30217
"2020-09-08",213.729996,216.940002,212.600006,216.020004,1531000,213.104919
"2020-09-09",217.100006,220.220001,216.729996,218.509995,1387200,215.561295
"2020-09-10",219.539993,220.559998,213.949997,214.600006,957400,211.704071
"2020-09-11",216.190002,216.679993,213.279999,214.690002,851300,211.792877
"2020-09-14",216.5,219.740005,216.080002,217.410004,683100,214.476135
"2020-09-15",219.059998,220.279999,217.589996,217.759995,798500,214.821411
"2020-09-16",218.279999,219.800003,217.179993,217.259995,693000,214.328156
"2020-09-17",215.490005,218.089996,214.399994,215.710007,543900,212.799088
"2020-09-18",213.979996,215.949997,211.389999,212.389999,1067000,209.52388
"2020-09-21",209.5,211.360001,204.229996,207.830002,983000,205.025421
"2020-09-22",209.029999,211.410004,207.729996,209.830002,767400,206.998428
"2020-09-23",210.889999,211.720001,207.339996,207.630005,705800,204.82814
"2020-09-24",206.779999,212.649994,205.380005,210.460007,1015600,207.619919
"2020-09-25",209.199997,215.529999,208.860001,215.199997,1011400,212.295959
"2020-09-28",217.110001,217.860001,214.970001,215.75,873900,212.838547
"2020-09-29",217.869995,217.899994,212.729996,214.779999,957900,211.881622
"2020-09-30",215.809998,219.970001,215.380005,218.25,1039800,215.304825
"2020-10-01",219.690002,220.570007,217.330002,219.529999,897000,216.56752
"2020-10-02",217.149994,220.759995,215.789993,218.759995,722900,215.807922
"2020-10-05",221.660004,223.059998,220.139999,222.050003,819700,219.053513
"2020-10-06",222,223.020004,216.839996,217.660004,892400,214.722763
"2020-10-07",219.419998,222.139999,219.070007,221.479996,775500,218.491226
"2020-10-08",222.240005,224.809998,221.300003,224.210007,778200,221.184372
"2020-10-09",224.580002,226.270004,222.509995,224.600006,740200,221.569122
"2020-10-12",226.429993,228.600006,224.600006,227.020004,817800,223.956482
"2020-10-13",224.130005,225.220001,222.009995,223.020004,854200,220.010422
"2020-10-14",225.820007,225.820007,221.470001,222.839996,855300,219.832855
"2020-10-15",221.460007,223.649994,220.350006,221.880005,893800,218.885803
"2020-10-16",223.460007,225.630005,222.589996,224.130005,936300,221.105453
"2020-10-19",224.619995,226.300003,221.369995,222.339996,732200,219.3396
"2020-10-20",223.949997,227.660004,222.710007,225.720001,587000,222.673981
"2020-10-21",226.699997,233.820007,225.669998,232.649994,1220800,229.510468
"2020-10-22",232.080002,234.759995,230.860001,232.619995,858200,229.480881
"2020-10-23",234.020004,235.839996,232.460007,235.229996,685700,232.055664
"2020-10-26",232.240005,233.020004,227.289993,232.169998,1183200,229.036957
"2020-10-27",233.520004,233.520004,230.360001,231.050003,983100,227.932083
"2020-10-28",226.809998,227.600006,220.399994,220.550003,1069400,217.573761
"2020-10-29",220.550003,225.309998,219.119995,223.139999,1039900,220.128799
"2020-10-30",221.5,224.899994,216.25,219.660004,1411700,216.695786
"2020-11-02",233.539993,237.820007,220.419998,223.850006,2442300,220.829239
"2020-11-03",226.059998,227.550003,221.460007,224.789993,1654800,221.756561
"2020-11-04",226.830002,230.910004,225.470001,227.75,976500,224.67662
"2020-11-05",231,237.630005,229.740005,236.860001,1397400,233.663666
"2020-11-06",238.110001,239.860001,235.330002,238.639999,945500,235.419662
"2020-11-09",248.970001,256.070007,246,246.210007,1912900,242.887512
"2020-11-10",246.720001,250.229996,246.199997,247.350006,1478600,244.012115
"2020-11-11",249.389999,251.080002,247.449997,248.229996,1251900,244.880234
"2020-11-12",247.880005,250.779999,246.940002,249.490005,888300,246.12323
"2020-11-13",250,255.600006,249.610001,255.110001,919500,251.667389
"2020-11-16",258.75,259.769989,252.869995,258.339996,1291800,254.853806
"2020-11-17",255.220001,259.470001,254.139999,256.950012,990500,253.48259
"2020-11-18",257.420013,257.75,250.229996,250.320007,1160500,246.942032
"2020-11-19",245.949997,246.869995,238.929993,241.919998,2594500,238.655396
"2020-11-20",242.369995,244.369995,240.050003,240.559998,1327100,237.313736
"2020-11-23",241.490005,241.940002,237.619995,239.699997,1677100,236.465363
"2020-11-24",241.029999,246.710007,240.649994,245.809998,1424700,242.492889
"2020-11-25",247.210007,248.830002,246.369995,246.850006,1074400,243.518875
"2020-11-27",246.360001,247.050003,242.020004,245.940002,631300,243.143173
"2020-11-30",243.830002,245.979996,240.25,245.320007,3488100,242.530258
"2020-12-01",250.240005,250.850006,245.550003,247.169998,1523300,244.359192
"2020-12-02",245.100006,247.350006,244.210007,245.320007,932300,242.530258
"2020-12-03",244.380005,248.119995,244.119995,245.460007,1019200,242.668655
"2020-12-04",245.929993,246.610001,241.559998,244.119995,1140000,241.343887
"2020-12-07",242.889999,246.100006,242.009995,245.759995,1022900,242.96521
"2020-12-08",244.779999,249.029999,244.220001,248.479996,1018600,245.654312
"2020-12-09",248.089996,249.320007,245.330002,246.649994,1228400,243.845093
"2020-12-10",246.919998,248.559998,245.339996,246.529999,1042600,243.726471
"2020-12-11",245.759995,247.949997,243.990005,245.75,778900,242.955368
"2020-12-14",248.399994,249.759995,246.869995,247.449997,1278500,244.636017
"2020-12-15",250.059998,252.119995,247.5,250.399994,1260200,247.55246
"2020-12-16",251.539993,259.170013,250.460007,258.679993,1659000,255.738312
"2020-12-17",258.619995,265.549988,258.619995,263.829987,2341300,260.829712
"2020-12-18",265.190002,267.040009,259.299988,261.309998,2868000,258.338409
"2020-12-21",256.720001,257.540009,250.789993,254.520004,1931100,251.625641
"2020-12-22",254.949997,258.959991,254.550003,257.459991,940700,254.532196
"2020-12-23",258.579987,261.809998,256.940002,259.630005,600500,256.67749
"2020-12-24",261.320007,261.630005,259.929993,260.950012,285500,257.982544
"2020-12-28",264.369995,264.850006,262.440002,263.820007,622500,260.819885
"2020-12-29",266.950012,267.200012,262.670013,262.75,732300,259.762024
"2020-12-30",263.410004,264.279999,261.850006,262.619995,555100,259.633484
"2020-12-31",262.920013,266.660004,262.01001,266.190002,700600,263.162903
"2021-01-04",261.049988,264.649994,253.509995,254.990005,1909900,252.090271
"2021-01-05",254.990005,258.959991,254.960007,258.829987,1387800,255.886581
"2021-01-06",256.519989,261.309998,256.299988,258.339996,1295000,255.402176
"2021-01-07",261.100006,261.549988,256.890015,258.269989,891000,255.332947
"2021-01-08",260.029999,261.070007,257.450012,260.730011,939900,257.764984
"2021-01-11",258.700012,259.700012,256.029999,258.109985,904000,255.174774
"2021-01-12",257.76001,259.5,255.25,255.410004,1254000,252.505508
"2021-01-13",253.789993,258.660004,252.559998,256.660004,1178100,253.741272
"2021-01-14",258.380005,258.399994,249.759995,250.020004,1072500,247.176788
"2021-01-15",249.5,251.139999,248.130005,249.130005,2122400,246.296921
"2021-01-19",249,250.110001,245.880005,248.440002,1714800,245.614761
"2021-01-20",251.789993,255.690002,246,255.220001,1294800,252.317673
"2021-01-21",254.910004,258.890015,253.690002,255.270004,835800,252.367096
"2021-01-22",255.630005,256.230011,249.720001,249.830002,1161500,246.988968
"2021-01-25",250.240005,252.199997,247.410004,250.020004,1072000,247.176788
"2021-01-26",249.720001,250.210007,244.800003,245.309998,989000,242.520355
"2021-01-27",242.529999,243.509995,231.970001,235.850006,2597300,233.167953
"2021-01-28",237.820007,247.220001,236.270004,245.080002,1503200,242.292969
"2021-01-29",243.580002,243.610001,235.809998,236.649994,1160500,233.958847
"2021-02-01",238.830002,243.289993,237.729996,241.850006,1470900,239.099686
"2021-02-02",242.830002,249.289993,242.830002,246.860001,1277900,244.052719
"2021-02-03",246.779999,249.479996,246.270004,248.619995,1054300,245.792709
"2021-02-04",250,253.960007,244.699997,253.050003,2119700,250.172333
"2021-02-05",275.690002,276.940002,267.549988,272.809998,3129800,269.707581
"2021-02-08",280.25,284.660004,277.899994,280.540009,2477700,277.349762
"2021-02-09",279.109985,281.559998,274.410004,279.350006,1364800,276.173248
"2021-02-10",282.26001,288.48999,281,284.399994,1624800,281.165802
"2021-02-11",283.920013,290.23999,282.570007,289.76001,1490800,286.464844
"2021-02-12",288.869995,291,284.649994,290.25,1680800,286.94928
"2021-02-16",291.959991,297.549988,290.899994,295.73999,1862300,292.376862
"2021-02-17",296,296.089996,289.019989,289.589996,1470100,286.296814
"2021-02-18",287.679993,289.440002,286.76001,287.959991,910100,284.685333
"2021-02-19",287.98999,290,284.690002,285.160004,898600,281.917206
"2021-02-22",283.980011,289.839996,283.619995,285.450012,1014300,282.203888
"2021-02-23",284.480011,294.980011,283.140015,291.899994,1629400,288.580536
"2021-02-24",288.570007,298.309998,288.570007,294.339996,1511600,290.992767
"2021-02-25",292.019989,294.179993,288.029999,289.619995,1008900,286.842987
"2021-02-26",289.890015,290.73999,284.140015,285.859985,1334600,283.119019
"2021-03-01",290.779999,295.809998,289.399994,293.950012,1046500,291.13147
"2021-03-02",294.200012,297.700012,289.359985,289.540009,1305600,286.763733
"2021-03-03",289.570007,293.959991,288.839996,289.540009,1928900,286.763733
"2021-03-04",289.589996,291.690002,283.720001,285.190002,1655300,282.455444
"2021-03-05",287.859985,293.73999,285.440002,292.890015,1269000,290.081604
"2021-03-08",283,286.5,278.279999,280.070007,2632500,277.384552
"2021-03-09",284.730011,285.579987,279.359985,280.019989,2465200,277.335022
"2021-03-10",281.769989,286.589996,281.299988,285.25,1663900,282.514862
"2021-03-11",289.450012,293.589996,287.339996,291.640015,1554100,288.843597
"2021-03-12",292.549988,294.059998,288.859985,289.209991,1082500,286.436859
"2021-03-15",289.339996,291,286.980011,289.549988,1417400,286.773651
"2021-03-16",290.399994,293.970001,288.470001,288.920013,830200,286.149658
"2021-03-17",289.130005,293.299988,288.019989,290.73999,1028900,287.95224
"2021-03-18",289.26001,290.269989,284.519989,286.98999,1381200,284.23819
"2021-03-19",287.079987,289.160004,284.059998,285.220001,4516800,282.485168
"2021-03-22",286.890015,288.820007,284.899994,286.179993,1563700,283.435913
"2021-03-23",283.899994,286.130005,280.040009,281.279999,1638800,278.582916
"2021-03-24",289.709991,291.809998,284.769989,284.980011,1509000,282.247498
"2021-03-25",283.279999,286.700012,281.059998,286.160004,1275500,283.416138
"2021-03-26",287.390015,292.769989,284.450012,292.309998,1477500,289.507202
"2021-03-29",292.019989,295.980011,290.179993,290.529999,1327800,287.744263
"2021-03-30",289.679993,296.179993,289.679993,295.130005,1022300,292.30014
"2021-03-31",296.279999,297.98999,290.839996,290.850006,1209800,288.061157
"2021-04-01",290.790009,294.01001,289.019989,292.329987,965400,289.526978
"2021-04-05",293.679993,296.880005,292.220001,295.269989,1035600,292.438812
"2021-04-06",295.600006,299.73999,294.98999,295,1179800,292.171417
"2021-04-07",295.589996,295.940002,293.970001,295.130005,905600,292.30014
"2021-04-08",295,298.869995,295,298.579987,846400,295.717072
"2021-04-09",297.609985,302.179993,296.73999,302.119995,690200,299.223114
"2021-04-12",302.899994,303.98999,301.679993,303.220001,780700,300.312531
"2021-04-13",301.549988,304.420013,299.690002,303,863600,300.094666
"2021-04-14",304.880005,306.149994,303.369995,304.390015,776800,301.471375
"2021-04-15",306.149994,310.049988,304.570007,305.130005,936500,302.204254
"2021-04-16",309.769989,313.720001,306.470001,312.290009,1769900,309.295624
"2021-04-19",310.839996,311.829987,307.26001,309.179993,1006000,306.215424
"2021-04-20",308.119995,309.440002,305.549988,309.429993,904500,306.463013
"2021-04-21",310,311.410004,308.119995,309.869995,800100,306.898773
"2021-04-22",311.359985,314.869995,310.369995,312.089996,778200,309.097504
"2021-04-23",312.429993,316.290009,312.140015,313.790009,717500,310.781219
"2021-04-26",313.410004,317.459991,312.950012,316.25,833900,313.217621
"2021-04-27",316.25,316.950012,312.619995,315.5,1043300,312.474823
"2021-04-28",316,317.01001,314.5,315.5,855500,312.474823
"2021-04-29",315.429993,318.339996,314.980011,316.75,1162200,313.71283
"2021-04-30",316.700012,317.649994,313.320007,313.799988,1637400,310.791107
"2021-05-03",302.390015,304.380005,286.579987,288.929993,5039900,286.159576
"2021-05-04",293.48999,302.640015,289.660004,302.109985,3272600,299.213165
"2021-05-05",295.76001,297.160004,292.070007,294.209991,2690200,291.388977
"2021-05-06",295.019989,299.799988,293.679993,299.350006,1121000,296.479675
"2021-05-07",299.899994,305.829987,298.600006,303.350006,1221300,300.441345
"2021-05-10",305,305.950012,298.170013,298.390015,901500,295.52887
"2021-05-11",295.190002,297.089996,291.309998,294.809998,1678600,291.983185
"2021-05-12",293.049988,293.609985,287.829987,290.070007,1480200,287.288635
"2021-05-13",293.170013,294.25,288.970001,291.019989,913200,288.229553
"2021-05-14",293.369995,297.899994,292.589996,296.480011,835300,293.637207
"2021-05-17",295.75,297.059998,293.25,296.640015,1010200,293.795685
"2021-05-18",296.76001,299.23999,294.75,296.200012,1182700,293.359894
"2021-05-19",295.140015,298.450012,294.149994,298.429993,989700,295.568481
"2021-05-20",298.850006,301.609985,297.149994,297.970001,1156600,295.112915
"2021-05-21",298.679993,300.959991,296.600006,296.75,986900,293.904602
"2021-05-24",297.640015,304.160004,297.540009,302.459991,941600,299.559845
"2021-05-25",304,307.339996,303.529999,305.190002,1222100,302.263672
"2021-05-26",306.670013,307.660004,305.369995,305.839996,1019400,302.907471
"2021-05-27",305.940002,306.440002,303.179993,303.549988,1860300,301.161285
"2021-05-28",304.799988,307.299988,304.630005,306.519989,896500,304.10791
"2021-06-01",308,309.48999,301.549988,304.079987,1342900,301.687134
"2021-06-02",304.640015,306.630005,302.829987,303.660004,810600,301.270447
"2021-06-03",302.119995,303.519989,299.019989,302.880005,1100300,300.496582
"2021-06-04",304.700012,305.109985,301.320007,303.350006,903400,300.962891
"2021-06-07",303.179993,303.880005,301.529999,302.959991,814000,300.575958
"2021-06-08",303.730011,304.369995,299.920013,300.019989,815000,297.659088
"2021-06-09",298.790009,300.470001,297.600006,297.839996,896300,295.496216
"2021-06-10",299.339996,299.700012,297.329987,298.279999,843300,295.93277
"2021-06-11",299.98999,301.420013,298.829987,300.220001,901600,297.857483
"2021-06-14",300.230011,304.109985,300.019989,303.220001,1126100,300.833893
"2021-06-15",303.299988,306.25,302.450012,302.809998,948300,300.427094
"2021-06-16",303.690002,304.140015,297.529999,299,1151300,296.647095
"2021-06-17",298.190002,301.75,295.380005,299.899994,1671600,297.540009
"2021-06-18",299.829987,300.799988,294.5,295.880005,1900700,293.551666
"2021-06-21",297.570007,301.799988,296.660004,301.480011,980200,299.107605
"2021-06-22",301.269989,301.720001,299.910004,300.51001,711300,298.145233
"2021-06-23",300,303.359985,299.380005,302.380005,875300,300.000519
"2021-06-24",303.600006,308.920013,302.309998,308.700012,1797100,306.270782
"2021-06-25",310,316.98999,309.339996,315.950012,2123100,313.463745
"2021-06-28",317.339996,317.790009,313.600006,314.540009,1406500,312.064819
"2021-06-29",314.320007,318.339996,314.309998,317.51001,926800,315.011475
"2021-06-30",315.279999,318.790009,315.070007,318.079987,1076000,315.576935
"2021-07-01",320,320.26001,315.859985,317.079987,1194400,314.584839
"2021-07-02",317.570007,318.929993,316.320007,317.559998,620100,315.061066
"2021-07-06",317.429993,320.429993,316.839996,319.040009,1058300,316.529388
"2021-07-07",320.209991,321.899994,318.899994,319.149994,735300,316.63855
