"","EOG.Open","EOG.High","EOG.Low","EOG.Close","EOG.Volume","EOG.Adjusted"
"2020-07-01",51.029999,51.990002,49.779999,49.860001,3394800,44.291946
"2020-07-02",51.169998,51.630001,50.450001,50.52,4166400,44.87825
"2020-07-06",51.220001,52.09,49.869999,50.41,2381400,44.780521
"2020-07-07",49.68,49.779999,48.02,48.110001,3779700,42.737373
"2020-07-08",48.279999,48.759998,47.169998,47.439999,3867400,42.1422
"2020-07-09",47.279999,47.439999,44.279999,44.34,5209700,39.388393
"2020-07-10",44.34,45.57,44.040001,45.400002,6245700,40.330017
"2020-07-13",45.869999,46.139999,44.540001,44.950001,3817700,39.930264
"2020-07-14",44.84,47.299999,44.470001,47.279999,3695600,42.000069
"2020-07-15",48.290001,48.41,46.299999,47.459999,4202100,42.159966
"2020-07-16",46.52,48.349998,46.139999,47.82,3080100,42.818081
"2020-07-17",47.830002,48.889999,46.860001,47.16,2949500,42.227119
"2020-07-20",46.93,48.650002,46.93,47.700001,4004100,42.710632
"2020-07-21",48.700001,50.990002,48.700001,50.419998,4584300,45.146126
"2020-07-22",49.610001,50.48,49.009998,50.189999,2565000,44.940186
"2020-07-23",49.580002,50.080002,48.630001,48.849998,4936400,43.740349
"2020-07-24",49.139999,49.98,48.619999,49.040001,3055000,43.910477
"2020-07-27",48.810001,49.490002,48.169998,48.560001,2474800,43.480682
"2020-07-28",48.110001,48.689999,47.189999,47.27,2763300,42.325619
"2020-07-29",47.389999,48.52,46.950001,48.5,3016100,43.42696
"2020-07-30",47.34,47.689999,46.09,46.580002,3226500,41.707794
"2020-07-31",45.91,46.880001,45.849998,46.849998,2885500,41.949543
"2020-08-03",46.860001,47.07,45.91,46.369999,4004500,41.519756
"2020-08-04",46.380001,48.77,46.09,48.459999,5754300,43.391148
"2020-08-05",49.869999,51.110001,49.52,50.75,5052800,45.441608
"2020-08-06",50.41,51.080002,50.259998,50.889999,3290600,45.566967
"2020-08-07",47,49.189999,45.07,48.810001,8528400,43.704536
"2020-08-10",48.990002,50.630001,48.639999,50.459999,4088700,45.181942
"2020-08-11",52,52.779999,49.23,49.419998,5528600,44.250725
"2020-08-12",50.330002,50.34,48.619999,49.09,4644300,43.955242
"2020-08-13",48.77,49.150002,47.380001,47.419998,3394600,42.459923
"2020-08-14",47.349998,47.98,46.93,47.970001,3498900,42.9524
"2020-08-17",47.900002,47.900002,46.09,46.540001,4693800,41.671967
"2020-08-18",46.32,47.18,46.18,46.349998,3215400,41.501839
"2020-08-19",46.200001,46.560001,45.439999,45.610001,2878900,40.839252
"2020-08-20",44.959999,45.299999,44.09,44.099998,4225500,39.48719
"2020-08-21",44.080002,44.119999,42.98,43.389999,4166400,38.851456
"2020-08-24",43.709999,44.970001,43.360001,44.330002,6078900,39.693138
"2020-08-25",44.98,45.130001,44.049999,44.380001,3263300,39.737915
"2020-08-26",44.240002,44.360001,43.009998,43.259998,3054000,38.735054
"2020-08-27",43.610001,45.099998,43.200001,44.950001,5453800,40.248283
"2020-08-28",45.310001,46.25,44.759998,46.209999,3365900,41.376495
"2020-08-31",46.220001,46.25,45.009998,45.34,3017300,40.597492
"2020-09-01",44.720001,45.380001,44.389999,45.209999,2906400,40.481087
"2020-09-02",44.720001,45.139999,43.529999,43.700001,5249900,39.129032
"2020-09-03",43.709999,44.599998,42.779999,43.130001,5188200,38.618656
"2020-09-04",43.57,43.919998,42.549999,43.139999,4418300,38.627609
"2020-09-08",42.169998,42.360001,40.029999,40.830002,5747100,36.559231
"2020-09-09",41.360001,42.34,40.950001,41.860001,3565000,37.481499
"2020-09-10",41.82,41.82,37.990002,38,7457200,34.025242
"2020-09-11",38.48,39.189999,37.900002,39.049999,5658300,34.965416
"2020-09-14",39.310001,39.759998,38.540001,39.169998,5543300,35.072868
"2020-09-15",39.5,39.779999,38.43,38.59,4791200,34.553532
"2020-09-16",38.900002,41.580002,38.650002,40.860001,6553700,36.586098
"2020-09-17",39.860001,41.200001,39.560001,41.189999,3900500,36.881569
"2020-09-18",40.799999,41.549999,40.310001,40.709999,5865800,36.451782
"2020-09-21",39.5,40.110001,38.290001,38.810001,4719900,34.750519
"2020-09-22",39.07,39.700001,37.98,38.450001,3767800,34.428181
"2020-09-23",38.709999,39.080002,36.34,36.380001,4041400,32.574696
"2020-09-24",36.18,37.439999,35.330002,36.650002,4431700,32.81646
"2020-09-25",36.25,37.799999,36.060001,37.450001,3365800,33.532772
"2020-09-28",38.369999,38.369999,37.259998,37.439999,4169600,33.523815
"2020-09-29",37.240002,37.470001,34.900002,36.189999,7017000,32.404572
"2020-09-30",36.439999,36.759998,35.799999,35.939999,6033700,32.180721
"2020-10-01",35.330002,35.82,34.619999,34.860001,5085300,31.213682
"2020-10-02",33.790001,35.220001,33.630001,34.810001,5428500,31.168911
"2020-10-05",35.459999,36.490002,35.07,36.459999,4113400,32.646328
"2020-10-06",37.18,37.720001,35.73,35.990002,6025700,32.225483
"2020-10-07",36,36.869999,35.709999,36.709999,4513200,32.870171
"2020-10-08",37.110001,37.869999,36.669998,37.669998,3714900,33.729763
"2020-10-09",37.98,38.169998,37.169998,37.560001,3398000,33.631275
"2020-10-12",37.509998,38.41,36.66,38.209999,3806500,34.213276
"2020-10-13",38.639999,40.150002,38.490002,38.639999,7808700,34.598305
"2020-10-14",38.759998,39.209999,37.599998,37.619999,6919300,33.684994
"2020-10-15",36.549999,38.240002,36.16,38.080002,4791600,34.440182
"2020-10-16",37.880001,39.849998,36.650002,37.419998,10261100,33.843269
"2020-10-19",37.529999,37.59,36.16,36.189999,8378000,32.730831
"2020-10-20",36.48,36.599998,35.25,36.279999,6117800,32.812222
"2020-10-21",36.290001,36.349998,35.040001,35.119999,6314500,31.763111
"2020-10-22",35.080002,37.130001,34.950001,36.93,7240100,33.400105
"2020-10-23",37.259998,37.709999,36.700001,37.509998,4466200,33.924664
"2020-10-26",36.77,36.77,34.66,34.93,5054900,31.591269
"2020-10-27",34.740002,35.189999,34.259998,34.580002,7082400,31.274729
"2020-10-28",33.650002,33.689999,31.969999,32.509998,8754600,29.40258
"2020-10-29",31.799999,34.040001,31.219999,33.970001,6106000,30.723032
"2020-10-30",33.639999,34.259998,33.02,34.240002,4707300,30.967222
"2020-11-02",34.889999,35.77,33.400002,35.150002,4858500,31.790243
"2020-11-03",35.919998,35.970001,34.529999,35.02,3683700,31.672665
"2020-11-04",35.130001,36.889999,34.220001,36.040001,6095200,32.595173
"2020-11-05",35.310001,36.470001,35.310001,35.599998,5564100,32.197227
"2020-11-06",36.299999,37.130001,34.040001,34.580002,8823500,31.274729
"2020-11-09",39.450001,41.779999,39.099998,40.310001,10837900,36.457031
"2020-11-10",41,42.25,39.57,42.189999,6593300,38.157333
"2020-11-11",42.75,43.040001,41.27,41.91,7126700,37.904095
"2020-11-12",40.810001,41.889999,40.119999,40.490002,4738900,36.619823
"2020-11-13",40.98,42.93,40.959999,42.669998,4854100,38.591454
"2020-11-16",44.290001,45.48,43.650002,45.349998,6993000,41.015282
"2020-11-17",44.849998,45.799999,43.950001,45.669998,5393500,41.304699
"2020-11-18",46.200001,47.41,44.849998,44.93,5104300,40.635433
"2020-11-19",44.450001,45.610001,44.110001,45.459999,4186700,41.114769
"2020-11-20",45.099998,46.02,44.57,45.389999,3497200,41.051472
"2020-11-23",46.130001,50.459999,46.049999,50.380001,6339600,45.564507
"2020-11-24",52.139999,54.700001,51.830002,54.419998,10364300,49.218346
"2020-11-25",53.880001,54.779999,53,53,7565600,47.934063
"2020-11-27",52.09,53.380001,51.130001,51.43,2187000,46.514145
"2020-11-30",50.759998,50.810001,46.720001,46.880001,9701300,42.399048
"2020-12-01",48.470001,48.82,46.450001,46.529999,4337800,42.082497
"2020-12-02",46.580002,49.07,46.310001,47.82,9378500,43.249191
"2020-12-03",48.75,48.849998,47.720001,48.169998,16458000,43.565739
"2020-12-04",49.330002,53.009998,49.259998,53,7008400,47.934063
"2020-12-07",52.279999,52.669998,51.099998,51.57,5689800,46.640762
"2020-12-08",51.720001,52.23,51.02,52.150002,4818500,47.165321
"2020-12-09",52.830002,54.509998,52.02,52.959999,6915600,47.8979
"2020-12-10",53,55.950001,52.959999,54.68,5231100,49.453495
"2020-12-11",54.189999,54.34,52.849998,53.599998,3929300,48.476727
"2020-12-14",54.439999,54.68,51.880001,52.080002,3937200,47.102016
"2020-12-15",52.52,53.41,51.650002,53.16,4081000,48.078781
"2020-12-16",53.27,53.970001,52.419998,52.700001,3417500,47.662754
"2020-12-17",53.23,53.41,51.5,52.150002,4054000,47.165321
"2020-12-18",52.009998,52.360001,51.029999,51.77,9911100,46.821648
"2020-12-21",49.310001,51.240002,48.59,50.080002,5317800,45.293179
"2020-12-22",50,50,48.52,48.849998,5033400,44.180744
"2020-12-23",49.450001,50.93,49.279999,50.080002,3660400,45.293179
"2020-12-24",50.150002,50.200001,49.040001,49.599998,2128500,44.859055
"2020-12-28",49.799999,50.34,48.790001,48.939999,2594800,44.262146
"2020-12-29",49.540001,49.830002,48.200001,48.669998,2027800,44.017956
"2020-12-30",48.580002,50.650002,48.34,50.560001,2324000,45.72731
"2020-12-31",50.299999,50.450001,49.529999,49.869999,2407800,45.103252
"2021-01-04",50.759998,50.950001,48.599998,49.860001,4406500,45.094204
"2021-01-05",50.740002,55.32,50.369999,53.919998,5624100,48.766136
"2021-01-06",54.459999,56.16,53.73,55.060001,6350800,49.79718
"2021-01-07",55.689999,59.259998,55.25,58.619999,5715300,53.016899
"2021-01-08",59.5,59.689999,57.990002,58.869999,5804100,53.242996
"2021-01-11",57.43,60.029999,56.799999,59.610001,5665600,53.91227
"2021-01-12",60.700001,63.029999,60.310001,62.439999,5489300,56.471767
"2021-01-13",62.130001,62.34,59.799999,60.470001,3792200,54.690071
"2021-01-14",60.290001,62.970001,60.119999,62.240002,3732300,56.642147
"2021-01-15",60.939999,61.040001,58.549999,59.189999,4933100,53.866467
"2021-01-19",60.259998,61.23,59.880001,60.48,2966700,55.040443
"2021-01-20",61.049999,61.25,59.360001,60.200001,2280700,54.785622
"2021-01-21",60.110001,60.459999,54.970001,55.029999,8526200,50.080612
"2021-01-22",53.25,54.98,52.939999,54.860001,5481100,49.925903
"2021-01-25",54.119999,55.25,52.82,55.200001,4902800,50.235317
"2021-01-26",55.84,56.779999,53.470001,53.490002,3702400,48.679119
"2021-01-27",52.720001,55.490002,51.889999,55.009998,7499600,50.062408
"2021-01-28",55.52,55.900002,53.57,53.720001,7417500,48.888435
"2021-01-29",53.200001,53.869999,50.75,50.959999,6691300,46.376667
"2021-02-01",51.32,52,50.080002,51.330002,4710300,46.71339
"2021-02-02",52.900002,53.009998,50.939999,51.259998,6255100,46.649689
"2021-02-03",51.830002,56,51.5,55.880001,5047600,50.854168
"2021-02-04",56.310001,57.529999,54.73,57.470001,5451900,52.301163
"2021-02-05",58.040001,58.099998,56.43,56.610001,4029000,51.518513
"2021-02-08",57.509998,59.849998,57.32,59.41,4079300,54.066677
"2021-02-09",58.75,58.93,57.880001,58.220001,3039600,52.983704
"2021-02-10",58.5,60.919998,58.450001,60.209999,4959100,54.794724
"2021-02-11",60.150002,60.27,58.16,59.639999,2973000,54.275993
"2021-02-12",59.209999,61.5,59.029999,61.02,3317600,55.531868
"2021-02-16",63.049999,63.849998,62.139999,63.099998,4921900,57.424797
"2021-02-17",63.34,63.73,61.84,63.540001,2956500,57.825226
"2021-02-18",63,63.139999,60.459999,60.57,3691400,55.122349
"2021-02-19",60.790001,62.560001,60.790001,62.509998,3291100,56.887863
"2021-02-22",63.009998,67.279999,62.779999,66.099998,4639400,60.154972
"2021-02-23",67.300003,68.160004,63.619999,67.849998,4236500,61.747597
"2021-02-24",68.150002,72.860001,67.410004,72.370003,6106600,65.861061
"2021-02-25",72.400002,72.839996,69.839996,70.589996,5983200,64.241142
"2021-02-26",69.25,69.349998,63.419998,64.559998,9258000,58.753479
"2021-03-01",65.459999,65.980003,64.129997,64.980003,4853300,59.135719
"2021-03-02",64.690002,65.75,63.950001,64.470001,3593100,58.671581
"2021-03-03",64.800003,68.480003,64.800003,66.989998,4772200,60.964928
"2021-03-04",67.449997,73.870003,67.230003,71.43,7351600,65.005608
"2021-03-05",73.919998,74.860001,71.269997,74.580002,6638200,67.872299
"2021-03-08",75.5,75.800003,72.769997,74.589996,6850200,67.881386
"2021-03-09",72.989998,77.150002,70.599998,73.610001,5738400,66.98954
"2021-03-10",74,75.650002,72.629997,75.110001,3712100,68.35463
"2021-03-11",75.199997,76.589996,74.660004,75.309998,4167900,68.536636
"2021-03-12",75.699997,75.889999,74.230003,75,2958300,68.254509
"2021-03-15",74.169998,74.589996,72.169998,74.360001,2602400,67.672081
"2021-03-16",72.610001,72.949997,70.330002,70.650002,5399900,64.295753
"2021-03-17",71.379997,73.239998,69.879997,73.190002,3816900,66.607315
"2021-03-18",72.470001,73.160004,68.699997,68.900002,4406400,62.70314
"2021-03-19",69.220001,71.029999,68.279999,70.080002,8384500,63.777016
"2021-03-22",68.610001,69.120003,67.610001,68.230003,2942000,62.093414
"2021-03-23",66.900002,71.510002,66.279999,69.650002,7079700,63.385696
"2021-03-24",71.010002,73.470001,71,72.540001,5032500,66.015778
"2021-03-25",71.050003,73.150002,69.800003,73.040001,4176000,66.470795
"2021-03-26",74.440002,75,73.580002,74.879997,4425300,68.145309
"2021-03-29",74.339996,74.889999,72.489998,73.639999,3264000,67.016846
"2021-03-30",72.550003,73.900002,71.389999,73.260002,2614300,66.670998
"2021-03-31",73.129997,73.790001,72.190002,72.529999,3458300,66.006676
"2021-04-01",72.830002,75.550003,72.160004,75.339996,5864000,68.563927
"2021-04-05",75.040001,75.150002,70.830002,71.790001,4173300,65.333221
"2021-04-06",72.470001,74.629997,72.150002,72.300003,3390600,65.797363
"2021-04-07",72.470001,73.559998,72.300003,73.300003,3552300,66.70742
