"","ETR.Open","ETR.High","ETR.Low","ETR.Close","ETR.Volume","ETR.Adjusted"
"2020-07-01",93.769997,97.150002,93.739998,96.720001,932800,89.916817
"2020-07-02",97.910004,98.669998,96.510002,96.860001,877300,90.046974
"2020-07-06",97.839996,98.699997,95.099998,96.400002,643900,89.619324
"2020-07-07",95.510002,96.510002,94.949997,95.849998,928700,89.108009
"2020-07-08",95.870003,97.300003,95.269997,96.900002,1316100,90.08416
"2020-07-09",97.199997,97.199997,93.800003,96.449997,1372900,89.66581
"2020-07-10",96.099998,98.330002,96.099998,98.150002,787800,91.246246
"2020-07-13",98.199997,98.599998,95.839996,96.339996,1314600,89.563553
"2020-07-14",96.400002,98.279999,96.330002,97.629997,1345900,90.762817
"2020-07-15",99.059998,99.269997,96.010002,96.239998,1584000,89.470573
"2020-07-16",96.510002,98.650002,96.099998,98.330002,1084400,91.413567
"2020-07-17",99.059998,100.540001,98.580002,100.440002,899600,93.37516
"2020-07-20",100,100.220001,98.120003,98.389999,744400,91.469353
"2020-07-21",100.190002,100.379997,98.709999,99.550003,1162700,92.547768
"2020-07-22",99.300003,103.830002,98.43,103.129997,2140300,95.875946
"2020-07-23",103.220001,104.959999,102.660004,104.019997,1085800,96.703346
"2020-07-24",104.18,104.970001,101.949997,102.660004,884400,95.439011
"2020-07-27",102.410004,102.410004,100.75,101.730003,740300,94.574432
"2020-07-28",101.25,103.410004,101.25,102.669998,965700,95.448303
"2020-07-29",103.489998,105.410004,102.440002,104.129997,1447900,96.805603
"2020-07-30",103.099998,104.870003,102.599998,104.639999,967800,97.279732
"2020-07-31",104.040001,105.269997,103.709999,105.129997,1686100,97.735275
"2020-08-03",105.129997,105.300003,102.25,102.620003,940500,95.401825
"2020-08-04",102.5,104.099998,102.190002,103.160004,724000,95.903839
"2020-08-05",103.400002,103.5,100.330002,100.360001,1164700,93.300797
"2020-08-06",100.269997,102.339996,100,102.290001,887400,95.095032
"2020-08-07",102.029999,104.800003,102.029999,104.669998,850600,97.307625
"2020-08-10",105.139999,105.959999,104.510002,105.699997,739700,98.265175
"2020-08-11",105.879997,106.550003,101.720001,102.110001,1534900,94.927704
"2020-08-12",101.629997,103,100.910004,101.650002,1154500,95.368652
"2020-08-13",101.190002,101.889999,100.5,101.730003,616800,95.44371
"2020-08-14",101.529999,102.160004,100.209999,100.93,721000,94.693146
"2020-08-17",100.959999,102.050003,100.290001,100.599998,1091200,94.38353
"2020-08-18",100.730003,101.010002,98.93,100.099998,783900,93.914429
"2020-08-19",100.239998,100.519997,98.919998,98.989998,612200,92.873024
"2020-08-20",98.440002,98.900002,96.919998,97.709999,866700,91.672112
"2020-08-21",98.129997,98.239998,96.769997,98.129997,921800,92.066162
"2020-08-24",98.5,98.849998,97.169998,98.639999,753000,92.54464
"2020-08-25",99.059998,99.059998,97.419998,97.82,793800,91.775322
"2020-08-26",97.260002,97.349998,96.18,96.25,1157200,90.302338
"2020-08-27",96.709999,97.529999,95.559998,97.260002,1165600,91.249924
"2020-08-28",97.459999,99.110001,96.809998,98.959999,1196500,92.844887
"2020-08-31",98.639999,99.629997,98.410004,99.139999,1196100,93.013756
"2020-09-01",98.949997,98.959999,97.010002,97.690002,904800,91.653351
"2020-09-02",97.720001,101.089996,97.309998,100.480003,864300,94.270958
"2020-09-03",100.910004,101.5,96.980003,98,1681500,91.944199
"2020-09-04",98.550003,98.720001,96.790001,97.900002,987500,91.850372
"2020-09-08",97.790001,98.559998,96.050003,97.949997,1261000,91.897293
"2020-09-09",98.349998,99.870003,98.269997,98.370003,850000,92.291336
"2020-09-10",98.029999,98.510002,95.760002,95.849998,1005400,89.927055
"2020-09-11",95.949997,95.949997,94.669998,95.449997,1486700,89.551765
"2020-09-14",96.080002,97.419998,95.900002,96.720001,749400,90.743294
"2020-09-15",97.379997,98.480003,96.029999,96.540001,853400,90.574417
"2020-09-16",96.300003,97.620003,96.120003,96.839996,1078800,90.855881
"2020-09-17",96.099998,97.769997,95.080002,97.629997,1360200,91.597061
"2020-09-18",97.43,97.889999,95.339996,95.43,1700600,89.533012
"2020-09-21",94.529999,95.970001,93.290001,94.830002,1387200,88.970078
"2020-09-22",94.82,97.870003,94.559998,97.279999,1573500,91.268692
"2020-09-23",97.339996,97.660004,95.080002,95.169998,1282300,89.289078
"2020-09-24",94.879997,96.269997,93.639999,95.779999,1088800,89.861374
"2020-09-25",95.379997,97.040001,95.029999,96.980003,801200,90.987228
