"","EW.Open","EW.High","EW.Low","EW.Close","EW.Volume","EW.Adjusted"
"2020-07-01",69.080002,69.580002,68.330002,69,1915800,69
"2020-07-02",69.550003,70.230003,68.800003,69.190002,2045100,69.190002
"2020-07-06",70,70.290001,69.209999,69.529999,2035800,69.529999
"2020-07-07",69.059998,69.910004,68.449997,68.57,2552300,68.57
"2020-07-08",68.660004,69.290001,67.82,68.760002,1905200,68.760002
"2020-07-09",68.639999,69.230003,67.269997,68.260002,2409200,68.260002
"2020-07-10",68.269997,68.379997,66.870003,67.82,2799800,67.82
"2020-07-13",68.489998,68.860001,66.949997,67.190002,3578900,67.190002
"2020-07-14",67.660004,71.25,67.510002,71.220001,4805300,71.220001
"2020-07-15",72.190002,73.610001,71.43,72.470001,3810000,72.470001
"2020-07-16",71.959999,72.190002,71.160004,71.849998,2115000,71.849998
"2020-07-17",72.040001,74.599998,71.25,74.110001,5154100,74.110001
"2020-07-20",74.050003,75.809998,74.010002,74.639999,2609800,74.639999
"2020-07-21",75.389999,76.580002,75,75.940002,2794600,75.940002
"2020-07-22",75.870003,78.559998,75.629997,77.910004,3373000,77.910004
"2020-07-23",77.980003,78.919998,77.160004,77.32,3361000,77.32
"2020-07-24",80,80.5,76.099998,78.129997,5463000,78.129997
"2020-07-27",78.120003,79.18,77.400002,78.690002,2466900,78.690002
"2020-07-28",78.260002,78.889999,77.410004,77.440002,2007100,77.440002
"2020-07-29",77.730003,80.290001,77.550003,79.330002,1834000,79.330002
"2020-07-30",78.269997,79.059998,77.419998,78.949997,1666100,78.949997
"2020-07-31",79.059998,79.300003,77.790001,78.410004,2185600,78.410004
"2020-08-03",78.580002,78.879997,77.720001,78.019997,1554700,78.019997
"2020-08-04",77.82,77.940002,76.050003,76.599998,2003500,76.599998
"2020-08-05",76.849998,78.400002,76.730003,78.120003,1421000,78.120003
"2020-08-06",77.529999,77.760002,76.5,77.410004,1353600,77.410004
"2020-08-07",77.269997,77.639999,76.160004,76.940002,2221300,76.940002
"2020-08-10",76.82,77.129997,75.489998,75.779999,1902100,75.779999
"2020-08-11",76.470001,77.599998,75.550003,76.660004,2189800,76.660004
"2020-08-12",77,78.839996,76.959999,78.580002,2050000,78.580002
"2020-08-13",78.239998,79.839996,77.980003,79.400002,2332900,79.400002
"2020-08-14",78.690002,79.139999,77.669998,78.07,1317600,78.07
"2020-08-17",78.150002,79.059998,78.07,78.440002,1672300,78.440002
"2020-08-18",78.459999,78.82,77.919998,78.589996,1397500,78.589996
"2020-08-19",78.870003,79.769997,78.309998,78.769997,2566200,78.769997
"2020-08-20",78.220001,79.139999,78.029999,79.099998,1727100,79.099998
"2020-08-21",78.949997,78.949997,78.089996,78.709999,1699800,78.709999
"2020-08-24",79,79.860001,78.150002,78.709999,2271100,78.709999
"2020-08-25",79.540001,80.989998,79.209999,80.349998,2027000,80.349998
