"","EXC.Open","EXC.High","EXC.Low","EXC.Close","EXC.Volume","EXC.Adjusted"
"2020-07-01",25.784594,26.740372,25.706135,26.647646,7950041,24.89669
"2020-07-02",26.768902,27.132668,26.654779,26.733238,6042199,24.97666
"2020-07-06",26.947218,27.203995,26.412268,26.676176,5343162,24.923344
"2020-07-07",26.333809,26.447931,26.048502,26.390869,6823254,24.656786
"2020-07-08",26.412268,26.583452,26.048502,26.49786,6196980,24.756744
"2020-07-09",26.326675,26.412268,25.599144,26.119829,7613140,24.403553
"2020-07-10",26.191154,26.761768,26.041368,26.669044,5419711,24.916681
"2020-07-13",26.640514,26.911554,26.462196,26.726107,7993924,24.969995
"2020-07-14",26.547789,27.154066,26.547789,27.011412,10156368,25.236549
"2020-07-15",27.182596,27.524963,27.039944,27.139799,7136040,25.356508
"2020-07-16",27.168331,27.396576,26.975748,27.146933,5829516,25.363171
"2020-07-17",27.56776,28.188301,27.389444,28.102711,9739273,26.256145
"2020-07-20",27.874466,27.99572,27.18973,27.332382,7623235,25.536434
"2020-07-21",27.43224,27.760342,27.203995,27.624823,9745302,25.80966
"2020-07-22",27.282454,27.838802,26.982882,27.81027,14618654,25.982922
"2020-07-23",27.853067,28.031384,27.403709,27.560629,8751564,25.749683
"2020-07-24",27.446505,27.767475,26.754637,26.961485,7607392,25.189907
"2020-07-27",26.982882,27.104137,26.419401,26.804565,8089680,25.043299
"2020-07-28",26.733238,27.524963,26.68331,27.082739,9613935,25.303194
"2020-07-29",27.118402,27.510698,26.961485,27.503567,7577950,25.696371
"2020-07-30",27.139799,27.453638,26.7903,27.439371,5959341,25.636395
"2020-07-31",27.325251,27.553495,27.068474,27.53923,12909616,25.729694
"2020-08-03",27.375177,27.425106,26.890158,27.097004,6623188,25.316521
"2020-08-04",26.7903,27.767475,26.633381,27.639088,9970744,25.822987
"2020-08-05",27.596291,27.760342,26.754637,26.904423,7412795,25.136597
"2020-08-06",26.854494,27.068474,26.640514,27.03281,6345172,25.256548
"2020-08-07",27.03281,27.860201,26.918688,27.767475,8779044,25.942938
"2020-08-10",27.774609,28.024252,27.068474,27.325251,10884848,25.52977
"2020-08-11",27.489302,27.639088,26.904423,27.03281,9081595,25.256548
"2020-08-12",27.104137,27.767475,27.039944,27.610556,6856481,25.796329
"2020-08-13",27.225391,27.296719,26.911554,27.06134,5741611,25.535854
"2020-08-14",26.925819,27.118402,26.783167,27.054209,4645807,25.529127
"2020-08-17",26.811699,26.904423,26.49786,26.633381,10733151,25.132021
"2020-08-18",26.690441,26.825962,26.31241,26.4408,5781287,24.950298
"2020-08-19",26.512127,26.676176,26.31241,26.405136,6435881,24.916639
"2020-08-20",26.533524,26.562054,25.877317,25.898716,5093606,24.438768
"2020-08-21",25.998573,26.098431,25.656204,26.048502,8883212,24.580114
"2020-08-24",26.25535,26.918688,26.062767,26.883024,8036404,25.367592
"2020-08-25",26.947218,26.961485,26.28388,26.483595,5350032,24.990677
"2020-08-26",26.398003,26.604851,26.069901,26.590586,9256845,25.091639
"2020-08-27",26.49786,26.797432,26.162624,26.31241,7669220,24.829144
"2020-08-28",26.319544,26.433666,26.141228,26.419401,5511262,24.930105
"2020-08-31",26.212553,26.611982,26.212553,26.326675,5585848,24.842606
"2020-09-01",26.176889,26.212553,25.763195,25.912981,6132068,24.452232
"2020-09-02",26.226818,27.268188,25.855921,27.125534,13431861,25.59643
"2020-09-03",27.132668,27.353781,26.276749,26.597717,11790820,25.098368
"2020-09-04",26.768902,26.890158,26.134094,26.455065,8397559,24.963757
"2020-09-08",26.226818,26.455065,25.727531,25.977175,8510701,24.512806
"2020-09-09",26.248217,26.462196,26.062767,26.155493,6263996,24.681072
"2020-09-10",26.155493,26.155493,25.477888,25.56348,8555004,24.122431
"2020-09-11",25.677603,25.713266,25.406563,25.556349,6451724,24.115704
