"","EXR.Open","EXR.High","EXR.Low","EXR.Close","EXR.Volume","EXR.Adjusted"
"2020-07-01",92.519997,97.239998,92.040001,96.959999,853000,91.304817
"2020-07-02",98.080002,98.699997,96.709999,97.25,755800,91.577911
"2020-07-06",99.040001,99.220001,95.82,96.209999,543700,90.598557
"2020-07-07",95.279999,96.300003,94.580002,95.080002,609000,89.53447
"2020-07-08",95.129997,95.910004,94.669998,95.669998,933900,90.090057
"2020-07-09",95.410004,95.839996,93.790001,95.209999,429700,89.656891
"2020-07-10",95.43,96.669998,95.43,96.25,804000,90.63623
"2020-07-13",96.650002,96.870003,95.629997,96,811500,90.400818
"2020-07-14",96.440002,97.790001,96.080002,97.300003,740600,91.624992
"2020-07-15",98.080002,98.610001,97.349998,98.080002,870800,92.359489
"2020-07-16",97.790001,98.379997,96.419998,96.699997,951400,91.059982
"2020-07-17",96.889999,99.089996,95.790001,98.68,1124100,92.9245
"2020-07-20",98.480003,98.790001,96.639999,96.970001,991200,91.314232
"2020-07-21",97.470001,97.989998,96.400002,96.769997,762600,91.125885
"2020-07-22",96.239998,98.419998,95.830002,97.940002,575900,92.227646
"2020-07-23",97.510002,97.980003,96.410004,96.959999,564500,91.304817
"2020-07-24",97.699997,98.07,95.25,95.400002,802200,89.835808
"2020-07-27",95.150002,95.870003,94.099998,95.559998,556800,89.986465
"2020-07-28",95.769997,99.709999,95.769997,99.589996,916500,93.781418
"2020-07-29",99.879997,101.190002,99.290001,100.860001,895700,94.977348
"2020-07-30",99.860001,101.809998,99.43,101.510002,1665600,95.589432
"2020-07-31",101.389999,103.440002,100.150002,103.339996,1047700,97.312698
"2020-08-03",102.559998,102.559998,101.160004,101.919998,965900,95.975533
"2020-08-04",102.110001,105.790001,101.589996,105.120003,1051500,98.988884
"2020-08-05",105.669998,105.959999,101.279999,102.269997,1142600,96.305122
"2020-08-06",100.940002,101.57,97.400002,101.099998,1145400,95.203346
"2020-08-07",100.809998,104.260002,100.599998,103.760002,1024800,97.708214
"2020-08-10",104.110001,105.779999,103.68,105.029999,646300,98.904121
"2020-08-11",105.900002,106.360001,102.599998,102.989998,632900,96.983116
"2020-08-12",103.32,103.730003,101.970001,103.489998,711900,97.453949
"2020-08-13",103.110001,104.650002,102.510002,103.029999,603900,97.020775
"2020-08-14",103.029999,105.220001,103.029999,104.209999,622200,98.131966
"2020-08-17",104.220001,104.720001,103.419998,104.68,687300,98.574539
"2020-08-18",104.75,105.519997,103.980003,105.089996,616100,98.960632
"2020-08-19",104.5,104.760002,101.980003,102.199997,500500,96.239189
"2020-08-20",102.010002,104.209999,101.889999,104.160004,627400,98.084885
"2020-08-21",104.529999,105.43,104.040001,105.309998,807800,99.167801
"2020-08-24",105.309998,106.739998,104.75,106.239998,510800,100.043556
"2020-08-25",106.43,106.690002,104.650002,106.059998,821400,99.874039
"2020-08-26",105.309998,105.839996,103.860001,105.800003,608200,99.629227
"2020-08-27",106.379997,106.959999,106.199997,106.529999,581900,100.316643
"2020-08-28",106.540001,106.760002,105.230003,106.739998,619300,100.514397
"2020-08-31",106.019997,106.970001,105.400002,106.550003,816600,100.335487
"2020-09-01",106.989998,107.410004,105.650002,106.849998,436300,100.617981
"2020-09-02",106.790001,108.510002,106.139999,108.459999,904100,102.134071
"2020-09-03",109.300003,109.949997,107.309998,108.150002,462800,101.842163
"2020-09-04",108.129997,109.209999,106.269997,108.349998,710300,102.030487
