"","FANG.Open","FANG.High","FANG.Low","FANG.Close","FANG.Volume","FANG.Adjusted"
"2020-07-01",42.360001,42.849998,39.52,39.599998,4343000,36.957298
"2020-07-02",40.93,42.540001,40.32,41.560001,3305900,38.786503
"2020-07-06",42.669998,43.130001,41.299999,42.880001,2497900,40.018406
"2020-07-07",41.990002,42.439999,40.110001,40.119999,2133100,37.442593
"2020-07-08",40.27,41.07,39.84,40.23,2738300,37.545261
"2020-07-09",40.049999,40.439999,37.369999,37.5,3235300,34.997444
"2020-07-10",37.369999,39,36.91,38.93,2557200,36.332016
"2020-07-13",39.110001,39.689999,36.900002,37.099998,3915700,34.624134
"2020-07-14",37.150002,39.419998,36.799999,39.279999,2776800,36.658657
"2020-07-15",39.880001,40.200001,38.139999,39.900002,3706300,37.237282
"2020-07-16",39.080002,40.529999,38.169998,39.509998,1651600,36.873306
"2020-07-17",39.59,40.330002,38.689999,39.02,1904100,36.416004
"2020-07-20",39.049999,40.110001,38.560001,38.580002,1623700,36.005371
"2020-07-21",40.23,42.82,40.16,42.110001,3450300,39.299797
"2020-07-22",41.360001,41.889999,40.369999,41.700001,1267800,38.91716
"2020-07-23",41.189999,41.889999,40.610001,41.07,1257200,38.329201
"2020-07-24",41.380001,41.869999,40.32,40.73,1026000,38.01189
"2020-07-27",41,41.099998,39.689999,40.049999,1231600,37.37727
"2020-07-28",39.639999,40.279999,38.759998,38.880001,1534200,36.285351
"2020-07-29",39.040001,40.82,38.66,40.759998,1644400,38.039883
"2020-07-30",39.369999,39.950001,38.490002,39.509998,1717900,36.873306
"2020-07-31",39.419998,40.07,39.119999,39.860001,2380400,37.199951
"2020-08-03",39.869999,40.639999,38.830002,40.009998,2151000,37.339939
"2020-08-04",39.77,41.450001,39.27,41.07,2728200,38.329201
"2020-08-05",42.150002,43.259998,41.029999,41.630001,1973900,38.851826
"2020-08-06",41.099998,41.700001,40.349998,40.73,1706300,38.01189
"2020-08-07",40.290001,42.200001,39.900002,42.009998,1584200,39.20647
"2020-08-10",42.259998,44.880001,42.259998,44.669998,2869300,41.688953
"2020-08-11",45.689999,46.950001,44.200001,44.450001,2717200,41.483635
"2020-08-12",45.110001,45.759998,44.099998,44.57,1702400,41.949528
"2020-08-13",44.450001,45,43.880001,44.580002,1508000,41.958946
"2020-08-14",44.400002,45.810001,44.099998,45.509998,1775400,42.834263
"2020-08-17",45.310001,45.799999,44.349998,45.080002,1712400,42.429554
"2020-08-18",44.639999,45.330002,44.330002,44.490002,1604500,41.874237
"2020-08-19",44.450001,44.779999,43.200001,43.299999,1057500,40.754196
"2020-08-20",42.419998,42.810001,40.619999,40.630001,2567000,38.241184
"2020-08-21",40.009998,40.380001,39.060001,39.209999,2582500,36.904675
"2020-08-24",39.639999,40.889999,39.150002,40.049999,1722200,37.695282
"2020-08-25",40.529999,41.259998,40.060001,41.060001,1653300,38.645897
"2020-08-26",40.98,41.360001,39.330002,39.389999,1318800,37.074085
"2020-08-27",39.740002,40.119999,39.16,39.77,1690400,37.431747
"2020-08-28",39.959999,40.580002,39.619999,40.139999,1239000,37.779995
"2020-08-31",40.16,40.200001,38.950001,38.959999,1819300,36.669369
"2020-09-01",38.799999,39.169998,38.18,38.48,2169400,36.217587
"2020-09-02",38.130001,38.240002,36.25,36.32,4058600,34.184582
"2020-09-03",36.360001,36.93,35.48,35.77,3410700,33.666927
"2020-09-04",36.23,36.439999,34.98,35.529999,2883800,33.441032
"2020-09-08",34.700001,34.84,31.92,31.99,3869100,30.109169
"2020-09-09",32.610001,32.610001,31.549999,32.189999,4372900,30.297405
"2020-09-10",32.23,32.23,30.08,30.08,2852300,28.311464
"2020-09-11",30.15,30.49,29.120001,29.620001,3425800,27.87851
"2020-09-14",30.25,31.48,29.75,31.059999,3083900,29.233845
"2020-09-15",31.190001,31.719999,30.360001,30.5,2517700,28.70677
