"","FAST.Open","FAST.High","FAST.Low","FAST.Close","FAST.Volume","FAST.Adjusted"
"2020-07-01",43.02,43.18,42.619999,43.009998,4474000,40.579224
"2020-07-02",43.68,44.259998,43.540001,44.040001,5302500,41.551022
"2020-07-06",44.560001,44.790001,43.860001,44.220001,4759900,41.720848
"2020-07-07",44.18,44.650002,43.950001,44.060001,4744700,41.569889
"2020-07-08",44.029999,44.119999,42.57,43.02,4721900,40.588669
"2020-07-09",42.959999,43.360001,42.66,43.099998,5020400,40.66415
"2020-07-10",43.02,43.209999,42.380001,43.029999,3704300,40.598095
"2020-07-13",43.34,44.279999,43.32,43.380001,5117900,40.928326
"2020-07-14",43.860001,45,42.459999,43.400002,7453100,40.947189
"2020-07-15",43.619999,44.27,42.639999,44.02,5838800,41.53215
"2020-07-16",44,44.150002,43.209999,43.5,3860100,41.041542
"2020-07-17",43.619999,44.59,43.529999,44.200001,4992100,41.701981
"2020-07-20",44.130001,45.029999,44,44.84,2979000,42.305813
"2020-07-21",45.110001,45.700001,45.060001,45.540001,5431300,42.966244
"2020-07-22",45.650002,45.990002,45.41,45.84,3435200,43.249283
"2020-07-23",45.950001,46.540001,45.700001,45.77,4063100,43.183247
"2020-07-24",45.73,46.16,45.400002,45.740002,3401200,43.154942
"2020-07-27",45.580002,46.439999,45.580002,46.220001,3618600,43.847469
"2020-07-28",45.91,46.009998,45.34,45.369999,2654300,43.0411
"2020-07-29",45.639999,46.830002,45.450001,46.549999,3375200,44.160526
"2020-07-30",45.91,47.02,45.720001,46.91,3262200,44.502052
"2020-07-31",47.060001,47.07,46.150002,47.040001,4397300,44.625374
"2020-08-03",47.369999,47.959999,47.25,47.459999,3547600,45.023819
"2020-08-04",47.18,47.59,47.110001,47.529999,4427600,45.090229
"2020-08-05",47.540001,48.209999,47.490002,48.060001,2156200,45.593029
"2020-08-06",47.200001,48.02,47.110001,47.939999,2772500,45.479183
"2020-08-07",47.889999,48.509998,47.650002,48.450001,2655400,45.962997
"2020-08-10",48.419998,48.59,47.73,47.93,2665100,45.469696
"2020-08-11",48.18,48.369999,47.259998,47.389999,4373600,44.957413
"2020-08-12",47.580002,48.48,47.509998,48.139999,2949900,45.668919
"2020-08-13",48.049999,48.380001,47.82,48.009998,2261800,45.545589
"2020-08-14",47.759998,48.34,47.650002,47.990002,2044600,45.526615
"2020-08-17",48.049999,48.48,47.959999,48.240002,2258600,45.763779
"2020-08-18",48.330002,48.549999,48.049999,48.07,2514200,45.602505
"2020-08-19",48.23,48.549999,47.889999,48.02,2103600,45.555073
"2020-08-20",47.799999,48.290001,47.650002,48.200001,1854200,45.725834
"2020-08-21",48.220001,48.57,47.919998,48.540001,1956300,46.048386
"2020-08-24",48.720001,48.889999,47.18,47.880001,2801900,45.42226
"2020-08-25",48.119999,48.209999,47.599998,47.889999,2635300,45.431747
"2020-08-26",47.869999,48.310001,47.57,48.09,2609600,45.621483
"2020-08-27",48.360001,48.709999,48.040001,48.349998,2531800,45.868134
"2020-08-28",48.529999,48.880001,48.330002,48.84,2353300,46.332985
"2020-08-31",48.68,49.080002,48.610001,48.860001,3111400,46.351959
"2020-09-01",48.860001,49.529999,48.450001,49.490002,2951300,46.949612
"2020-09-02",49.57,49.860001,49.27,49.669998,4811100,47.120373
"2020-09-03",48.939999,49.119999,46.509998,47.02,5376200,44.606407
"2020-09-04",47.549999,47.549999,45.509998,46.27,5448900,43.894901
"2020-09-08",44.82,45.25,43.639999,43.709999,7211600,41.466312
"2020-09-09",44.32,45.650002,44.290001,45.23,4428900,42.908291
"2020-09-10",45.189999,45.349998,43.709999,43.959999,3629300,41.70348
"2020-09-11",44.139999,44.459999,43.470001,44.029999,3850900,41.769886
"2020-09-14",44.439999,44.509998,44.060001,44.330002,2492500,42.054489
"2020-09-15",44.450001,44.970001,44.419998,44.68,2643100,42.38652
"2020-09-16",44.970001,45.169998,44.189999,44.259998,3339000,41.988075
"2020-09-17",43.630001,44.439999,43.259998,44.259998,5557800,41.988075
"2020-09-18",44.349998,44.919998,43.41,44.040001,5393200,41.779373
"2020-09-21",43.57,43.740002,43.049999,43.720001,3240800,41.475796
"2020-09-22",43.830002,44.900002,43.689999,44.790001,3558600,42.490879
"2020-09-23",44.57,44.950001,44.099998,44.189999,2939800,41.921669
"2020-09-24",44.25,45.119999,44.029999,44.279999,2639600,42.00705
"2020-09-25",43.98,45.169998,43.860001,44.880001,2607000,42.576256
"2020-09-28",45.439999,45.990002,45.240002,45.77,2823400,43.420567
"2020-09-29",45.720001,46.130001,45.169998,45.330002,2992900,43.003155
"2020-09-30",45.860001,45.860001,44.84,45.09,3735400,42.775467
"2020-10-01",45.369999,45.380001,44.650002,44.759998,3170300,42.462414
"2020-10-02",44.259998,44.830002,44.099998,44.540001,3767200,42.2537
"2020-10-05",44.689999,45.990002,44.689999,45.830002,3043200,43.477489
"2020-10-06",45.700001,46.139999,45.029999,45.130001,3647100,42.813419
"2020-10-07",45.439999,46.34,45.360001,46.209999,2740400,43.837986
"2020-10-08",46.41,46.59,45.919998,46,2939100,43.638767
"2020-10-09",46.220001,47.09,46.169998,46.630001,3132100,44.236423
"2020-10-12",47.110001,48.77,47.02,47.639999,5920600,45.194576
"2020-10-13",45.23,46.09,44.549999,45.349998,6417900,43.022121
"2020-10-14",45.669998,45.970001,44.810001,44.950001,3487700,42.642658
"2020-10-15",44.639999,45.169998,44.299999,44.619999,3295100,42.329597
"2020-10-16",44.91,45.630001,44.77,45.259998,3384400,42.936749
"2020-10-19",45.23,45.369999,44.200001,44.43,4116500,42.149357
"2020-10-20",44.91,45.419998,44.799999,45.040001,2374100,42.728039
"2020-10-21",45.07,45.369999,43.919998,43.939999,3432900,41.684505
"2020-10-22",44.049999,44.209999,43.5,44.09,2586900,41.826805
"2020-10-23",44.34,45.099998,44.040001,45,2533100,42.690094
"2020-10-26",43.919998,44.34,43.740002,44.299999,3012600,42.260815
"2020-10-27",44.419998,44.57,43.529999,43.580002,2332800,41.573959
"2020-10-28",42.790001,43.380001,42.66,42.939999,3218700,40.963417
"2020-10-29",42.959999,43.650002,42.57,43.119999,2290800,41.135128
"2020-10-30",42.880001,43.5,42.630001,43.23,3018300,41.240059
"2020-11-02",43.669998,44.549999,43.669998,44.52,2695300,42.470684
"2020-11-03",45.060001,46.43,45.060001,46.220001,3124200,44.092426
"2020-11-04",46.709999,47.75,46.389999,46.599998,4040700,44.454933
"2020-11-05",47.41,47.650002,46.290001,46.34,3267200,44.206909
"2020-11-06",46.41,47.130001,46.040001,46.98,2136600,44.817444
"2020-11-09",48.66,49.360001,45.91,45.990002,3904900,43.87302
"2020-11-10",45.549999,47.169998,45.470001,46.759998,3750900,44.607574
"2020-11-11",47.119999,47.360001,46.419998,47.240002,2089500,45.065479
"2020-11-12",47.02,47.119999,46.009998,46.330002,2588800,44.197365
"2020-11-13",46.790001,47.669998,46.669998,47.529999,2156000,45.342125
"2020-11-16",47.75,48.610001,47.360001,48.610001,2254600,46.372414
"2020-11-17",48.060001,48.290001,47.459999,47.66,2356700,45.466148
"2020-11-18",47.709999,48.150002,47.43,47.610001,2655700,45.418446
"2020-11-19",47.5,48.080002,46.93,47.98,1847000,45.771412
"2020-11-20",47.830002,48.110001,47.200001,47.299999,5156600,45.122715
"2020-11-23",47.380001,47.970001,47.060001,47.91,4708600,45.704636
"2020-11-24",48.130001,49.139999,47.630001,48.939999,3758600,46.687225
"2020-11-25",48.779999,48.950001,47.84,48.189999,2172700,45.971741
"2020-11-27",48.25,48.799999,48.130001,48.580002,1655300,46.3438
"2020-11-30",48.529999,49.529999,48.310001,49.450001,6174000,47.173744
"2020-12-01",49.509998,49.599998,48.419998,48.52,3425700,46.664017
"2020-12-02",48.310001,48.68,47.41,47.580002,2338700,45.759979
"2020-12-03",47.470001,48.009998,47.23,47.369999,3001800,45.558006
"2020-12-04",47.580002,48.459999,47.529999,48.049999,3388600,46.212002
