"","FBHS.Open","FBHS.High","FBHS.Low","FBHS.Close","FBHS.Volume","FBHS.Adjusted"
"2020-07-01",64.300003,64.309998,61.939999,62.389999,758800,60.935616
"2020-07-02",63.610001,64.709999,62.200001,62.689999,723600,61.228619
"2020-07-06",64.449997,64.980003,64.080002,64.839996,784900,63.328499
"2020-07-07",64.040001,64.550003,63.669998,63.73,723600,62.244381
"2020-07-08",63.939999,65.349998,63.799999,65.120003,1210600,63.601982
"2020-07-09",64.959999,65.360001,63.18,64.150002,1104100,62.654591
"2020-07-10",64.559998,66,64.18,64.830002,1044000,63.318741
"2020-07-13",65.239998,66.610001,64.160004,64.300003,804300,62.801102
"2020-07-14",64.18,66.800003,64,66.709999,827600,65.154922
"2020-07-15",67.989998,68.809998,66.739998,68.379997,838800,66.78598
"2020-07-16",68.199997,69.300003,67.459999,69.07,832000,67.459892
"2020-07-17",69.07,69.730003,68.57,69.169998,736400,67.557556
"2020-07-20",68.980003,69.510002,68.720001,69.019997,572500,67.411057
"2020-07-21",69.300003,69.809998,68.699997,69.150002,545100,67.538048
"2020-07-22",68.709999,71.040001,68.709999,70.519997,1069000,68.876091
"2020-07-23",70.709999,72.239998,70.360001,71,1240400,69.344917
"2020-07-24",71,71.279999,70.089996,71,832800,69.344917
"2020-07-27",71.190002,74.389999,71.190002,74.260002,1410200,72.528923
"2020-07-28",73.690002,73.709999,72.169998,72.290001,1304400,70.604836
"2020-07-29",72.589996,76.32,72.589996,75.949997,2077100,74.17952
"2020-07-30",74.089996,78.25,74.089996,76.989998,1991500,75.195282
"2020-07-31",76.220001,76.529999,74.510002,76.5,1344600,74.716705
"2020-08-03",77,78.949997,76.099998,78.43,1216200,76.6017
"2020-08-04",77.879997,78.120003,77.190002,77.580002,1180900,75.77153
"2020-08-05",78.580002,79.220001,77.699997,78.440002,824700,76.611473
"2020-08-06",78.480003,78.730003,77.690002,78.43,723300,76.6017
"2020-08-07",78.360001,79.970001,78.220001,79.809998,890700,77.949547
"2020-08-10",79.599998,81.150002,79.480003,81.019997,814100,79.13134
"2020-08-11",81.889999,82.25,80.959999,81.089996,1612700,79.199699
"2020-08-12",81.860001,83.489998,81.190002,83.010002,1381700,81.074951
"2020-08-13",82.529999,83.790001,82.269997,83.330002,600300,81.387474
"2020-08-14",82.800003,83.239998,82.459999,83.059998,993100,81.123772
"2020-08-17",83.360001,85.970001,83.32,85.629997,1421700,83.633865
"2020-08-18",85.800003,86.190002,83.839996,83.949997,1130600,81.993027
"2020-08-19",84.150002,84.410004,83.510002,83.68,861600,81.729324
"2020-08-20",82.879997,83.580002,82.510002,83.139999,1216400,81.201904
"2020-08-21",83.139999,85.209999,82.910004,85.209999,1082400,83.223663
"2020-08-24",85.779999,85.940002,84.410004,85.419998,1162000,83.428764
"2020-08-25",85.809998,85.989998,83.610001,85.519997,1348300,83.526421
"2020-08-26",85.349998,85.760002,84.739998,85.669998,826600,83.672928
"2020-08-27",85.849998,86.470001,83.919998,84.860001,941100,83.114655
"2020-08-28",85,86.279999,84.669998,85.410004,1187100,83.653358
"2020-08-31",85.309998,85.559998,84.010002,84.080002,1073600,82.350693
"2020-09-01",84.059998,85.82,83.900002,85.739998,982600,83.976555
"2020-09-02",85.82,86.800003,84.940002,86.410004,715800,84.632767
"2020-09-03",86,86.459999,82.010002,82.980003,890900,81.273323
"2020-09-04",84.400002,84.529999,80.510002,82.559998,799000,80.861954
"2020-09-08",81.510002,83.110001,80.349998,81.400002,903800,79.725815
"2020-09-09",81.989998,83.129997,81.739998,82.550003,1146400,80.852165
"2020-09-10",84.379997,84.5,81.709999,81.949997,1276700,80.264503
"2020-09-11",82.57,82.959999,81.510002,82.610001,837600,80.910934
"2020-09-14",83.5,83.830002,82.459999,83.769997,1011300,82.047066
"2020-09-15",84.300003,85.25,83.769997,84.080002,773200,82.350693
"2020-09-16",84.940002,86.419998,83.879997,85.209999,1269700,83.457451
"2020-09-17",84.25,85.589996,83.419998,84.769997,1136200,83.026505
"2020-09-18",84.660004,85.370003,83.540001,84.32,2006300,82.58577
"2020-09-21",82.809998,82.970001,80.010002,82.339996,1008600,80.646477
"2020-09-22",82.760002,84.809998,82.599998,84.5,796000,82.762062
"2020-09-23",84.160004,85.110001,82.330002,82.389999,833200,80.695465
"2020-09-24",81.949997,83.529999,81.269997,82.059998,660900,80.372238
"2020-09-25",81.480003,83.709999,81.32,83.139999,763200,81.430031
"2020-09-28",84.580002,86.599998,84.220001,85.82,922300,84.054916
"2020-09-29",86.169998,86.57,84.919998,85.25,721000,83.496628
"2020-09-30",85.519997,87.379997,85.519997,86.519997,1592900,84.740501
"2020-10-01",87.419998,88.209999,86.129997,87.669998,1195800,85.866852
"2020-10-02",86.089996,88.07,85.269997,87.519997,835600,85.719948
"2020-10-05",88.309998,88.879997,88.07,88.809998,1190100,86.983414
"2020-10-06",89,89.559998,87.07,87.18,809600,85.38694
"2020-10-07",88.43,88.599998,86.800003,87.599998,1060300,85.798294
"2020-10-08",87.949997,89.610001,87.949997,89.330002,712600,87.492722
"2020-10-09",90,90.279999,88.519997,88.690002,581000,86.865883
"2020-10-12",89.510002,89.510002,88.559998,89.129997,667800,87.296829
"2020-10-13",88.849998,89.239998,87.800003,88.279999,644400,86.464317
"2020-10-14",89.169998,89.489998,88.169998,88.5,577500,86.679787
"2020-10-15",87.419998,89.910004,87.25,89.809998,538800,87.962837
"2020-10-16",90.059998,90.940002,89.699997,90.260002,665100,88.403587
"2020-10-19",90.25,90.419998,86.760002,86.919998,964400,85.132294
"2020-10-20",87.620003,89.220001,87.339996,87.629997,487800,85.827675
"2020-10-21",87.459999,88.629997,85.510002,85.910004,878200,84.143051
"2020-10-22",86.529999,86.529999,84.550003,85.269997,684600,83.516212
"2020-10-23",86.029999,86.389999,84.260002,85.470001,781200,83.712112
"2020-10-26",84.110001,84.660004,81.470001,82.080002,706900,80.39183
"2020-10-27",82.510002,82.739998,81.470001,81.809998,772500,80.127388
"2020-10-28",79.650002,82.449997,78.809998,81.410004,1942700,79.735619
"2020-10-29",81,84.07,80.940002,81.879997,1440400,80.195946
"2020-10-30",81.769997,82.260002,79.470001,80.870003,1221500,79.206711
"2020-11-02",81.93,84.75,81.779999,84.580002,1202000,82.840416
"2020-11-03",85.779999,86.129997,84.279999,84.940002,852200,83.193016
"2020-11-04",84.889999,89.019997,84.559998,87.790001,1278300,85.984398
"2020-11-05",89.050003,90.489998,88.220001,89.129997,784700,87.296829
"2020-11-06",88.900002,89.360001,86.940002,88.139999,597800,86.327187
"2020-11-09",91.410004,92.589996,80.050003,80.059998,1585700,78.413383
"2020-11-10",80.580002,81.290001,79.190002,79.699997,1953200,78.060783
"2020-11-11",81.110001,83.110001,79.940002,83.050003,1998900,81.341888
"2020-11-12",83,84.139999,81.709999,82.330002,1112000,80.636688
"2020-11-13",82.959999,84.720001,82.959999,83.800003,640000,82.076454
"2020-11-16",84.209999,85,82.199997,82.610001,1218600,80.910934
"2020-11-17",82.370003,83.889999,81.760002,83.389999,1068900,81.674889
"2020-11-18",84.110001,84.330002,82.849998,83.32,986600,81.606316
"2020-11-19",83.43,85.43,83.120003,85.110001,1147300,83.359505
"2020-11-20",84.790001,85.110001,83.489998,84.459999,836800,82.72287
"2020-11-23",84.730003,86.529999,84.730003,86.110001,840200,84.338943
"2020-11-24",86.639999,87.279999,84.32,84.68,1144900,82.938354
"2020-11-25",84.5,85.309998,83.870003,84.860001,842900,83.350883
"2020-11-27",84.970001,86.25,84.760002,85.010002,395100,83.49823
"2020-11-30",84.540001,85.169998,82.949997,83.5,1619800,82.015076
"2020-12-01",83.900002,84.519997,82.379997,82.889999,1203200,81.415924
"2020-12-02",82.300003,82.68,79.459999,80.18,1588500,78.754128
"2020-12-03",80.470001,82.870003,80.220001,81.779999,1449900,80.325653
"2020-12-04",81.75,82.239998,80.209999,80.980003,812800,79.539902
"2020-12-07",81.040001,83.830002,81.040001,83.07,972700,81.59272
"2020-12-08",82.650002,83.349998,82.160004,82.93,901900,81.455208
"2020-12-09",84.209999,85.639999,83.57,84.519997,1499500,83.01693
"2020-12-10",83.690002,85.059998,82.400002,83.940002,990300,82.447258
"2020-12-11",83.440002,84.139999,82.760002,83.230003,1062400,81.74987
"2020-12-14",83.870003,84.5,83.050003,83.07,788700,81.59272
"2020-12-15",83.559998,85.839996,83.559998,85.43,939600,83.910759
"2020-12-16",85.949997,86.959999,85.550003,86.260002,1833100,84.72599
"2020-12-17",86.75,89.900002,86.510002,88.889999,1424400,87.309219
"2020-12-18",89.449997,91.629997,88.089996,89.629997,2593200,88.036057
"2020-12-21",88.029999,90.230003,87.800003,88.669998,1393300,87.093124
"2020-12-22",88.720001,89.360001,87.519997,87.779999,671100,86.218948
"2020-12-23",87.860001,88.220001,86.339996,87.769997,642100,86.209137
"2020-12-24",88.040001,89.110001,87.580002,89.07,179900,87.486015
"2020-12-28",89.660004,89.760002,86.220001,86.400002,566000,84.863495
"2020-12-29",86.669998,87,84.309998,85.190002,613800,83.675034
"2020-12-30",85.440002,86.650002,85.300003,85.809998,528200,84.283981
"2020-12-31",86.080002,86.25,84.470001,85.720001,493400,84.195595
"2021-01-04",86.089996,86.650002,83.93,84.800003,980300,83.291954
"2021-01-05",84.529999,85.75,84.260002,84.730003,661800,83.223206
"2021-01-06",85.080002,87.18,84.639999,86.050003,1264900,84.519722
"2021-01-07",86.599998,88.639999,85.769997,88.529999,650400,86.95562
"2021-01-08",88.760002,89.120003,85.730003,86.68,787300,85.138527
"2021-01-11",85.650002,87.980003,85.260002,87.540001,582400,85.983223
"2021-01-12",87.489998,89.720001,87.019997,89.43,754600,87.839622
"2021-01-13",89.650002,91.080002,87.68,87.849998,757900,86.287704
"2021-01-14",89.93,90.540001,88.169998,89.300003,743300,87.711922
"2021-01-15",88.589996,89.290001,86.620003,88.32,717500,86.749344
"2021-01-19",88.970001,90.410004,88.470001,88.519997,675200,86.945793
"2021-01-20",88.769997,91.940002,88.620003,91.849998,863500,90.216576
"2021-01-21",92.010002,93.050003,90.739998,92.150002,836200,90.511253
"2021-01-22",91.730003,92.879997,91.349998,92.57,848900,90.923782
"2021-01-25",91.919998,93.400002,90.839996,91.440002,772100,89.813881
"2021-01-26",92.050003,92.050003,87.470001,87.730003,726200,86.169853
"2021-01-27",86.110001,86.279999,83.730003,84.370003,969900,82.869598
"2021-01-28",85.400002,87.790001,84.599998,87.370003,1008100,85.816254
"2021-01-29",86.5,87.269997,84.279999,86.25,1673600,84.716171
"2021-02-01",88.040001,89.120003,86.870003,88.32,1061200,86.749344
"2021-02-02",88.760002,90.129997,88.629997,88.959999,903200,87.377975
"2021-02-03",88.059998,91.089996,86.199997,87.290001,1541300,85.737663
"2021-02-04",87.68,90.220001,86.809998,88.709999,842900,87.132423
"2021-02-05",88.919998,89.440002,88.410004,88.529999,752600,86.95562
"2021-02-08",88.949997,91.639999,88.580002,91.57,704000,89.941559
