"","FDS.Open","FDS.High","FDS.Low","FDS.Close","FDS.Volume","FDS.Adjusted"
"2020-07-01",330.230011,336.589996,328.329987,333.890015,226800,327.927185
"2020-07-02",335.130005,339.600006,335.130005,335.899994,168000,329.901276
"2020-07-06",339.070007,343.140015,337.959991,338.76001,227000,332.710205
"2020-07-07",336,343.309998,335.200012,341.019989,213400,334.929779
"2020-07-08",344.420013,350.920013,343.5,349.429993,239400,343.189606
"2020-07-09",348.799988,350.75,345.48999,347.369995,204900,341.166412
"2020-07-10",348.390015,351.959991,344.600006,350.980011,191300,344.711945
"2020-07-13",355,357.209991,341.220001,342.140015,248100,336.029816
"2020-07-14",340.040009,352.049988,339.160004,351.570007,198400,345.291382
"2020-07-15",356,356,349.070007,351.839996,176500,345.556549
"2020-07-16",349.769989,352.559998,346.029999,350.049988,172100,343.798523
"2020-07-17",352.329987,356.850006,350.040009,353.73999,154600,347.422638
"2020-07-20",354.950012,356.089996,352.640015,355.25,199700,348.905731
"2020-07-21",356.980011,357.519989,352.76001,354.670013,178600,348.33609
"2020-07-22",354.690002,357.899994,351,354.51001,167200,348.178925
"2020-07-23",354.529999,358.779999,348,348.100006,292500,341.883392
"2020-07-24",347.019989,352.26001,345.73999,347.940002,186900,341.726196
"2020-07-27",347.26001,351.600006,347.26001,349.380005,152100,343.140533
"2020-07-28",348.679993,349.920013,341.959991,342.76001,194100,336.638733
"2020-07-29",342.160004,350.200012,342.160004,347.369995,163300,341.166412
"2020-07-30",342.200012,347.089996,341,345.720001,161200,339.545898
"2020-07-31",347.630005,347.630005,339.649994,346.299988,240200,340.115509
"2020-08-03",349.910004,351.579987,347.890015,348.809998,192400,342.580688
"2020-08-04",346.540009,348.820007,342.769989,347.290009,150700,341.08783
"2020-08-05",348.73999,352.630005,346.809998,350.059998,167600,343.808319
"2020-08-06",350,353.820007,347.399994,353.369995,124700,347.059235
"2020-08-07",353.269989,358.829987,353.059998,355.820007,136400,349.465515
"2020-08-10",354.980011,357.109985,351.179993,356.26001,147200,349.897675
"2020-08-11",357.600006,360.880005,352.179993,355.76001,154800,349.406586
"2020-08-12",358.040009,363.179993,358.040009,360.160004,128800,353.727997
"2020-08-13",358.670013,360.609985,354.470001,355.959991,186700,349.602997
"2020-08-14",356,358.630005,351.100006,354.589996,134000,348.257446
"2020-08-17",355.700012,359.350006,352.700012,355.529999,150200,349.180664
"2020-08-18",356.559998,362.670013,356.559998,360.809998,109600,354.366394
"2020-08-19",360.5,363.640015,359.450012,360.920013,131500,354.474426
"2020-08-20",358.809998,360.730011,356.049988,356.23999,99000,349.87796
"2020-08-21",356.089996,358.359985,353.579987,356.100006,128700,349.740509
"2020-08-24",359.470001,362.100006,355.549988,357.369995,156100,350.987823
"2020-08-25",358.440002,358.440002,355.26001,356,164600,349.642303
"2020-08-26",355,359.140015,354.709991,355.959991,216200,349.602997
"2020-08-27",358.100006,359.619995,352.839996,353.929993,174900,347.609222
"2020-08-28",354.459991,355.890015,351.910004,352.920013,123200,347.373016
"2020-08-31",353,360.850006,350.119995,350.399994,257000,344.892639
"2020-09-01",350.679993,352.160004,350,351.079987,153900,345.561951
"2020-09-02",352.649994,356.329987,351.130005,354.049988,209000,348.48526
"2020-09-03",353.540009,353.730011,337.470001,339.179993,230800,333.848999
"2020-09-04",341.019989,341.299988,327,332.470001,265400,327.244446
"2020-09-08",327.98999,328.679993,320.140015,322.600006,354100,317.529541
"2020-09-09",327.380005,336.329987,326.119995,332.670013,207900,327.441284
"2020-09-10",333.190002,334.109985,323.23999,325.049988,173100,319.94104
"2020-09-11",326.890015,329.880005,324.959991,327.040009,146400,321.899811
"2020-09-14",331.459991,335.690002,329.730011,333.420013,220100,328.179535
"2020-09-15",336.720001,338.309998,334.339996,336.329987,104500,331.043732
"2020-09-16",337.160004,342.290009,333.480011,334.119995,176100,328.8685
"2020-09-17",329.369995,336.019989,328.859985,333.040009,183900,327.805511
"2020-09-18",335.700012,339.660004,333.130005,336.399994,684100,331.11264
"2020-09-21",330.329987,338.179993,327.649994,336.839996,278200,331.545776
"2020-09-22",337.440002,341.859985,330.839996,338.799988,219000,333.474915
"2020-09-23",338.079987,340.619995,328.040009,330.720001,227800,325.521942
"2020-09-24",345,357.920013,331.23999,334.359985,409000,329.104706
"2020-09-25",332.649994,332.649994,322.779999,328.399994,326900,323.238434
"2020-09-28",331.5,336.720001,331.5,333.290009,254800,328.051544
"2020-09-29",332.25,337.5,332.25,333.959991,220200,328.711029
"2020-09-30",333.959991,338.700012,331.970001,334.880005,261900,329.616547
"2020-10-01",335.179993,339.179993,326.959991,328,342500,322.844696
"2020-10-02",323.859985,327.970001,322.51001,323.720001,357600,318.631989
"2020-10-05",325.929993,328.950012,320.570007,323.149994,291400,318.070923
"2020-10-06",324.380005,327.720001,321.149994,321.769989,274100,316.712585
"2020-10-07",324.179993,326.619995,323.299988,325.380005,287100,320.265869
"2020-10-08",326.790009,330.859985,324.720001,328.600006,242400,323.435272
"2020-10-09",330.98999,332.350006,326.920013,327.470001,172700,322.323059
"2020-10-12",328.380005,331.440002,326.720001,329.559998,214200,324.380157
"2020-10-13",330.079987,336.630005,329.820007,335.549988,309100,330.276062
"2020-10-14",337.380005,338.220001,332.700012,335.23999,159800,329.970917
"2020-10-15",328.660004,339.429993,328.660004,337.73999,203300,332.431641
"2020-10-16",340.290009,341.170013,337.450012,339.559998,183500,334.222961
"2020-10-19",341.769989,344.440002,333.040009,333.929993,176600,328.681488
"2020-10-20",334.209991,338.279999,332.869995,333.299988,136000,328.061371
"2020-10-21",334.480011,338.440002,332.600006,332.799988,129300,327.569275
"2020-10-22",332.820007,335.290009,327.380005,327.970001,158700,322.815155
"2020-10-23",327.929993,331.390015,325.730011,328.480011,141800,323.317169
"2020-10-26",324.809998,329.459991,318.399994,322.269989,236200,317.204803
"2020-10-27",323.230011,326.26001,318.799988,318.899994,179800,313.887665
"2020-10-28",313.130005,313.899994,308.220001,311.230011,211500,306.338287
"2020-10-29",310.26001,313.029999,306.01001,310.25,220700,305.373688
"2020-10-30",307.910004,309.839996,303.109985,306.5,297600,301.682617
"2020-11-02",310.690002,315.869995,307.170013,311.179993,430000,306.289063
"2020-11-03",313.980011,322.350006,311.790009,319.480011,271800,314.458618
"2020-11-04",322.23999,333.630005,322,327.880005,204400,322.726593
