"","FE.Open","FE.High","FE.Low","FE.Close","FE.Volume","FE.Adjusted"
"2020-07-01",38.869999,40,38.650002,39.880001,4357100,36.520493
"2020-07-02",40.25,40.32,39.759998,39.919998,2897300,36.557117
"2020-07-06",40.09,40.77,39.77,40.18,4223500,36.795219
"2020-07-07",39.82,40.41,39.540001,40.25,4239300,36.859322
"2020-07-08",40.169998,40.709999,39.880001,40.630001,4635600,37.20731
"2020-07-09",40.380001,40.43,39.700001,40.189999,3781500,36.804371
"2020-07-10",40.189999,41.349998,40.119999,41.27,2784900,37.793392
"2020-07-13",41.18,41.490002,40.650002,40.84,2663300,37.399616
"2020-07-14",40.82,41.380001,40.599998,40.919998,7743700,37.472874
"2020-07-15",41.630001,41.779999,40.810001,40.82,4429000,37.381302
"2020-07-16",40.799999,41.43,40.66,41.290001,2647100,37.81171
"2020-07-17",41.48,42.349998,41.349998,42.139999,3370500,38.590096
"2020-07-20",41.91,42.02,41.240002,41.259998,2761600,37.784233
"2020-07-21",41.639999,41.650002,33.599998,34.25,41029600,31.364763
"2020-07-22",29.01,29.700001,22.85,27.09,135941100,24.807924
"2020-07-23",27.709999,28.799999,26.959999,27.4,53410400,25.09181
"2020-07-24",27.940001,30.15,27.83,29.48,38414300,26.99659
"2020-07-27",29.75,30.360001,28.25,29.280001,21554400,26.813435
"2020-07-28",29,30.26,28.879999,29.139999,15827800,26.68523
"2020-07-29",29.41,29.73,28.42,28.639999,13114200,26.227352
"2020-07-30",28.42,29.290001,28.25,28.870001,10784000,26.437977
"2020-07-31",28.700001,29.200001,28.379999,29,16410200,26.557026
"2020-08-03",28.9,29.290001,28.48,29.190001,8256100,26.731018
"2020-08-04",29.26,29.91,29.059999,29.639999,8252300,27.14311
"2020-08-05",29.889999,29.889999,28.66,28.940001,8269100,26.502079
"2020-08-06",28.459999,29.4,28.34,29.18,6547700,27.086887
"2020-08-07",28.950001,29.65,28.92,29.440001,9346500,27.328239
"2020-08-10",29.6,30.389999,29.59,30.059999,9298400,27.903765
"2020-08-11",30.18,30.32,29.360001,29.9,11447800,27.755241
"2020-08-12",29.9,30.209999,29.65,29.870001,5568800,27.727394
"2020-08-13",29.82,30.23,29.42,29.6,5798300,27.476759
"2020-08-14",29.6,29.76,29.219999,29.33,3809400,27.226128
"2020-08-17",29.219999,29.41,28.84,28.940001,4853000,26.864103
"2020-08-18",28.860001,29.16,28.66,28.879999,4098300,26.808405
"2020-08-19",28.9,28.950001,28.49,28.639999,5462700,26.585623
"2020-08-20",28.459999,28.75,28.209999,28.360001,6680500,26.325708
"2020-08-21",28.440001,28.450001,27.92,28.110001,7311900,26.093639
