"","FISV.Open","FISV.High","FISV.Low","FISV.Close","FISV.Volume","FISV.Adjusted"
"2020-07-01",97.879997,98.980003,96.959999,98.5,4013100,98.5
"2020-07-02",100,100.720001,98.059998,98.25,2663400,98.25
"2020-07-06",99.43,99.870003,97.839996,98.110001,2960400,98.110001
"2020-07-07",97.959999,99.849998,96.459999,96.809998,4228700,96.809998
"2020-07-08",96.989998,97.690002,95.889999,97.099998,3535700,97.099998
"2020-07-09",97.099998,97.629997,93.900002,94.82,4720300,94.82
"2020-07-10",94.809998,96.209999,94.360001,95.980003,4769700,95.980003
"2020-07-13",96.760002,97.18,94.190002,94.360001,4305700,94.360001
"2020-07-14",93.849998,97.690002,93.620003,97.540001,5134700,97.540001
"2020-07-15",98.959999,102.019997,98.599998,100.739998,5643700,100.739998
"2020-07-16",100.25,100.690002,98.82,99.379997,3571000,99.379997
"2020-07-17",100.910004,102.989998,99.419998,102.599998,5067400,102.599998
"2020-07-20",102.550003,103.629997,101.790001,102.07,4117800,102.07
"2020-07-21",102.690002,102.980003,101.349998,101.610001,3179900,101.610001
"2020-07-22",101.610001,102.660004,101.459999,102.440002,2517800,102.440002
"2020-07-23",102.730003,104.290001,101.510002,102.190002,4905100,102.190002
"2020-07-24",101.790001,102.169998,99.870003,100.629997,2095100,100.629997
"2020-07-27",100.169998,101.529999,99.5,101.150002,2737500,101.150002
"2020-07-28",100.860001,101.309998,99.18,99.900002,3800000,99.900002
"2020-07-29",100.300003,101.709999,99.690002,101.370003,2144500,101.370003
"2020-07-30",99.699997,100.68,98.839996,100.449997,3604400,100.449997
"2020-07-31",100.470001,100.470001,98.860001,99.790001,3472200,99.790001
"2020-08-03",100.519997,101.349998,99.279999,100.540001,5105300,100.540001
"2020-08-04",100.199997,101.830002,99.330002,99.650002,5031800,99.650002
"2020-08-05",100.720001,100.970001,97.620003,98,5283200,98
"2020-08-06",100.900002,103.690002,99.389999,102.379997,9840800,102.379997
"2020-08-07",101.510002,103.989998,100.220001,103.910004,4631300,103.910004
"2020-08-10",103.68,103.93,99,99.339996,7090400,99.339996
"2020-08-11",98.900002,99.889999,96.989998,98.220001,6512100,98.220001
"2020-08-12",98.889999,100.18,97.889999,97.970001,4012300,97.970001
"2020-08-13",98.220001,100.25,97.989998,99.480003,2541400,99.480003
"2020-08-14",98.940002,100.099998,98.510002,99.769997,2182200,99.769997
"2020-08-17",100.290001,102.720001,99.970001,102.18,3473800,102.18
"2020-08-18",102.160004,103.550003,101.550003,102.669998,4321000,102.669998
"2020-08-19",103.43,104.400002,100.199997,100.440002,5469800,100.440002
"2020-08-20",99.529999,99.720001,96.82,97,6029000,97
"2020-08-21",96.57,97.589996,95.050003,95.629997,6789900,95.629997
"2020-08-24",96.43,97.459999,94.989998,96.220001,6829300,96.220001
"2020-08-25",96.650002,98.449997,96.260002,98.239998,3663900,98.239998
"2020-08-26",98.720001,99.199997,97.629997,97.940002,2943200,97.940002
"2020-08-27",99.720001,99.720001,97.660004,99,4962900,99
"2020-08-28",99.260002,100.169998,98.260002,100.160004,3014400,100.160004
"2020-08-31",100.019997,101.040001,98.830002,99.580002,4930400,99.580002
"2020-09-01",99.440002,99.989998,98.639999,99.370003,4219200,99.370003
"2020-09-02",100,103.629997,99.410004,103.129997,4505600,103.129997
"2020-09-03",103.169998,103.370003,99.370003,100.660004,7170800,100.660004
"2020-09-04",101.050003,101.790001,98.029999,99.029999,5882800,99.029999
"2020-09-08",97.580002,97.959999,94.739998,94.980003,7057100,94.980003
"2020-09-09",96.830002,96.830002,94.639999,96.43,4582600,96.43
"2020-09-10",96.82,98.769997,94.480003,95,4106900,95
"2020-09-11",95.410004,96.07,92.150002,93.059998,6057700,93.059998
"2020-09-14",94.75,97.690002,94.190002,97.169998,5031100,97.169998
