"","FIS.Open","FIS.High","FIS.Low","FIS.Close","FIS.Volume","FIS.Adjusted"
"2020-07-01",134.539993,137.660004,133.699997,136.860001,3299600,133.28093
"2020-07-02",138.539993,139.490005,136.470001,136.779999,2009700,133.203018
"2020-07-06",139.169998,139.169998,136.699997,137.529999,2336600,133.933411
"2020-07-07",136.550003,139.020004,135.649994,136.5,3525400,132.930374
"2020-07-08",136.839996,137.589996,135.350006,136.800003,4408500,133.222519
"2020-07-09",137.110001,137.559998,134.070007,135.789993,4387900,132.238907
"2020-07-10",135.460007,137.080002,134.630005,136.880005,1993900,133.300415
"2020-07-13",138.130005,138.729996,135.100006,135.479996,3469400,131.937027
"2020-07-14",134.990005,136.460007,133.229996,136.419998,3600600,132.852432
"2020-07-15",138.050003,140.929993,137.559998,140.429993,4440100,136.757553
"2020-07-16",139.539993,139.940002,138.179993,138.850006,1835500,135.218903
"2020-07-17",139.440002,141.210007,138.429993,140.470001,2066000,136.796539
"2020-07-20",140.399994,141.970001,139.199997,141.550003,2328500,137.848282
"2020-07-21",142.490005,144.199997,141.990005,143.399994,3412400,139.649887
"2020-07-22",143.759995,144.960007,143.190002,144.770004,2083000,140.984116
"2020-07-23",144.910004,148.169998,144.190002,144.990005,3354800,141.198334
"2020-07-24",144.039993,144.619995,142.679993,143.699997,2435900,139.942062
"2020-07-27",143.600006,144.729996,142.330002,143.440002,2733900,139.688858
"2020-07-28",142.960007,144.089996,142.399994,142.630005,1842100,138.900055
"2020-07-29",142.690002,145.179993,141.910004,144.729996,2264000,140.945129
"2020-07-30",142.610001,145.520004,142.020004,145.199997,2697500,141.402847
"2020-07-31",144.889999,146.399994,144.190002,146.309998,3557100,142.483826
"2020-08-03",147.119995,149.360001,146.880005,148.929993,4490100,145.035278
"2020-08-04",146.729996,149.259995,145,147.199997,6052200,143.350525
"2020-08-05",148.479996,148.880005,145.020004,146.5,6465100,142.668869
"2020-08-06",145.820007,147.690002,145.479996,147,4396900,143.155792
"2020-08-07",146.229996,147.979996,145.399994,147.779999,3380100,143.915359
"2020-08-10",148,148.429993,145.240005,146.160004,3389800,142.337738
"2020-08-11",146.419998,146.570007,142.710007,143.050003,2843200,139.309067
"2020-08-12",143.740005,144.899994,143.149994,143.820007,2216500,140.058945
"2020-08-13",142.75,145.610001,142.75,145.199997,2854900,141.402847
"2020-08-14",145.130005,145.300003,143.199997,143.880005,1749900,140.117355
"2020-08-17",144.580002,145.559998,143.800003,144.270004,2631300,140.497162
"2020-08-18",144.899994,145.009995,142.820007,143.809998,3792900,140.049179
"2020-08-19",145,145,142.449997,142.610001,3700300,138.880585
"2020-08-20",141.630005,142.149994,140.699997,141.240005,3496700,137.546402
"2020-08-21",141.320007,142.479996,140.699997,141.800003,3310000,138.091751
"2020-08-24",143.220001,143.229996,140.229996,141.669998,3145900,137.965134
"2020-08-25",141.960007,145.460007,140.830002,145.369995,2649300,141.56839
"2020-08-26",145.75,148.539993,144.690002,147.889999,4660100,144.022476
"2020-08-27",148.759995,151.449997,147.660004,151.199997,4061900,147.245926
"2020-08-28",151.089996,152.520004,150.320007,152.470001,2512300,148.482712
"2020-08-31",152.470001,152.470001,150.699997,150.850006,3896500,146.905075
"2020-09-01",150.75,152.529999,150.360001,152.350006,2640000,148.36586
"2020-09-02",152.5,156.729996,151.559998,155.759995,3186700,151.686676
"2020-09-03",154.520004,154.690002,148.850006,150.899994,2512500,146.953781
"2020-09-04",151.009995,151.479996,145.850006,148,3205600,144.129593
"2020-09-08",144.770004,147.029999,144,145.699997,4134000,141.889755
"2020-09-09",147.600006,149.470001,145.779999,148.5,3693500,144.616516
"2020-09-10",149.059998,150.539993,145.190002,145.860001,2206200,142.381149
"2020-09-11",145.800003,146.679993,142.729996,144.229996,2586500,140.790024
"2020-09-14",145.690002,147.570007,144.779999,146.229996,2848200,142.742325
"2020-09-15",147.619995,149.100006,146.960007,148.5,2112600,144.95816
"2020-09-16",149.690002,150.830002,148.600006,148.669998,2691400,145.12413
"2020-09-17",145.75,148.899994,145.460007,148.809998,2907400,145.260788
"2020-09-18",148.509995,149.940002,145.5,146.649994,3620100,143.152298
"2020-09-21",144.070007,144.539993,141.199997,144.020004,2950500,140.585037
"2020-09-22",144.220001,146.610001,142.990005,146.190002,2106600,142.703293
"2020-09-23",146.399994,146.649994,143.210007,143.610001,1875600,140.184814
"2020-09-24",143.259995,145.380005,138.460007,144.210007,3426700,140.770523
"2020-09-25",143.169998,146.639999,142.300003,146,2023700,142.517776
"2020-09-28",147.630005,148.759995,147.119995,147.929993,1722700,144.401764
"2020-09-29",148.289993,149.190002,147.729996,148.800003,2018200,145.251038
"2020-09-30",148.75,149.279999,145.919998,147.210007,3403100,143.698944
"2020-10-01",148.990005,150.309998,145.520004,146.869995,3731300,143.36705
"2020-10-02",145.059998,145.919998,143.029999,145.149994,2082200,141.688095
"2020-10-05",146.130005,146.889999,144.240005,145.570007,2158700,142.098083
"2020-10-06",145.570007,147.979996,144.020004,144.369995,3034400,140.926682
"2020-10-07",145.740005,146.270004,144.020004,144.600006,3226100,141.151215
"2020-10-08",146.279999,146.910004,145.169998,146.600006,1995300,143.1035
"2020-10-09",147.529999,149.169998,146.830002,149.029999,2793600,145.475555
"2020-10-12",149.600006,150.279999,148.279999,149.190002,2969200,145.631744
"2020-10-13",149.520004,149.979996,145.309998,145.960007,2432000,142.47879
"2020-10-14",146.320007,146.800003,143.009995,144.070007,2337800,140.63385
"2020-10-15",141.570007,143.889999,140.759995,143.880005,3528300,140.44838
"2020-10-16",144.139999,146.089996,143.770004,143.880005,3520800,140.44838
"2020-10-19",144.25,144.679993,139.259995,139.779999,2931900,136.446167
"2020-10-20",140.080002,142.149994,139.399994,140.699997,2726700,137.344238
"2020-10-21",140.460007,142.559998,140.020004,141.410004,1897500,138.037292
"2020-10-22",141.360001,143.190002,140.190002,142.720001,1745600,139.31604
"2020-10-23",144.309998,144.940002,142.929993,144.399994,2971000,140.955978
"2020-10-26",142.509995,142.960007,138.270004,139.419998,2613500,136.094772
"2020-10-27",140.190002,141.520004,137.720001,137.860001,3162500,134.571945
"2020-10-28",135.619995,136.149994,132.270004,132.509995,4285600,129.349564
"2020-10-29",122.879997,129.110001,120.169998,125.019997,9668100,122.0382
"2020-10-30",124.470001,127.650002,122.860001,124.589996,5496100,121.618454
"2020-11-02",125.75,126.550003,123.25,123.970001,4401000,121.013245
"2020-11-03",125.970001,129.259995,125.129997,128.490005,3219500,125.425453
"2020-11-04",130.619995,134.940002,129.850006,132.800003,3558400,129.632629
"2020-11-05",134.789993,134.889999,131.690002,132.589996,3728400,129.427658
"2020-11-06",133.380005,133.75,131.929993,133.139999,1564900,129.964539
"2020-11-09",141.369995,146.039993,140,141.690002,6479400,138.310623
"2020-11-10",141.369995,145.139999,141.020004,144.360001,3466200,140.916931
"2020-11-11",144.139999,144.240005,141.699997,143.550003,2247600,140.126251
"2020-11-12",143.839996,144.029999,141.699997,142.169998,2027900,138.77916
"2020-11-13",142.770004,145.5,142.539993,144.720001,1926600,141.268341
"2020-11-16",147,148.25,145.869995,147.889999,2459500,144.362747
"2020-11-17",146.960007,148.789993,145.179993,146.970001,2363400,143.464676
"2020-11-18",146.410004,146.5,144.970001,144.970001,2325500,141.512405
"2020-11-19",144.899994,148,142.839996,147.699997,2997700,144.177277
"2020-11-20",147.399994,147.550003,144.110001,144.169998,2252500,140.731476
"2020-11-23",144.660004,146.360001,144.149994,145.320007,2370700,141.85405
"2020-11-24",146.229996,149.440002,145.429993,148.919998,2959600,145.368149
"2020-11-25",148.25,148.649994,145.979996,147.970001,1689000,144.440826
"2020-11-27",148.830002,149.710007,147.710007,148.279999,1990400,144.743439
"2020-11-30",147,148.5,145.179993,148.410004,4582500,144.870316
