"","FITB.Open","FITB.High","FITB.Low","FITB.Close","FITB.Volume","FITB.Adjusted"
"2020-07-01",19.309999,19.309999,18.4,18.43,7287900,17.254225
"2020-07-02",19.030001,19.360001,18.51,18.57,8235200,17.385294
"2020-07-06",19.110001,19.389999,18.610001,18.860001,5248900,17.656792
"2020-07-07",18.6,18.6,17.969999,18.059999,6953600,16.907829
"2020-07-08",18.01,18.34,17.719999,18.139999,6958000,16.982727
"2020-07-09",18.040001,18.1,17.280001,17.389999,4676300,16.280573
"2020-07-10",17.43,18.42,17.4,18.389999,6239600,17.216778
"2020-07-13",18.780001,19.049999,18.15,18.700001,8050900,17.507002
"2020-07-14",18.690001,18.709999,17.969999,18.15,7012600,16.992088
"2020-07-15",18.780001,19.280001,18.540001,19.17,6096100,17.947018
"2020-07-16",18.809999,19.559999,18.76,19.16,4057100,17.937653
"2020-07-17",19.08,19.27,18.74,18.76,5026600,17.563173
"2020-07-20",18.66,18.809999,18.43,18.450001,4655900,17.272951
"2020-07-21",18.57,19.4,18.57,19.360001,6667900,18.124895
"2020-07-22",19.120001,19.5,19.02,19.42,7207600,18.181065
"2020-07-23",19.01,19.5,18.26,19.41,7436200,18.171703
"2020-07-24",19.549999,19.879999,19.370001,19.540001,6641500,18.293411
"2020-07-27",19.41,19.469999,19.049999,19.42,4916800,18.181065
"2020-07-28",19.290001,19.540001,19.190001,19.27,5393400,18.040634
"2020-07-29",19.17,20.08,19,20,7435000,18.724062
"2020-07-30",19.459999,19.84,18.950001,19.690001,6124300,18.43384
"2020-07-31",19.639999,19.879999,19.200001,19.860001,9863300,18.592995
"2020-08-03",19.98,19.98,19.559999,19.639999,4496600,18.38703
"2020-08-04",19.719999,19.790001,19.379999,19.49,3589800,18.246601
"2020-08-05",19.76,19.93,19.629999,19.870001,4210300,18.602358
"2020-08-06",19.719999,20.07,19.67,19.77,3778500,18.508736
"2020-08-07",19.65,20.459999,19.51,20.450001,4213600,19.145357
"2020-08-10",20.690001,21.290001,20.639999,21.030001,4406500,19.688354
"2020-08-11",21.6,22.18,21.370001,21.48,6483600,20.109644
"2020-08-12",22.049999,22.049999,20.83,21.299999,4760100,19.941126
"2020-08-13",21.059999,21.23,20.719999,20.74,3882400,19.416857
"2020-08-14",20.629999,21.17,20.450001,20.959999,3283300,19.622816
"2020-08-17",20.799999,20.889999,20.559999,20.719999,5230800,19.398132
"2020-08-18",20.76,20.76,20.030001,20.08,4722300,18.79896
"2020-08-19",20.139999,20.459999,19.93,20.16,3847700,18.873857
"2020-08-20",19.940001,20.02,19.66,19.780001,4660000,18.518099
"2020-08-21",19.76,19.969999,19.51,19.559999,3985600,18.312132
"2020-08-24",19.799999,20.58,19.610001,20.5,6350700,19.192162
"2020-08-25",20.75,21,20.389999,20.709999,4829100,19.388765
"2020-08-26",20.66,20.700001,20.290001,20.309999,4998900,19.014286
"2020-08-27",20.41,21.049999,20.33,20.940001,4499900,19.604095
"2020-08-28",21.18,21.209999,20.91,21.110001,4262900,19.76325
"2020-08-31",20.98,21,20.65,20.66,4149300,19.341959
"2020-09-01",20.42,21.08,20.360001,20.85,3690300,19.519838
"2020-09-02",20.889999,21.389999,20.629999,21.290001,4807300,19.931765
"2020-09-03",21.389999,22.1,20.950001,21.110001,6668100,19.76325
"2020-09-04",21.77,21.959999,21.09,21.629999,5521700,20.250074
"2020-09-08",21.219999,21.51,20.92,21,5836900,19.660267
"2020-09-09",21.18,21.290001,20.870001,21.120001,3383100,19.77261
"2020-09-10",21.290001,21.700001,20.59,20.629999,4986300,19.313873
"2020-09-11",20.719999,21.15,20.540001,21.049999,4125500,19.707077
"2020-09-14",21.379999,22.41,21.27,22.26,6653600,20.839886
