"","FMC.Open","FMC.High","FMC.Low","FMC.Close","FMC.Volume","FMC.Adjusted"
"2020-07-01",100.279999,100.279999,98.050003,99.360001,821600,95.844101
"2020-07-02",100.93,101.860001,99.839996,101.139999,816200,97.561096
"2020-07-06",103.099998,103.139999,100.75,102.220001,883200,98.602898
"2020-07-07",101.010002,102.989998,101.010002,101.860001,853300,98.255623
"2020-07-08",102.230003,102.550003,98.040001,99.050003,755100,95.545059
"2020-07-09",99.93,99.93,96.050003,97.889999,763100,94.426109
"2020-07-10",97.839996,100.449997,97.839996,100.190002,613500,96.644707
"2020-07-13",101.489998,104.040001,100.610001,101.599998,759100,98.004829
"2020-07-14",101.599998,103.790001,100.879997,103.440002,563800,99.779724
"2020-07-15",105.239998,108.550003,104.5,107.870003,1367600,104.052963
"2020-07-16",107.080002,108.370003,105.699997,106.18,675400,102.42276
"2020-07-17",107,107.839996,106.110001,106.470001,674300,102.702507
"2020-07-20",105.919998,107.029999,105.139999,105.150002,410800,101.429214
"2020-07-21",105.660004,106.860001,105.459999,106.199997,361000,102.442055
"2020-07-22",106.230003,108.25,105.690002,107.959999,437700,104.139771
"2020-07-23",108,108.739998,106.989998,107.800003,476500,103.985443
"2020-07-24",107.889999,107.949997,106.699997,107.339996,428400,103.54171
"2020-07-27",107.75,108.639999,107.290001,108.449997,507600,104.612427
"2020-07-28",107.849998,108.529999,106.379997,106.449997,331900,102.683205
"2020-07-29",106.870003,108.580002,106.510002,108.32,458800,104.487038
"2020-07-30",106.57,106.82,104.43,105.330002,615600,101.602837
"2020-07-31",105.269997,106.169998,104.150002,106.050003,516700,102.297363
"2020-08-03",106.989998,107.120003,105.709999,105.739998,791700,101.998329
"2020-08-04",105.419998,108,104.589996,107.540001,875000,103.73465
"2020-08-05",109.260002,111.709999,106.910004,107.010002,973500,103.223396
"2020-08-06",107.470001,109.169998,105.5,108.25,1337100,104.419533
"2020-08-07",107.980003,109.839996,107.029999,109.769997,657500,105.885719
"2020-08-10",109.970001,111.07,108.589996,110.360001,710600,106.454849
"2020-08-11",111.260002,112.449997,108.559998,109.190002,725100,105.326263
"2020-08-12",110,111.32,109.410004,109.459999,692000,105.5867
"2020-08-13",109.150002,110.849998,109.110001,110.120003,510900,106.223343
"2020-08-14",109.739998,110.279999,108.970001,109.610001,446700,105.731384
"2020-08-17",110.190002,111.040001,108.410004,109,520100,105.142967
"2020-08-18",109.25,110.360001,108.879997,109.110001,401100,105.249084
"2020-08-19",109.059998,109.650002,108.010002,108.529999,476100,104.689598
"2020-08-20",107.470001,108.309998,107.120003,107.889999,336100,104.07225
"2020-08-21",107.209999,107.760002,106.099998,107.330002,373200,103.532074
"2020-08-24",108.370003,108.980003,107.809998,108.760002,321100,104.911484
"2020-08-25",109.5,109.5,107.43,108.589996,525400,104.747482
"2020-08-26",108.25,109.040001,107.32,108.690002,371100,104.843933
"2020-08-27",109.330002,110.220001,108.989998,109.410004,442100,105.538467
"2020-08-28",109.660004,110.029999,108.620003,109.150002,892700,105.287674
"2020-08-31",108.699997,109.209999,106.699997,106.860001,561700,103.078705
"2020-09-01",106.93,110.150002,106.269997,110.150002,652100,106.252274
"2020-09-02",110.370003,112.529999,109.290001,112.260002,999600,108.287613
"2020-09-03",111.900002,112.360001,108.080002,109.43,721300,105.557747
"2020-09-04",110.529999,110.900002,106.980003,108.480003,683200,104.641373
"2020-09-08",107,107.610001,104.860001,105.639999,716900,101.901871
"2020-09-09",106.589996,108.75,106.110001,107.910004,475400,104.091553
"2020-09-10",108.07,108.68,106.790001,107.760002,483100,103.946854
"2020-09-11",108.699997,109.290001,107.739998,108.559998,415700,104.718544
"2020-09-14",109.870003,110.919998,109.389999,110.529999,375000,106.618835
"2020-09-15",110.93,112.589996,110.800003,111.800003,681800,107.843895
"2020-09-16",112.449997,112.620003,110.57,110.669998,571900,106.753883
"2020-09-17",109.980003,113.290001,108.709999,112.849998,765700,108.856743
"2020-09-18",112.629997,113.730003,109.900002,110.559998,1037700,106.647766
"2020-09-21",108.300003,109.300003,105.199997,106.449997,672700,102.683205
"2020-09-22",106.370003,107.830002,105.040001,107.550003,608000,103.744278
"2020-09-23",107.120003,108.400002,104.379997,104.510002,549700,100.811859
"2020-09-24",103.809998,105.269997,102.629997,104.050003,728300,100.368126
"2020-09-25",102.910004,106.260002,102.800003,105.419998,526200,101.689651
"2020-09-28",106.879997,107.989998,106.059998,106.32,609200,102.557816
"2020-09-29",106.139999,106.699997,104.779999,105.309998,400100,102.005699
"2020-09-30",105.809998,107.57,105.07,105.910004,562000,102.586876
"2020-10-01",106.360001,107.160004,102.620003,103.190002,991800,99.952209
"2020-10-02",101.650002,105.120003,101.419998,103.610001,793600,100.359039
"2020-10-05",104.620003,106.349998,104.57,105.330002,808000,102.025063
"2020-10-06",105.860001,106.980003,103.639999,103.82,768600,100.562454
"2020-10-07",105.449997,106.860001,105.330002,106.279999,554500,102.945251
"2020-10-08",106.949997,107.629997,105.919998,106.059998,457600,102.732155
"2020-10-09",106.309998,108.93,106.059998,108.019997,796800,104.630669
"2020-10-12",108.110001,109.540001,107.739998,109.029999,936400,105.608986
"2020-10-13",108.690002,109.790001,108.190002,108.480003,907000,105.076225
"2020-10-14",108.529999,111.080002,108.5,109.43,433400,105.996407
"2020-10-15",107.709999,109.489998,107.360001,109.07,542500,105.647713
"2020-10-16",109.639999,109.870003,108.550003,108.910004,543500,105.492737
"2020-10-19",109.230003,110.360001,107.769997,107.870003,474800,104.485374
"2020-10-20",108.290001,109,107.160004,107.160004,440400,103.797646
"2020-10-21",107.57,108.559998,106.690002,106.739998,401000,103.390831
"2020-10-22",107.32,107.959999,106.080002,107.489998,537500,104.117279
"2020-10-23",108.440002,108.900002,107.5,107.779999,413400,104.398193
"2020-10-26",106.300003,106.389999,103.800003,105.360001,502400,102.054123
"2020-10-27",105.690002,106.699997,104.370003,104.440002,716600,101.162987
"2020-10-28",102.080002,103.459999,101.330002,102.300003,627500,99.090134
"2020-10-29",101.739998,104.559998,101.610001,103.629997,585100,100.37841
"2020-10-30",103.339996,103.690002,100.860001,102.739998,900900,99.516327
"2020-11-02",104.629997,107.629997,103.779999,106.949997,895600,103.594238
"2020-11-03",107.230003,109.150002,104.010002,104.650002,894000,101.366402
"2020-11-04",105.330002,107.300003,102.519997,104.870003,724800,101.579498
"2020-11-05",107.269997,110.440002,106.029999,109.139999,615100,105.715508
"2020-11-06",109.089996,109.639999,107.800003,108.660004,395200,105.25058
