"","FOXA.Open","FOXA.High","FOXA.Low","FOXA.Close","FOXA.Volume","FOXA.Adjusted"
"2020-07-01",26.92,27.35,26.48,26.93,3724500,26.239174
"2020-07-02",27.629999,27.73,26.469999,26.559999,3614200,25.878666
"2020-07-06",27.01,27.290001,26.120001,26.5,5096700,25.820206
"2020-07-07",26.24,26.379999,25.629999,25.690001,3815000,25.030983
"2020-07-08",25.58,25.67,24.995001,25.299999,4276500,24.650988
"2020-07-09",25.280001,25.42,23.93,24.370001,5923700,23.744846
"2020-07-10",24.43,25.385,24.209999,25.32,3359700,24.670473
"2020-07-13",25.110001,25.535,24.34,24.959999,5806900,24.31971
"2020-07-14",24.780001,25.424999,24.48,25.030001,3664900,24.387915
"2020-07-15",25.33,26.18,25.33,26.059999,5356100,25.391491
"2020-07-16",25.870001,26.370001,25.77,26.17,2200500,25.498671
"2020-07-17",26.18,26.360001,25.01,25.280001,5080000,24.631502
"2020-07-20",25.139999,25.389999,24.295,24.76,3842300,24.12484
"2020-07-21",24.92,25.67,24.809999,25.4,4913000,24.748423
"2020-07-22",25.469999,25.950001,25.219999,25.91,2859700,25.245338
"2020-07-23",26.07,26.530001,25.945,26.24,4029800,25.566874
"2020-07-24",26.42,27.379999,26.32,26.66,4132900,25.976099
"2020-07-27",26.58,26.76,25.41,25.719999,4550900,25.060215
"2020-07-28",25.540001,26.184999,25.452999,25.74,2593900,25.0797
"2020-07-29",25.870001,26.049999,25.41,25.860001,2170100,25.196623
"2020-07-30",25.5,26,25.26,25.82,3669700,25.157648
"2020-07-31",25.84,25.84,25.17,25.77,3924900,25.108929
"2020-08-03",25.77,26.42,25.43,26.360001,3825000,25.683796
"2020-08-04",26.309999,27.200001,26.18,26.67,5462500,25.985844
"2020-08-05",25.360001,25.709999,24.219999,24.725,7628100,24.090738
"2020-08-06",24.9,25.32,24.639999,24.99,5962300,24.348938
"2020-08-07",24.870001,25.1,24.27,24.67,7072300,24.037148
"2020-08-10",24.610001,24.860001,24.174999,24.4,9867100,23.774075
"2020-08-11",24.780001,25.495001,24.59,24.66,7979000,24.027407
"2020-08-12",24.950001,25.139999,24.6,24.92,4732500,24.280735
"2020-08-13",24.84,25.610001,24.73,25.57,6538900,24.914061
"2020-08-14",25.59,26.045,25.209999,25.74,3036100,25.0797
"2020-08-17",25.889999,25.93,25.174999,25.559999,3101200,24.904318
"2020-08-18",25.57,25.799999,25.450001,25.635,2673600,24.977396
"2020-08-19",25.6,26.15,25.59,25.85,3437600,25.18688
"2020-08-20",25.709999,26.02,25.51,25.889999,4719000,25.225851
"2020-08-21",25.82,26.049999,25.57,26,3016600,25.333031
"2020-08-24",26.08,27.139999,26,26.98,3620800,26.287891
"2020-08-25",26.950001,27.23,26.41,26.9,4075300,26.209942
"2020-08-26",26.790001,27.295,26.620001,27.15,4463600,26.453529
"2020-08-27",27.4,27.815001,27.290001,27.57,3601200,26.862757
"2020-08-28",27.6,27.83,27.41,27.815001,3859700,27.101473
"2020-08-31",28,28.41,27.65,27.860001,5925300,27.145315
"2020-09-01",26.799999,27.58,26.799999,27.440001,4016500,26.958651
"2020-09-02",27.48,28.1,27.469999,27.879999,3517400,27.390928
"2020-09-03",28.07,28.620001,27.209999,27.35,6258200,26.87023
"2020-09-04",27.879999,27.969999,27.219999,27.66,4928700,27.174789
"2020-09-08",27.530001,28.290001,27.450001,27.690001,4941600,27.204266
"2020-09-09",27.75,28.43,27.379999,28.200001,4781100,27.705318
"2020-09-10",28.27,28.745001,28.01,28.190001,4424500,27.695494
"2020-09-11",28.32,28.639999,27.639999,28.139999,4736200,27.646368
"2020-09-14",28.290001,29.295,28.219999,28.66,5798200,28.157248
"2020-09-15",28.73,28.995001,28.365,28.610001,3350900,28.108126
"2020-09-16",28.860001,29.92,28.75,29.34,5352200,28.825319
"2020-09-17",28.700001,29.25,28.379999,28.629999,4241300,28.127773
"2020-09-18",28.65,28.66,27.59,27.959999,6768000,27.469528
"2020-09-21",27.530001,27.67,26.440001,26.780001,4797600,26.310226
"2020-09-22",26.85,27.120001,26.555,26.77,4321000,26.300402
"2020-09-23",26.59,26.969999,25.860001,25.91,3726100,25.455486
"2020-09-24",25.969999,26.43,25.57,26.200001,2443200,25.740402
"2020-09-25",25.98,26.844999,25.92,26.700001,3348500,26.231632
"2020-09-28",27.09,27.860001,27.07,27.84,3112800,27.351633
"2020-09-29",27.709999,27.969999,27.120001,27.77,3335300,27.28286
"2020-09-30",27.99,28.52,27.5,27.83,4539300,27.341808
"2020-10-01",27.959999,28.219999,27.504999,28.02,3437700,27.528475
"2020-10-02",27.68,28.360001,26.915001,28.08,4330600,27.587423
"2020-10-05",28.23,28.780001,28.02,28.709999,2589600,28.206371
"2020-10-06",28.780001,29.059999,27.809999,27.92,3580600,27.430229
"2020-10-07",28.200001,29.26,28.1,28.969999,4490300,28.461809
"2020-10-08",29.25,29.57,28.915001,29.559999,2509300,29.04146
"2020-10-09",29.77,30,29.040001,29.190001,3239500,28.677952
"2020-10-12",29.440001,29.52,28.825001,28.940001,3221200,28.432337
"2020-10-13",28.889999,28.915001,27.16,27.23,7186800,26.752333
"2020-10-14",27.26,27.450001,26.9,26.93,3279600,26.457596
"2020-10-15",26.790001,26.98,26.370001,26.93,6332700,26.457596
"2020-10-16",27.110001,27.23,26.549999,26.860001,3428300,26.388824
"2020-10-19",27.09,27.110001,25.969999,26.02,3741400,25.563559
"2020-10-20",26.4,26.4,25.870001,26.049999,3402700,25.593033
"2020-10-21",25.9,26.700001,25.780001,26.57,2572500,26.10391
"2020-10-22",26.84,27.6,26.719999,27.459999,3572100,26.978298
"2020-10-23",27.620001,27.665001,26.719999,27.08,3463800,26.604963
"2020-10-26",26.82,26.84,26.09,26.41,4847100,25.946716
"2020-10-27",26.35,26.360001,26.045,26.184999,3079300,25.725662
"2020-10-28",25.780001,26.030001,25.209999,25.309999,3730100,24.866013
