"","FOX.Open","FOX.High","FOX.Low","FOX.Close","FOX.Volume","FOX.Adjusted"
"2020-07-01",26.799999,27.360001,26.52,26.915001,1851900,26.188023
"2020-07-02",27.459999,27.65,26.459999,26.549999,1231500,25.832878
"2020-07-06",26.940001,27.073,26.200001,26.530001,905300,25.813421
"2020-07-07",26.26,26.299999,25.709999,25.77,1007600,25.073948
"2020-07-08",25.76,25.76,25.1,25.389999,840900,24.70421
"2020-07-09",25.280001,25.360001,24.030001,24.451,1099000,23.790575
"2020-07-10",24.33,25.41,24.33,25.389999,809600,24.70421
"2020-07-13",25.379999,25.620001,24.41,25.049999,1655500,24.373392
"2020-07-14",24.67,25.48,24.540001,25.129999,1522600,24.451233
"2020-07-15",25.33,26.379999,25.33,26.25,1449400,25.540983
"2020-07-16",25.950001,26.540001,25.889999,26.395,977500,25.682064
"2020-07-17",26.51,26.51,25.139999,25.26,2050200,24.577723
"2020-07-20",25.08,25.32,24.299999,24.82,1498500,24.149607
"2020-07-21",24.969999,25.719999,24.955,25.35,1155700,24.665291
"2020-07-22",25.25,25.9,25.190001,25.870001,999500,25.171247
"2020-07-23",25.92,26.42,25.879999,26.129999,1029500,25.424223
"2020-07-24",26.48,27.200001,26.18,26.49,864100,25.774498
"2020-07-27",26.379999,26.540001,25.438,25.690001,1001200,24.996107
"2020-07-28",25.559999,26.110001,25.445,25.709999,719800,25.015568
"2020-07-29",25.67,26.110001,25.421,25.92,696000,25.219898
"2020-07-30",25.459999,26.01,25.26,25.879999,644500,25.180975
"2020-07-31",25.65,25.799999,25.23,25.77,904300,25.073948
"2020-08-03",25.870001,26.32,25.43,26.25,826500,25.540983
"2020-08-04",26.16,27.059999,26.16,26.709999,850600,25.988558
"2020-08-05",26,26.16,24.280001,24.85,1922600,24.178797
"2020-08-06",24.98,25.41,24.725,25.16,1575900,24.480423
"2020-08-07",24.940001,25.17,24.459999,24.889999,1874500,24.217716
"2020-08-10",24.9,25.049999,24.4,24.68,1494200,24.013388
"2020-08-11",24.93,25.719999,24.870001,24.940001,1603100,24.266367
"2020-08-12",25.17,25.370001,24.82,25.209999,1289200,24.529072
"2020-08-13",24.969999,25.719999,24.940001,25.690001,878100,24.996107
"2020-08-14",25.67,26.09,25.41,25.82,819200,25.122599
"2020-08-17",25.93,25.93,25.27,25.709999,727600,25.015568
"2020-08-18",25.780001,25.950001,25.629999,25.735001,1051900,25.039892
"2020-08-19",25.780001,26.24,25.75,25.92,793100,25.219898
"2020-08-20",25.73,26.049999,25.58,25.92,693100,25.219898
"2020-08-21",25.780001,26.055,25.620001,26.01,906500,25.307465
"2020-08-24",25.99,27.190001,25.99,27.049999,1250000,26.319374
"2020-08-25",27.190001,27.254999,26.43,26.959999,1205000,26.231806
"2020-08-26",26.799999,27.312,26.75,27.15,1192900,26.416672
"2020-08-27",27.43,27.84,27.33,27.639999,980900,26.893438
"2020-08-28",27.83,27.965,27.51,27.92,871300,27.165876
"2020-08-31",27.9,28.440001,27.695,27.799999,1509100,27.049116
"2020-09-01",27.360001,27.559999,27.07,27.49,1343800,26.970629
"2020-09-02",27.58,28.15,27.450001,27.99,1138300,27.461182
"2020-09-03",28.280001,28.735001,27.360001,27.51,1804100,26.990252
"2020-09-04",27.93,28.09,27.389999,27.76,1433000,27.235527
"2020-09-08",27.59,28.34,27.57,27.84,1594900,27.314014
"2020-09-09",28.040001,28.459999,27.469999,28.290001,1888100,27.755514
"2020-09-10",28.370001,28.790001,27.950001,28.15,1913700,27.618158
"2020-09-11",28.15,28.639999,27.68,28.139999,1245800,27.608347
"2020-09-14",28.42,29.280001,28.309999,28.700001,1281600,28.157768
"2020-09-15",28.780001,29.040001,28.43,28.639999,1101900,28.098902
"2020-09-16",28.790001,29.870001,28.76,29.459999,2141700,28.903408
"2020-09-17",28.85,29.290001,28.4,28.77,2262900,28.226444
"2020-09-18",28.719999,28.725,27.620001,28,3251500,27.470993
"2020-09-21",27.59,27.700001,26.43,26.889999,2101100,26.381964
"2020-09-22",26.9,27.16,26.610001,26.950001,2052200,26.44083
"2020-09-23",27.01,27.059999,25.855,25.98,1276400,25.489157
"2020-09-24",26.120001,26.438999,25.610001,26.219999,922300,25.724621
"2020-09-25",26.01,26.889999,26.01,26.780001,1040600,26.274042
"2020-09-28",27.35,27.9,27.139999,27.9,1044700,27.372881
"2020-09-29",27.940001,28,27.26,27.82,908600,27.294392
"2020-09-30",27.950001,28.610001,27.65,27.969999,1455800,27.441557
"2020-10-01",28.209999,28.360001,27.68,28.209999,928900,27.677023
"2020-10-02",27.91,28.415001,27.639999,28.17,1109900,27.637781
"2020-10-05",28.42,28.950001,28.190001,28.889999,601300,28.344177
"2020-10-06",28.969999,29.18,28.01,28.120001,1452400,27.588726
"2020-10-07",28.68,29.280001,28.34,29.110001,1054800,28.56002
"2020-10-08",29.35,29.65,29.059999,29.629999,721700,29.070196
"2020-10-09",29.91,30.040001,29.16,29.200001,926100,28.648321
"2020-10-12",29.43,29.5,28.959999,29.129999,1253100,28.579641
"2020-10-13",29.08,29.08,27.43,27.469999,1570100,26.951006
"2020-10-14",27.469999,27.74,27.084999,27.129999,944300,26.61743
"2020-10-15",26.92,27.23,26.620001,27.200001,992000,26.686106
"2020-10-16",27.309999,27.43,26.809999,27.120001,715400,26.60762
"2020-10-19",27.190001,27.25,26.200001,26.25,832900,25.754055
"2020-10-20",26.540001,26.540001,26.09,26.18,1457600,25.685377
"2020-10-21",26.09,26.85,25.91,26.75,803400,26.244608
"2020-10-22",26.74,27.629999,26.74,27.41,1828000,26.892139
"2020-10-23",27.32,27.565001,26.684999,26.934999,1763200,26.426113
"2020-10-26",26.700001,26.870001,25.950001,26.18,2529900,25.685377
"2020-10-27",26.1,26.190001,25.875,25.995001,1178800,25.503874
"2020-10-28",25.549999,25.83,24.975,25.02,2046100,24.547295
"2020-10-29",24.9,25.540001,24.809999,25.389999,1609500,24.910303
"2020-10-30",25.280001,26.16,25.280001,26.139999,2209100,25.646133
"2020-11-02",26.440001,27,25.98,26.889999,2504900,26.381964
"2020-11-03",28.290001,28.860001,26.200001,26.700001,1454900,26.195555
"2020-11-04",27.16,27.16,25.110001,25.43,2861900,24.949547
"2020-11-05",25.67,26.42,25.280001,26.370001,1280400,25.87179
"2020-11-06",26.245001,26.33,25.379999,25.605,1400000,25.121241
"2020-11-09",26.700001,27.35,25.85,26.190001,2287800,25.695189
"2020-11-10",25.82,26.93,25.76,26.700001,1559900,26.195555
"2020-11-11",26.74,27.26,26.389999,27.15,1216900,26.637053
"2020-11-12",26.91,26.959999,25.264999,25.450001,2251500,24.96917
"2020-11-13",25.43,26.375,25.43,26.209999,3101200,25.714809
"2020-11-16",26.549999,27.245001,26.42,26.75,2095100,26.244608
"2020-11-17",26.540001,27.719999,26.209999,27.65,1601400,27.127605
"2020-11-18",27.67,27.756001,27.129999,27.129999,1782300,26.61743
"2020-11-19",27.01,27.485001,26.950001,27.27,1005000,26.754786
"2020-11-20",27.24,27.58,27.07,27.440001,1248300,26.921574
"2020-11-23",27.459999,28.245001,27.4,28.040001,1022200,27.510239
"2020-11-24",28.360001,29.389999,28.17,29.209999,1623000,28.658131
"2020-11-25",28.98,29,28.65,28.959999,806400,28.412853
"2020-11-27",28.879999,29.09,28.66,28.73,506000,28.187199
"2020-11-30",28.52,28.805,28.290001,28.379999,2144700,27.843813
"2020-12-01",28.65,30.040001,28.58,29.700001,1436600,29.138876
