"","FRC.Open","FRC.High","FRC.Low","FRC.Close","FRC.Volume","FRC.Adjusted"
"2020-07-01",106.620003,106.889999,104.589996,105.029999,1001600,103.687729
"2020-07-02",107.629997,108.43,103.919998,104.620003,802600,103.282997
"2020-07-06",106.370003,108.160004,104.900002,105.790001,646700,104.438026
"2020-07-07",104.980003,105.989998,103.580002,103.599998,866200,102.276001
"2020-07-08",104.059998,104.879997,102.410004,103.800003,1139600,102.47345
"2020-07-09",103.290001,104.059998,100.82,102.309998,835800,101.002495
"2020-07-10",101.949997,105.550003,101.949997,105.480003,792500,104.131996
"2020-07-13",106.410004,109.040001,105.309998,106.760002,1376800,105.395622
"2020-07-14",107.709999,110.650002,105.690002,108.720001,1164600,107.330582
"2020-07-15",110.489998,111.669998,109.730003,111.080002,771500,109.660408
"2020-07-16",110.080002,113.050003,109.669998,112.440002,762800,111.003036
"2020-07-17",112.589996,113.199997,111.879997,112.099998,684100,110.667374
"2020-07-20",111.089996,112.089996,110.760002,111.57,530000,110.144157
"2020-07-21",111.440002,113.93,111.309998,113.879997,774000,112.424629
"2020-07-22",113.150002,113.919998,112.360001,113.199997,728900,111.753319
"2020-07-23",113.169998,115.580002,113.099998,115.120003,659000,113.648796
"2020-07-24",115.470001,115.839996,114.580002,114.82,433400,113.352623
"2020-07-27",114.080002,114.589996,112.75,113.900002,365000,112.444374
"2020-07-28",113.18,113.580002,112.169998,112.209999,566600,110.775978
"2020-07-29",111.589996,113.900002,110.620003,113.720001,513800,112.467125
"2020-07-30",111.610001,112.830002,110.830002,112.440002,560500,111.201241
"2020-07-31",112.029999,112.57,110.580002,112.480003,664400,111.240799
"2020-08-03",112.82,113.599998,111.550003,112.940002,604200,111.695732
"2020-08-04",112.730003,113.449997,111.82,113.199997,591500,111.95285
"2020-08-05",114,114.980003,113.449997,114.550003,320500,113.287979
"2020-08-06",114.019997,114.68,113.129997,113.949997,392700,112.694595
"2020-08-07",113.419998,116.169998,112.940002,116.120003,564000,114.840691
"2020-08-10",116.550003,117.830002,115.900002,116.139999,535400,114.860474
"2020-08-11",118,120.260002,117.269997,119.010002,683700,117.69886
"2020-08-12",120.919998,121.169998,118.07,119.360001,763400,118.044991
"2020-08-13",117.709999,118.68,117.480003,117.589996,400500,116.294479
"2020-08-14",116.739998,118.25,116.470001,117.339996,516700,116.047241
"2020-08-17",116.660004,117.290001,115.419998,115.519997,659800,114.247314
"2020-08-18",115.540001,115.910004,113.839996,114.269997,463100,113.011063
"2020-08-19",114.970001,116.370003,114.529999,114.629997,427700,113.367111
"2020-08-20",113.589996,114.150002,112.610001,112.809998,471200,111.567162
"2020-08-21",112.580002,113.120003,111.529999,112.970001,544600,111.725388
"2020-08-24",113.349998,115.139999,112.830002,115.089996,793000,113.822029
"2020-08-25",116.580002,117.260002,114.82,115.669998,455800,114.395645
"2020-08-26",115.089996,115.150002,113.32,113.43,526900,112.180328
"2020-08-27",113.68,115.470001,113.650002,114.839996,504400,113.574791
