"","FTNT.Open","FTNT.High","FTNT.Low","FTNT.Close","FTNT.Volume","FTNT.Adjusted"
"2020-07-01",27.454,27.972,27.242001,27.844,6196000,27.844
"2020-07-02",28.063999,28.188,27.558001,27.688,4898000,27.688
"2020-07-06",27.934,28.532,27.732,27.940001,6178000,27.940001
"2020-07-07",27.398001,28.152,27.214001,27.591999,7366500,27.591999
"2020-07-08",27.837999,29.351999,27.700001,29.27,12585000,29.27
"2020-07-09",29.738001,30.389999,29.084,29.92,13473000,29.92
"2020-07-10",30.194,30.194,29.082001,29.16,6971000,29.16
"2020-07-13",29.177999,29.323999,26.087999,26.224001,16894500,26.224001
"2020-07-14",26.562,27.275999,25.726,26.896,13998000,26.896
"2020-07-15",26.280001,26.309999,24.848,25.864,14144500,25.864
"2020-07-16",25.538,25.700001,24.964001,25.469999,8189500,25.469999
"2020-07-17",25.524,25.93,25.084,25.823999,6878500,25.823999
"2020-07-20",25.862,27.025999,25.774,26.958,6508000,26.958
"2020-07-21",27.200001,27.24,26.309999,26.732,6377000,26.732
"2020-07-22",27.176001,27.478001,26.736,26.858,8564500,26.858
"2020-07-23",26.878,27.677999,26.75,27.032,7571500,27.032
"2020-07-24",26.615999,26.865999,26.07,26.608,4574000,26.608
"2020-07-27",26.917999,27.396,26.73,27.33,3481000,27.33
"2020-07-28",27.224001,27.384001,26.653999,26.684,4692000,26.684
"2020-07-29",26.972,27.572001,26.836,27.368,3542500,27.368
"2020-07-30",27.011999,27.646,26.666,27.35,4560500,27.35
"2020-07-31",27.68,27.704,27.082001,27.66,4281500,27.66
"2020-08-03",28,28.278,27.304001,27.643999,7660000,27.643999
"2020-08-04",27.464001,27.771999,27.24,27.766001,5149000,27.766001
"2020-08-05",28.024,28.16,27.530001,28.024,6705000,28.024
"2020-08-06",28,28.158001,27.448,27.902,8254500,27.902
"2020-08-07",26.186001,26.336,25.115999,26.200001,20981500,26.200001
"2020-08-10",26.233999,26.563999,25.142,25.375999,8155500,25.375999
"2020-08-11",25.200001,25.634001,24.612,25.318001,10844000,25.318001
"2020-08-12",25.462,25.65,25.156,25.34,5773000,25.34
"2020-08-13",25.285999,25.724001,25.26,25.488001,5002500,25.488001
"2020-08-14",25.5,25.68,25.139999,25.52,4270500,25.52
"2020-08-17",25.700001,26.091999,25.700001,25.832001,4416000,25.832001
"2020-08-18",26.02,26.274,25.642,25.983999,4343500,25.983999
"2020-08-19",25.85,26.152,25.52,25.902,6679500,25.902
"2020-08-20",26.086,26.788,25.75,26.718,4611000,26.718
"2020-08-21",26.766001,26.862,26.184,26.341999,4003500,26.341999
"2020-08-24",26.664,26.906,25.832001,26.612,5534000,26.612
"2020-08-25",26.388,26.681999,26.228001,26.656,4493000,26.656
"2020-08-26",26.799999,27.733999,26.764,27.444,6662000,27.444
"2020-08-27",27.341999,27.341999,26.082001,26.414,8440000,26.414
"2020-08-28",26.636,26.848,26.011999,26.148001,6361000,26.148001
"2020-08-31",26.200001,26.459999,25.834,26.402,9813500,26.402
"2020-09-01",26.548,26.879999,25.969999,26.104,6118000,26.104
"2020-09-02",26.354,26.66,25.997999,26.52,6367500,26.52
"2020-09-03",26.044001,26.096001,23.808001,24.139999,12295000,24.139999
"2020-09-04",23.997999,24.336,22.535999,23.528,11186000,23.528
"2020-09-08",22.799999,23.628,22.778,23.084,7902500,23.084
"2020-09-09",23.643999,23.643999,22.954,23.422001,4936000,23.422001
"2020-09-10",23.552,24.118,23.26,23.351999,6827000,23.351999
"2020-09-11",23.610001,23.813999,22.704,23.034,4985000,23.034
"2020-09-14",23.243999,23.724001,23.226,23.601999,4081000,23.601999
"2020-09-15",24.063999,24.063999,23.384001,23.639999,3726500,23.639999
"2020-09-16",23.884001,24.162001,23.351999,23.386,5442500,23.386
"2020-09-17",22.764,23.172001,22.521999,23.07,7408500,23.07
"2020-09-18",23.233999,23.544001,22.862,23.455999,7591000,23.455999
"2020-09-21",23.246,23.662001,23.016001,23.568001,6095000,23.568001
"2020-09-22",23.695999,23.77,23,23.736,5910000,23.736
"2020-09-23",23.892,23.959999,22.940001,23.054001,5407500,23.054001
"2020-09-24",22.959999,23.362,22.700001,23.1,5732000,23.1
"2020-09-25",23.194,23.49,22.931999,23.362,4492500,23.362
"2020-09-28",23.653999,23.700001,23.282,23.462,4631000,23.462
"2020-09-29",23.518,23.764,23.33,23.42,5166500,23.42
"2020-09-30",23.414,23.73,23.233999,23.562,6924000,23.562
"2020-10-01",23.728001,24.186001,23.656,24.049999,6308000,24.049999
"2020-10-02",23.628,24.354,23.26,23.275999,5881000,23.275999
"2020-10-05",23.774,23.927999,23.278,23.818001,8842000,23.818001
"2020-10-06",23.945999,24.261999,23.584,23.66,5069500,23.66
"2020-10-07",23.788,24.198,23.672001,24.138,5077500,24.138
"2020-10-08",24.337999,24.586,24.166,24.327999,3860500,24.327999
"2020-10-09",24.724001,25.396,24.67,25.236,6475000,25.236
"2020-10-12",25.540001,26.114,25.41,25.775999,6928000,25.775999
"2020-10-13",25.794001,26.323999,25.643999,26.122,6506500,26.122
"2020-10-14",26.264,26.562,25.816,26.028,6424000,26.028
"2020-10-15",25.667999,26.506001,25.540001,26.35,6687500,26.35
