"","F.Open","F.High","F.Low","F.Close","F.Volume","F.Adjusted"
"2020-07-01",6.1,6.18,5.95,5.98,62454700,5.88048
"2020-07-02",6.1,6.17,6,6.05,67270500,5.949316
"2020-07-06",6.14,6.2,6.11,6.19,63921800,6.086986
"2020-07-07",6.14,6.2,6.09,6.12,56652000,6.01815
"2020-07-08",6.13,6.18,6.05,6.09,60928600,5.98865
"2020-07-09",6.09,6.1,5.82,5.84,82693000,5.74281
"2020-07-10",5.8,6.1,5.74,6.1,73710700,5.998483
"2020-07-13",6.15,6.22,6.05,6.06,80190700,5.959148
"2020-07-14",6.18,6.39,6.08,6.36,106131800,6.254156
"2020-07-15",6.54,6.78,6.52,6.74,101648700,6.627832
"2020-07-16",6.66,6.9,6.63,6.86,93498500,6.745836
"2020-07-17",6.9,6.91,6.73,6.8,80769000,6.686834
"2020-07-20",6.8,6.85,6.58,6.66,71361700,6.549163
"2020-07-21",6.71,6.81,6.64,6.68,63285100,6.56883
"2020-07-22",6.64,6.88,6.61,6.84,75629600,6.726168
"2020-07-23",6.87,7.06,6.8,6.98,88652600,6.863838
"2020-07-24",6.9,7.01,6.86,6.88,62292000,6.765502
"2020-07-27",6.92,6.94,6.77,6.93,60370200,6.81467
"2020-07-28",6.9,7.05,6.9,7.01,56312500,6.89334
"2020-07-29",7.05,7.06,6.83,6.92,59437200,6.804836
"2020-07-30",6.74,6.83,6.67,6.74,58991000,6.627832
"2020-07-31",6.89,6.9,6.52,6.61,115301700,6.499996
"2020-08-03",6.65,6.72,6.53,6.69,53845900,6.578664
"2020-08-04",6.91,6.91,6.73,6.86,69377600,6.745836
"2020-08-05",6.86,7.03,6.86,6.96,81728400,6.844171
"2020-08-06",6.93,7,6.89,6.93,48668500,6.81467
"2020-08-07",6.87,6.92,6.79,6.86,47480100,6.745836
"2020-08-10",6.91,7.13,6.91,7.09,57229000,6.972008
"2020-08-11",7.21,7.38,7.19,7.23,74016400,7.109677
"2020-08-12",7.33,7.37,7.06,7.11,59161400,6.991674
"2020-08-13",7.03,7.18,7,7.03,50066800,6.913006
"2020-08-14",6.97,7.11,6.93,7.04,43517700,6.922839
"2020-08-17",7.05,7.06,6.87,6.98,64555200,6.863838
"2020-08-18",6.98,7.01,6.89,6.89,40444200,6.775335
"2020-08-19",6.89,7.02,6.86,6.87,44158100,6.755669
"2020-08-20",6.77,6.89,6.73,6.84,41824500,6.726168
"2020-08-21",6.78,6.85,6.65,6.66,39158900,6.549163
"2020-08-24",6.73,7,6.69,6.98,64974700,6.863838
"2020-08-25",7.01,7.1,6.86,6.94,49550000,6.824504
"2020-08-26",6.94,6.97,6.77,6.82,48600100,6.706501
"2020-08-27",6.83,6.98,6.83,6.91,45740900,6.795003
"2020-08-28",6.93,6.95,6.86,6.94,39936900,6.824504
"2020-08-31",6.9,6.93,6.79,6.82,50089500,6.706501
"2020-09-01",6.77,6.87,6.72,6.83,48189900,6.716334
"2020-09-02",6.81,6.97,6.77,6.95,59008900,6.834337
"2020-09-03",6.92,7.09,6.76,6.82,78130900,6.706501
"2020-09-04",6.86,6.95,6.75,6.9,70017500,6.78517
"2020-09-08",6.83,7.17,6.81,7.03,84749300,6.913006
"2020-09-09",7.07,7.1,6.93,6.97,56501400,6.854004
"2020-09-10",6.99,7.04,6.87,6.91,69228600,6.795003
"2020-09-11",6.94,7,6.85,7,55080600,6.883505
"2020-09-14",7.01,7.18,6.98,7.12,58704300,7.001508
"2020-09-15",7.16,7.18,7,7.04,65198500,6.922839
"2020-09-16",7.05,7.12,6.99,7.02,46245800,6.903172
"2020-09-17",7.04,7.34,6.98,7.28,84850100,7.158846
"2020-09-18",7.31,7.4,7.22,7.23,71929400,7.109677
"2020-09-21",7.09,7.09,6.81,6.87,72850300,6.755669
"2020-09-22",6.89,6.99,6.77,6.78,55865500,6.667166
"2020-09-23",6.81,6.93,6.63,6.64,52588600,6.529496
"2020-09-24",6.6,6.76,6.41,6.66,59822900,6.549163
"2020-09-25",6.61,6.71,6.5,6.51,53761800,6.40166
"2020-09-28",6.59,6.77,6.58,6.69,47582600,6.578664
"2020-09-29",6.69,6.7,6.54,6.6,38987300,6.490162
"2020-09-30",6.61,6.75,6.59,6.66,55944600,6.549163
"2020-10-01",6.71,6.77,6.63,6.75,58340600,6.637666
"2020-10-02",6.62,6.93,6.6,6.89,60798400,6.775335
"2020-10-05",6.95,7.05,6.95,7.02,42359400,6.903172
"2020-10-06",7.06,7.25,6.96,6.98,78203800,6.863838
"2020-10-07",7.11,7.25,7.06,7.23,50664100,7.109677
"2020-10-08",7.29,7.35,7.2,7.35,54513300,7.22768
"2020-10-09",7.36,7.44,7.23,7.25,50977900,7.129345
"2020-10-12",7.36,7.87,7.33,7.67,97692900,7.542355
"2020-10-13",7.82,7.88,7.63,7.76,74562600,7.630858
"2020-10-14",7.73,7.75,7.55,7.57,57752100,7.444019
"2020-10-15",7.42,7.62,7.37,7.62,49336200,7.493187
"2020-10-16",7.71,7.75,7.61,7.67,47509400,7.542355
"2020-10-19",7.68,7.72,7.57,7.59,38960700,7.463686
"2020-10-20",7.62,7.85,7.58,7.74,63447000,7.61119
"2020-10-21",7.77,7.88,7.73,7.85,51981100,7.719359
"2020-10-22",7.93,8.22,7.89,8.21,74008500,8.073369
"2020-10-23",8.3,8.35,8.09,8.16,62249000,8.0242
"2020-10-26",8.04,8.07,7.94,8.03,62131000,7.896364
