"","GE.Open","GE.High","GE.Low","GE.Close","GE.Volume","GE.Adjusted"
"2020-07-01",55.439999,56.080002,53.68,53.919998,15078850,53.500385
"2020-07-02",54.880001,56.32,54.48,54.560001,9268975,54.135403
"2020-07-06",55.84,56.639999,55.119999,56,9428675,55.564194
"2020-07-07",55.119999,55.119999,54,54.080002,7804213,53.659142
"2020-07-08",54.560001,54.959999,53.759998,54.880001,8054913,54.452915
"2020-07-09",54.639999,54.639999,52.639999,52.639999,9343500,52.230343
"2020-07-10",52.32,53.759998,52.240002,53.52,7927925,53.103497
"2020-07-13",54.080002,54.560001,53.119999,53.599998,8561550,53.182869
"2020-07-14",53.279999,55.119999,52.560001,55.040001,8688650,54.611668
"2020-07-15",56.720001,57.68,56.240002,57.119999,11228388,56.675476
"2020-07-16",56.48,57.439999,55.919998,56.400002,6543163,55.961086
"2020-07-17",56.48,57.200001,55.84,56.560001,7494750,56.119839
"2020-07-20",56.080002,56.48,54.880001,54.959999,6133200,54.532288
"2020-07-21",55.52,57.200001,55.200001,56.32,8734463,55.881699
"2020-07-22",55.919998,56.720001,55.200001,56.48,8188538,56.040462
"2020-07-23",56.48,56.959999,55.759998,56.32,8578563,55.881699
"2020-07-24",56.16,56.880001,54.560001,54.880001,8181188,54.452915
"2020-07-27",54.720001,54.799999,53.52,53.68,8838000,53.262253
"2020-07-28",53.599998,55.68,53.52,55.119999,9504200,54.69104
"2020-07-29",55.919998,56,52.16,52.720001,18555300,52.309723
"2020-07-30",52,52.080002,50.080002,50.080002,15940863,49.690266
"2020-07-31",50,50.32,48,48.560001,17824413,48.182102
"2020-08-03",49.119999,49.52,48.16,48.880001,11221188,48.499599
"2020-08-04",48.799999,49.599998,48.799999,49.119999,8880225,48.73774
"2020-08-05",49.360001,51.200001,49.119999,51.200001,13262150,50.801548
"2020-08-06",50.639999,51.360001,50.240002,50.639999,8739463,50.245903
"2020-08-07",50.32,51.68,50,51.200001,10383113,50.801548
"2020-08-10",51.439999,53.599998,51.040001,53.360001,11793125,52.94474
"2020-08-11",54.959999,56,53.52,53.84,11642688,53.421005
"2020-08-12",54.959999,55.040001,52.639999,53.759998,8767900,53.341625
"2020-08-13",52.720001,54.080002,52.720001,52.799999,6678563,52.389099
"2020-08-14",52.32,53.759998,51.759998,53.279999,6299650,52.865364
"2020-08-17",53.360001,53.52,51.599998,51.759998,7378675,51.357185
"2020-08-18",51.919998,52.560001,51.279999,51.52,5335750,51.119061
"2020-08-19",51.759998,52.560001,50.799999,51.040001,6795250,50.642796
"2020-08-20",50.639999,51.040001,49.68,50.16,7970500,49.769642
"2020-08-21",50,51.040001,49.84,50.48,7481438,50.087162
"2020-08-24",50.799999,53.119999,50.400002,53.040001,12848175,52.627228
"2020-08-25",53.200001,53.599998,51.84,52.720001,8681138,52.309723
"2020-08-26",52.959999,52.959999,51.52,51.84,7163000,51.436569
"2020-08-27",52.16,53.040001,51.599998,51.84,9173488,51.436569
"2020-08-28",52.080002,52.959999,51.759998,52.880001,7395213,52.468479
"2020-08-31",52.080002,53.52,50.080002,50.720001,17734125,50.325283
"2020-09-01",50.16,51.200001,49.200001,49.52,11647700,49.134624
"2020-09-02",49.599998,51.599998,49.360001,51.52,10477075,51.119061
"2020-09-03",51.119999,53.200001,50.240002,50.560001,11765613,50.166531
"2020-09-04",51.439999,52.48,50.080002,51.360001,11209488,50.960308
"2020-09-08",50.560001,50.880001,49.040001,49.119999,15080750,48.73774
"2020-09-09",49.599998,49.599998,48.16,49.279999,13630538,48.896488
"2020-09-10",49.360001,49.599998,48,48,12165600,47.626457
"2020-09-11",48.32,48.400002,47.439999,47.599998,8989825,47.229565
"2020-09-14",47.919998,49.279999,47.68,49.200001,9250263,48.817112
"2020-09-15",49.360001,49.759998,48.16,48.799999,10793850,48.420227
"2020-09-16",48.799999,54.48,48.400002,54,31998313,53.579758
"2020-09-17",54.48,57.439999,53.360001,56.400002,32630038,55.961086
"2020-09-18",55.360001,57.119999,54.959999,55.040001,18160100,54.611668
"2020-09-21",53.040001,53.200001,49.84,50.799999,20342450,50.404663
"2020-09-22",51.200001,52.639999,49.68,50,17612625,49.610893
"2020-09-23",50.240002,51.360001,48.799999,48.880001,11080588,48.499599
"2020-09-24",48.799999,49.439999,48,48.48,11933725,48.102718
"2020-09-25",48.48,49.360001,48.16,48.880001,9972338,48.579765
"2020-09-28",49.84,50.48,49.439999,49.599998,10411600,49.295341
"2020-09-29",49.68,49.84,48.48,48.959999,9196450,48.659275
"2020-09-30",49.119999,50.32,49.119999,49.84,12097700,49.533867
"2020-10-01",50.16,50.32,48.880001,49.919998,9896950,49.61338
"2020-10-02",48.400002,51.200001,48.400002,51.119999,11259550,50.806011
"2020-10-05",51.119999,51.599998,50.560001,51.279999,7285450,50.965027
"2020-10-06",51.439999,52.639999,48.880001,49.360001,21258275,49.056824
"2020-10-07",49.759998,51.200001,49.68,50.48,10410763,50.169945
"2020-10-08",50.880001,53.360001,50.720001,53.200001,12895913,52.873234
"2020-10-09",56.560001,56.560001,53.599998,54.720001,21438438,54.3839
"2020-10-12",55.360001,55.360001,53.919998,54.639999,11129550,54.304398
"2020-10-13",54.32,54.560001,53.279999,53.759998,9410950,53.42979
"2020-10-14",53.759998,55.119999,53.759998,54.560001,12243588,54.224884
"2020-10-15",53.599998,55.040001,52.880001,54.959999,11156588,54.622425
"2020-10-16",55.68,58.799999,55.52,58.32,21143413,57.961788
"2020-10-19",59.119999,59.759998,57.84,58.32,16354638,57.961788
"2020-10-20",58.799999,59.360001,58.16,58.720001,12302513,58.359337
"2020-10-21",58.240002,59.279999,58.16,58.560001,9226388,58.200314
"2020-10-22",58.639999,62,58.560001,61.759998,11970863,61.380653
"2020-10-23",63.439999,64.239998,60.48,61.040001,16570400,60.665085
"2020-10-26",59.68,60.48,58.240002,59.040001,13031800,58.677364
"2020-10-27",59.200001,59.200001,56.720001,56.799999,12271250,56.451122
"2020-10-28",60.080002,62.880001,59.279999,59.360001,31686763,58.995403
"2020-10-29",61.279999,61.919998,58.48,58.959999,15412250,58.597855
"2020-10-30",58.720001,60.32,58.32,59.360001,12796263,58.995403
"2020-11-02",60,60.639999,58.639999,60.16,13609788,59.790489
"2020-11-03",61.200001,63.360001,60.32,62.799999,12234063,62.414272
"2020-11-04",61.52,64.160004,60.240002,62.799999,15865638,62.414272
"2020-11-05",63.599998,64.400002,63.279999,63.919998,10725850,63.527393
"2020-11-06",64.160004,65.120003,63.68,64.720001,10515688,64.322472
"2020-11-09",74.800003,75.279999,68.879997,69.760002,24160338,69.33152
"2020-11-10",70.559998,72.800003,70,71.839996,20591700,71.398743
"2020-11-11",72.879997,72.959999,70.639999,71.120003,10930000,70.683174
"2020-11-12",70.080002,70.959999,69.360001,70.080002,9939800,69.649559
"2020-11-13",70.879997,74,70.800003,74,16247538,73.545479
"2020-11-16",76.879997,77.120003,75.360001,76.559998,14846500,76.089752
"2020-11-17",75.599998,77.919998,74.639999,77.440002,11293575,76.964348
"2020-11-18",79.760002,80.400002,77.839996,77.839996,18608225,77.361885
"2020-11-19",76.959999,78.080002,76.080002,77.279999,10897188,76.805321
"2020-11-20",77.120003,78.639999,76.720001,78.080002,10016938,77.600426
"2020-11-23",78.879997,82.160004,78.879997,80.559998,13524663,80.065193
"2020-11-24",85.68,86.800003,83.199997,83.599998,22036100,83.086502
"2020-11-25",84.239998,84.480003,82.720001,84,13734113,83.484055
"2020-11-27",84.400002,84.480003,82.480003,83.199997,6769350,82.688965
"2020-11-30",83.120003,83.120003,79.68,81.440002,15638013,80.939781
"2020-12-01",82.639999,83.839996,80.879997,81.199997,10845888,80.701248
"2020-12-02",80.639999,83.839996,80.080002,83.440002,9654450,82.92749
"2020-12-03",83.199997,85.599998,83.120003,84.800003,11431613,84.279144
"2020-12-04",85.360001,87.440002,84.080002,87.040001,16877613,86.505379
"2020-12-07",87.120003,88.800003,86.080002,86.879997,12175500,86.346367
"2020-12-08",86.559998,88.239998,86.32,87.68,11672288,87.141449
"2020-12-09",88,91.919998,88,91.120003,15766938,90.560333
"2020-12-10",88.639999,91.839996,88.480003,90.559998,11958950,90.003754
"2020-12-11",90.239998,91.279999,88.160004,89.279999,11123213,88.731613
"2020-12-14",90.160004,90.800003,86.32,86.639999,9914688,86.107841
"2020-12-15",87.599998,89.199997,85.199997,88.879997,10826738,88.334084
"2020-12-16",89.040001,89.199997,87.199997,87.440002,7351975,86.902931
"2020-12-17",87.519997,87.919998,86.400002,87.040001,7805750,86.505379
"2020-12-18",86.239998,88.959999,85.919998,86.480003,14344200,86.027893
"2020-12-21",83.760002,86.959999,82.879997,86.160004,10727338,85.709579
"2020-12-22",85.68,86.080002,83.919998,84.879997,11125938,84.436249
"2020-12-23",85.440002,87.839996,84.959999,86.879997,7563063,86.425789
"2020-12-24",86.800003,86.800003,84.959999,85.199997,3756213,84.754585
"2020-12-28",85.599998,86.239998,84.639999,85.120003,6724588,84.675011
"2020-12-29",85.279999,86.160004,84.32,84.480003,6629488,84.038345
"2020-12-30",84.639999,86.800003,84.400002,85.68,6327625,85.232071
"2020-12-31",85.199997,86.639999,84.639999,86.400002,5962788,85.948311
"2021-01-04",87.120003,87.199997,83.199997,83.760002,9993688,83.322121
"2021-01-05",83.440002,87.040001,83.360001,86.160004,10462538,85.709579
"2021-01-06",86.639999,92.959999,86.639999,90.879997,16448075,90.404884
"2021-01-07",92.480003,92.559998,89.919998,90.160004,9411225,89.68866
"2021-01-08",90.32,91.519997,89.279999,90.720001,9089963,90.245728
"2021-01-11",88.879997,92.239998,88.480003,91.599998,8406700,91.121124
"2021-01-12",92.080002,95.279999,91.279999,94.239998,11429913,93.74733
"2021-01-13",94.239998,94.559998,92.160004,92.559998,6714200,92.076111
"2021-01-14",92.879997,93.839996,92.639999,93.279999,7401188,92.792328
"2021-01-15",92.800003,92.800003,90,90.639999,9201188,90.166145
"2021-01-19",91.839996,93.199997,91.199997,91.440002,7937425,90.961967
"2021-01-20",92,92,90.400002,91.120003,7376988,90.643646
"2021-01-21",91.199997,91.440002,88.559998,88.559998,8200338,88.097015
"2021-01-22",87.760002,89.440002,87.199997,88.879997,6614925,88.415352
"2021-01-25",89.120003,89.199997,86.160004,87.919998,11502613,87.460358
"2021-01-26",96.239998,97.839996,89.599998,90.32,26475425,89.847824
"2021-01-27",88.639999,92.480003,85.120003,91.040001,18679988,90.564041
"2021-01-28",91.279999,91.760002,88.559998,88.720001,11762413,88.256187
"2021-01-29",88,89.919998,85.360001,85.440002,13657350,84.993324
"2021-02-01",86.879997,88,85.120003,85.919998,8335725,85.47081
"2021-02-02",87.040001,90.800003,86.720001,89.919998,10558238,89.449905
"2021-02-03",89.919998,90.400002,88.559998,89.599998,6776850,89.131577
"2021-02-04",89.839996,92,89.519997,91.599998,8345975,91.121124
"2021-02-05",92.080002,92.400002,90.559998,91.199997,6477300,90.723213
"2021-02-08",91.760002,93.199997,91.279999,92.879997,5306813,92.394432
"2021-02-09",92.480003,92.800003,91.279999,92.32,6592288,91.837357
"2021-02-10",92.720001,92.720001,91.040001,91.199997,5694988,90.723213
"2021-02-11",91.120003,91.760002,89.519997,91.68,6478650,91.200714
"2021-02-12",91.279999,93.919998,91.040001,93.839996,7304963,93.349411
"2021-02-16",94.559998,95.839996,94.239998,95.760002,7539000,95.259377
"2021-02-17",94.720001,95.599998,94.080002,94.879997,5367513,94.38398
"2021-02-18",94.720001,94.879997,92.080002,93.040001,6106825,92.553604
"2021-02-19",93.760002,96.239998,93.440002,96.160004,7631125,95.657288
"2021-02-22",96.559998,101.599998,96.239998,100,12079538,99.477211
"2021-02-23",100.800003,101.199997,97.440002,100.720001,9005313,100.193443
"2021-02-24",102.400002,106.800003,101.199997,104.959999,13348875,104.411278
"2021-02-25",104.800003,106.160004,101.279999,102.080002,11542163,101.546341
"2021-02-26",101.440002,102.720001,99.279999,100.32,11091225,99.795532
"2021-03-01",103.360001,106.32,102.32,104.879997,9754700,104.331696
"2021-03-02",105.199997,106,103.760002,103.839996,9650675,103.297127
"2021-03-03",104.720001,108.959999,104.400002,107.519997,14696538,106.957886
"2021-03-04",111.040001,113.040001,105.440002,108.559998,20820213,107.992462
"2021-03-05",110.400002,110.480003,105.120003,108.800003,13121938,108.311028
"2021-03-08",113.68,114.720001,110.480003,113.360001,17964700,112.850525
"2021-03-09",112.800003,115.360001,110.639999,112,14308463,111.496635
"2021-03-10",109.199997,109.919998,103.360001,106,27528800,105.523605
"2021-03-11",101.519997,102.879997,95.599998,98.160004,38225663,97.718849
"2021-03-12",97.919998,100.959999,97.839996,100.639999,16818988,100.187691
"2021-03-15",101.919998,106.879997,101.839996,106.800003,13925313,106.320023
"2021-03-16",106.639999,106.800003,104.559998,105.199997,9307025,104.727188
"2021-03-17",105.599998,108.879997,105.040001,108.879997,9903388,108.390648
"2021-03-18",108.720001,109.519997,105.519997,106,7970138,105.523605
"2021-03-19",105.599998,106.800003,103.839996,105.760002,8559000,105.284683
"2021-03-22",105.279999,105.919998,103.440002,105.040001,6598638,104.567924
"2021-03-23",103.68,105.440002,100.400002,101.279999,8206888,100.824814
"2021-03-24",102.080002,104.160004,100,100,7759188,99.550575
"2021-03-25",99.199997,103.440002,97.839996,102.800003,9173988,102.33799
"2021-03-26",103.599998,105.040001,101.68,103.919998,7565588,103.452957
"2021-03-29",103.360001,104.400002,102.239998,103.599998,6720363,103.134384
"2021-03-30",103.839996,106.879997,103.199997,106.400002,6615638,105.921814
"2021-03-31",107.040001,107.440002,105.040001,105.040001,7823250,104.567924
"2021-04-01",105.839996,106.879997,105.199997,106.239998,7397975,105.76252
"2021-04-05",107.760002,108.559998,106.959999,107.68,6342363,107.196045
"2021-04-06",107.68,108,106.959999,107.199997,5006525,106.718208
"2021-04-07",107.199997,108.239998,106.080002,107.120003,5220675,106.638573
"2021-04-08",106.080002,108,104.720001,107.599998,6864875,107.116409
"2021-04-09",108,110.639999,107.360001,108.800003,7905750,108.311028
"2021-04-12",108.879997,109.440002,107.760002,108.720001,5259625,108.231377
"2021-04-13",108.080002,108.32,106.080002,107.519997,6402975,107.036758
"2021-04-14",107.440002,110.32,107.360001,109.440002,8079875,108.948151
"2021-04-15",109.839996,110,107.519997,108.400002,6360225,107.912819
"2021-04-16",109.040001,109.440002,106.800003,107.120003,6253050,106.638573
"2021-04-19",106.559998,107.760002,105.360001,107.68,5609475,107.196045
"2021-04-20",107.279999,107.279999,103.199997,104.480003,7682088,104.010437
"2021-04-21",103.440002,107.040001,102.160004,106.800003,6201013,106.320023
"2021-04-22",106.800003,109.440002,106.239998,107.279999,6575975,106.797852
"2021-04-23",108,108.879997,106.879997,108.400002,5829763,107.912819
"2021-04-26",109.040001,112,108.400002,108.559998,11722363,108.072098
"2021-04-27",108,108.32,103.279999,107.919998,18721875,107.434975
"2021-04-28",106.639999,106.800003,105.199997,105.599998,8261925,105.125397
