"","GIS.Open","GIS.High","GIS.Low","GIS.Close","GIS.Volume","GIS.Adjusted"
"2020-07-01",60.48,61.099998,59.669998,60.43,6906800,56.242573
"2020-07-02",61.119999,62.07,60.849998,61.48,5715000,57.21981
"2020-07-06",61.790001,62.389999,61.139999,62.189999,5791100,57.880604
"2020-07-07",62.23,63.299999,62.080002,62.98,4820100,58.615871
"2020-07-08",62.880001,63.150002,62.59,62.939999,4059900,58.578636
"2020-07-09",62.369999,62.950001,62.130001,62.549999,3289600,58.67244
"2020-07-10",62.75,63.599998,62.59,63.549999,3640100,59.610447
"2020-07-13",63.700001,64.980003,63.540001,63.560001,5406300,59.619831
"2020-07-14",63.630001,65.290001,63.599998,65.169998,4604500,61.130024
"2020-07-15",65.230003,65.410004,64.529999,64.599998,3837900,60.595352
"2020-07-16",64.610001,65.290001,64.5,64.690002,3268600,60.679779
"2020-07-17",65.040001,65.120003,64.580002,64.639999,5570200,60.632877
"2020-07-20",64.449997,64.650002,63.43,63.639999,3519500,59.694866
"2020-07-21",63.599998,64.980003,63.599998,64.5,2800200,60.501556
"2020-07-22",64.5,64.760002,63.759998,64.720001,2030000,60.70792
"2020-07-23",65,65.43,64.660004,64.989998,2214000,60.961174
"2020-07-24",65.010002,65.480003,63.959999,64.230003,2779400,60.248295
"2020-07-27",64.199997,64.360001,63.540001,64.080002,3150900,60.107597
"2020-07-28",64.18,64.93,64.139999,64.540001,2950600,60.539082
"2020-07-29",64.699997,64.93,64.010002,64.370003,2131000,60.379616
"2020-07-30",64.110001,64.400002,63.029999,63.48,2663300,59.544788
"2020-07-31",63.07,63.889999,62.360001,63.27,7101800,59.347809
"2020-08-03",63.82,64.82,63.82,64.599998,2580400,60.595352
"2020-08-04",64.440002,66.139999,64.410004,65.739998,3823900,61.664688
"2020-08-05",65.5,65.690002,64.040001,64.419998,2837900,60.426517
"2020-08-06",64.300003,64.82,63.950001,64.18,1607200,60.201393
"2020-08-07",63.93,64.459999,63.77,64.349998,1847000,60.360847
"2020-08-10",64.260002,64.309998,63.509998,63.75,2250700,59.798046
"2020-08-11",63.869999,63.900002,62.009998,62.139999,4117400,58.287857
"2020-08-12",62.259998,63.540001,62.240002,63.060001,2131400,59.150822
"2020-08-13",62.939999,63.330002,62.57,62.970001,1241400,59.066406
