"","GL.Open","GL.High","GL.Low","GL.Close","GL.Volume","GL.Adjusted"
"2020-07-01",74.599998,74.629997,72.269997,72.800003,583500,71.397545
"2020-07-02",74.610001,75.040001,72.290001,72.529999,424200,71.31691
"2020-07-06",74.400002,75.18,73.059998,73.919998,537600,72.683655
"2020-07-07",72.790001,73.080002,71.379997,71.5,760600,70.304138
"2020-07-08",71.82,73.099998,71.199997,72.199997,846800,70.992432
"2020-07-09",72.150002,72.150002,69.470001,70.190002,426700,69.016052
"2020-07-10",70.370003,72.349998,70.32,72.32,661300,71.110428
"2020-07-13",73.349998,73.68,71.980003,72.519997,379900,71.307068
"2020-07-14",72.25,73.650002,71.779999,73.379997,387500,72.152695
"2020-07-15",75.050003,75.790001,74.120003,75.309998,344400,74.050415
"2020-07-16",74.559998,77.32,74.400002,75.970001,380300,74.699379
"2020-07-17",76.190002,76.190002,74.739998,75.32,423400,74.060257
"2020-07-20",74.779999,75.120003,73.529999,74.139999,354900,72.899986
"2020-07-21",74.309998,76.150002,74.220001,75.209999,502200,73.952087
"2020-07-22",74.559998,75.860001,74.440002,75.68,469600,74.41423
"2020-07-23",78.970001,80.889999,78.029999,80.32,999500,78.976624
"2020-07-24",81.18,81.260002,78.940002,80.370003,773300,79.025787
"2020-07-27",79.610001,80.220001,78.720001,79.57,716900,78.239159
"2020-07-28",79.120003,80.099998,78.309998,78.389999,334400,77.078896
"2020-07-29",78.139999,81.099998,78.139999,80.739998,505600,79.389595
"2020-07-30",78.879997,80.110001,78.470001,79.739998,608000,78.406319
"2020-07-31",79.629997,80.410004,78.93,79.599998,678300,78.268661
"2020-08-03",79.839996,80.190002,78.940002,79.550003,503800,78.219498
"2020-08-04",79.220001,79.580002,78.559998,78.68,339700,77.364052
"2020-08-05",79.449997,80.709999,79.300003,80.300003,617700,78.956963
"2020-08-06",80.050003,81.099998,79.919998,80.330002,580700,78.986465
"2020-08-07",79.910004,82.800003,79.809998,82.68,431400,81.297157
"2020-08-10",82.82,85.080002,82.760002,84.790001,431200,83.371864
"2020-08-11",86.57,87.510002,85.410004,85.760002,487900,84.325645
"2020-08-12",87.279999,87.279999,84.620003,85.540001,330100,84.109322
"2020-08-13",84.5,85.540001,83.839996,84.980003,267100,83.558685
"2020-08-14",84.370003,85.940002,84.370003,85.480003,250500,84.050323
"2020-08-17",85.169998,85.410004,83.279999,83.410004,358800,82.014946
"2020-08-18",83.370003,83.860001,82.260002,82.660004,473200,81.277496
"2020-08-19",82.68,83.559998,82.43,82.610001,271000,81.228325
"2020-08-20",81.349998,82.120003,81.010002,81.160004,283900,79.802567
"2020-08-21",81.040001,81.660004,80.290001,80.730003,317900,79.379761
"2020-08-24",81.389999,84.5,80.980003,84.489998,398200,83.076874
"2020-08-25",85.389999,85.629997,83.910004,84.309998,349000,82.899887
"2020-08-26",84.089996,84.589996,83.239998,84.160004,346000,82.752411
"2020-08-27",83.910004,85.919998,83.910004,85.089996,406400,83.666832
"2020-08-28",85.769997,85.769997,84.449997,84.82,430600,83.401352
"2020-08-31",84.660004,84.660004,82.440002,82.480003,499900,81.100494
"2020-09-01",81.860001,83.599998,81.449997,82.029999,494100,80.65802
"2020-09-02",82,83.57,81.610001,82.980003,599400,81.59214
"2020-09-03",83.879997,85.989998,81.470001,81.849998,625400,80.481041
"2020-09-04",84,84.720001,82.790001,83.889999,640900,82.486916
"2020-09-08",83.400002,83.400002,80.629997,81.519997,527800,80.156548
"2020-09-09",82.360001,82.580002,81.269997,81.599998,440600,80.235229
