"","GM.Open","GM.High","GM.Low","GM.Close","GM.Volume","GM.Adjusted"
"2020-07-01",25.299999,25.940001,24.93,24.959999,11963000,24.959999
"2020-07-02",25.620001,25.85,25.08,25.24,22202300,25.24
"2020-07-06",25.959999,26.040001,25.43,25.73,9172100,25.73
"2020-07-07",25.59,25.629999,25.059999,25.129999,11950500,25.129999
"2020-07-08",25.190001,25.26,24.67,24.940001,11111600,24.940001
"2020-07-09",24.76,24.83,23.33,23.42,17778200,23.42
"2020-07-10",23.549999,24.4,23.33,24.389999,15660000,24.389999
"2020-07-13",24.65,25.190001,24.370001,24.860001,14766800,24.860001
"2020-07-14",24.799999,25.85,24.67,25.639999,16477100,25.639999
"2020-07-15",26.32,27.030001,26.129999,26.879999,14893700,26.879999
"2020-07-16",26.35,27.190001,26.26,26.85,9736400,26.85
"2020-07-17",26.99,27,26.25,26.450001,8116100,26.450001
"2020-07-20",26.209999,26.540001,25.77,26.01,8663500,26.01
"2020-07-21",26.17,26.48,25.969999,26.15,9738200,26.15
"2020-07-22",25.870001,26.5,25.799999,26.299999,10702600,26.299999
"2020-07-23",26.440001,27.33,26.33,26.76,13653500,26.76
"2020-07-24",26.6,26.879999,26.110001,26.25,8584800,26.25
"2020-07-27",25.879999,25.92,25.309999,25.700001,16598100,25.700001
"2020-07-28",25.780001,26.75,25.690001,26.33,12854300,26.33
"2020-07-29",27.040001,27.049999,24.93,25.889999,28792100,25.889999
"2020-07-30",25.129999,25.459999,25.02,25.200001,16012000,25.200001
"2020-07-31",25.120001,25.15,24.440001,24.889999,17789000,24.889999
"2020-08-03",25.059999,25.77,24.82,25.639999,10441200,25.639999
"2020-08-04",25.870001,26.030001,25.51,25.799999,15728800,25.799999
"2020-08-05",26.200001,26.35,25.879999,26.33,9075100,26.33
"2020-08-06",26.17,27.190001,26.15,26.620001,14171800,26.620001
"2020-08-07",26.48,26.809999,26.17,26.719999,8038600,26.719999
"2020-08-10",26.91,28.059999,26.860001,27.98,10853600,27.98
"2020-08-11",28.469999,29.35,28.440001,28.52,17260200,28.52
"2020-08-12",28.99,29.75,27.780001,28.030001,10060800,28.030001
"2020-08-13",27.73,28.219999,27.5,27.549999,7586100,27.549999
"2020-08-14",27.290001,28.129999,27.15,27.860001,8587700,27.860001
"2020-08-17",28.6,30.780001,28.43,30.01,33827800,30.01
"2020-08-18",30.549999,31.120001,29.790001,29.84,23102800,29.84
"2020-08-19",29.65,30.030001,29.08,29.219999,14504200,29.219999
"2020-08-20",28.700001,29.17,28.639999,28.83,9680200,28.83
"2020-08-21",28.74,28.950001,28.43,28.559999,9841200,28.559999
"2020-08-24",29.280001,30.76,28.99,30.309999,20137900,30.309999
"2020-08-25",30.4,30.73,29.48,29.690001,13006700,29.690001
"2020-08-26",29.780001,29.83,29.120001,29.48,9740000,29.48
"2020-08-27",29.6,30.24,29.52,29.690001,8745400,29.690001
"2020-08-28",29.860001,30.23,29.639999,30.02,9180200,30.02
"2020-08-31",30.02,30.190001,29.610001,29.629999,9585200,29.629999
"2020-09-01",29.530001,29.85,29.34,29.790001,9007100,29.790001
"2020-09-02",29.85,31.09,29.799999,30.959999,16246200,30.959999
"2020-09-03",30.93,31.52,29.129999,29.48,22358100,29.48
"2020-09-04",29.93,30.370001,29.360001,30,13822000,30
"2020-09-08",31.719999,33.330002,31.049999,32.380001,5.2e+07,32.380001
"2020-09-09",32.110001,32.75,31.73,31.950001,22375200,31.950001
"2020-09-10",31.82,31.879999,30.139999,30.17,24845100,30.17
"2020-09-11",30.299999,30.57,29.870001,30.459999,13638700,30.459999
"2020-09-14",30.719999,31.559999,30.540001,31.18,11972100,31.18
"2020-09-15",31.360001,33.139999,30.83,31.58,21096300,31.58
"2020-09-16",32.68,32.790001,31.74,31.790001,16397800,31.790001
"2020-09-17",31.309999,31.950001,30.950001,31.92,11459900,31.92
"2020-09-18",31.85,32.049999,31.360001,31.5,15039900,31.5
"2020-09-21",30.299999,30.42,29.16,30,20577900,30
"2020-09-22",29.85,30.360001,29.33,29.440001,11106800,29.440001
"2020-09-23",29.49,29.99,29.200001,29.34,10899600,29.34
"2020-09-24",29.049999,29.59,28.24,29.110001,12393700,29.110001
"2020-09-25",28.860001,29.219999,28.559999,29,9350400,29
"2020-09-28",29.82,30.040001,29.379999,29.440001,8395700,29.440001
"2020-09-29",29.27,29.4,28.5,28.74,7419900,28.74
"2020-09-30",28.889999,29.82,28.889999,29.59,11522000,29.59
"2020-10-01",29.52,30.51,29.15,30.379999,15052900,30.379999
"2020-10-02",29.65,30.9,29.59,30.459999,9474000,30.459999
