"","GNRC.Open","GNRC.High","GNRC.Low","GNRC.Close","GNRC.Volume","GNRC.Adjusted"
"2020-07-01",132.089996,132.089996,120.75,121.089996,968500,121.089996
"2020-07-02",121.940002,122.959999,121.589996,122.730003,577900,122.730003
"2020-07-06",125.32,126.419998,124.050003,124.889999,733100,124.889999
"2020-07-07",124.089996,126.900002,123.449997,124.529999,673900,124.529999
"2020-07-08",124.779999,127,124.779999,126.580002,892100,126.580002
"2020-07-09",127.309998,127.910004,125.18,126.610001,391400,126.610001
"2020-07-10",126.279999,127.709999,125.739998,127.370003,393500,127.370003
"2020-07-13",128.910004,130.509995,126.269997,126.639999,688300,126.639999
"2020-07-14",126.440002,131.199997,126.019997,131.130005,727400,131.130005
"2020-07-15",133.660004,134.910004,132.600006,133.949997,811400,133.949997
"2020-07-16",133.550003,135.539993,132.229996,132.539993,490100,132.539993
"2020-07-17",133.210007,135.610001,132.710007,134.809998,491300,134.809998
"2020-07-20",134.759995,137.380005,134.759995,136.639999,495700,136.639999
"2020-07-21",137.880005,139.910004,135.830002,136.100006,566200,136.100006
"2020-07-22",136.039993,137.009995,134.369995,135.539993,528900,135.539993
"2020-07-23",136,139.490005,135,136.820007,843100,136.820007
"2020-07-24",136.229996,136.809998,134.149994,135.25,388500,135.25
"2020-07-27",135.990005,138.509995,134.720001,138.350006,419400,138.350006
"2020-07-28",137.460007,139.289993,135.220001,135.309998,390000,135.309998
"2020-07-29",135.880005,140.729996,135.880005,139.729996,700400,139.729996
"2020-07-30",150.309998,156.529999,147.360001,147.839996,1767400,147.839996
"2020-07-31",151.5,157.649994,151.5,157.580002,1066400,157.580002
"2020-08-03",159.100006,162.720001,155.050003,162.669998,818500,162.669998
"2020-08-04",161.679993,164.919998,161.100006,164.570007,1003200,164.570007
"2020-08-05",166.080002,170.460007,166.080002,170.419998,658400,170.419998
"2020-08-06",175.970001,175.970001,170.300003,172.979996,836500,172.979996
"2020-08-07",173.350006,179.350006,172.720001,178.600006,820100,178.600006
"2020-08-10",178.089996,178.710007,165.320007,166.320007,1684700,166.320007
"2020-08-11",168.5,169.660004,164.240005,164.860001,1011700,164.860001
"2020-08-12",166.5,172.360001,166,171.300003,701500,171.300003
"2020-08-13",171.300003,176.759995,170.699997,174.880005,641700,174.880005
"2020-08-14",174.110001,176.119995,172.889999,175.350006,662200,175.350006
"2020-08-17",179.75,182.570007,177.800003,182.199997,817600,182.199997
"2020-08-18",181.630005,185.550003,180.5,181.679993,771000,181.679993
"2020-08-19",180.149994,183.369995,180.059998,181.199997,565100,181.199997
"2020-08-20",180,184.229996,179.490005,182.449997,583100,182.449997
"2020-08-21",183.270004,188.550003,182.470001,186.710007,720200,186.710007
"2020-08-24",189.229996,192.529999,185.550003,188.130005,922900,188.130005
"2020-08-25",188.440002,188.5,184.529999,186.369995,462500,186.369995
