"","GOOG.Open","GOOG.High","GOOG.Low","GOOG.Close","GOOG.Volume","GOOG.Adjusted"
"2020-07-01",70.555,72.150002,70.490997,71.902,35504000,71.902
"2020-07-02",72.347,74.147499,72.320999,73.235001,37182000,73.235001
"2020-07-06",74.002998,75.329498,73.642998,74.785004,31280000,74.785004
"2020-07-07",74.5,75.839996,74.177498,74.259003,29164000,74.259003
"2020-07-08",74.716003,75.293999,74.281502,74.800003,24994000,74.800003
"2020-07-09",75.322502,76.136002,74.404251,75.5495,28466000,75.5495
"2020-07-10",75.307503,77.191498,74.827003,77.086998,37126000,77.086998
"2020-07-13",77.5,78.856598,75.262154,75.567001,36928000,75.567001
"2020-07-14",74.515503,76.147499,74.175003,76.028999,31700000,76.028999
"2020-07-15",76.156502,76.766502,74.900002,75.681999,32214000,75.681999
"2020-07-16",75,75.934502,74.315498,75.900002,30386000,75.900002
"2020-07-17",76.081001,76.171997,74.920998,75.777496,29134000,75.777496
"2020-07-20",75.763,78.514503,75.18,78.286003,31146000,78.286003
"2020-07-21",79.349503,79.349503,77.713997,77.920998,24324000,77.920998
"2020-07-22",78.025002,78.5,77.305,78.4245,18640000,78.4245
"2020-07-23",78.348503,78.593498,75.369598,75.783997,32552000,75.783997
"2020-07-24",74.946503,75.881798,74.419998,75.593498,30880000,75.593498
"2020-07-27",75.779999,77.0485,75.760498,76.510002,24920000,76.510002
"2020-07-28",76.259003,76.323997,74.883003,75.016998,34044000,75.016998
"2020-07-29",75.316002,76.562599,75.066498,76.100998,22130000,76.100998
"2020-07-30",74.849998,76.893501,74.611,76.572502,33428000,76.572502
"2020-07-31",75.250504,75.447502,72.7015,74.148003,68798000,74.148003
"2020-08-03",74.332001,74.523499,73.281998,73.722504,46604000,73.722504
"2020-08-04",73.828499,74.278,72.932503,73.248497,38070000,73.248497
"2020-08-05",73.464996,74.120499,73.172997,73.680496,39590000,73.680496
"2020-08-06",73.587502,75.119499,73.300003,75.004997,39908000,75.004997
"2020-08-07",75,75.842247,74.082001,74.724503,31556000,74.724503
"2020-08-10",74.359001,75.203751,73.653999,74.805,25786000,74.805
"2020-08-11",74.622002,75.5,73.900002,74.015999,29088000,74.015999
"2020-08-12",74.278999,75.619301,74.262497,75.331001,28740000,75.331001
"2020-08-13",75.516998,76.862503,75.400253,75.922501,29104000,75.922501
"2020-08-14",75.782997,76.095001,75.143997,75.386497,27096000,75.386497
"2020-08-17",75.733498,76.280502,75.398499,75.899002,27566000,75.899002
"2020-08-18",76.308998,78.123497,76.185501,77.93,40542000,77.93
"2020-08-19",77.665497,78.683998,77.197502,77.376503,33212000,77.376503
"2020-08-20",77.172501,79.293503,76.910004,79.087502,34138000,79.087502
"2020-08-21",78.851501,79.886002,78.400253,79.021004,28930000,79.021004
"2020-08-24",79.698997,80.708504,79.028503,79.410004,28198000,79.410004
"2020-08-25",79.1035,80.581001,79.1035,80.411003,44942000,80.411003
"2020-08-26",80.400002,82.960999,80.18,82.619003,79868000,82.619003
"2020-08-27",82.683998,82.75,81.287498,81.716499,37232000,81.716499
"2020-08-28",81.6745,82.358498,81.537498,82.220497,29980000,82.220497
"2020-08-31",82.394501,82.398247,81.515503,81.709,36468000,81.709
"2020-09-01",81.831497,83.286499,81.611,83.0355,36506000,83.0355
"2020-09-02",83.688751,86.658997,83.316498,86.414001,50224000,86.414001
"2020-09-03",85.485703,85.485703,80.752998,82.092003,62156000,82.092003
"2020-09-04",81.212997,82.255501,77.380653,79.552002,52172000,79.552002
"2020-09-08",76.675499,78.193253,76.400497,76.619499,52218000,76.619499
"2020-09-09",77.876503,78.449997,76.802551,77.848,35494000,77.848
"2020-09-10",78.031998,79.204048,76.290253,76.600998,32372000,76.600998
"2020-09-11",76.800003,78.760002,74.867996,76.036003,31942000,76.036003
"2020-09-14",76.950249,78.199997,75.787003,75.963997,33932000,75.963997
"2020-09-15",76.800003,77.9785,76.591751,77.071999,26622000,77.071999
"2020-09-16",77.777,78.099998,75.990997,76.044998,26234000,76.044998
"2020-09-17",74.800003,75.414902,73.5,74.776497,37596000,74.776497
"2020-09-18",74.900497,75.150146,71.856499,72.999496,62078000,72.999496
"2020-09-21",72.002998,72.417999,70.327499,71.557999,57776000,71.557999
"2020-09-22",72.504501,73.475998,71.726501,73.273003,31664000,73.273003
"2020-09-23",72.939003,73.047997,70.385002,70.760498,33148000,70.760498
"2020-09-24",70.551498,72.185448,70.4925,71.414497,29004000,71.414497
"2020-09-25",71.6315,72.5,70.667,72.248001,26460000,72.248001
"2020-09-28",73.710503,73.839996,72.46505,73.225998,40158000,73.225998
"2020-09-29",73.519501,73.833153,72.940247,73.466499,19564000,73.466499
"2020-09-30",73.339996,74.487503,72.994003,73.480003,34032000,73.480003
"2020-10-01",74.213501,74.952003,73.960503,74.504501,35590000,74.504501
"2020-10-02",73.101501,74.160004,72.545998,72.920998,25682000,72.920998
"2020-10-05",73.310501,74.4105,73.213501,74.301003,22266000,74.301003
"2020-10-06",73.778999,74.337997,72.429497,72.671997,24908000,72.671997
"2020-10-07",73.2145,73.447998,71.800003,73.014503,34924000,73.014503
"2020-10-08",73.254501,74.5,73.254501,74.296501,23756000,74.296501
"2020-10-09",74.735001,75.825996,74.472504,75.761002,28706000,75.761002
"2020-10-12",77.150002,79.693001,76.628502,78.457497,49652000,78.457497
"2020-10-13",79.186501,79.5,78.160004,78.584,32020000,78.584
"2020-10-14",78.929497,79.384201,77.526497,78.403999,38586000,78.403999
"2020-10-15",77.357498,78.755249,77.251503,77.956497,30800000,77.956497
"2020-10-16",78.292503,79.056503,78.150002,78.650497,28694000,78.650497
"2020-10-19",79.023003,79.407501,76.400002,76.730499,32142000,76.730499
"2020-10-20",76.352501,78.875,76.283501,77.796501,44834000,77.796501
"2020-10-21",78.666496,80.936501,78.581497,79.665497,51366000,79.665497
"2020-10-22",79.652496,81.099503,79.25,80.766502,28672000,80.766502
"2020-10-23",81.303497,82.117996,81.025497,82.050003,27516000,82.050003
"2020-10-26",81.250504,81.912003,78.824997,79.522499,37066000,79.522499
"2020-10-27",79.783501,80.342247,79.139,80.212997,24580000,80.212997
"2020-10-28",77.987,78.067497,75.731003,75.831001,36680000,75.831001
"2020-10-29",76.117996,79.685501,76.112,78.362,40062000,78.362
"2020-10-30",83.605499,84.349998,80.223,81.050499,86582000,81.050499
"2020-11-02",81.407997,83.038498,80.801498,81.301498,50708000,81.301498
"2020-11-03",81.588997,83.084999,80.831001,82.510498,33234000,82.510498
"2020-11-04",85.514,88.568253,85.301498,87.456497,71418000,87.456497
"2020-11-05",89.050003,89.681999,87.525497,88.168503,41316000,88.168503
"2020-11-06",87.697502,88.621498,87.017502,88.087502,33218000,88.087502
"2020-11-09",89.544998,90.903,88.000999,88.150002,45366000,88.150002
"2020-11-10",86.554497,88.150002,85.864998,87.019501,52722000,87.019501
"2020-11-11",87.5,88.210999,87.368248,87.635498,25280000,87.635498
"2020-11-12",87.3815,88.413498,87.279999,87.491997,24950000,87.491997
"2020-11-13",87.8815,89.052002,87.227501,88.850998,29998000,88.850998
"2020-11-16",88.584999,89.953499,88.384499,89.069,24936000,89.069
"2020-11-17",88.847,89.25,88.349998,88.5075,22942000,88.5075
"2020-11-18",88.261497,88.6735,87.306999,87.338997,23470000,87.338997
"2020-11-19",86.918999,88.4795,86.85025,88.195999,24998000,88.195999
"2020-11-20",88.260498,88.699997,87.093002,87.109497,46270000,87.109497
"2020-11-23",87.480003,87.695,85.886002,86.742996,43232000,86.742996
"2020-11-24",86.525002,88.580002,86.384499,88.444,31560000,88.444
"2020-11-25",88.644501,88.927002,87.827003,88.571503,20916000,88.571503
"2020-11-27",88.654503,90.199997,88.622002,89.6595,17698000,89.6595
"2020-11-30",89.059196,89.403252,87.75,88.037003,36476000,88.037003
"2020-12-01",88.718498,91.241501,88.468498,89.904999,34738000,89.904999
