"","GPC.Open","GPC.High","GPC.Low","GPC.Close","GPC.Volume","GPC.Adjusted"
"2020-07-01",86.839996,87.419998,85.779999,85.900002,760900,81.160385
"2020-07-02",87.480003,88.980003,86.089996,86.839996,696900,82.048531
"2020-07-06",88.209999,88.559998,86.639999,87.449997,443400,82.624863
"2020-07-07",86.400002,87.599998,86.309998,86.839996,562800,82.048531
"2020-07-08",86.910004,87.209999,85.25,86.139999,512300,81.387146
"2020-07-09",85.690002,85.970001,83.669998,84.449997,670400,79.79039
"2020-07-10",84.940002,85.730003,83.879997,85.580002,479800,80.858063
"2020-07-13",86.120003,87.330002,84.980003,85.129997,682000,80.432877
"2020-07-14",84.449997,86.370003,84.089996,86.169998,727200,81.415489
"2020-07-15",87.730003,88.529999,86.650002,88.260002,544200,83.39019
"2020-07-16",87.879997,88.790001,87.709999,88.639999,454600,83.749199
"2020-07-17",89.25,89.25,87.470001,87.860001,452100,83.012253
"2020-07-20",87.209999,87.580002,86.099998,87.029999,572400,82.228035
"2020-07-21",87.07,88.93,87.07,87.629997,531600,82.794937
"2020-07-22",87.489998,89.339996,87.160004,89.099998,496900,84.18383
"2020-07-23",88.540001,89.5,88.089996,88.459999,568300,83.579132
"2020-07-24",88.440002,89.980003,88.050003,88.639999,669000,83.749199
"2020-07-27",88.07,89.900002,87.040001,89.43,760900,84.495613
"2020-07-28",89.830002,90.25,88.370003,89.199997,716700,84.278297
"2020-07-29",89.339996,91.760002,89.339996,91.650002,740200,86.593124
"2020-07-30",90.400002,92.279999,87.889999,90.480003,1009800,85.487694
"2020-07-31",90.690002,91.699997,89.370003,90.150002,1644800,85.175903
"2020-08-03",90.730003,91.43,90.139999,90.860001,791800,85.846718
"2020-08-04",90.57,91.230003,90.209999,91.190002,687200,86.158501
"2020-08-05",92.300003,92.75,91.690002,92.43,655200,87.330093
"2020-08-06",92.129997,92.800003,91.370003,92.230003,500600,87.141129
"2020-08-07",91.839996,92.790001,91.540001,92.75,559000,87.632439
"2020-08-10",92.769997,94.25,92.339996,94.07,577500,88.879601
"2020-08-11",95.07,96.57,94.760002,95.269997,758600,90.01339
"2020-08-12",95.959999,97.050003,95.360001,96.870003,786500,91.525116
"2020-08-13",95.949997,96.150002,93.839996,94.360001,487300,89.153595
"2020-08-14",94.269997,95.279999,94.199997,94.559998,406000,89.34256
"2020-08-17",95,95.269997,93.959999,94.220001,463100,89.021324
"2020-08-18",94.120003,94.669998,93.480003,93.559998,504300,88.397743
"2020-08-19",93.639999,93.940002,92.779999,93.040001,459200,87.906441
"2020-08-20",92.129997,92.949997,91.949997,92.220001,520300,87.131676
"2020-08-21",92.209999,93.519997,91.720001,93.279999,850400,88.133186
"2020-08-24",93.940002,95.529999,93.650002,94.989998,845500,89.748848
"2020-08-25",95.449997,95.610001,93.839996,94.5,567000,89.285873
"2020-08-26",94.199997,95.150002,93.800003,94.370003,550900,89.163048
"2020-08-27",94.370003,94.839996,93.209999,93.650002,410700,88.48278
"2020-08-28",93.940002,94.889999,93.400002,94.879997,482700,89.644905
"2020-08-31",95.919998,96,93.690002,94.440002,1200900,89.229195
"2020-09-01",93.919998,96.010002,93.139999,95.660004,728900,90.381866
"2020-09-02",95.230003,99.449997,95.230003,99.290001,1083700,93.811584
"2020-09-03",98.75,98.75,96.190002,96.839996,1133700,92.230598
"2020-09-04",97.57,98.110001,95.82,97.470001,608200,92.830612
"2020-09-08",96.57,98.75,95.790001,97.559998,1351100,92.916336
"2020-09-09",98.059998,100.370003,97.610001,99.669998,767300,94.925896
"2020-09-10",99.980003,100.389999,98.07,98.769997,1150200,94.068733
"2020-09-11",99.110001,100.790001,98.879997,100.559998,855000,95.773529
"2020-09-14",104.269997,104.269997,102.360001,103.019997,1043600,98.116447
"2020-09-15",103.43,104.389999,101.519997,101.839996,1056700,96.992622
"2020-09-16",102.339996,102.419998,100.459999,101.360001,733800,96.535461
"2020-09-17",100.540001,102.480003,99.989998,101.830002,682400,96.983086
"2020-09-18",101.080002,103.209999,100.949997,102.059998,1252400,97.202133
"2020-09-21",100.599998,100.93,96.029999,96.550003,1117200,91.954407
"2020-09-22",96.860001,98.110001,95.959999,96.43,927200,91.840126
"2020-09-23",97.019997,97.019997,94.470001,94.669998,1658100,90.163879
"2020-09-24",94.650002,95.800003,93.529999,93.940002,738600,89.468628
"2020-09-25",93.339996,94.940002,92.82,94.099998,754800,89.62101
"2020-09-28",95.32,96.330002,94.830002,95.739998,715000,91.182961
"2020-09-29",95.940002,95.940002,94.610001,94.739998,534700,90.230545
"2020-09-30",95.150002,96,94.279999,95.169998,778100,90.640091
"2020-10-01",95.690002,96.610001,94.220001,94.970001,673400,90.4496
"2020-10-02",93.5,96.190002,93.5,95.849998,576900,91.28772
"2020-10-05",96.93,97.830002,96.300003,97.400002,717900,92.763954
"2020-10-06",97.529999,99.120003,96.199997,96.519997,522700,91.925835
"2020-10-07",97.580002,99.43,97.580002,98.75,506300,94.049683
"2020-10-08",99.150002,101.199997,98.800003,101.150002,657300,96.335457
"2020-10-09",101.580002,102.32,100.300003,100.389999,665200,95.611626
"2020-10-12",100.279999,100.989998,99.800003,100.230003,596500,95.459244
"2020-10-13",99.720001,100.419998,99.279999,99.900002,484900,95.144958
"2020-10-14",100.010002,101.580002,100.010002,100.93,709000,96.125923
"2020-10-15",100.080002,101.900002,99.720001,101.279999,910600,96.459259
"2020-10-16",101.339996,101.769997,100.669998,100.919998,733800,96.116402
"2020-10-19",101.080002,102.540001,100.489998,100.610001,999900,95.821159
"2020-10-20",101.330002,103.589996,101.220001,101.849998,886000,97.002121
"2020-10-21",102.400002,103.330002,101.639999,102.019997,952000,97.16404
"2020-10-22",100.489998,101.949997,95.739998,96.779999,1411700,92.173462
"2020-10-23",97.629997,99.18,97.099998,98.779999,914400,94.078255
"2020-10-26",97.739998,97.809998,94.330002,95.43,941700,90.887711
"2020-10-27",95.5,95.93,93.709999,93.870003,719700,89.40197
"2020-10-28",92.150002,92.830002,89.419998,89.690002,869400,85.420937
"2020-10-29",90,91.849998,89.639999,90.309998,719200,86.011421
"2020-10-30",90.129997,90.779999,88.989998,90.43,922000,86.12571
"2020-11-02",92.129997,93.540001,91.690002,93.519997,754000,89.068626
"2020-11-03",94.830002,98.699997,94.760002,98.150002,882700,93.478256
"2020-11-04",98,98.279999,94.769997,94.809998,936400,90.297218
"2020-11-05",95.980003,98.120003,95.970001,96.220001,685300,91.640106
"2020-11-06",96.589996,96.699997,94.550003,94.669998,536300,90.163879
"2020-11-09",100.25,104.440002,98.32,98.489998,1176700,93.802063
"2020-11-10",98.730003,101.190002,98.480003,99.82,727500,95.068748
"2020-11-11",100.370003,100.93,97.519997,97.639999,883000,92.992516
"2020-11-12",97.209999,97.5,95.25,95.93,599500,91.363914
"2020-11-13",96.93,99.349998,96.730003,99.029999,446900,94.31636
"2020-11-16",100.68,100.769997,98.139999,99.57,739100,94.830666
"2020-11-17",98.339996,98.75,96.349998,98.480003,563600,93.792542
"2020-11-18",98.599998,100.650002,98.510002,98.650002,957600,93.954453
"2020-11-19",98.139999,98.400002,96.480003,98,751400,93.335388
"2020-11-20",98,98.07,96.410004,96.959999,714400,92.344887
"2020-11-23",97.660004,98.260002,96.370003,97.120003,588400,92.497276
"2020-11-24",98.68,101.529999,97.709999,101.160004,861100,96.344986
"2020-11-25",100.489998,100.709999,98.199997,98.949997,697200,94.240166
"2020-11-27",98.849998,99.199997,97.599998,98.360001,270600,93.678246
"2020-11-30",98.010002,98.489998,96.550003,98.370003,1978900,93.687775
"2020-12-01",99.699997,102.610001,98.940002,101.669998,826300,96.830704
"2020-12-02",97.940002,99,96.669998,96.980003,1130100,92.363937
"2020-12-03",96.010002,97.720001,95.800003,97.260002,664800,93.39138
"2020-12-04",97.190002,98.300003,97.139999,98.25,609200,94.341988
"2020-12-07",97.730003,98.440002,97.239998,98.25,789900,94.341988
"2020-12-08",97.699997,98.160004,96.440002,96.650002,856600,92.805634
"2020-12-09",96.900002,98.019997,96.199997,97.949997,1161400,94.053925
"2020-12-10",97.75,98.050003,96.169998,97.040001,591000,93.18013
"2020-12-11",96.690002,97.790001,96.199997,97.059998,829700,93.199326
"2020-12-14",97.860001,98.900002,95.790001,95.82,608100,92.008652
"2020-12-15",96.209999,96.900002,95.059998,96.589996,626400,92.748024
"2020-12-16",96.730003,97.690002,95.980003,96.5,666900,92.661606
"2020-12-17",96.989998,97.870003,96.059998,96.949997,715700,93.093697
"2020-12-18",97.040001,97.93,96.32,97.529999,1725300,93.650635
"2020-12-21",95.769997,97.550003,94.089996,97.360001,692900,93.487396
"2020-12-22",97.150002,99.059998,96.989998,98.639999,675900,94.716492
"2020-12-23",98.970001,100.330002,98.550003,99.400002,585200,95.446259
"2020-12-24",99.800003,99.870003,98.389999,99.360001,149500,95.407845
"2020-12-28",100.279999,101.480003,99.830002,100.040001,446800,96.060799
"2020-12-29",100.040001,100.540001,98.5,98.790001,429200,94.860512
"2020-12-30",99.050003,100.43,98.800003,99.610001,401700,95.647903
"2020-12-31",99.639999,100.529999,99.050003,100.43,515500,96.435287
"2021-01-04",101.080002,101.080002,97.279999,98.440002,910400,94.524452
"2021-01-05",98.410004,99.849998,97.68,99.349998,793500,95.398247
"2021-01-06",99.489998,103.650002,98.900002,103.309998,966600,99.200729
"2021-01-07",103.510002,103.989998,102.029999,103.739998,768900,99.613617
"2021-01-08",104.07,104.169998,102.169998,103.339996,735200,99.229538
"2021-01-11",102.480003,105.620003,102.139999,105.110001,1028900,100.929131
"2021-01-12",104.870003,108.550003,104.410004,108.300003,887100,103.992249
"2021-01-13",107.800003,108.190002,105.449997,105.889999,748100,101.678108
"2021-01-14",106.379997,106.839996,104.919998,104.949997,542600,100.775497
"2021-01-15",104.839996,104.849998,101.690002,102.150002,979600,98.086876
"2021-01-19",102.330002,102.720001,99.099998,99.550003,732800,95.590294
"2021-01-20",99.260002,100.730003,98.25,100.010002,875800,96.03199
"2021-01-21",99.919998,102.5,99.919998,102.220001,941400,98.154083
"2021-01-22",101.290001,101.900002,100.269997,101.639999,701900,97.597153
"2021-01-25",101.480003,102.260002,100,101.199997,961300,97.174644
"2021-01-26",101.489998,102.050003,100,101.5,664200,97.462715
"2021-01-27",100.07,100.489998,96.199997,98.800003,1228600,94.870117
"2021-01-28",99.650002,100.330002,96.870003,96.949997,906300,93.093697
"2021-01-29",96.739998,97.580002,93.620003,93.879997,2699900,90.145821
"2021-02-01",94.150002,95.449997,93.660004,94.690002,759600,90.923599
"2021-02-02",95.18,98,94.870003,97.470001,896600,93.59301
"2021-02-03",96.959999,98.919998,96.43,98.419998,489200,94.505234
"2021-02-04",99,100.459999,98.400002,100.410004,707000,96.416084
"2021-02-05",101,101.739998,100.18,101.650002,569500,97.606766
"2021-02-08",102,103.629997,101.739998,103.580002,682400,99.459984
"2021-02-09",103.650002,104.279999,102.970001,103.660004,648300,99.536819
"2021-02-10",104.129997,104.290001,102.43,103.110001,557300,99.008682
"2021-02-11",103.110001,103.230003,100.400002,100.529999,718700,96.531303
"2021-02-12",99.620003,101.230003,98.660004,99.32,897200,95.369438
"2021-02-16",100.080002,102.629997,99.690002,101.919998,858100,97.866005
"2021-02-17",101.25,101.400002,98.230003,98.940002,1103400,95.004555
"2021-02-18",98.239998,101.660004,98.239998,101.080002,945300,97.059425
"2021-02-19",101.769997,102.900002,100.330002,102.360001,921300,98.288513
"2021-02-22",101.459999,105.050003,101.43,104.57,850900,100.410606
"2021-02-23",105,106.379997,104.239998,104.849998,1035100,100.679474
"2021-02-24",104.849998,107.059998,104.360001,106.309998,676800,102.081398
"2021-02-25",106.309998,107.120003,104.839996,105.389999,552100,101.197983
"2021-02-26",106.199997,107.07,104.870003,105.349998,1511200,101.159592
"2021-03-01",106.389999,109.139999,106.160004,108.309998,1033900,104.001846
"2021-03-02",108.110001,109.919998,106.559998,109.190002,948100,104.84684
"2021-03-03",109.550003,112.709999,109.279999,110.279999,977100,105.893486
"2021-03-04",109.099998,110.919998,105.849998,107.589996,983800,104.079659
"2021-03-05",108.739998,113.169998,108.150002,112.75,864900,109.071304
"2021-03-08",113.43,118.839996,112.639999,116.870003,1358000,113.056885
"2021-03-09",116.660004,117,113.459999,113.489998,1167300,109.787163
"2021-03-10",113.940002,115.75,112.790001,115.160004,538100,111.402672
"2021-03-11",114.43,115.470001,113.330002,113.57,723400,109.864555
"2021-03-12",114.860001,115.720001,113.959999,114.589996,584300,110.851265
"2021-03-15",114.139999,116.059998,112.959999,115.980003,803000,112.195923
"2021-03-16",115.330002,115.330002,113.080002,114.449997,571800,110.715836
"2021-03-17",115.019997,116.150002,114.400002,114.620003,619900,110.880302
"2021-03-18",114.639999,117.529999,114.5,115.940002,714300,112.157234
"2021-03-19",115.660004,118,114.019997,117.309998,3229500,113.482529
"2021-03-22",116.839996,116.889999,114.459999,115.330002,891700,111.567123
"2021-03-23",114.279999,116.5,114.080002,114.779999,750400,111.035072
"2021-03-24",114.75,116.379997,114.739998,114.809998,689900,111.064095
"2021-03-25",115.199997,117.18,113.639999,117.029999,701500,113.211655
"2021-03-26",117.690002,118.620003,116.949997,118.550003,654400,114.682076
"2021-03-29",117.5,118.510002,116.800003,117.160004,532000,113.337433
"2021-03-30",117.260002,117.860001,116.660004,117.57,561500,113.734047
"2021-03-31",116.57,117.150002,115.220001,115.589996,903100,111.818642
"2021-04-01",115.970001,116.669998,115.190002,116.620003,522400,112.815048
"2021-04-05",117.5,118.260002,116.389999,117.230003,574800,113.405136
"2021-04-06",117.099998,118.129997,116.5,117.470001,580500,113.637314
"2021-04-07",117.150002,117.82,116.150002,116.68,529800,112.873077
"2021-04-08",116.150002,116.57,115.269997,115.720001,614200,111.944405
"2021-04-09",116.459999,116.970001,115.32,116.889999,1015100,113.076233
"2021-04-12",117.5,118.019997,116.82,117.75,479600,113.90818
"2021-04-13",116.669998,116.75,115.190002,115.989998,850600,112.205605
"2021-04-14",115.660004,118.160004,115.660004,117.660004,592900,113.821114
"2021-04-15",118.160004,118.529999,117.459999,118.449997,484600,114.585327
"2021-04-16",119.379997,120.559998,118.989998,120.019997,705200,116.104103
