"","GRMN.Open","GRMN.High","GRMN.Low","GRMN.Close","GRMN.Volume","GRMN.Adjusted"
"2020-07-01",98.010002,98.639999,97.040001,97.129997,780000,93.017052
"2020-07-02",98.059998,98.790001,97.139999,97.529999,577700,93.400116
"2020-07-06",98.800003,99.449997,98.209999,99.080002,819600,94.884483
"2020-07-07",98.019997,99.550003,97.900002,98.720001,580800,94.539734
"2020-07-08",99.029999,99.349998,97.360001,98.18,547900,94.022598
"2020-07-09",98.25,98.489998,96.050003,96.919998,758100,92.815941
"2020-07-10",96.629997,97.139999,95.269997,97.089996,779500,92.978737
"2020-07-13",97.75,98.639999,96.360001,96.489998,809900,92.40416
"2020-07-14",95.779999,97.959999,95.330002,97.839996,724000,93.696991
"2020-07-15",97.830002,99.790001,97.830002,99.449997,785600,95.238815
"2020-07-16",99.400002,101.410004,99.190002,101.040001,1257000,96.76149
"2020-07-17",100.900002,101,99.129997,100.419998,1191900,96.167732
"2020-07-20",100.400002,100.43,99.449997,100.199997,648800,95.957054
"2020-07-21",100,100.779999,99.75,99.809998,693900,95.583565
"2020-07-22",99.82,101.459999,99.790001,101.349998,768800,97.058365
"2020-07-23",101.410004,102.400002,99.5,100.199997,687700,95.957054
"2020-07-24",97,99.220001,96.18,96.739998,1806700,92.643562
"2020-07-27",94.839996,100.709999,94.510002,100.290001,1657200,96.043243
"2020-07-28",100.650002,100.68,98.669998,99.360001,1548100,95.152626
"2020-07-29",103.120003,103.989998,95.019997,98.779999,1807000,94.597191
"2020-07-30",97.580002,100.529999,97.089996,100.010002,1160700,95.775108
"2020-07-31",100.010002,100.160004,97.080002,98.589996,983600,94.41523
"2020-08-03",99.120003,100.519997,98.699997,99.970001,951700,95.736794
"2020-08-04",99.699997,100.099998,99.18,99.940002,829300,95.708069
"2020-08-05",100.389999,102.620003,100.120003,102.360001,938800,98.025589
"2020-08-06",102.089996,102.620003,100.980003,102.330002,592000,97.996857
"2020-08-07",102.290001,102.480003,101.449997,101.889999,681200,97.5755
"2020-08-10",101.779999,102.300003,101.529999,102.110001,805500,97.786171
"2020-08-11",102.459999,103.440002,101.309998,101.5,871000,97.202011
"2020-08-12",101.82,103.550003,101.43,103.279999,619900,98.906624
"2020-08-13",103.239998,104.910004,102.760002,104.620003,987200,100.189896
"2020-08-14",104.43,104.68,103.669998,104.279999,607900,99.864288
"2020-08-17",104.639999,104.970001,104.050003,104.480003,558300,100.05584
"2020-08-18",104.720001,104.720001,103.620003,104.220001,669800,99.806824
"2020-08-19",104.599998,105.5,103.900002,103.989998,790600,99.586555
"2020-08-20",103.470001,103.5,102.300003,102.940002,607900,98.581024
"2020-08-21",102.989998,103.129997,102.279999,102.43,768500,98.092628
"2020-08-24",102.860001,103.900002,102.860001,103.639999,688800,99.251396
"2020-08-25",104.470001,104.470001,103.150002,103.639999,510900,99.251396
"2020-08-26",103.82,104.760002,103.410004,104.669998,724400,100.237762
"2020-08-27",105.260002,105.330002,102.43,102.57,845800,98.226692
"2020-08-28",103.519997,103.870003,102.660004,103.760002,545400,99.366302
"2020-08-31",103.620003,104.57,103.120003,103.610001,770100,99.222656
"2020-09-01",103.419998,104.040001,102.75,104,695700,99.596146
"2020-09-02",104.480003,106,103.599998,105.809998,772700,101.329514
"2020-09-03",105.959999,105.989998,100.879997,101.309998,858400,97.02005
"2020-09-04",102.309998,102.910004,100.330002,101.730003,906300,97.422279
"2020-09-08",100.93,101.110001,99.160004,99.360001,883200,95.152626
"2020-09-09",100.620003,102.050003,100.43,101.139999,681400,96.857262
"2020-09-10",102.099998,102.349998,98.919998,99.400002,815500,95.190926
"2020-09-11",100.389999,100.949997,99.580002,100.050003,657700,95.813416
"2020-09-14",100.010002,100.150002,99.120003,99.699997,642700,96.063927
"2020-09-15",100.309998,101.300003,99.830002,99.980003,600300,96.333725
"2020-09-16",100.209999,100.510002,98.209999,98.389999,773900,94.801712
"2020-09-17",97.919998,98.849998,96.970001,98.199997,742000,94.618622
"2020-09-18",98.419998,99.239998,96.120003,96.330002,1403100,92.816841
"2020-09-21",95.440002,95.440002,93.230003,94.260002,879000,90.822334
"2020-09-22",94.029999,95.389999,93.629997,95.139999,960000,91.670235
"2020-09-23",96.120003,96.309998,93.209999,93.459999,826500,90.051483
"2020-09-24",93.18,95.410004,92.190002,92.68,640400,89.299942
"2020-09-25",92.419998,93.870003,91.839996,93.550003,536100,90.138214
"2020-09-28",94.910004,95.809998,93.959999,95.379997,550600,91.901474
"2020-09-29",95.580002,95.779999,94.860001,95.010002,487600,91.544968
"2020-09-30",95.339996,95.839996,94.370003,94.860001,750800,91.400444
"2020-10-01",95.779999,95.93,94.349998,94.68,627800,91.227005
"2020-10-02",93.75,95.75,93.739998,94.93,501700,91.467888
