"","GS.Open","GS.High","GS.Low","GS.Close","GS.Volume","GS.Adjusted"
"2020-07-01",198.880005,199.740005,195.520004,197.570007,2620100,189.660522
"2020-07-02",202.5,203,197.130005,197.399994,2699400,189.497299
"2020-07-06",201.339996,207.789993,201.130005,207.360001,3567700,199.058548
"2020-07-07",205.5,205.710007,199.190002,199.360001,2853500,191.378845
"2020-07-08",199.539993,203.25,199.020004,202.25,2789700,194.153122
"2020-07-09",202.110001,202.5,195,196.830002,3160100,188.950119
"2020-07-10",196.869995,206.320007,196.830002,205.559998,4414800,197.330627
"2020-07-13",209,212.979996,207,208.880005,4449600,200.517715
"2020-07-14",211.429993,214.300003,207.009995,214.009995,5202000,205.442337
"2020-07-15",224.369995,225.240005,214.690002,216.899994,12516700,208.216644
"2020-07-16",213.509995,220.460007,213.5,214.669998,5769600,206.075912
"2020-07-17",214.899994,215.169998,211.25,211.410004,3614300,202.946426
"2020-07-20",210.729996,213.169998,210.25,211.710007,2268700,203.234421
"2020-07-21",212.25,213.809998,210.389999,212.020004,3393500,203.531982
"2020-07-22",210.5,211,205.350006,206,4978400,197.753006
"2020-07-23",205.100006,206.020004,202.050003,203.020004,4088600,194.892303
"2020-07-24",203,204.929993,201.320007,201.470001,3191500,193.404373
"2020-07-27",200.100006,204.179993,199.589996,203.020004,2601200,194.892303
"2020-07-28",201.910004,203.600006,201.089996,201.619995,2139600,193.54834
"2020-07-29",201.699997,203.889999,199.619995,202.580002,2635000,194.469925
"2020-07-30",199.5,199.990005,196.300003,199.529999,3057900,191.542038
"2020-07-31",199.839996,199.839996,196.509995,197.960007,2399700,190.034882
"2020-08-03",198.490005,199.880005,196.529999,199.389999,2294600,191.407654
"2020-08-04",199.350006,201.720001,198.479996,201.639999,1944700,193.567566
"2020-08-05",203.169998,204.809998,203.009995,204.520004,2232400,196.332275
"2020-08-06",205,206.289993,203.830002,204.25,1882400,196.073074
"2020-08-07",203.479996,208.800003,202.449997,208.270004,3075000,199.932129
"2020-08-10",209.589996,210.639999,208.039993,209.380005,2432800,200.997711
"2020-08-11",212.720001,216.949997,210.529999,211.059998,4042700,202.610443
"2020-08-12",214.699997,215.949997,209.270004,212.130005,2439400,203.637604
"2020-08-13",210.410004,212.199997,207.690002,208.389999,2219900,200.047333
"2020-08-14",207.460007,209.479996,206.610001,207.970001,2287600,199.644135
"2020-08-17",207,207.850006,202.529999,203.070007,3922600,194.940338
"2020-08-18",203.449997,203.580002,201.100006,201.309998,3067900,193.250763
"2020-08-19",202.399994,206.100006,201.770004,203.020004,2458500,194.892303
"2020-08-20",200.759995,203.279999,200.339996,201.850006,1764200,193.769165
"2020-08-21",200.110001,203.350006,199.820007,202.429993,1780900,194.325943
"2020-08-24",203.110001,207.429993,201.320007,207.339996,3097400,199.039368
"2020-08-25",209.990005,210.490005,205.169998,206,2627600,197.753006
"2020-08-26",205.889999,207.279999,205.029999,207.220001,2563200,198.924164
"2020-08-27",206.679993,213,206.410004,210.149994,3692400,201.736862
"2020-08-28",211.889999,212,207.089996,207.710007,3697400,199.394547
"2020-08-31",205.5,206.410004,203.630005,204.869995,3046200,197.858948
"2020-09-01",203.600006,206.710007,203.009995,205.460007,2457000,198.428757
"2020-09-02",205.789993,210.929993,205.369995,210.039993,3565200,202.85202
"2020-09-03",211.75,215.229996,205.830002,207.559998,3533500,200.456894
"2020-09-04",210.889999,213.350006,205.320007,210.940002,3668900,203.721222
