"","GWW.Open","GWW.High","GWW.Low","GWW.Close","GWW.Volume","GWW.Adjusted"
"2020-07-01",314.459991,316.809998,307.51001,307.959991,396700,298.799133
"2020-07-02",313.200012,318.299988,310.450012,317.51001,311800,308.065063
"2020-07-06",322.700012,324.200012,319.98999,322.190002,318700,312.605865
"2020-07-07",319.230011,324.790009,318.809998,320.850006,334300,311.305725
"2020-07-08",317.600006,320.619995,304.839996,308.769989,457400,299.585022
"2020-07-09",310.290009,312.929993,306.940002,308.98999,266200,299.798523
"2020-07-10",309.23999,311.140015,305.5,311.019989,259100,301.768127
"2020-07-13",314.380005,324.369995,313.390015,319.529999,581900,310.024963
"2020-07-14",319.410004,327.829987,318.76001,327.589996,403300,317.845215
"2020-07-15",331.200012,335.019989,326.839996,333.619995,390100,323.695801
"2020-07-16",333.540009,337.910004,330.600006,333.320007,226300,323.404755
"2020-07-17",335.040009,336.320007,329.76001,330.269989,824500,320.445465
"2020-07-20",326.920013,332,325.640015,330.730011,308100,320.891815
"2020-07-21",333.339996,339.279999,333.070007,337.320007,360800,327.285828
"2020-07-22",337.660004,342.829987,336.570007,338.950012,315500,328.86731
"2020-07-23",338.940002,343.100006,326.640015,338.660004,519000,328.585907
"2020-07-24",339.040009,347.450012,336.049988,341.390015,395800,331.234741
"2020-07-27",341.049988,346.109985,339.309998,339.790009,385500,329.682343
"2020-07-28",337.769989,338.390015,333.519989,333.649994,358900,323.724976
"2020-07-29",335.209991,343.179993,335.209991,340.76001,488300,330.623444
"2020-07-30",336.329987,340.480011,333.100006,339.790009,239500,329.682343
"2020-07-31",340.190002,341.720001,335.160004,341.529999,478200,331.370544
"2020-08-03",342.920013,345.839996,341.880005,341.959991,197900,331.78772
"2020-08-04",341.040009,342.920013,337.700012,338.519989,259200,328.450043
"2020-08-05",340.429993,344.709991,336.910004,344.410004,275400,334.164856
"2020-08-06",344.410004,346.880005,343.269989,346.589996,294300,336.280029
"2020-08-07",345.399994,349.51001,343.380005,349.380005,197600,340.490112
"2020-08-10",348.5,353.73999,347.920013,352.070007,248400,343.111633
"2020-08-11",352.070007,356.779999,351.399994,352.920013,369000,343.940033
"2020-08-12",354.690002,358.059998,352.769989,355.809998,186500,346.756531
"2020-08-13",353.950012,354.859985,350.519989,352.070007,120900,343.111633
"2020-08-14",351.25,354.320007,348.359985,351.380005,147800,342.439178
"2020-08-17",350.160004,354.209991,348.570007,351.899994,270900,342.946014
"2020-08-18",352.859985,355.359985,352.170013,353.25,217000,344.261658
"2020-08-19",354.880005,355.51001,350.220001,350.829987,125400,341.903198
"2020-08-20",349.540009,355.649994,349.029999,354.25,164100,345.236206
"2020-08-21",353.23999,355.450012,350.649994,352.609985,176600,343.637878
"2020-08-24",352.329987,353.720001,346.029999,349.160004,322700,340.275726
"2020-08-25",351.130005,355.480011,350.609985,354.679993,296500,345.655243
"2020-08-26",352.230011,365.660004,352.230011,361.48999,501800,352.291962
"2020-08-27",361.420013,366.25,361.190002,362.470001,226200,353.24704
"2020-08-28",361.48999,366.529999,361.019989,365.980011,215800,356.667755
"2020-08-31",365,369.359985,363.779999,365.429993,310000,356.131683
"2020-09-01",364.25,367.76001,362.869995,367.420013,178700,358.071106
"2020-09-02",368.399994,371.869995,367.100006,370.5,226900,361.072723
"2020-09-03",371.820007,371.820007,357.459991,360.119995,169600,350.956879
"2020-09-04",362,364.179993,351.670013,358.079987,232200,348.968719
