"","HAL.Open","HAL.High","HAL.Low","HAL.Close","HAL.Volume","HAL.Adjusted"
"2020-07-01",13.19,13.31,12.4,12.47,15603200,12.222617
"2020-07-02",12.79,13.11,12.57,12.57,15125100,12.320633
"2020-07-06",12.95,13.21,12.72,13.03,13644000,12.771506
"2020-07-07",12.78,12.85,12.41,12.41,10967300,12.163806
"2020-07-08",12.42,12.67,12.19,12.47,13122400,12.222617
"2020-07-09",12.47,12.58,11.7,11.78,16112800,11.546304
"2020-07-10",11.74,12.09,11.67,12.06,12895000,11.820751
"2020-07-13",12.24,12.26,11.76,11.79,13306800,11.556105
"2020-07-14",11.75,12.54,11.63,12.48,15884100,12.232417
"2020-07-15",12.99,13.18,12.73,13,18202100,12.742101
"2020-07-16",12.83,13.38,12.69,13.09,12747200,12.830318
"2020-07-17",13.15,13.44,12.94,13.08,16463500,12.820515
"2020-07-20",13.71,14.14,13.38,13.41,28342500,13.143967
"2020-07-21",14.05,14.92,13.98,14.32,32616200,14.035915
"2020-07-22",14.14,14.39,13.88,14.18,17933100,13.898693
"2020-07-23",13.95,14.77,13.94,14.75,19508600,14.457385
"2020-07-24",14.66,14.91,14.57,14.71,21901700,14.418179
"2020-07-27",14.7,14.93,14.48,14.9,15134100,14.604408
"2020-07-28",14.8,14.99,14.58,14.65,14961000,14.359368
"2020-07-29",14.63,15.11,14.62,15.07,13723700,14.771036
"2020-07-30",14.78,14.84,14.6,14.67,14688100,14.378972
"2020-07-31",14.4,14.59,14.1,14.33,18013100,14.045716
"2020-08-03",14.33,14.68,14.25,14.53,11183500,14.241749
"2020-08-04",14.5,15.25,14.46,15.11,15746200,14.810244
"2020-08-05",15.53,15.75,15.26,15.32,13469000,15.016075
"2020-08-06",15.34,15.44,14.8,14.82,11389600,14.525995
"2020-08-07",14.65,14.89,14.42,14.89,12918500,14.594607
"2020-08-10",14.98,15.66,14.93,15.61,10490600,15.300323
"2020-08-11",16,16.700001,15.98,16.139999,25789800,15.81981
"2020-08-12",16.459999,16.82,16.379999,16.709999,20495500,16.378504
"2020-08-13",16.639999,16.790001,16.35,16.65,13456900,16.319693
"2020-08-14",16.309999,16.66,16.15,16.629999,12244200,16.300091
"2020-08-17",16.52,16.85,16.5,16.65,12312500,16.319693
"2020-08-18",16.610001,16.889999,16.34,16.450001,10542900,16.123659
"2020-08-19",16.450001,16.870001,16.379999,16.49,11929100,16.162863
"2020-08-20",16.27,16.290001,15.95,16.01,13361200,15.692388
