"","HBAN.Open","HBAN.High","HBAN.Low","HBAN.Close","HBAN.Volume","HBAN.Adjusted"
"2020-07-01",9.02,9.13,8.57,8.64,18734100,7.899933
"2020-07-02",8.94,9.01,8.55,8.6,13712300,7.86336
"2020-07-06",8.8,9.01,8.65,8.77,12276000,8.0188
"2020-07-07",8.65,8.69,8.36,8.39,10348800,7.671348
"2020-07-08",8.36,8.54,8.23,8.44,8159200,7.717064
"2020-07-09",8.35,8.37,8.01,8.06,10145100,7.369614
"2020-07-10",8.08,8.51,8.06,8.51,8519100,7.781068
"2020-07-13",8.71,8.81,8.35,8.67,9467400,7.927364
"2020-07-14",8.67,8.78,8.4,8.63,19011200,7.890791
"2020-07-15",8.87,9.14,8.78,9.11,8891100,8.329675
"2020-07-16",8.97,9.27,8.89,9.07,6343500,8.293101
"2020-07-17",8.99,9.16,8.89,8.92,9157300,8.155951
"2020-07-20",8.79,8.91,8.72,8.73,5836300,7.982225
"2020-07-21",8.83,9.25,8.77,9.22,10251400,8.430254
"2020-07-22",9.14,9.27,9.04,9.23,6094200,8.439396
"2020-07-23",9.46,9.8,9.34,9.7,9209300,8.869138
"2020-07-24",9.76,9.82,9.55,9.6,10270800,8.777706
"2020-07-27",9.6,9.62,9.24,9.27,11633800,8.475972
"2020-07-28",9.22,9.4,9.12,9.13,12542300,8.347963
"2020-07-29",9.09,9.48,9.02,9.45,10357800,8.640553
"2020-07-30",9.22,9.33,9.02,9.31,6761100,8.512545
"2020-07-31",9.18,9.29,9.09,9.27,14092100,8.475972
"2020-08-03",9.37,9.38,9.16,9.27,7791200,8.475972
"2020-08-04",9.3,9.3,9.12,9.17,6545100,8.384536
"2020-08-05",9.25,9.43,9.18,9.39,6292900,8.585692
"2020-08-06",9.3,9.46,9.23,9.3,4408900,8.503402
"2020-08-07",9.23,9.68,9.17,9.66,7202500,8.832564
"2020-08-10",9.72,9.95,9.67,9.87,6664700,9.024577
"2020-08-11",10.09,10.42,10.04,10.09,7255700,9.225733
"2020-08-12",10.29,10.39,9.8,9.97,6369800,9.116013
"2020-08-13",9.81,9.95,9.74,9.77,4153600,8.933142
"2020-08-14",9.73,10.04,9.66,9.9,5322300,9.052008
"2020-08-17",9.86,9.88,9.73,9.78,5472300,8.942285
"2020-08-18",9.78,9.78,9.52,9.53,4551100,8.713699
"2020-08-19",9.54,9.71,9.46,9.52,7293800,8.704556
"2020-08-20",9.45,9.46,9.19,9.2,7664800,8.411966
"2020-08-21",9.22,9.34,9.08,9.11,7932300,8.329675
"2020-08-24",9.2,9.58,9.16,9.55,10128100,8.731987
"2020-08-25",9.69,9.78,9.49,9.58,10667100,8.759418
"2020-08-26",9.58,9.58,9.39,9.41,5336300,8.603979
"2020-08-27",9.39,9.71,9.37,9.64,5371500,8.814277
"2020-08-28",9.71,9.74,9.52,9.57,10208400,8.750274
"2020-08-31",9.55,9.55,9.32,9.41,8529800,8.603979
"2020-09-01",9.31,9.6,9.25,9.44,6877000,8.631409
"2020-09-02",9.41,9.74,9.35,9.69,10151900,8.859996
"2020-09-03",9.76,10.09,9.6,9.65,7450300,8.823421
"2020-09-04",9.89,10.08,9.72,9.94,9643800,9.088581
"2020-09-08",9.74,9.88,9.61,9.72,13322300,8.887425
"2020-09-09",9.85,9.9,9.67,9.79,9755800,8.95143
"2020-09-10",9.89,9.99,9.57,9.58,7392700,8.759418
"2020-09-11",9.61,9.76,9.5,9.68,8156700,8.850852
"2020-09-14",9.74,10.16,9.73,10.12,12025900,9.253163
"2020-09-15",10.07,10.11,9.89,10,12666900,9.143442
"2020-09-16",9.86,10.13,9.79,9.89,9860900,9.180573
