"","HCA.Open","HCA.High","HCA.Low","HCA.Close","HCA.Volume","HCA.Adjusted"
"2020-07-01",96.709999,100.25,96.010002,98.080002,2240100,96.514557
"2020-07-02",100.199997,102.18,97.730003,97.970001,1546000,96.406319
"2020-07-06",99.690002,100.059998,97.309998,99.209999,1361500,97.626518
"2020-07-07",98.089996,99.110001,96.160004,96.239998,1280500,94.703918
"2020-07-08",96.220001,96.220001,93.349998,95.629997,1600800,94.103661
"2020-07-09",95.760002,95.980003,92.059998,94.339996,2934100,92.834236
"2020-07-10",93.830002,97.019997,93.25,96.720001,1693900,95.176247
"2020-07-13",95,99.709999,95,96.830002,2607800,95.2845
"2020-07-14",96.550003,99.129997,95.730003,98.959999,1826400,97.380501
"2020-07-15",101.720001,106.419998,101.199997,105.650002,3859000,103.963722
"2020-07-16",104.839996,108.32,103.449997,107.139999,2901600,105.429955
"2020-07-17",107.419998,108.330002,105.290001,106.059998,1581400,104.367188
"2020-07-20",105.599998,106.32,103.169998,104.970001,3112900,103.294571
"2020-07-21",106.269997,110.209999,106.199997,109.330002,2483300,107.584991
"2020-07-22",115.300003,124.379997,115.099998,122.419998,5347900,120.466057
"2020-07-23",125,127.480003,123.940002,126.970001,4157800,124.943443
"2020-07-24",126.510002,126.510002,124.059998,125.510002,1646100,123.506737
"2020-07-27",125,125.650002,123.610001,125.330002,1655500,123.329613
"2020-07-28",125.190002,126.730003,123.57,123.959999,1530900,121.981483
"2020-07-29",125.18,130.789993,124.879997,129.779999,2429200,127.708572
"2020-07-30",128.110001,128.479996,125.739998,128.050003,1544500,126.006203
"2020-07-31",127.879997,127.879997,124.410004,126.639999,2549200,124.618706
"2020-08-03",127.110001,127.300003,124.809998,125.870003,1125100,123.861008
"2020-08-04",124.900002,128.789993,124.360001,128.389999,2115200,126.340767
"2020-08-05",129.660004,131.889999,129.179993,130.410004,2232500,128.328537
"2020-08-06",130.919998,132.970001,130.539993,132.320007,1687600,130.208069
"2020-08-07",131.5,133,128.639999,130.270004,1372400,128.190781
"2020-08-10",130.320007,132.979996,130.320007,132.470001,1052200,130.355667
"2020-08-11",133.929993,134.970001,130.860001,131.589996,1493000,129.489685
"2020-08-12",132.869995,133.110001,130.350006,132.130005,1252000,130.021072
"2020-08-13",131.360001,131.360001,129.610001,130.669998,819600,128.584366
"2020-08-14",130.25,134.910004,129.690002,134.429993,1295100,132.284363
"2020-08-17",133.919998,135.479996,133.330002,134.300003,1365400,132.156448
"2020-08-18",134.380005,134.600006,132.429993,133.910004,898400,131.772659
"2020-08-19",133.809998,135.550003,132.25,133.039993,1415900,130.916534
"2020-08-20",132.179993,133.690002,130.139999,131.149994,1245400,129.056702
"2020-08-21",130.75,132.979996,130.289993,132.509995,1194600,130.394989
"2020-08-24",133.5,135.070007,132,134.380005,3161400,132.235168
"2020-08-25",134.5,134.75,131.759995,134.110001,994300,131.969482
"2020-08-26",133.589996,133.800003,129.899994,131.630005,1014900,129.529083
"2020-08-27",132.559998,137.979996,131.899994,134.419998,1998400,132.27449
"2020-08-28",134.410004,136.110001,132.369995,135.990005,1090600,133.819504
"2020-08-31",135.570007,137.860001,135.050003,135.720001,2449000,133.553772
"2020-09-01",134.350006,134.600006,132.570007,134.199997,1354200,132.057999
"2020-09-02",134.690002,139.479996,132.960007,138.169998,2198000,135.964661
"2020-09-03",138.770004,139.369995,134.300003,136.600006,1860100,134.419754
"2020-09-04",136.639999,139.179993,134.850006,137.050003,1123400,134.862549
"2020-09-08",136.279999,136.279999,132.389999,132.529999,1418800,130.414688
"2020-09-09",133.649994,135.339996,132.759995,133.809998,1953900,131.674255
"2020-09-10",134.809998,136.449997,134.100006,134.669998,2093100,132.520538
"2020-09-11",134.630005,135.149994,132.179993,134,745600,131.861237
"2020-09-14",135.070007,136.320007,133.850006,135.720001,1658200,133.553772
"2020-09-15",136.960007,138.759995,134.910004,135.800003,1320500,133.632507
"2020-09-16",136.910004,139.179993,136.720001,138.009995,1327200,135.80722
"2020-09-17",136.279999,137.880005,134.179993,137.139999,1381100,134.951126
"2020-09-18",136.190002,136.889999,132.089996,132.25,2070700,130.139175
"2020-09-21",125.919998,125.970001,119.120003,125.449997,3631400,123.447701
