"","HD.Open","HD.High","HD.Low","HD.Close","HD.Volume","HD.Adjusted"
"2020-07-01",249.649994,250.330002,246.929993,248.149994,3677300,237.542877
"2020-07-02",251.940002,252.300003,247.919998,248.5,3369800,237.877899
"2020-07-06",250.270004,251.5,247.039993,249.550003,3133800,238.883011
"2020-07-07",247.369995,250.779999,247.070007,247.350006,2927800,236.777069
"2020-07-08",247.869995,249.789993,246.220001,249.169998,2294000,238.519257
"2020-07-09",249.660004,250.509995,246.350006,247.960007,2994700,237.361008
"2020-07-10",248.289993,250.330002,246.639999,250.110001,2745300,239.419113
"2020-07-13",251.919998,257.859985,249.089996,249.619995,4437500,238.950027
"2020-07-14",249,258.179993,248.460007,257.790009,4614200,246.770844
"2020-07-15",260.140015,261.290009,255.149994,257.799988,4343700,246.78038
"2020-07-16",256.76001,260.5,256,258.079987,2511200,247.048431
"2020-07-17",260.029999,260.649994,257.720001,260.380005,3091300,249.250153
"2020-07-20",259.040009,261.200012,258.019989,260.170013,2451100,249.049103
"2020-07-21",261.619995,263.869995,260.720001,262.420013,2439900,251.202896
"2020-07-22",262.589996,265.589996,262,265.170013,2750000,253.835403
"2020-07-23",267.799988,267.799988,261.799988,263.809998,2680100,252.533539
"2020-07-24",265.040009,266.890015,262.98999,265.309998,2984500,253.969406
"2020-07-27",265.089996,268.679993,265.089996,267.420013,2412500,255.989182
"2020-07-28",268.559998,269.070007,264.670013,265.279999,2227000,253.940689
"2020-07-29",264.799988,267.109985,264.170013,264.660004,2874100,253.347153
"2020-07-30",263.339996,267.350006,261.549988,266.309998,2347800,254.926636
"2020-07-31",265,267.170013,260.609985,265.48999,3640600,254.141678
"2020-08-03",266.730011,268.579987,265.670013,266.179993,2363500,254.80217
"2020-08-04",266.630005,267.890015,263.839996,267.869995,2224000,256.419952
"2020-08-05",268.390015,268.390015,265.890015,267.480011,1959900,256.0466
"2020-08-06",266.600006,270.440002,266.529999,269.369995,2203400,257.855835
"2020-08-07",270.609985,274.920013,269.809998,271.640015,2846300,260.028809
"2020-08-10",272.420013,275,271.799988,274.730011,2393100,262.986725
"2020-08-11",277.690002,279.369995,274.410004,274.920013,3321300,263.16861
"2020-08-12",279.75,282.970001,276.959991,281.579987,3867900,269.543884
"2020-08-13",281.160004,282.649994,279.73999,281.660004,2202400,269.620514
"2020-08-14",281.140015,282,279.190002,280.549988,2490400,268.557922
"2020-08-17",284.399994,289.220001,283.570007,288.23999,5584400,275.91925
"2020-08-18",288.899994,290.579987,283.040009,285,6934300,272.817688
"2020-08-19",287.459991,287.970001,281.929993,282.859985,4986800,270.769165
"2020-08-20",280.540009,281.910004,279.440002,280.679993,3530000,268.682404
"2020-08-21",279.970001,283.549988,278.420013,283.230011,5519100,271.123383
"2020-08-24",284.98999,286.850006,281.920013,286.75,4430900,274.492889
"2020-08-25",287.269989,287.480011,283.890015,286.130005,2854500,273.899414
"2020-08-26",287.730011,292.119995,286.269989,291.929993,4001900,279.451538
"2020-08-27",292.220001,292.950012,286.559998,288.630005,3430900,276.292603
"2020-08-28",288.309998,288.829987,284.769989,286.290009,3100100,274.052582
"2020-08-31",285,286.690002,282.869995,285.040009,4105400,272.856049
"2020-09-01",284.029999,286.679993,283.5,285.940002,3235100,273.717529
"2020-09-02",284.850006,288.040009,283.600006,287.200012,3464600,276.373505
"2020-09-03",287.299988,287.700012,272.170013,274.630005,5380100,264.277344
"2020-09-04",275.549988,276.769989,264.670013,269.660004,5253500,259.494751
"2020-09-08",267.109985,271.040009,262.809998,269.26001,5241200,259.109772
"2020-09-09",272.459991,279.73999,271.75,277.040009,4754700,266.596527
"2020-09-10",278.01001,280.980011,271.170013,272.700012,3156300,262.420105
"2020-09-11",273.980011,277.980011,273.459991,276.329987,3729200,265.913269
"2020-09-14",278.549988,282.459991,278.019989,280.649994,3055800,270.070435
"2020-09-15",283.040009,286.700012,282.380005,285.579987,4174900,274.814545
"2020-09-16",285.609985,286.579987,280.679993,281.630005,3379100,271.013519
"2020-09-17",277.910004,282.720001,276.959991,279.959991,3166600,269.406433
"2020-09-18",278.410004,279.829987,270.809998,275.190002,6072900,264.816254
"2020-09-21",271.869995,272.899994,266.529999,272.350006,3548000,262.083344
"2020-09-22",271.679993,273.519989,270.630005,273.309998,2972000,263.007141
"2020-09-23",275.420013,276.619995,264.690002,266.549988,4467600,256.501892
"2020-09-24",265.709991,269.700012,263.880005,265.700012,3095600,255.683975
"2020-09-25",264.190002,270.149994,263.920013,268.549988,2457700,258.426544
"2020-09-28",271.929993,274.220001,270.299988,272.329987,3061100,262.064026
"2020-09-29",273.399994,273.839996,271.109985,272.109985,2048900,261.852356
"2020-09-30",273.480011,279.920013,272.519989,277.709991,4778800,267.241272
"2020-10-01",279.440002,280,275.850006,277.619995,2696900,267.154663
"2020-10-02",274.940002,281.079987,274.100006,279.309998,2943600,268.780945
"2020-10-05",280.920013,282.420013,279.700012,282.100006,2330700,271.465759
"2020-10-06",282.5,283,275.769989,276.470001,2992500,266.048035
"2020-10-07",280.850006,284,280,282.790009,3423700,272.12973
"2020-10-08",283.839996,284.950012,281.170013,284.519989,2256200,273.794556
"2020-10-09",285.470001,287.279999,284.089996,285.920013,2240100,275.141785
"2020-10-12",287.390015,288.329987,286.059998,286.910004,2411900,276.094482
"2020-10-13",285.700012,290.769989,285.700012,290.359985,2699900,279.414429
"2020-10-14",289.51001,290.299988,285.149994,287.089996,2221000,276.267639
"2020-10-15",284.119995,290.25,283.119995,287.540009,2699400,276.700684
"2020-10-16",288.25,292.649994,287.25,287.660004,3108600,276.816162
"2020-10-19",289.76001,290.109985,283.380005,283.730011,2428100,273.034363
"2020-10-20",285.140015,289.790009,284.130005,286.040009,2281500,275.257263
"2020-10-21",285.390015,288.019989,283.279999,284.51001,2304500,273.784943
"2020-10-22",283.929993,285.679993,280.649994,281.160004,2787000,270.561249
"2020-10-23",282.380005,283.190002,279.549988,283,1750600,272.331818
"2020-10-26",279.640015,281.529999,272,276.040009,2911900,265.634186
"2020-10-27",276.98999,279.730011,276.119995,276.839996,3014100,266.404053
"2020-10-28",270.25,273.670013,268.690002,269.720001,3255900,259.55246
"2020-10-29",269.690002,273.700012,267.309998,269.630005,2872500,259.465851
"2020-10-30",268.820007,269.619995,262.029999,266.709991,3872800,256.655914
"2020-11-02",270.149994,274.779999,268.519989,270.73999,2956400,260.533966
"2020-11-03",274.850006,279.529999,273.720001,277.369995,3037500,266.914063
"2020-11-04",276.76001,287.040009,276.01001,282.720001,3525300,272.062378
"2020-11-05",288.350006,289,284.079987,285.850006,2516600,275.074402
"2020-11-06",286.730011,286.779999,282.850006,284.23999,2839100,273.525055
"2020-11-09",287.980011,288.420013,269.470001,269.970001,7856400,259.79303
"2020-11-10",272.790009,275.790009,269.25,275.570007,4828500,265.181946
"2020-11-11",277.320007,281.690002,276.170013,277.75,2987900,267.279785
"2020-11-12",283,283.690002,273.839996,276.23999,3818600,265.82666
"2020-11-13",276.420013,279.730011,275.26001,277.170013,3939200,266.721619
"2020-11-16",279.179993,281.290009,276.399994,279.570007,5360200,269.031158
"2020-11-17",272.100006,273.529999,269.399994,272.470001,8532200,262.19873
"2020-11-18",270.5,275.380005,269,269.829987,5122200,259.658325
"2020-11-19",270.420013,272.380005,268.700012,270.929993,3929400,260.716797
"2020-11-20",271.450012,272.369995,268.869995,269.809998,4111000,259.639038
"2020-11-23",270.01001,273.690002,269.549988,271.399994,3294200,261.169098
"2020-11-24",274,275.549988,272.570007,273.309998,4773400,263.007141
"2020-11-25",273.480011,274.73999,271.209991,273.959991,3001700,263.632568
