"","HES.Open","HES.High","HES.Low","HES.Close","HES.Volume","HES.Adjusted"
"2020-07-01",51.720001,52.299999,49.540001,49.849998,1850800,48.367344
"2020-07-02",51.200001,52.080002,51,51.490002,1851300,49.958576
"2020-07-06",52.459999,52.459999,48.82,49.490002,2745600,48.018051
"2020-07-07",48.790001,49.919998,48.139999,48.360001,1912300,46.921661
"2020-07-08",48.459999,49.700001,48.139999,49.32,1944000,47.853111
"2020-07-09",48.990002,49.200001,44.619999,44.68,4375800,43.351112
"2020-07-10",44.380001,45.619999,44.139999,44.900002,2617200,43.564575
"2020-07-13",45.259998,46.580002,44.02,45.330002,2195400,43.981785
"2020-07-14",45.080002,47.599998,44.779999,47.48,2125100,46.067837
"2020-07-15",48.799999,49.060001,46.970001,48.66,3034700,47.212738
"2020-07-16",48.200001,49.419998,47.290001,48.669998,1374500,47.222439
"2020-07-17",49.049999,49.799999,47.709999,47.869999,1498100,46.446239
"2020-07-20",47.919998,49.369999,47.889999,48.200001,1987100,46.766422
"2020-07-21",49.060001,52.900002,49.060001,52.259998,2959300,50.705669
"2020-07-22",51.25,52.57,50.099998,52.09,1838200,50.540726
"2020-07-23",51.369999,51.810001,50.110001,51.040001,1609500,49.52195
"2020-07-24",51.23,51.91,50.389999,50.459999,1125500,48.959202
"2020-07-27",50.150002,50.950001,49.740002,50.290001,1122500,48.794262
"2020-07-28",49.990002,50.310001,47.970001,48.099998,2477800,46.669395
"2020-07-29",50.009998,50.299999,48.75,50,2492200,48.51289
"2020-07-30",48.639999,49.040001,46.540001,47.540001,2700500,46.126049
"2020-07-31",47.119999,49.290001,46.959999,49.209999,2344000,47.746387
"2020-08-03",49.32,50.459999,48.560001,49.84,1611500,48.357647
"2020-08-04",49.650002,50.84,49.650002,50.68,1665200,49.172661
"2020-08-05",51.959999,54.200001,51.389999,53.610001,3090600,52.015518
"2020-08-06",53.080002,53.709999,52.57,53.389999,1599600,51.802059
"2020-08-07",52.830002,53.540001,52.279999,53.029999,2302200,51.452766
"2020-08-10",53.580002,55.59,53.330002,55.139999,2785100,53.500011
"2020-08-11",56.330002,56.860001,53.389999,53.52,2387200,51.928196
"2020-08-12",54.799999,54.799999,53.27,53.830002,2074100,52.228973
"2020-08-13",53.48,54.029999,52.529999,52.73,1602900,51.161694
"2020-08-14",52.240002,53.790001,52.080002,53.779999,1229600,52.180462
"2020-08-17",53.580002,53.580002,51.610001,52.470001,1352400,50.909424
"2020-08-18",51.77,52.580002,48.650002,50.02,2419100,48.532288
"2020-08-19",49.740002,50.220001,48.48,48.490002,2426200,47.047798
"2020-08-20",47.830002,48.830002,47.580002,48.139999,2080200,46.708206
"2020-08-21",47.84,48.16,46.939999,47.509998,1599300,46.096943
"2020-08-24",47.91,48.459999,47.110001,47.830002,1675000,46.407425
"2020-08-25",48.779999,48.779999,47.349998,48.32,1860300,46.882854
"2020-08-26",48.119999,48.119999,46.259998,46.299999,1547200,44.922932
"2020-08-27",46.610001,47.060001,45.779999,46.419998,1731800,45.03936
"2020-08-28",46.709999,47.02,45.91,46.939999,1685200,45.543892
"2020-08-31",46.939999,47.02,45.689999,46.040001,1628900,44.670673
"2020-09-01",45.700001,45.98,45.099998,45.939999,1495800,44.573639
"2020-09-02",45.700001,46.73,45.369999,45.889999,1826100,44.52512
"2020-09-03",45.630001,47.470001,45.400002,46.41,2356500,45.029663
"2020-09-04",47.049999,47.84,46.41,47.150002,2008200,45.74765
"2020-09-08",45.970001,46.860001,44.150002,45.700001,2590500,44.340782
"2020-09-09",45.959999,47.650002,45.759998,46.950001,2197300,45.5536
"2020-09-10",46.919998,46.919998,43.470001,43.52,3389800,42.225616
"2020-09-11",43.560001,43.740002,42.720001,43.25,2227200,41.963646
"2020-09-14",43.27,44.950001,42.84,43.84,2340800,42.783398
"2020-09-15",43.950001,44.299999,42.77,42.849998,2149300,41.817265
"2020-09-16",43.59,44.869999,43.139999,44.200001,4558800,43.134724
"2020-09-17",43.330002,44.669998,43.299999,44.25,3250800,43.183517
