"","HIG.Open","HIG.High","HIG.Low","HIG.Close","HIG.Volume","HIG.Adjusted"
"2020-07-01",38.509998,39.029999,37.490002,37.700001,1970400,35.907551
"2020-07-02",38.720001,39.060001,37.349998,37.5,2049400,35.71706
"2020-07-06",38.610001,38.900002,37.830002,38.299999,1456400,36.479023
"2020-07-07",37.84,38.009998,37.07,37.18,2379400,35.41227
"2020-07-08",37.060001,37.900002,36.93,37.650002,1672600,35.859928
"2020-07-09",37.470001,37.560001,35.700001,35.810001,1702100,34.107407
"2020-07-10",35.939999,37.560001,35.799999,37.41,1932000,35.63134
"2020-07-13",37.75,38.279999,36.630001,37.599998,2265700,35.812298
"2020-07-14",37.759998,38.849998,37.290001,38.740002,1926600,36.898109
"2020-07-15",39.939999,40.599998,39.5,40.41,2732400,38.488705
"2020-07-16",41.18,43.119999,40.759998,42.310001,3260500,40.29837
"2020-07-17",42.290001,42.369999,41.450001,41.950001,2265300,39.955486
"2020-07-20",41.889999,41.889999,40.830002,41.09,1810500,39.136375
"2020-07-21",41.43,42.34,41.43,41.639999,1485100,39.660221
"2020-07-22",41.16,42.400002,40.919998,42.119999,1396000,40.117393
"2020-07-23",41.779999,42.509998,41.360001,42.400002,1913800,40.38409
"2020-07-24",42.439999,42.669998,41.299999,41.48,1888700,39.507828
"2020-07-27",41.209999,41.23,40.290001,40.84,1770600,38.898258
"2020-07-28",40.549999,40.990002,40.349998,40.450001,1479900,38.526798
"2020-07-29",40.419998,41.57,40.060001,41.439999,1539600,39.46973
"2020-07-30",40.279999,40.82,39.830002,40.5,1574000,38.574425
"2020-07-31",42,42.799999,40.779999,42.32,4126500,40.307888
"2020-08-03",42.299999,42.860001,41.669998,42,3207200,40.003101
"2020-08-04",41.830002,41.950001,40.509998,40.57,2641600,38.64109
"2020-08-05",41.040001,42.330002,40.959999,42.029999,2177500,40.031673
"2020-08-06",41.580002,42.48,41.380001,41.580002,1775100,39.603073
"2020-08-07",41.380001,42.860001,41.09,42.799999,1345100,40.765064
"2020-08-10",42.900002,43.77,42.810001,43.66,1610900,41.584175
"2020-08-11",44.799999,45.689999,43.759998,43.82,2696600,41.736572
"2020-08-12",44.599998,44.599998,42.279999,42.799999,2364300,40.765064
"2020-08-13",42.299999,42.48,41.529999,42.459999,2797100,40.441235
"2020-08-14",42.139999,43.200001,41.98,42.810001,2060300,40.774593
"2020-08-17",42.580002,42.639999,41.709999,41.830002,1551200,39.841187
"2020-08-18",41.919998,42.130001,41.189999,41.279999,1082500,39.317337
"2020-08-19",41.23,41.93,40.73,40.790001,1214900,38.850632
"2020-08-20",40.310001,40.709999,40.200001,40.290001,1538800,38.374409
"2020-08-21",40.259998,40.439999,39.740002,39.849998,1418500,37.955322
"2020-08-24",40.02,41.91,39.720001,41.349998,3080600,39.384007
"2020-08-25",41.970001,42.43,41.380001,41.52,2706800,39.545925
