"","HII.Open","HII.High","HII.Low","HII.Close","HII.Volume","HII.Adjusted"
"2020-07-01",176.160004,177.720001,173.149994,173.729996,278200,165.469055
"2020-07-02",175.919998,176.940002,172.619995,173.110001,233200,164.87854
"2020-07-06",176.179993,176.580002,172.949997,173.279999,176000,165.040482
"2020-07-07",171.630005,175.259995,168.179993,168.320007,207600,160.31633
"2020-07-08",168.309998,170.350006,166.619995,167.490005,333600,159.525772
"2020-07-09",166.479996,166.910004,161.350006,161.770004,319800,154.077789
"2020-07-10",161.919998,167.350006,161.919998,167.039993,269700,159.097183
"2020-07-13",169.199997,172.589996,167.660004,169.619995,337500,161.554489
"2020-07-14",170,172.850006,168.25,171.820007,305000,163.649918
"2020-07-15",176.190002,178.360001,174.789993,176.970001,239100,168.555023
"2020-07-16",176.800003,182.240005,175.710007,179.369995,270400,170.840866
"2020-07-17",180.020004,181.369995,178.210007,180.949997,236700,172.345749
"2020-07-20",179.570007,179.990005,175.509995,176.229996,273000,167.850204
"2020-07-21",177,180.270004,177,178.009995,196500,169.545563
"2020-07-22",177.910004,180.5,177.309998,179.610001,244000,171.069489
"2020-07-23",179.5,183.679993,178.850006,180.910004,239800,172.307678
"2020-07-24",180.910004,182.259995,176.699997,177.059998,192900,168.640717
"2020-07-27",176.410004,176.410004,172.660004,173.199997,201600,164.964279
"2020-07-28",173.059998,177.5,173.059998,174.990005,190900,166.669144
"2020-07-29",175.339996,176.720001,172.589996,175.880005,129300,167.516846
"2020-07-30",173.669998,176.979996,172.970001,174.789993,177200,166.478638
"2020-07-31",174.399994,175.619995,171.240005,173.710007,313400,165.450012
"2020-08-03",174.029999,176.970001,173.449997,175.339996,224300,167.002502
"2020-08-04",175.410004,176.789993,172.850006,173.539993,278100,165.288101
"2020-08-05",175.440002,178.669998,174.050003,178.669998,443000,170.174179
"2020-08-06",171.009995,174.419998,160,162.800003,1171000,155.058807
"2020-08-07",161.460007,169.770004,161.440002,167.899994,550400,159.916306
"2020-08-10",167.889999,170.990005,165.869995,169.130005,512300,161.087814
"2020-08-11",172.229996,174.5,168.389999,168.539993,231500,160.525864
"2020-08-12",170.020004,170.020004,163,164.169998,416600,156.363663
"2020-08-13",163.110001,165.809998,161.850006,164.130005,381300,156.325546
"2020-08-14",163.619995,169,163.5,166.889999,217000,158.954315
"2020-08-17",166.740005,166.889999,162.649994,163.089996,352500,155.335022
"2020-08-18",162.660004,163.410004,161.440002,162.289993,333900,154.573059
"2020-08-19",161.979996,164.490005,161.979996,162.770004,227900,155.030243
"2020-08-20",161.509995,161.979996,159.410004,159.539993,259900,151.953796
"2020-08-21",159.100006,161.479996,158.070007,158.630005,331800,151.087067
"2020-08-24",159.149994,162.300003,157.610001,162.179993,309100,154.468246
"2020-08-25",162.809998,163.169998,158.130005,158.940002,261300,151.382355
"2020-08-26",158.089996,158.520004,153.509995,153.889999,459800,146.572479
"2020-08-27",153.25,156.300003,152.5,153.440002,470100,147.128616
