"","HLT.Open","HLT.High","HLT.Low","HLT.Close","HLT.Volume","HLT.Adjusted"
"2020-07-01",74.68,76.529999,74.120003,74.440002,3177000,74.35524
"2020-07-02",76.790001,76.980003,74.129997,74.519997,1766300,74.435143
"2020-07-06",76.080002,76.349998,74.980003,76.239998,2942700,76.153191
"2020-07-07",75.260002,75.459999,73.75,74.169998,2761100,74.085548
"2020-07-08",74.300003,75.089996,73.400002,75.089996,3596800,75.004494
"2020-07-09",75.410004,75.589996,72.519997,74.129997,2809600,74.045593
"2020-07-10",73.830002,75.269997,73.5,75.239998,2168300,75.154327
"2020-07-13",75.550003,76.260002,73.550003,73.580002,2984900,73.496223
"2020-07-14",73.209999,73.540001,71.860001,73.510002,2452000,73.4263
"2020-07-15",76.599998,81.480003,76.010002,80.919998,4597000,80.827858
"2020-07-16",79.800003,81.220001,78.959999,80.889999,2863200,80.797897
"2020-07-17",80.669998,80.690002,78.510002,79.900002,2268600,79.809029
"2020-07-20",79.440002,80.32,77.529999,78.169998,2103400,78.080994
"2020-07-21",79.309998,80.400002,78.540001,80.120003,2086800,80.028778
"2020-07-22",79.610001,80.349998,78.790001,79.620003,2583900,79.529343
"2020-07-23",78.720001,79.230003,77.110001,78.860001,2150100,78.77021
"2020-07-24",78.419998,78.5,76.93,77.43,1257400,77.341835
"2020-07-27",76.550003,77.449997,75.360001,77.339996,2389700,77.251938
"2020-07-28",77.019997,77.580002,76.5,76.669998,2194800,76.582703
"2020-07-29",77.25,78.010002,76.93,77.389999,1605100,77.30188
"2020-07-30",76.5,76.959999,75.379997,76.139999,2288600,76.053307
"2020-07-31",75.68,75.760002,74.019997,75.050003,4115100,74.964546
"2020-08-03",74.400002,75.620003,73.5,74.739998,1965600,74.6549
"2020-08-04",74.800003,78.419998,74.470001,78.32,2856700,78.23082
"2020-08-05",79.610001,80.029999,77.830002,80,3917600,79.908913
"2020-08-06",79.300003,83.599998,78.029999,82.699997,5000300,82.605835
"2020-08-07",82.349998,83.860001,81.209999,83.699997,3257100,83.604691
"2020-08-10",84.529999,87.220001,84.199997,86.199997,3588500,86.101845
"2020-08-11",87.550003,88.459999,86.449997,87.019997,5012200,86.920914
"2020-08-12",88.610001,88.699997,85.360001,85.889999,2169600,85.792206
"2020-08-13",85.25,87.050003,84.260002,85.5,1721100,85.402649
"2020-08-14",85.889999,86.839996,85.25,86,1899400,85.902077
"2020-08-17",86.07,86.199997,84.199997,84.980003,2360900,84.88324
"2020-08-18",85.010002,85.220001,83.360001,84.07,1806600,83.974274
"2020-08-19",84.599998,85.400002,83.879997,84.489998,2010600,84.393799
"2020-08-20",83.470001,85.709999,83.120003,85.099998,2274300,85.003098
"2020-08-21",85.5,87.440002,85.160004,87.349998,2318500,87.250542
"2020-08-24",87.849998,89.209999,86.800003,88.400002,2468500,88.299347
"2020-08-25",89.720001,90.610001,88.269997,88.440002,2053300,88.339302
"2020-08-26",88.209999,88.209999,86.699997,86.800003,2210300,86.701172
