"","HOLX.Open","HOLX.High","HOLX.Low","HOLX.Close","HOLX.Volume","HOLX.Adjusted"
"2020-07-01",57.470001,57.48,55.799999,56.970001,1991100,56.970001
"2020-07-02",57.540001,58.720001,57.540001,57.860001,3008800,57.860001
"2020-07-06",58.549999,59.139999,57.630001,57.860001,2499700,57.860001
"2020-07-07",57.419998,57.82,56.709999,56.849998,1752900,56.849998
"2020-07-08",56.84,57.75,56.790001,57.619999,1747200,57.619999
"2020-07-09",57.59,57.919998,56.299999,57.470001,1745100,57.470001
"2020-07-10",57.380001,58.290001,56.919998,57.700001,2930900,57.700001
"2020-07-13",58.099998,59.689999,57.23,57.5,2084800,57.5
"2020-07-14",57.639999,59.470001,57.279999,59.43,2133000,59.43
"2020-07-15",59.990002,60.59,59.189999,60.259998,1938300,60.259998
"2020-07-16",60.25,60.25,59.549999,59.959999,1055100,59.959999
"2020-07-17",60.279999,62.290001,60,61.880001,2407200,61.880001
"2020-07-20",61.790001,61.830002,60.990002,61.43,1603000,61.43
"2020-07-21",61.290001,62.380001,61.220001,61.84,1768800,61.84
"2020-07-22",61.98,62.689999,61.689999,62.169998,1636500,62.169998
"2020-07-23",63.389999,63.599998,61.650002,61.939999,2166900,61.939999
"2020-07-24",61.560001,61.889999,60.93,61.75,2111900,61.75
"2020-07-27",61.790001,62.869999,61.419998,62.689999,1551900,62.689999
"2020-07-28",62.43,62.75,61.919998,62.099998,1481800,62.099998
"2020-07-29",62.450001,64.209999,62.150002,64,2220500,64
"2020-07-30",69.519997,70.150002,67.449997,69.709999,4817500,69.709999
"2020-07-31",68.669998,70.349998,68.669998,69.779999,2584000,69.779999
"2020-08-03",70.599998,71.489998,70.080002,71.32,2654900,71.32
"2020-08-04",71.220001,72.209999,70.800003,72.059998,1832900,72.059998
"2020-08-05",72.260002,73.629997,72.209999,73.32,2236400,73.32
"2020-08-06",72.800003,73.25,69.440002,70.25,3267000,70.25
"2020-08-07",70.300003,71.300003,68.080002,68.550003,3146300,68.550003
"2020-08-10",68.620003,68.730003,65.709999,65.900002,2819200,65.900002
"2020-08-11",66.339996,66.339996,64.169998,65.790001,2864200,65.790001
"2020-08-12",66.260002,68.550003,66.139999,67.989998,1868400,67.989998
"2020-08-13",67.540001,68.769997,67.419998,68.120003,1636300,68.120003
"2020-08-14",67.639999,68.019997,66.470001,66.809998,1065600,66.809998
"2020-08-17",67.010002,68.480003,66.919998,68.080002,1708500,68.080002
"2020-08-18",68.199997,68.629997,67.599998,67.800003,1456400,67.800003
"2020-08-19",67.980003,68.419998,66.879997,67.040001,2019600,67.040001
"2020-08-20",66.660004,67.379997,66.510002,67.080002,1534600,67.080002
"2020-08-21",66.75,67.029999,66.400002,66.75,1790600,66.75
"2020-08-24",66.940002,67.239998,65.110001,65.330002,1426900,65.330002
"2020-08-25",65.650002,66.199997,64.989998,66.110001,1109400,66.110001
"2020-08-26",66.059998,66.419998,65.300003,65.910004,1044300,65.910004
"2020-08-27",60.029999,62.450001,57.939999,61.540001,8004300,61.540001
"2020-08-28",61.970001,61.970001,59.5,60.369999,4093500,60.369999
"2020-08-31",60.599998,61.110001,59.610001,59.720001,3745400,59.720001
"2020-09-01",59.84,60.509998,58.400002,59.220001,2634000,59.220001
"2020-09-02",59.490002,61.91,58.82,61.740002,3022800,61.740002
"2020-09-03",61.139999,61.740002,58.66,59.209999,2848100,59.209999
"2020-09-04",59.360001,59.610001,56.810001,58.240002,2627900,58.240002
"2020-09-08",57.610001,58.970001,57.02,57.599998,2065600,57.599998
"2020-09-09",58.07,59.459999,57.98,59.23,2489100,59.23
"2020-09-10",59.34,60.91,58.66,59.919998,2736500,59.919998
"2020-09-11",63.880001,64,61.32,62.040001,3672000,62.040001
"2020-09-14",62.279999,62.59,60.450001,60.650002,1924700,60.650002
"2020-09-15",61.130001,61.950001,60.68,60.889999,1817300,60.889999
"2020-09-16",61.279999,61.740002,60.540001,60.77,1547600,60.77
"2020-09-17",59.939999,63.279999,59.709999,63.23,2978500,63.23
"2020-09-18",63.169998,64.279999,62.27,63.57,3929600,63.57
"2020-09-21",62.5,65.220001,61.290001,65.120003,3006200,65.120003
