"","HPE.Open","HPE.High","HPE.Low","HPE.Close","HPE.Volume","HPE.Adjusted"
"2020-07-01",9.72,9.76,9.35,9.42,9192700,8.78411
"2020-07-02",9.59,9.745,9.38,9.41,9605700,8.774786
"2020-07-06",9.6,9.67,9.45,9.59,8967700,8.942636
"2020-07-07",9.48,9.52,9.055,9.07,10733300,8.457736
"2020-07-08",9.13,9.25,8.97,9.21,8795900,8.588287
"2020-07-09",9.21,9.23,8.95,8.98,9402800,8.373813
"2020-07-10",9,9.275,8.97,9.26,7315100,8.634911
"2020-07-13",9.38,9.58,9.095,9.44,13827800,8.802761
"2020-07-14",9.39,9.585,9.255,9.51,8845400,8.868035
"2020-07-15",9.76,9.875,9.535,9.64,8162600,8.98926
"2020-07-16",9.58,9.95,9.54,9.72,11771400,9.06386
"2020-07-17",9.76,9.79,9.605,9.67,7209900,9.017235
"2020-07-20",9.6,9.655,9.375,9.55,7194800,8.905335
"2020-07-21",9.6,9.83,9.59,9.66,13268300,9.00791
"2020-07-22",9.62,9.81,9.55,9.75,9564700,9.091834
"2020-07-23",9.76,9.94,9.645,9.82,7476300,9.157109
"2020-07-24",9.8,9.845,9.62,9.62,9185400,8.970608
"2020-07-27",9.57,9.77,9.47,9.75,5465100,9.091834
"2020-07-28",9.71,9.74,9.48,9.48,7919300,8.84006
"2020-07-29",9.5,9.816,9.4,9.71,10821000,9.054534
"2020-07-30",9.59,9.67,9.35,9.62,9499500,8.970608
"2020-07-31",9.6,9.9,9.45,9.87,24918200,9.203734
"2020-08-03",9.87,10,9.71,9.89,9723800,9.222383
"2020-08-04",9.89,10.12,9.87,9.96,7913500,9.287659
"2020-08-05",10.05,10.14,9.87,9.96,6730100,9.287659
"2020-08-06",9.87,10.24,9.84,10.11,11467900,9.427532
"2020-08-07",10.09,10.14,9.97,10.09,7961100,9.408884
"2020-08-10",10.11,10.345,10.11,10.21,12021500,9.520782
"2020-08-11",10.38,10.6,10.1,10.16,9680100,9.474158
"2020-08-12",10.28,10.32,10.02,10.14,7467700,9.455508
"2020-08-13",10.01,10.03,9.55,9.61,11949500,8.961285
"2020-08-14",9.55,9.75,9.41,9.67,8041500,9.017235
"2020-08-17",9.71,9.72,9.43,9.46,8931000,8.821411
"2020-08-18",9.4,9.53,9.36,9.45,6092700,8.812085
"2020-08-19",9.51,9.635,9.4,9.42,5024100,8.78411
"2020-08-20",9.33,9.38,9.21,9.26,6993700,8.634911
"2020-08-21",9.24,9.36,9.12,9.33,8433800,8.700187
"2020-08-24",9.4,9.8,9.4,9.62,10576500,8.970608
"2020-08-25",9.63,9.75,9.305,9.33,15471100,8.700187
"2020-08-26",10.1,10.28,9.62,9.67,27301800,9.017235
"2020-08-27",9.67,9.71,9.42,9.57,10944400,8.923985
"2020-08-28",9.59,9.85,9.542,9.83,10162600,9.166434
"2020-08-31",9.83,9.9,9.6,9.67,9873000,9.017235
"2020-09-01",9.67,9.71,9.375,9.47,13312500,8.830735
"2020-09-02",9.51,9.9,9.48,9.83,12537100,9.166434
"2020-09-03",9.85,10.1,9.45,9.52,11362100,8.877361
"2020-09-04",9.6,9.77,9.42,9.59,14867800,8.942636
"2020-09-08",9.35,9.68,9.28,9.43,13464300,8.904862
"2020-09-09",9.58,9.58,9.33,9.46,10452400,8.933192
"2020-09-10",9.48,9.55,9.18,9.22,9993000,8.706557
"2020-09-11",9.27,9.275,9.1,9.24,10212700,8.725443
"2020-09-14",9.32,9.47,9.27,9.37,10829000,8.848205
"2020-09-15",9.31,9.44,9.265,9.28,6831300,8.763215
"2020-09-16",9.36,9.67,9.29,9.47,12250500,8.942636
"2020-09-17",9.32,9.64,9.29,9.63,10690500,9.093724
"2020-09-18",9.61,9.63,9.425,9.5,15150900,8.970964
"2020-09-21",9.3,9.32,9.095,9.23,17300400,8.716001
"2020-09-22",9.28,9.36,9.17,9.31,9640500,8.791546
"2020-09-23",9.31,9.49,9.06,9.07,9145800,8.564911
"2020-09-24",9.02,9.235,8.835,9.13,11040300,8.62157
"2020-09-25",9.08,9.17,8.92,9.11,10650500,8.602682
"2020-09-28",9.26,9.5,9.24,9.48,13486300,8.952077
"2020-09-29",9.5,9.56,9.32,9.38,7812300,8.857647
"2020-09-30",9.4,9.54,9.3,9.37,8426600,8.848205
"2020-10-01",9.43,9.445,9.15,9.23,8777900,8.716001
"2020-10-02",9.05,9.455,9.05,9.42,9227000,8.895419
"2020-10-05",9.51,9.79,9.5,9.77,12705100,9.225929
