"","HPQ.Open","HPQ.High","HPQ.Low","HPQ.Close","HPQ.Volume","HPQ.Adjusted"
"2020-07-01",17.41,17.59,16.92,17,11761700,16.059122
"2020-07-02",17.24,17.6,16.99,17.07,10167400,16.125248
"2020-07-06",17.35,17.629999,17.33,17.459999,11548700,16.493662
"2020-07-07",17.290001,17.389999,16.559999,16.629999,14367300,15.709599
"2020-07-08",16.870001,16.9,16.43,16.75,16397400,15.822956
"2020-07-09",16.700001,16.74,16.02,16.41,12495000,15.501774
"2020-07-10",16.450001,17.07,16.41,16.99,11230100,16.049675
"2020-07-13",17.17,17.610001,16.959999,17.08,10659000,16.134691
"2020-07-14",16.98,17.83,16.93,17.790001,14898500,16.805397
"2020-07-15",17.98,18.360001,17.65,17.790001,14876500,16.805397
"2020-07-16",17.74,17.969999,17.66,17.83,8319300,16.843185
"2020-07-17",17.950001,18,17.4,17.549999,14076400,16.578678
"2020-07-20",17.41,17.709999,17.27,17.65,8371400,16.673141
"2020-07-21",17.77,18.030001,17.459999,17.48,10038400,16.51255
"2020-07-22",17.4,17.799999,17.309999,17.73,8483400,16.748716
"2020-07-23",17.700001,17.93,17.530001,17.66,7281300,16.682592
"2020-07-24",17.559999,17.65,17.33,17.5,8019400,16.531448
"2020-07-27",17.59,17.860001,17.459999,17.809999,9427300,16.824287
"2020-07-28",17.77,17.870001,16.66,16.700001,19906000,15.775726
"2020-07-29",16.809999,17.209999,16.77,17.08,12325900,16.134691
"2020-07-30",16.91,17.299999,16.73,17.24,8938700,16.285837
"2020-07-31",17.280001,17.629999,17.15,17.58,14603400,16.607019
"2020-08-03",17.59,17.879999,17.379999,17.77,7614300,16.786503
"2020-08-04",17.790001,18.02,17.690001,17.889999,8697100,16.899864
"2020-08-05",18.049999,18.219999,17.879999,17.969999,9822400,16.975435
"2020-08-06",17.85,18.360001,17.84,18.27,8267200,17.258831
"2020-08-07",18.24,18.469999,18.16,18.469999,6907700,17.447763
"2020-08-10",18.5,19.040001,18.49,18.98,8436300,17.929537
"2020-08-11",19,19.43,18.48,18.57,10594000,17.542227
"2020-08-12",18.809999,18.860001,18.4,18.799999,9132400,17.759497
"2020-08-13",18.549999,18.719999,18.35,18.379999,9263200,17.362741
"2020-08-14",18.280001,18.35,18.040001,18.18,11523000,17.173815
"2020-08-17",18.24,18.33,17.9,17.950001,12917000,16.956541
"2020-08-18",17.940001,18.27,17.809999,18.24,8279000,17.230488
"2020-08-19",18.299999,18.49,18.09,18.139999,6196900,17.136028
"2020-08-20",18,18.219999,17.969999,18.15,5865500,17.145473
"2020-08-21",18.110001,18.299999,17.950001,18.23,7473800,17.221041
"2020-08-24",18.42,18.83,18.42,18.65,5670000,17.617798
"2020-08-25",18.719999,18.799999,18.299999,18.440001,7465100,17.41942
"2020-08-26",18.5,18.58,18.299999,18.33,10461000,17.315512
"2020-08-27",18.5,18.860001,18.35,18.700001,14543400,17.665033
"2020-08-28",19.280001,20.18,18.85,19.85,22607800,18.751383
"2020-08-31",19.799999,20.17,19.549999,19.549999,18537600,18.467987
"2020-09-01",19.530001,19.549999,19.059999,19.26,12850600,18.194036
"2020-09-02",19.379999,19.9,19.33,19.84,10325900,18.741938
"2020-09-03",19.67,20.049999,19.110001,19.299999,12562400,18.231825
"2020-09-04",19.25,19.5,18.92,19.23,10339300,18.165699
"2020-09-08",18.870001,19.98,18.73,19.450001,17584200,18.54324
"2020-09-09",19.51,19.83,19.450001,19.700001,10103400,18.781584
"2020-09-10",19.780001,19.84,18.98,19.01,10408300,18.123751
