"","HST.Open","HST.High","HST.Low","HST.Close","HST.Volume","HST.Adjusted"
"2020-07-01",10.9,11.51,10.86,10.89,17424800,10.83307
"2020-07-02",11.2,11.38,10.84,10.95,7231300,10.892756
"2020-07-06",11.24,11.45,10.96,11.21,9223700,11.151397
"2020-07-07",11.02,11.04,10.61,10.84,13259000,10.783332
"2020-07-08",10.8,10.83,10.6,10.73,12047100,10.673905
"2020-07-09",10.68,10.75,10.39,10.51,9443800,10.455056
"2020-07-10",10.46,10.87,10.42,10.84,9987300,10.783332
"2020-07-13",10.96,11.11,10.66,10.82,8339100,10.763435
"2020-07-14",10.7,10.82,10.5,10.61,6070000,10.554533
"2020-07-15",11.06,11.64,11.04,11.62,12488900,11.559253
"2020-07-16",11.33,11.42,11.2,11.25,8295000,11.191187
"2020-07-17",11.26,11.35,10.99,11.01,7911800,10.952442
"2020-07-20",10.94,10.97,10.6,10.6,9089200,10.544586
"2020-07-21",10.75,10.98,10.7,10.89,7559200,10.83307
"2020-07-22",10.75,10.9,10.65,10.87,8421300,10.813174
"2020-07-23",10.73,10.81,10.54,10.73,9055700,10.673905
"2020-07-24",10.5,10.63,10.32,10.5,9623200,10.445108
"2020-07-27",10.5,10.51,10.15,10.32,11145400,10.266049
"2020-07-28",10.28,10.64,10.26,10.52,7402000,10.465005
"2020-07-29",10.77,11.04,10.54,11.02,9742600,10.96239
"2020-07-30",10.78,10.89,10.61,10.84,11190300,10.783332
"2020-07-31",10.76,10.86,10.25,10.78,18973400,10.723644
"2020-08-03",10.67,10.67,10.3,10.31,9114300,10.256103
"2020-08-04",10.23,11.47,10.2,10.91,34284700,10.852965
"2020-08-05",11.06,11.1,10.76,10.89,8641900,10.83307
"2020-08-06",10.79,10.95,10.68,10.76,8427400,10.70375
"2020-08-07",10.67,11.53,10.62,11.5,13942300,11.43988
"2020-08-10",11.6,11.95,11.53,11.88,9891200,11.817894
"2020-08-11",12.24,12.49,11.61,11.67,9951000,11.608992
"2020-08-12",11.79,11.86,11.38,11.57,8261200,11.509514
"2020-08-13",11.49,11.71,11.23,11.27,6140800,11.211083
"2020-08-14",11.2,11.42,11.17,11.25,6201600,11.191187
