"","HSY.Open","HSY.High","HSY.Low","HSY.Close","HSY.Volume","HSY.Adjusted"
"2020-07-01",129.770004,130.990005,129.490005,130.119995,1292300,125.057045
"2020-07-02",131.050003,131.679993,129.199997,129.860001,1287400,124.807167
"2020-07-06",131.520004,131.520004,128.570007,129.449997,986000,124.413124
"2020-07-07",129,129.919998,128.580002,129.25,1097000,124.220901
"2020-07-08",128.979996,129.5,127.169998,128.520004,1024400,123.51931
"2020-07-09",128.089996,128.220001,126.059998,126.75,811000,121.818169
"2020-07-10",126.349998,127.989998,125.889999,127.75,661400,122.779266
"2020-07-13",128.369995,128.929993,127.580002,127.879997,1248700,122.904205
"2020-07-14",127.57,131.949997,127.410004,131.800003,1856600,126.671669
"2020-07-15",132.869995,133.529999,131.460007,132,1155600,126.863884
"2020-07-16",132.479996,135.509995,132.149994,134.449997,1614800,129.218552
"2020-07-17",134.380005,137.160004,133.910004,136.399994,2708300,131.092697
"2020-07-20",136.240005,136.520004,134.679993,135.509995,1080100,130.23732
"2020-07-21",135.710007,138.270004,135.669998,137.309998,1162500,131.9673
"2020-07-22",137.110001,138.470001,136.199997,138.460007,1589500,133.072525
"2020-07-23",143,146.550003,142.410004,146.330002,2281200,140.636322
"2020-07-24",147.029999,147.610001,144.960007,145.679993,1162200,140.011612
"2020-07-27",145.960007,146.729996,144.410004,146.289993,879600,140.597855
"2020-07-28",146,146.830002,145.190002,145.729996,919400,140.059631
"2020-07-29",145.679993,146.649994,145.270004,145.809998,863900,140.136551
"2020-07-30",145.039993,145.679993,144.149994,145.289993,774000,139.636765
"2020-07-31",144.970001,145.470001,143.410004,145.410004,1757100,139.752121
"2020-08-03",145.330002,146.309998,144.369995,144.940002,1060100,139.300415
"2020-08-04",144.320007,145.699997,144.139999,144.300003,974000,138.685303
"2020-08-05",144.520004,144.899994,141.960007,142.270004,709500,136.734299
"2020-08-06",141.820007,143.75,141.729996,143.669998,618000,138.079834
"2020-08-07",143.009995,144.320007,142.759995,143.919998,671900,138.320099
"2020-08-10",144.279999,144.75,143.529999,143.919998,561600,138.320099
"2020-08-11",144.399994,144.5,141.889999,142.509995,998400,136.964951
"2020-08-12",142.970001,146.729996,142.5,146.020004,878700,140.338394
"2020-08-13",146.5,146.990005,145.429993,146.570007,734900,140.866989
"2020-08-14",146.470001,146.929993,145.710007,146.070007,514000,140.386444
"2020-08-17",146.330002,148.889999,145.820007,148.330002,863900,142.558502
"2020-08-18",148.190002,150.279999,147.330002,149.589996,1046300,143.76947
"2020-08-19",148.449997,148.979996,147.630005,147.759995,1220100,142.010666
"2020-08-20",146.539993,148.889999,146.339996,147.740005,1241200,142.768295
"2020-08-21",148.029999,148.279999,146.740005,147.429993,707400,142.468719
"2020-08-24",148,149.199997,147.149994,148.839996,436800,143.831268
"2020-08-25",149.699997,149.699997,147.970001,148.669998,503600,143.666977
"2020-08-26",148.380005,149.479996,147.289993,149.149994,1042500,144.130859
"2020-08-27",149.910004,150.669998,148.570007,148.699997,646500,143.695984
"2020-08-28",148.910004,149.270004,147.190002,149.199997,407000,144.179153
"2020-08-31",148.820007,149.600006,148.460007,148.639999,682400,143.638
"2020-09-01",148.639999,148.75,146.619995,148.419998,644400,143.425415
"2020-09-02",148.009995,150.610001,148.009995,149.419998,773200,144.391754
"2020-09-03",149.740005,152.179993,146.990005,148.360001,861800,143.367432
"2020-09-04",148.880005,149.570007,146.259995,148.800003,779500,143.792633
"2020-09-08",148.570007,149.100006,145.179993,145.520004,924300,140.623016
"2020-09-09",146.779999,149.059998,146.630005,147.720001,624200,142.748962
"2020-09-10",147.389999,147.869995,144.929993,145.149994,694900,140.265442
"2020-09-11",145.449997,146.899994,145.100006,145.5,484400,140.603653
"2020-09-14",146.149994,146.800003,144.479996,144.5,585600,139.637329
"2020-09-15",144.679993,146.369995,143.75,144.339996,882200,139.482697
"2020-09-16",145.25,146.080002,143.160004,143.190002,629200,138.371399
"2020-09-17",142.550003,142.550003,139.559998,140.5,857700,135.771927
