"","HUM.Open","HUM.High","HUM.Low","HUM.Close","HUM.Volume","HUM.Adjusted"
"2020-07-01",388.48999,395,385.769989,391.549988,870100,386.458344
"2020-07-02",393,397.709991,389.809998,391.890015,669000,386.793915
"2020-07-06",395.540009,396.76001,389.619995,396.459991,733100,391.304504
"2020-07-07",393.339996,397.559998,390.73999,391.700012,888900,386.606415
"2020-07-08",393,396.029999,384.019989,386,544400,380.980499
"2020-07-09",385.119995,387.589996,378.619995,382.920013,942200,377.940582
"2020-07-10",385.019989,385.019989,377.200012,381.579987,464900,376.618011
"2020-07-13",382.76001,390.390015,381.170013,381.869995,595400,376.904205
"2020-07-14",380.25,396.820007,379.730011,396.540009,1093200,391.383453
"2020-07-15",392.690002,395.850006,385.579987,395.369995,813300,390.228638
"2020-07-16",394.950012,401.829987,392.769989,395.890015,894600,390.741943
"2020-07-17",399.160004,405.190002,397.690002,404.48999,672300,399.230042
"2020-07-20",404,404.839996,394.670013,396.76001,506500,391.600616
"2020-07-21",399.98999,401.519989,396.279999,397.589996,519300,392.4198
"2020-07-22",398.23999,402.73999,395,402.369995,415000,397.137634
"2020-07-23",403.100006,407.100006,396.630005,397.75,297100,392.577698
"2020-07-24",398.940002,399,390.890015,392.140015,458900,387.04071
"2020-07-27",390.98999,394.279999,387.130005,391.019989,831400,385.935242
"2020-07-28",390.040009,390.920013,384.51001,386.649994,402600,381.62204
"2020-07-29",388.459991,401,387,396.399994,804400,391.2453
"2020-07-30",391.040009,401.690002,387.799988,398.540009,491800,393.357483
"2020-07-31",396.559998,398.109985,387.350006,392.450012,722600,387.346649
"2020-08-03",395.230011,395.559998,387.899994,394.549988,446400,389.419281
"2020-08-04",391.950012,396.369995,388.890015,391.179993,748500,386.093201
"2020-08-05",394.519989,404.75,394.51001,403.910004,905200,398.657623
"2020-08-06",403.720001,410.75,403.040009,407.630005,9e+05,402.329193
"2020-08-07",407.76001,418.839996,407.76001,417.940002,915700,412.505157
"2020-08-10",418.01001,423.850006,414.75,419.76001,639900,414.301514
"2020-08-11",423.220001,425.459991,414.76001,415.769989,566300,410.363373
"2020-08-12",419.149994,423.890015,417.309998,420.059998,543000,414.597595
"2020-08-13",417.940002,419.929993,414.019989,419.5,322200,414.044861
"2020-08-14",417.369995,422.019989,413.549988,422.019989,337800,416.532104
"2020-08-17",420.910004,423.420013,418.640015,420.01001,366900,414.548309
"2020-08-18",422.549988,422.549988,415.450012,417.170013,379100,411.745209
"2020-08-19",415.73999,421.880005,415.079987,418,685800,412.564392
"2020-08-20",417.079987,418.279999,412.160004,413.959991,335300,408.576904
