"","HWM.Open","HWM.High","HWM.Low","HWM.Close","HWM.Volume","HWM.Adjusted"
"2020-07-01",15.93,16.24,15.24,15.28,4367800,15.242307
"2020-07-02",15.63,15.87,15.16,15.31,4617200,15.272233
"2020-07-06",15.77,15.88,15.42,15.74,2362100,15.701172
"2020-07-07",15.56,15.62,15.06,15.14,3194500,15.102652
"2020-07-08",15.04,15.43,14.96,15.33,3232800,15.292183
"2020-07-09",15.05,15.22,14.74,14.77,2791800,14.733565
"2020-07-10",14.77,15.35,14.64,15.33,1489200,15.292183
"2020-07-13",15.38,15.7,15.06,15.23,2583200,15.192429
"2020-07-14",15.08,15.7,15.05,15.69,2020400,15.651296
"2020-07-15",16.120001,16.73,15.97,16.700001,3045200,16.658804
"2020-07-16",16.610001,16.610001,16.049999,16.200001,2671200,16.160038
"2020-07-17",16.209999,16.540001,15.94,16.450001,3018700,16.40942
"2020-07-20",16.219999,16.35,15.37,15.68,2826700,15.64132
"2020-07-21",15.9,16.26,15.8,16.1,2661600,16.060284
"2020-07-22",15.92,16.18,15.78,16.139999,2026100,16.100185
"2020-07-23",16.049999,16.18,15.62,15.75,2544700,15.711147
"2020-07-24",15.8,15.86,15.45,15.55,1841900,15.511641
"2020-07-27",15.46,15.54,15.12,15.24,3077700,15.202405
"2020-07-28",15.2,15.72,15.19,15.32,2404000,15.282208
"2020-07-29",15.26,15.35,14.76,15.27,2688700,15.232332
"2020-07-30",14.99,15.36,14.66,15.13,3385200,15.092677
"2020-07-31",15.05,15.12,14.52,14.78,3004400,14.743539
"2020-08-03",14.8,15.3,14.61,15.13,3047000,15.092677
"2020-08-04",15.12,15.29,14.92,15.02,2164500,14.982948
"2020-08-05",15.14,16.15,15.14,16.08,2677400,16.040335
"2020-08-06",15.32,17.360001,15.32,17.280001,3926700,17.237375
"2020-08-07",17.129999,17.129999,16.52,16.959999,2394700,16.918161
"2020-08-10",16.969999,17.950001,16.969999,17.91,2932900,17.86582
"2020-08-11",18.34,18.99,18.219999,18.280001,4807500,18.234905
"2020-08-12",18.6,18.66,17.83,18.09,3093000,18.045376
"2020-08-13",17.790001,18.02,17.469999,17.48,1713500,17.43688
"2020-08-14",17.469999,17.84,17.280001,17.549999,1326400,17.506708
"2020-08-17",17.58,17.639999,17.190001,17.35,1849800,17.307199
"2020-08-18",17.08,17.290001,16.889999,16.93,2481100,16.888235
"2020-08-19",17.139999,17.440001,16.99,17.120001,1422200,17.077768
"2020-08-20",16.85,17.17,16.690001,16.940001,1389800,16.898214
"2020-08-21",16.879999,17.129999,16.77,16.91,1260300,16.868284
"2020-08-24",16.93,17.5,16.92,17.440001,2349400,17.396976
"2020-08-25",17.5,17.59,16.99,17.440001,2234600,17.396976
"2020-08-26",17.469999,17.540001,17.18,17.190001,2428400,17.147598
"2020-08-27",17.360001,17.73,17.27,17.43,1973800,17.387005
"2020-08-28",17.559999,18.040001,17.5,18.01,1456800,17.96557
"2020-08-31",17.870001,18,17.360001,17.52,2653300,17.476782
"2020-09-01",17.370001,17.82,17.25,17.540001,1640200,17.496733
"2020-09-02",17.57,18.360001,17.43,18.34,2105500,18.294758
"2020-09-03",18.32,18.709999,17.57,17.73,2316600,17.686262
"2020-09-04",18.07,18.370001,17.48,17.700001,2447000,17.656338
"2020-09-08",17.58,17.68,17.110001,17.299999,2390900,17.257322
"2020-09-09",17.5,17.59,17,17.120001,2978700,17.077768
"2020-09-10",18.110001,18.110001,16.93,16.98,5113600,16.938112
"2020-09-11",17.030001,18.08,17.01,17.799999,4054200,17.75609
"2020-09-14",17.969999,18.43,17.719999,18.389999,3723900,18.344635
"2020-09-15",18.360001,18.49,18,18.209999,2473600,18.165077
"2020-09-16",18.15,19.02,17.889999,18.780001,3704800,18.733671
"2020-09-17",18.51,19.07,18.309999,18.49,6219600,18.444387
"2020-09-18",18.299999,18.74,17.57,17.700001,7148300,17.656338
"2020-09-21",17.200001,17.209999,16.74,16.879999,3738400,16.838358
"2020-09-22",16.780001,17.24,16.629999,17.08,2753500,17.037865
"2020-09-23",17.110001,17.57,16.43,16.440001,2669700,16.399446
"2020-09-24",16.389999,16.780001,16.15,16.469999,2349700,16.429369
