"","IBM.Open","IBM.High","IBM.Low","IBM.Close","IBM.Volume","IBM.Adjusted"
"2020-07-01",114.980881,115.898659,113.164436,113.326958,4869967,102.488701
"2020-07-02",114.426384,116.080307,114.015297,114.435944,3919362,103.491623
"2020-07-06",115.917786,116.491394,114.206497,114.904396,4231488,103.91526
"2020-07-07",113.766731,114.254303,112.170174,112.40918,4474893,101.658691
"2020-07-08",112.868073,113.422562,111.357552,112.533463,5431669,101.77108
"2020-07-09",112.810707,112.810707,110.133842,110.621414,4982098,100.041893
"2020-07-10",110.420647,113.355644,110.219887,113.145317,4482842,102.324425
"2020-07-13",114.512428,115.669212,113.441681,113.957932,4864632,103.059319
"2020-07-14",113.403442,115.573616,112.734222,115.296364,4742982,104.269753
"2020-07-15",117.017204,118.508606,116.778206,117.59082,4679176,106.344772
"2020-07-16",117.284897,119.005737,116.787766,118.556404,4530121,107.21801
"2020-07-17",118.919693,120.105164,117.782028,119.608032,4167892,108.169067
"2020-07-20",120.52581,121.481834,119.636711,120.812622,10384374,109.258446
"2020-07-21",125.391968,126.357552,120.267685,120.516251,16063004,108.990425
"2020-07-22",120.363289,123.776291,120.267685,123.011475,8572388,111.247017
"2020-07-23",123.422562,123.680687,121.558319,121.7304,4414225,110.088463
"2020-07-24",120.917786,122.036331,119.980881,120.258125,3693531,108.756996
"2020-07-27",119.369026,120.764816,119.225624,120.659653,3905136,109.120117
"2020-07-28",120.286804,120.783936,118.690247,118.996178,4370397,107.61573
"2020-07-29",119.082214,120.449333,118.61377,119.808792,2963109,108.350624
"2020-07-30",118.2696,118.451241,116.290634,117.495216,4171553,106.258316
"2020-07-31",117.313576,117.581261,115.764816,117.533463,5519847,106.2929
"2020-08-03",118.068832,118.938812,116.778206,118.843208,3688301,107.477394
"2020-08-04",118.374763,120.32505,118.374763,120.305923,3625541,108.800209
"2020-08-05",121.156792,121.175911,119.13002,119.933075,3786102,108.463036
"2020-08-06",119.502869,120.707458,119.502869,120.573616,3574287,109.042297
"2020-08-07",118.068832,119.569794,117.791588,119.46463,3818946,109.453995
"2020-08-10",119.904396,121.644356,119.67495,121.520073,4150842,111.337189
"2020-08-11",123.097511,124.732315,121.042068,121.175911,5231255,111.021881
"2020-08-12",121.998085,122.170174,120.34417,121.128105,3692066,110.978058
"2020-08-13",120.420647,120.831741,119.282982,119.531548,3317180,109.515297
"2020-08-14",118.738052,120.038239,118.4608,119.760994,3099716,109.72551
"2020-08-17",119.741875,120.066925,118.938812,118.967499,3514665,108.998512
"2020-08-18",119.502869,119.980881,118.776291,119.426384,3014990,109.418945
"2020-08-19",119.340347,119.980881,118.068832,118.393883,3916119,108.472954
"2020-08-20",117.782028,118.585083,117.40918,117.734222,2679015,107.868576
"2020-08-21",117.60038,118.049713,116.931168,117.74379,3540815,107.877335
"2020-08-24",118.346077,120.516251,117.93499,120.152962,4258057,110.084641
"2020-08-25",120.458893,121.242828,119.015297,119.158699,3114674,109.173683
"2020-08-26",119.45507,119.617592,118.499046,118.709366,3544162,108.762009
"2020-08-27",119.120461,119.598473,118.527725,119.168259,3580144,109.182457
"2020-08-28",119.46463,119.789673,118.757172,119.569794,3242182,109.550339
"2020-08-31",119.741875,119.741875,117.619499,117.887192,5049983,108.00872
"2020-09-01",117.447418,118.499046,116.778206,117.973228,3300444,108.087563
"2020-09-02",118.27916,123.040154,118.145317,122.543022,6895650,112.274422
"2020-09-03",122.552582,124.235184,118.212234,118.977058,5979773,109.007263
"2020-09-04",118.881454,119.837479,115.908218,116.921608,6295037,107.124062
"2020-09-08",116.787766,117.466537,115.401527,115.879539,5449974,106.169304
"2020-09-09",116.759079,118.26004,115.956024,116.883362,3944152,107.089012
"2020-09-10",117.141495,118.145317,114.952202,115.258125,4161406,105.59996
