"","IDXX.Open","IDXX.High","IDXX.Low","IDXX.Close","IDXX.Volume","IDXX.Adjusted"
"2020-07-01",331.73999,337.160004,329.899994,334.540009,374400,334.540009
"2020-07-02",338.76001,339.809998,333.019989,334.76001,460300,334.76001
"2020-07-06",339.450012,344.809998,337.630005,339.470001,401700,339.470001
"2020-07-07",338.279999,343,336.839996,337.299988,235600,337.299988
"2020-07-08",337.929993,339.649994,333.549988,336.119995,314600,336.119995
"2020-07-09",337.559998,343.730011,333.700012,341.170013,335100,341.170013
"2020-07-10",341.01001,341.549988,334.420013,338.25,293400,338.25
"2020-07-13",340.73999,345.399994,333.670013,335.140015,416400,335.140015
"2020-07-14",332.820007,339.070007,329.690002,338.470001,360300,338.470001
"2020-07-15",340.559998,342.98999,336.619995,340.73999,274800,340.73999
"2020-07-16",339.369995,340.679993,334.589996,339.200012,277500,339.200012
"2020-07-17",339.779999,352.720001,339.130005,349.850006,382200,349.850006
"2020-07-20",353.51001,363,352.579987,361,413200,361
"2020-07-21",364.160004,366.040009,360.410004,363.320007,329100,363.320007
"2020-07-22",366.820007,372.329987,362.369995,365.230011,350300,365.230011
"2020-07-23",366.320007,368.709991,358.190002,360.839996,409600,360.839996
"2020-07-24",359.540009,361.230011,353.170013,359.230011,279700,359.230011
"2020-07-27",359,368.640015,359,366.670013,358700,366.670013
"2020-07-28",365.839996,368,360.649994,361.649994,289000,361.649994
"2020-07-29",363.350006,369.690002,361.940002,366.910004,352700,366.910004
"2020-07-30",363.799988,375.480011,361.26001,374.100006,468900,374.100006
"2020-07-31",382.920013,407.859985,382.5,397.75,783200,397.75
"2020-08-03",398.019989,399.839996,390.170013,391.98999,651700,391.98999
"2020-08-04",393.769989,394.709991,385.220001,390.25,661200,390.25
"2020-08-05",393.119995,396.410004,388.820007,395.709991,579700,395.709991
"2020-08-06",394.01001,395.73999,384.190002,389.779999,431900,389.779999
"2020-08-07",387.959991,392.309998,377.720001,381.76001,567000,381.76001
"2020-08-10",380.829987,382.290009,376.160004,377.190002,621900,377.190002
"2020-08-11",376.200012,379.390015,372.179993,374.029999,528200,374.029999
"2020-08-12",375.019989,387.839996,375.019989,384.829987,444200,384.829987
"2020-08-13",385.980011,389.5,382.700012,385.25,415600,385.25
"2020-08-14",384.779999,386,377.399994,379.399994,476700,379.399994
"2020-08-17",381.910004,385.470001,381.670013,384.390015,508400,384.390015
"2020-08-18",384.01001,387.75,381.559998,386.649994,338000,386.649994
"2020-08-19",389.320007,390.079987,380.910004,381.5,341600,381.5
"2020-08-20",381.5,385.279999,379.5,383.329987,294000,383.329987
"2020-08-21",382.700012,384.029999,377.01001,383.459991,740100,383.459991
"2020-08-24",384.230011,386.679993,378.100006,380.619995,386400,380.619995
"2020-08-25",380,386.350006,377.609985,383.929993,346700,383.929993
"2020-08-26",382.410004,386.779999,376.609985,386.019989,295400,386.019989
"2020-08-27",387.619995,389.350006,379.75,386.279999,291600,386.279999
"2020-08-28",387.790009,389.059998,381.070007,383.980011,357800,383.980011
"2020-08-31",382.679993,393.399994,382.529999,391.059998,411000,391.059998
"2020-09-01",393.950012,398.589996,391.25,398.48999,400600,398.48999
"2020-09-02",399,407.450012,398.380005,406.309998,508500,406.309998
"2020-09-03",406.100006,406.100006,377.190002,381.279999,484900,381.279999
"2020-09-04",382.109985,383.029999,363.829987,370.660004,550700,370.660004
"2020-09-08",367.899994,370.220001,361.480011,364.190002,400900,364.190002
"2020-09-09",366.369995,376.279999,365.049988,374.160004,457700,374.160004
"2020-09-10",375.049988,378.690002,365.670013,367.76001,288900,367.76001
"2020-09-11",369.440002,371.779999,360.269989,364.820007,359100,364.820007
"2020-09-14",370.25,370.25,364.269989,365.559998,381200,365.559998
"2020-09-15",367,372.609985,366.950012,369.23999,291400,369.23999
"2020-09-16",372.75,372.799988,360.320007,362.359985,627700,362.359985
"2020-09-17",357.579987,360.459991,350.640015,354.200012,702900,354.200012
"2020-09-18",355.339996,359.329987,347.540009,354.76001,1108100,354.76001
"2020-09-21",351.329987,365.23999,348.690002,364.700012,532100,364.700012
"2020-09-22",364.899994,369.679993,359.209991,368.320007,440800,368.320007
"2020-09-23",367.779999,372.299988,362.649994,363.869995,340500,363.869995
"2020-09-24",363.100006,368.799988,361.170013,365.470001,279600,365.470001
"2020-09-25",364.950012,380.649994,364.579987,377.829987,381000,377.829987
"2020-09-28",381.809998,387.679993,380.160004,386.369995,446100,386.369995
"2020-09-29",388.220001,395.209991,385,385.059998,308300,385.059998
"2020-09-30",383.450012,397.26001,383.450012,393.109985,533500,393.109985
"2020-10-01",396.290009,398.160004,391.880005,394.779999,382900,394.779999
"2020-10-02",389.700012,393.820007,382.679993,383.850006,318800,383.850006
"2020-10-05",385.269989,392.829987,385.269989,392.369995,295100,392.369995
"2020-10-06",391.880005,393.540009,383.119995,384.309998,298600,384.309998
"2020-10-07",388.019989,391.549988,385.26001,386.230011,287900,386.230011
"2020-10-08",388.940002,394.390015,385.809998,393.51001,205900,393.51001
"2020-10-09",395,401.959991,393.019989,400.649994,283000,400.649994
"2020-10-12",404.880005,424.869995,404.880005,419.390015,469500,419.390015
"2020-10-13",421.809998,424.799988,415.029999,421.420013,408600,421.420013
"2020-10-14",420.820007,430.859985,416.029999,420.51001,314300,420.51001
"2020-10-15",416.420013,423.940002,414.679993,422.720001,251900,422.720001
"2020-10-16",423.76001,429.700012,420.809998,423.75,269500,423.75
"2020-10-19",424.109985,431.149994,417.540009,419.269989,418400,419.269989
"2020-10-20",423.809998,426.420013,419.869995,420.089996,193700,420.089996
"2020-10-21",421.470001,426.420013,416.480011,419.730011,237100,419.730011
"2020-10-22",421.339996,427.829987,417.570007,423.589996,357200,423.589996
"2020-10-23",429.670013,429.730011,423.549988,429.660004,227000,429.660004
"2020-10-26",427.670013,434.929993,426.230011,428.959991,394800,428.959991
"2020-10-27",430.269989,444.959991,430.269989,443.160004,385800,443.160004
"2020-10-28",434.5,441.480011,422.109985,422.890015,475500,422.890015
"2020-10-29",440,453.200012,433.089996,441.799988,557800,441.799988
"2020-10-30",438.470001,441.720001,419.119995,424.820007,611100,424.820007
"2020-11-02",430.480011,446.73999,428.079987,431.049988,552200,431.049988
"2020-11-03",437.320007,448.290009,437.320007,444.100006,382300,444.100006
"2020-11-04",455.26001,482.5,451.579987,469.359985,734200,469.359985
"2020-11-05",473.98999,480.190002,462.679993,467.970001,440500,467.970001
"2020-11-06",469.98999,479.149994,466.359985,478.100006,519800,478.100006
"2020-11-09",485,485,435.579987,436.450012,822900,436.450012
"2020-11-10",431.890015,443.720001,421.149994,441.230011,865500,441.230011
"2020-11-11",443.690002,455.73999,443.690002,455.059998,432200,455.059998
"2020-11-12",459.619995,462.559998,445.059998,449.220001,396400,449.220001
"2020-11-13",452.98999,458.350006,448.670013,453.640015,254300,453.640015
"2020-11-16",452.089996,459.429993,448.820007,455.369995,499900,455.369995
"2020-11-17",454.619995,457,450.540009,455.850006,315400,455.850006
"2020-11-18",451.359985,455,443.649994,444.059998,347400,444.059998
"2020-11-19",444.769989,457.809998,444.769989,457.190002,318500,457.190002
"2020-11-20",456.230011,469.130005,455,464.290009,411400,464.290009
"2020-11-23",467.26001,467.26001,449.709991,459.790009,440300,459.790009
"2020-11-24",459.48999,466.769989,446.459991,446.829987,494800,446.829987
"2020-11-25",449.23999,454.820007,443.140015,446.480011,338900,446.480011
"2020-11-27",452.049988,455.970001,446.679993,454.230011,173900,454.230011
"2020-11-30",454.769989,461.089996,451.309998,460.980011,589700,460.980011
"2020-12-01",461.98999,468.980011,452.220001,467.859985,386700,467.859985
"2020-12-02",465.51001,467.5,461.5,462.589996,352000,462.589996
"2020-12-03",463.850006,467.829987,458.380005,460.070007,352600,460.070007
"2020-12-04",462.959991,463.26001,455.869995,457.149994,387600,457.149994
"2020-12-07",455.920013,462.700012,454.200012,459.359985,320400,459.359985
"2020-12-08",461.920013,461.920013,453.23999,460.690002,436200,460.690002
"2020-12-09",458.910004,462.450012,449.109985,449.880005,436100,449.880005
"2020-12-10",450.48999,456.049988,449.040009,454.269989,592500,454.269989
"2020-12-11",455.570007,457.619995,447.820007,456.230011,327200,456.230011
"2020-12-14",458.839996,477.369995,457.279999,458.170013,460800,458.170013
"2020-12-15",460.660004,467.399994,453.799988,464.959991,287700,464.959991
"2020-12-16",466.529999,474.299988,463.459991,467.579987,466600,467.579987
"2020-12-17",471.690002,477.799988,468.350006,477.799988,369400,477.799988
"2020-12-18",478.48999,486.98999,474,485.519989,898800,485.519989
"2020-12-21",480.059998,490.440002,470.26001,489.679993,383300,489.679993
"2020-12-22",488.01001,499.619995,487.76001,499.149994,331500,499.149994
"2020-12-23",499.059998,502,492.820007,493.679993,253100,493.679993
"2020-12-24",495.820007,499.119995,493.160004,497.140015,69500,497.140015
"2020-12-28",503.630005,503.829987,490.25,494.700012,216600,494.700012
"2020-12-29",497.970001,501.040009,490.049988,494.070007,247600,494.070007
"2020-12-30",497.700012,501.290009,494.51001,496.959991,195400,496.959991
"2020-12-31",495.51001,500.410004,492,499.869995,228400,499.869995
"2021-01-04",503,504.660004,483.130005,491.769989,472300,491.769989
"2021-01-05",488.910004,498.929993,487.51001,497.26001,356000,497.26001
"2021-01-06",489.049988,491.670013,479.359985,483.600006,634000,483.600006
"2021-01-07",483.48999,497.48999,483.48999,495.190002,499500,495.190002
"2021-01-08",499.790009,513.559998,499.290009,513.200012,401400,513.200012
"2021-01-11",515.570007,516.869995,503.829987,506.549988,441000,506.549988
"2021-01-12",507.089996,509.470001,491.220001,496.730011,353200,496.730011
"2021-01-13",496.179993,501.559998,494.220001,497.579987,299600,497.579987
"2021-01-14",497.309998,499.75,487.890015,488.899994,333900,488.899994
"2021-01-15",487.929993,494.23999,480.929993,489.459991,340900,489.459991
"2021-01-19",489.23999,489.299988,481.350006,484.929993,327200,484.929993
"2021-01-20",486.410004,496.779999,485.839996,495.040009,285300,495.040009
"2021-01-21",493,498.559998,487.48999,496.440002,254600,496.440002
"2021-01-22",490.730011,498.980011,490,492.859985,329400,492.859985
"2021-01-25",492.470001,495.970001,482.089996,489.209991,349600,489.209991
"2021-01-26",488.350006,488.350006,476.329987,478.100006,346900,478.100006
"2021-01-27",474.859985,475.809998,455.230011,465.179993,583100,465.179993
"2021-01-28",465.309998,492.809998,465.309998,482.269989,493500,482.269989
"2021-01-29",481.049988,491.880005,471.75,478.679993,493600,478.679993
"2021-02-01",483.019989,497.649994,479.369995,492.420013,573000,492.420013
"2021-02-02",504.339996,522.900024,502,506.649994,702000,506.649994
"2021-02-03",504.170013,507.630005,484.149994,485.359985,605200,485.359985
"2021-02-04",487.910004,495.119995,486.029999,494,440600,494
"2021-02-05",496.290009,506,495.01001,502.640015,299200,502.640015
"2021-02-08",504.309998,510.25,491.440002,495.76001,427600,495.76001
"2021-02-09",497.309998,506.279999,493.299988,505.049988,442200,505.049988
"2021-02-10",509.26001,521.48999,505.309998,516.539978,540900,516.539978
"2021-02-11",519.299988,529.450012,515.179993,528.469971,411800,528.469971
"2021-02-12",530.73999,545.849976,528,544.080017,325000,544.080017
"2021-02-16",545,548.580017,531.190002,538.159973,406200,538.159973
"2021-02-17",535.900024,544.559998,532.059998,540.349976,371900,540.349976
"2021-02-18",537.039978,573.98999,535.169983,551.789978,1574200,551.789978
"2021-02-19",561.210022,563.559998,542.76001,544.130005,655000,544.130005
"2021-02-22",547.119995,547.119995,534.01001,536.909973,461400,536.909973
"2021-02-23",534.820007,535.090027,508.109985,525.219971,591100,525.219971
"2021-02-24",526.22998,534.75,517.27002,532.880005,440200,532.880005
"2021-02-25",530.080017,535.380005,509.450012,518.280029,427800,518.280029
"2021-02-26",522.900024,526.369995,507.339996,520.169983,593900,520.169983
"2021-03-01",529.679993,541.289978,521.349976,538.169983,415900,538.169983
"2021-03-02",542.080017,543.280029,527.169983,529.469971,312000,529.469971
"2021-03-03",524.76001,526.299988,495.579987,498.019989,531100,498.019989
"2021-03-04",494.899994,497.529999,480.51001,485.850006,676100,485.850006
"2021-03-05",486,504.529999,478.200012,499.700012,725000,499.700012
"2021-03-08",498.529999,504.369995,481.290009,482.600006,605100,482.600006
"2021-03-09",500.329987,507.160004,493.089996,493.570007,643800,493.570007
"2021-03-10",494.01001,505.200012,488.279999,488.779999,484700,488.779999
"2021-03-11",495.700012,505,493.01001,502.940002,364700,502.940002
"2021-03-12",498.910004,498.910004,486.73999,497.75,361200,497.75
"2021-03-15",499.890015,513.22998,498.609985,512.76001,317400,512.76001
"2021-03-16",520,521.109985,502.470001,506.920013,318100,506.920013
"2021-03-17",503.570007,509.140015,497.480011,504.899994,403700,504.899994
"2021-03-18",493.519989,499.160004,483.420013,484.470001,490900,484.470001
"2021-03-19",482.579987,487.220001,479.279999,484.880005,945900,484.880005
"2021-03-22",486.339996,493.940002,485.609985,491.369995,620400,491.369995
"2021-03-23",490.089996,492.450012,485.119995,487.660004,416400,487.660004
"2021-03-24",489.100006,489.100006,471.350006,472.970001,451400,472.970001
"2021-03-25",471.5,474.160004,462,472.109985,471900,472.109985
"2021-03-26",473.029999,481.130005,465.230011,480.220001,546300,480.220001
"2021-03-29",480.019989,482.790009,469.410004,479.179993,471700,479.179993
"2021-03-30",474.369995,477.570007,469.100006,475.950012,483600,475.950012
"2021-03-31",481.519989,495.190002,479.679993,489.309998,576700,489.309998
"2021-04-01",487.48999,495.200012,484.369995,486.359985,440000,486.359985
"2021-04-05",488,492.609985,482.899994,491.309998,359900,491.309998
"2021-04-06",493.209991,499.070007,489.670013,492.899994,335300,492.899994
"2021-04-07",492.540009,493.790009,487,489.269989,239000,489.269989
"2021-04-08",494.869995,500,493.23999,499.660004,250900,499.660004
"2021-04-09",500.079987,504.160004,496.559998,502.880005,335600,502.880005
"2021-04-12",499.820007,509.970001,498.130005,506.429993,433400,506.429993
"2021-04-13",509,517.679993,508.51001,516.940002,406400,516.940002
"2021-04-14",519.98999,523.200012,512.830017,514.159973,273600,514.159973
"2021-04-15",520,530.27002,518.469971,528.460022,438700,528.460022
"2021-04-16",532.429993,536.030029,526,535,345400,535
"2021-04-19",533.280029,535.400024,526.679993,528.580017,316900,528.580017
"2021-04-20",529.309998,538.190002,528.23999,532.27002,256500,532.27002
"2021-04-21",531.530029,546.299988,530.929993,541.080017,365400,541.080017
"2021-04-22",539.22998,554.320007,538.650024,546.26001,388700,546.26001
"2021-04-23",551.22998,561.070007,549.320007,559.099976,301700,559.099976
"2021-04-26",557.98999,561.52002,554.119995,558.419983,293300,558.419983
"2021-04-27",556.849976,559.669983,552.559998,557.539978,209400,557.539978
"2021-04-28",554.299988,560,551.97998,557.809998,213000,557.809998
"2021-04-29",560.429993,561.219971,548,552.630005,271700,552.630005
"2021-04-30",549.109985,552.5,544.75,548.98999,345900,548.98999
"2021-05-03",552.77002,558.539978,546.789978,549.880005,428800,549.880005
"2021-05-04",559.219971,559.419983,517.5,526.880005,610200,526.880005
"2021-05-05",532.599976,538.960022,527.98999,529.919983,420800,529.919983
"2021-05-06",524.309998,535.080017,522.890015,533.179993,433000,533.179993
"2021-05-07",540,553.75,538.109985,544.26001,361100,544.26001
"2021-05-10",541.01001,542.25,525.25,525.26001,476700,525.26001
"2021-05-11",520.73999,534.369995,517.780029,528.190002,433100,528.190002
"2021-05-12",520,520.719971,507.660004,512.309998,440100,512.309998
"2021-05-13",515.429993,522.190002,513.299988,518.070007,287100,518.070007
"2021-05-14",521.109985,532.400024,517.030029,530.070007,305200,530.070007
"2021-05-17",526.679993,527.919983,520.799988,523.619995,258800,523.619995
"2021-05-18",525.200012,531.340027,519.47998,524.859985,269300,524.859985
"2021-05-19",517.75,528.859985,514.349976,528.140015,288700,528.140015
"2021-05-20",528.460022,541.609985,528.109985,539.23999,274000,539.23999
"2021-05-21",542.419983,547.460022,538.309998,539.340027,248500,539.340027
"2021-05-24",545,551.26001,544.26001,549.710022,327800,549.710022
"2021-05-25",549.450012,556.01001,548.280029,555.190002,336000,555.190002
"2021-05-26",556.059998,561.330017,552.51001,557.330017,454800,557.330017
"2021-05-27",557.590027,558.539978,545.909973,554.039978,903100,554.039978
"2021-05-28",556.77002,565.929993,555.530029,558.109985,321800,558.109985
"2021-06-01",565.640015,565.950012,548.320007,550.590027,294100,550.590027
"2021-06-02",547.169983,557.179993,545.460022,547.559998,299400,547.559998
"2021-06-03",542.309998,552.950012,539.48999,550.299988,252600,550.299988
"2021-06-04",557.659973,561.659973,555.390015,558.359985,333700,558.359985
"2021-06-07",556.599976,565.580017,556.179993,560.349976,260500,560.349976
"2021-06-08",560.77002,567.039978,556.26001,561.309998,277700,561.309998
"2021-06-09",564.960022,567.880005,561.950012,566.659973,230300,566.659973
"2021-06-10",567.280029,581.179993,564.599976,580.530029,302900,580.530029
"2021-06-11",580.359985,584.52002,576.599976,584.469971,246500,584.469971
"2021-06-14",582.549988,592.929993,580,592.359985,227400,592.359985
"2021-06-15",593.840027,594.429993,587.419983,592.26001,308100,592.26001
"2021-06-16",593.25,597.47998,587.97998,593.52002,408500,593.52002
"2021-06-17",591.450012,606.5,591.450012,604.200012,336300,604.200012
"2021-06-18",605.049988,609.219971,599.940002,601.049988,723500,601.049988
"2021-06-21",601.049988,608.830017,592.400024,606.630005,299200,606.630005
"2021-06-22",605.25,612.469971,602.159973,611.640015,395900,611.640015
"2021-06-23",612.609985,617.460022,606.679993,615.880005,332000,615.880005
"2021-06-24",617.409973,622.780029,605.369995,614.929993,396000,614.929993
"2021-06-25",618.880005,621.869995,614.840027,620.640015,465300,620.640015
"2021-06-28",621.929993,633.73999,621.619995,631.900024,357100,631.900024
"2021-06-29",629.659973,639.650024,627.22998,637.080017,348400,637.080017
"2021-06-30",635.559998,637.549988,628.219971,631.549988,372700,631.549988
"2021-07-01",628.809998,640.460022,627.22998,638.950012,316400,638.950012
"2021-07-02",643.309998,649.549988,639.539978,648.200012,287900,648.200012
"2021-07-06",650,660.299988,644.669983,658.98999,352600,658.98999
"2021-07-07",661.900024,667,658.549988,665.309998,420900,665.309998
"2021-07-08",657.840027,662.590027,647.659973,659.940002,391600,659.940002
"2021-07-09",657.539978,669.200012,653.340027,667.030029,332800,667.030029
"2021-07-12",661.630005,666.179993,655.530029,659.539978,422600,659.539978
"2021-07-13",661.450012,664.919983,658.280029,662.580017,244600,662.580017
"2021-07-14",664.789978,666.98999,657.960022,659.849976,342400,659.849976
"2021-07-15",659.070007,659.570007,649.390015,657.419983,450900,657.419983
"2021-07-16",659.549988,670.73999,658.440002,667.76001,351700,667.76001
"2021-07-19",661.580017,670.840027,659.340027,669.400024,335500,669.400024
"2021-07-20",670.919983,675.090027,663.080017,669.390015,591800,669.390015
"2021-07-21",667.840027,671.349976,652,670.51001,380700,670.51001
"2021-07-22",673.130005,683.469971,673.090027,683.030029,305300,683.030029
"2021-07-23",680.599976,696.349976,679.919983,693.73999,243900,693.73999
"2021-07-26",691.140015,691.140015,677.76001,685.669983,253500,685.669983
"2021-07-27",688.799988,692.059998,681.169983,686.950012,272700,686.950012
"2021-07-28",684.130005,698.169983,684.130005,695.580017,280900,695.580017
"2021-07-29",692.450012,706.950012,692.289978,704.159973,465800,704.159973
"2021-07-30",666.309998,681.169983,655.5,678.530029,697200,678.530029
"2021-08-02",687.409973,688.690002,666.849976,678.719971,354600,678.719971
"2021-08-03",682.190002,698.440002,681.219971,695.669983,468600,695.669983
"2021-08-04",696.119995,706.51001,694.969971,698.47998,358400,698.47998
"2021-08-05",698.869995,706.140015,692.840027,705.76001,265800,705.76001
"2021-08-06",695.690002,698.900024,673.090027,685.200012,388900,685.200012
"2021-08-09",685.200012,688.77002,680.289978,686.409973,240500,686.409973
"2021-08-10",688.140015,688.140015,669.26001,671.530029,349700,671.530029
"2021-08-11",672.640015,676.289978,657.119995,665.320007,342700,665.320007
"2021-08-12",663.049988,676.890015,663.049988,675.669983,266400,675.669983
"2021-08-13",671.460022,678,665.75,672.099976,215900,672.099976
"2021-08-16",673.77002,676.340027,668.090027,675.47998,334100,675.47998
"2021-08-17",669.840027,679.73999,668.210022,678.119995,264800,678.119995
"2021-08-18",677.02002,684.309998,676.609985,676.940002,267700,676.940002
"2021-08-19",674.880005,690,673.099976,681.710022,397900,681.710022
"2021-08-20",681.710022,685.22998,672.530029,682.140015,378500,682.140015
"2021-08-23",683.150024,683.150024,669.309998,671.109985,472200,671.109985
"2021-08-24",671.719971,673.539978,667.25,672.539978,398400,672.539978
"2021-08-25",675.419983,678.400024,665.940002,676.419983,357800,676.419983
"2021-08-26",676.929993,681.909973,670.039978,673.359985,292600,673.359985
"2021-08-27",673.900024,681.25,667.549988,668.27002,316100,668.27002
"2021-08-30",667.27002,690.109985,666.919983,686.969971,410300,686.969971
"2021-08-31",689.059998,689.059998,667.320007,673.76001,557500,673.76001
"2021-09-01",671.640015,678.419983,659.27002,676.900024,394900,676.900024
"2021-09-02",677.380005,687.690002,676.969971,685.440002,331900,685.440002
"2021-09-03",682.099976,692.159973,680.190002,688.330017,294300,688.330017
"2021-09-07",684.039978,686.200012,667.080017,681.669983,459000,681.669983
"2021-09-08",681.840027,695.179993,677.51001,687.700012,344900,687.700012
"2021-09-09",690.030029,692.320007,675.659973,676.570007,340300,676.570007
"2021-09-10",679.859985,686.130005,675.530029,681.609985,293700,681.609985
"2021-09-13",687.030029,687.030029,646.469971,655.049988,514400,655.049988
"2021-09-14",663.219971,669.539978,659.47998,661.390015,401900,661.390015
"2021-09-15",660.619995,668.919983,658.950012,661.650024,663100,661.650024
"2021-09-16",664.450012,666.159973,651.48999,663.450012,671000,663.450012
"2021-09-17",661.450012,664.799988,655.109985,661.710022,967600,661.710022
"2021-09-20",657.099976,668.690002,651.539978,659.780029,725200,659.780029
"2021-09-21",663.950012,668.51001,659.299988,666.869995,739100,666.869995
"2021-09-22",670.200012,672.429993,660.039978,671.469971,320100,671.469971
"2021-09-23",674.98999,689.950012,670.659973,682.580017,369800,682.580017
"2021-09-24",678.73999,684.210022,671.340027,679.640015,255700,679.640015
"2021-09-27",672.969971,674.450012,640.210022,650.02002,558800,650.02002
"2021-09-28",644.400024,644.789978,621.650024,626.849976,555400,626.849976
"2021-09-29",631.380005,637.440002,627.51001,629.549988,281300,629.549988
"2021-09-30",633.719971,638.150024,620.859985,621.900024,381500,621.900024
"2021-10-01",623.150024,626.080017,608.369995,623.97998,439100,623.97998
"2021-10-04",619.280029,621.619995,597.690002,614.190002,472900,614.190002
"2021-10-05",617.659973,625.77002,614.090027,614.799988,467200,614.799988
"2021-10-06",612.5,618.130005,601.179993,617.169983,586100,617.169983
"2021-10-07",621.400024,637.830017,621.400024,623.01001,261500,623.01001
